date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-24,148.08,148.865,146.44,147.69,147.69,5164721,5164473,-0.39,-0.263,147.665,"January 24, 23",-0.00263
2023-01-23,149.86,150.43,148.0542,148.55,148.55,7562725,7562370,-1.31,-0.874,149.0114,"January 23, 23",-0.00874
2023-01-20,149.43,149.71,147.15,149.59,149.59,7058908,7058700,0.16,0.107,148.81667,"January 20, 23",0.00107
2023-01-19,148.95,150.54,147.3317,148.71,148.71,7152199,7152153,-0.24,-0.161,148.86057,"January 19, 23",-0.00161
2023-01-18,152.12,152.42,149.07,149.2,149.2,6189922,6189400,-2.92,-1.92,150.23,"January 18, 23",-0.0192
2023-01-17,153.8,155.1,152.58,152.83,152.83,7537017,7536299,-0.97,-0.631,153.50333,"January 17, 23",-0.00631
2023-01-13,152.09,153.81,151.34,153.6,153.6,6019709,6019501,1.51,0.993,152.91667,"January 13, 23",0.00993
2023-01-12,155,155.2599945,151.7200012,152.2200012,152.2200012,7663100,7663100,-2.78,-1.794,153.06667,"January 12, 23",-0.01794
2023-01-11,159.2200012,159.3399963,155.0599976,157.1699982,155.6899872,7492000,7492000,-3.53001,-2.217,156.69666,"January 11, 23",-0.02217
2023-01-10,162.2299957,162.4199982,158.3000031,159.6399994,158.136734,5936200,5936200,-4.09326,-2.523,159.61891,"January 10, 23",-0.02523
2023-01-09,165.8999939,166.2799988,160.8800049,161.6600037,160.1377258,7833000,7833000,-5.76227,-3.473,162.43258,"January 09, 23",-0.03473
2023-01-06,164.8399963,168.1100006,164.1199951,166.5500031,164.9816742,5098600,5098600,0.14168,0.086,165.73722,"January 06, 23",0.00086
2023-01-05,163.0899963,164.4900055,162.3399963,163.4900055,161.9504852,3516000,3516000,-1.13951,-0.699,162.92683,"January 05, 23",-0.00699
2023-01-04,162.3999939,164.2799988,161.5099945,163.6900024,162.1486053,4440400,4440400,-0.25139,-0.155,162.6462,"January 04, 23",-0.00155
2023-01-03,162.0399933,163.0200043,160.8099976,162.3800049,160.8509369,4937500,4937500,-1.18906,-0.734,161.56031,"January 03, 23",-0.00734
2022-12-30,162.2299957,162.8500061,159.8200073,161.6100006,160.0881805,3679900,3679900,-2.14182,-1.32,160.9194,"December 30, 22",-0.0132
2022-12-29,162.9600067,163.8800049,162.1900024,162.5599976,161.0292358,3112500,3112500,-1.93077,-1.185,162.36641,"December 29, 22",-0.01185
2022-12-28,163.6999969,164.6900024,162.1100006,162.2299957,160.7023468,2944500,2944500,-2.99765,-1.831,162.50078,"December 28, 22",-0.01831
2022-12-27,163.4900055,163.8099976,161.7799988,162.9900055,161.4552002,2669200,2669200,-2.03481,-1.245,162.3484,"December 27, 22",-0.01245
2022-12-23,163.3899994,163.8200073,162.3300018,163.1000061,161.5641632,2685100,2685100,-1.82584,-1.117,162.57139,"December 23, 22",-0.01117
2022-12-22,161.8699951,163.3899994,161.5299988,163.2700043,161.7325592,3606000,3606000,-0.13744,-0.085,162.21752,"December 22, 22",-0.00085
2022-12-21,161.4499969,162.7299957,160.3600006,162.2100067,160.6825409,3707200,3707200,-0.76746,-0.475,161.25751,"December 21, 22",-0.00475
2022-12-20,161.6100006,161.8500061,160.0700073,160.5800018,159.0678864,4221000,4221000,-2.54211,-1.573,160.3293,"December 20, 22",-0.01573
