date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,110.13,111.03,109.29,110.25,110.25,3225447,2449866,0.12,0.10896,110.39,"May 09, 23",0.0010896
2023-05-08,110.46,111.5829,110.2927,110.9,110.900002,2445474,2445500,0.44,0.39833,110.97,"May 08, 23",0.0039833
2023-05-05,111.37,111.75,111.045,111.26,111.260002,4025017,4025000,-0.11,-0.09876987,111.32,"May 05, 23",-0.0009876987
2023-05-04,111.45,111.49,110.56,110.86,110.860001,4070791,4070700,-0.59,-0.52939,110.95,"May 04, 23",-0.0052939
2023-05-03,111.81,112.95,111.432,111.76,111.760002,5602034,5602000,-0.05,-0.04471872,112.05,"May 03, 23",-0.0004471872
2023-05-02,111.06,111.94,110.43,111.5,111.5,4998172,4998000,0.44,0.39618,111.28,"May 02, 23",0.0039618
2023-05-01,110.46,111.57,109.93,111.11,111.110001,3722880,3722900,0.65,0.58845,111.1,"May 01, 23",0.0058845
2023-04-28,109.44,110.85,109.3698,110.47,110.470001,4835966,4835900,1.03,0.94115,110.31,"April 28, 23",0.0094115
2023-04-27,108.71,109.54,107.67,109.5,109.5,4257373,4257200,0.79,0.7267,108.93,"April 27, 23",0.007267
2023-04-26,109.32,109.42,108.27,108.75,108.75,4240004,4240000,-0.57,-0.52141,108.75,"April 26, 23",-0.0052141
2023-04-25,110.39,110.53,109.67,109.97,109.970001,5636787,5636700,-0.42,-0.38047,110.12,"April 25, 23",-0.0038047
2023-04-24,111.75,111.75,110.14,110.4,110.400002,5341897,5341900,-1.35,-1.21,110.62,"April 24, 23",-0.0121
2023-04-21,110.88,112.12,110.88,111.66,111.660004,6301173,6301100,0.78,0.70346,111.72,"April 21, 23",0.0070346
2023-04-20,112.25,112.29,110,110.35,110.349998,7413167,7413200,-1.9,-1.69,110.73,"April 20, 23",-0.0169
2023-04-19,108.5,112.7,108.15,112.29,112.290001,12425378,12425400,3.79,3.49,111.37,"April 19, 23",0.0349
2023-04-18,105.44,105.7,103.93,104.15,104.150002,6552086,6552100,-1.29,-1.22,104.34,"April 18, 23",-0.0122
2023-04-17,104,104.8499,104,104.52,104.519997,4806365,4806400,0.52,0.5,104.42,"April 17, 23",0.005
2023-04-14,103.61,104.35,103.46,103.96,103.959999,4899623,5043700,0.35,0.33781,103.94,"April 14, 23",0.0033781
2023-04-13,102.75,103.71,101.8,103.61,103.610001,4778773,4778700,0.86,0.83698,103.17,"April 13, 23",0.0083698
2023-04-12,103.39,103.84,102.31,102.56,102.049995,4560728,4560700,-0.83,-0.80279,102.84,"April 12, 23",-0.0080279
2023-04-11,104.2,104.7,103.095,103.29,102.776375,4658107,4658000,-0.91,-0.87332,103.69,"April 11, 23",-0.0087332
2023-04-10,104.42,104.91,103.06,103.7,103.184326,4900273,4900200,-0.72,-0.68952,103.66,"April 10, 23",-0.0068952
2023-04-06,104.49,105.55,104.18,104.93,104.408218,5065054,5065000,0.44,0.42109,104.91,"April 06, 23",0.0042109
2023-04-05,102.63,104.29,102.5,104.21,103.691795,7298334,7298300,1.58,1.54,103.72,"April 05, 23",0.0154
2023-04-04,101.9,103.34,101.83,102.8,102.288811,7979045,7979000,0.9,0.88322,102.83,"April 04, 23",0.0088322
2023-04-03,100.8,101.66,100.04,101.59,101.084824,5432562,5432400,0.79,0.78373,101.16,"April 03, 23",0.0078373
2023-03-31,99.915,101.41,99.73,101.26,100.75647,6442440,6442400,1.345,1.35,100.99,"March 31, 23",0.0135
2023-03-30,99.38,99.48,98.51,99.08,98.587311,5199311,5199300,-0.3,-0.30187,98.87,"March 30, 23",-0.0030187
2023-03-29,98.01,98.74,97.25,98.62,98.129593,6680210,6780200,0.61,0.62239,98.16,"March 29, 23",0.0062239
2023-03-28,98.1,98.24,96.61,97.11,96.627106,4815443,4815400,-0.99,-1.01,97.37,"March 28, 23",-0.0101
2023-03-27,99,99.48,98.27,98.46,97.97039,4627788,4627700,-0.54,-0.54545,98.55,"March 27, 23",-0.0054545
2023-03-24,97.04,98.08,96.81,98.05,97.562431,5269219,5269100,1.01,1.04,97.62,"March 24, 23",0.0104
2023-03-23,96.9,97.81,96.44,97.04,96.557449,4525068,4525000,0.14,0.14448,97.16,"March 23, 23",0.0014448
2023-03-22,98.61,99.31,96.84,96.86,96.378342,3606765,3606700,-1.75,-1.77,98.11,"March 22, 23",-0.0177
2023-03-21,98.17,98.41,97.285,98.33,97.841034,4475142,4475000,0.16,0.16298,98.02,"March 21, 23",0.0016298
2023-03-20,97.255,98.2,97.175,97.87,97.383324,6075767,6075700,0.615,0.63236,97.73,"March 20, 23",0.0063236
2023-03-17,99.01,99.2,96.51,97.01,96.527603,10848298,10848100,-2,-2.02,97.46,"March 17, 23",-0.0202
2023-03-16,97.06,99.28,97,99.03,98.537552,5289406,5289100,1.97,2.03,98.43,"March 16, 23",0.0203
2023-03-15,97.5,97.9407,96.7013,97.8,97.313675,5712263,5712100,0.3,0.30769,97.6,"March 15, 23",0.0030769
2023-03-14,99.28,99.5,97.34,98.55,98.059944,5093942,5093900,-0.73,-0.73529,98.49,"March 14, 23",-0.0073529
2023-03-13,96.6,99.2,96.39,98.19,97.701736,6553155,6553000,1.59,1.65,98.13,"March 13, 23",0.0165
2023-03-10,97.76,98.395,96.555,96.96,96.477844,7042464,7042400,-0.8,-0.81833,97.37,"March 10, 23",-0.0081833
2023-03-09,99.89,99.97,97.5,97.85,97.363419,5145993,5146000,-2.04,-2.04,98.65,"March 09, 23",-0.0204
2023-03-08,99.915,100.2675,99.26,99.4,98.905716,6252798,6252600,-0.515,-0.51544,99.61,"March 08, 23",-0.0051544
2023-03-07,102.86,103.1,99.82,99.98,99.482834,6349041,6349000,-2.88,-2.8,100.56,"March 07, 23",-0.028
2023-03-06,104.51,104.6,102.63,102.75,102.239052,5005142,5005100,-1.76,-1.68,103.33,"March 06, 23",-0.0168
2023-03-03,102.9,104.51,102.76,104.45,103.930595,4982559,4982400,1.55,1.51,103.94,"March 03, 23",0.0151
2023-03-02,100.27,102.98,100.27,102.63,102.119652,5209962,5209900,2.36,2.35,102.14,"March 02, 23",0.0235
2023-03-01,100.7,101.36,100.39,100.83,100.328606,3963575,3963500,0.13,0.1291,100.93,"March 01, 23",0.001291
2023-02-28,99.84,102.415,99.69,101.72,101.21418,7877048,7877000,1.88,1.88,101.47,"February 28, 23",0.0188
2023-02-27,101.28,101.311,99.66,99.77,99.273872,4489818,4489800,-1.51,-1.49,100.28,"February 27, 23",-0.0149
2023-02-24,101.45,101.8,99.89,100.46,99.960442,5476807,5476800,-0.99,-0.97585,100.44,"February 24, 23",-0.0097585
2023-02-23,103.24,103.78,101.66,102.55,102.040054,4611065,4611100,-0.69,-0.66835,102.53,"February 23, 23",-0.0066835
2023-02-22,103.24,103.845,100.5,102.69,102.179359,8900923,8900900,-0.55,-0.53274,102.9,"February 22, 23",-0.0053274
2023-02-21,105.85,106.14,103.35,103.65,103.134583,5204362,5204300,-2.2,-2.08,104.06,"February 21, 23",-0.0208
2023-02-17,105.54,106.9607,105.49,106.74,106.209213,3564224,3564100,1.2,1.14,106.49,"February 17, 23",0.0114
2023-02-16,105.77,107.389,105.67,106.08,105.552498,3299037,3299000,0.31,0.29309,106.43,"February 16, 23",0.0029309
2023-02-15,106.76,107.31,106.28,107.28,106.746529,4060340,4060300,0.52,0.48707,106.91,"February 15, 23",0.0048707
2023-02-14,108.19,108.34,106.3584,107.26,106.726631,4243962,4244000,-0.93,-0.8596,107.38,"February 14, 23",-0.008596
2023-02-13,108.32,109.14,107.77,108.52,107.980362,3711019,3711000,0.2,0.18464,108.43,"February 13, 23",0.0018464
2023-02-10,108.26,108.895,107.8,108.16,107.622154,4186301,4186300,-0.1,-0.09237022,108.18,"February 10, 23",-0.0009237022
2023-02-09,110.69,111.27,107.51,108.07,107.5326,3912740,3912700,-2.62,-2.37,108.9,"February 09, 23",-0.0237
2023-02-08,111.4,111.87,109.745,110.2,109.652008,4222392,4222300,-1.2,-1.08,110.43,"February 08, 23",-0.0108
2023-02-07,110.04,112.41,109.88,111.99,111.433105,3401571,3401600,1.95,1.77,111.6,"February 07, 23",0.0177
2023-02-06,111.57,111.69,110.46,110.75,110.199272,4145574,4145600,-0.82,-0.73496,110.86,"February 06, 23",-0.0073496
2023-02-03,111.81,112.329,110.66,111.79,111.2341,3754480,3754500,-0.02,-0.01788749,111.62,"February 03, 23",-0.0001788749
2023-02-02,111.28,112.37,110.89,112.25,111.691818,5051842,5051800,0.97,0.87168,111.71,"February 02, 23",0.0087168
2023-02-01,110.78,112.085,109.67,111.82,111.263954,4532383,4532300,1.04,0.9388,111.14,"February 01, 23",0.009388
2023-01-31,109.79,110.66,108.87,110.55,110.000275,5698310,5698300,0.76,0.69223,110.06,"January 31, 23",0.0069223
2023-01-30,109.81,110.67,109.62,109.81,109.263947,4434820,4434800,0,0,110.06,"January 30, 23",0
2023-01-27,110.65,111.26,109.81,109.95,109.403252,4860837,4860600,-0.7,-0.63263,110.29,"January 27, 23",-0.0063263
2023-01-26,111.25,111.62,110.11,111.07,110.517685,4159585,4159500,-0.18,-0.1618,110.78,"January 26, 23",-0.001618
2023-01-25,110,112.24,109.59,111,110.448029,6070815,6070800,1,0.90909,110.67,"January 25, 23",0.0090909
2023-01-24,113,114.17,112.28,112.53,111.970421,4662038,4662000,-0.47,-0.41593,112.77,"January 24, 23",-0.0041593
