date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,262.95,264.49,261.68,263.48,263.480011,2711997,1463592,0.53,0.20156,263.53,"May 09, 23",0.0020156
2023-05-08,266.02,267,263.465,264.82,264.820007,1843035,1843000,-1.2,-0.45109,264.85,"May 08, 23",-0.0045109
2023-05-05,269.22,270.38,264.39,265.65,265.649994,2592691,2592100,-3.57,-1.33,266.4,"May 05, 23",-0.0133
2023-05-04,273.28,273.78,265.68,266.5,266.5,2586187,2586200,-6.78,-2.48,267.84,"May 04, 23",-0.0248
2023-05-03,278.12,279.575,274.815,275.18,275.179993,1951231,1951200,-2.94,-1.06,276.66,"May 03, 23",-0.0106
2023-05-02,279.86,280.38,274.03,276.74,276.73999,1728391,1728300,-3.12,-1.11,276.64,"May 02, 23",-0.0111
2023-05-01,279.09,279.91,277.4517,279.42,279.420013,1165609,1165600,0.33,0.11824,279.15,"May 01, 23",0.0011824
2023-04-28,273.72,280.43,273.72,280.29,280.290009,2084465,2084500,6.57,2.4,279.03,"April 28, 23",0.024
2023-04-27,273.85,276.49,270.83,275.45,275.450012,1983743,1983600,1.6,0.58426,274.31,"April 27, 23",0.0058426
2023-04-26,271.85,273.57,270.2,271.21,271.209991,2009408,2009400,-0.64,-0.23542,271.95,"April 26, 23",-0.0023542
2023-04-25,275.86,276.71,270.59,270.7,270.700012,1935436,1935400,-5.16,-1.87,272.27,"April 25, 23",-0.0187
2023-04-24,275.8,277.62,274.86,277.25,277.25,1359774,1359700,1.45,0.52574,276.53,"April 24, 23",0.0052574
2023-04-21,275.73,277.83,275.395,276.33,276.329987,1600697,1600700,0.6,0.2176,276.59,"April 21, 23",0.002176
2023-04-20,277.28,277.57,274,275.55,275.549988,2686079,2686100,-1.73,-0.62392,275.47,"April 20, 23",-0.0062392
2023-04-19,278.8,280,277.51,279.9,279.899994,2204721,2204700,1.1,0.39455,279.13,"April 19, 23",0.0039455
2023-04-18,281.36,281.41,278.41,279.96,279.959991,1893836,1893800,-1.4,-0.49758,279.71,"April 18, 23",-0.0049758
2023-04-17,278.78,281.82,278.78,279.98,279.980011,2899027,2899000,1.2,0.43045,280.35,"April 17, 23",0.0043045
2023-04-14,283.29,284.95,277.78,279.25,279.25,2871702,2871700,-4.04,-1.43,279.78,"April 14, 23",-0.0143
2023-04-13,283,285.42,279.72,285.27,285.269989,3164357,3164200,2.27,0.80212,283.48,"April 13, 23",0.0080212
2023-04-12,288.39,288.65,282.94,283.76,283.76001,2656005,2656000,-4.63,-1.61,284.75,"April 12, 23",-0.0161
2023-04-11,283.01,287.66,282.55,286.33,285.209991,3122468,3122500,3.32,1.17,285.85,"April 11, 23",0.0117
2023-04-10,277.99,281.73,276.36,281.68,280.578186,1575864,1575900,3.69,1.33,279.89,"April 10, 23",0.0133
2023-04-06,280.66,282.24,278.86,281.7,280.598114,2125329,2125300,1.04,0.37056,281.4,"April 06, 23",0.0037056
2023-04-05,286.24,286.9,280.91,281.33,280.229553,2443241,2443200,-4.91,-1.72,282.22,"April 05, 23",-0.0172
2023-04-04,284.44,287.43,284.22,285.84,284.721924,2331822,2331700,1.4,0.4922,286.09,"April 04, 23",0.004922
2023-04-03,283.39,286.455,283.16,285.84,284.721924,2417506,2417300,2.45,0.86453,285.4,"April 03, 23",0.0086453
2023-03-31,283.12,285.96,282.61,285.81,284.692047,3009370,3009300,2.69,0.95013,284.63,"March 31, 23",0.0095013
2023-03-30,281,283.04,280.78,282.66,281.554352,2293610,2293600,1.66,0.59075,282.16,"March 30, 23",0.0059075
2023-03-29,276,280.26,276,279.94,278.845001,2431450,2431500,3.94,1.43,278.55,"March 29, 23",0.0143
2023-03-28,273.92,276.16,272.6,275,273.924316,2869463,2869400,1.08,0.39428,274.54,"March 28, 23",0.0039428
2023-03-27,270.73,274.36,270.64,273.96,272.888367,3743761,3743800,3.23,1.19,273.04,"March 27, 23",0.0119
2023-03-24,270.45,272.08,264.82,272,270.936066,4123582,4123600,1.55,0.57312,270.25,"March 24, 23",0.0057312
2023-03-23,259.45,274.605,259.3,271.66,270.597382,5166858,5166900,12.21,4.71,270.4,"March 23, 23",0.0471
2023-03-22,257.26,261.32,253.03,253.27,252.279327,3059543,3059300,-3.99,-1.55,257.37,"March 22, 23",-0.0155
2023-03-21,254.88,258.5,253.94,257.62,256.612305,2831413,2831200,2.74,1.08,256.56,"March 21, 23",0.0108
2023-03-20,250.72,253.89,250.01,252.55,251.562134,3182150,3182100,1.83,0.7299,252.39,"March 20, 23",0.007299
2023-03-17,254.33,255.73,248.42,250,249.02211,6470869,6470800,-4.33,-1.7,250.61,"March 17, 23",-0.017
2023-03-16,244.95,253.8,243.525,252.92,251.930695,4119719,4119600,7.97,3.25,251.1,"March 16, 23",0.0325
2023-03-15,247.96,247.97,242.8,246.17,245.207092,4507978,4508000,-1.79,-0.72189,245.12,"March 15, 23",-0.0072189
2023-03-14,256.37,256.73,249.955,252.48,251.492401,2925630,2925600,-3.89,-1.52,253.01,"March 14, 23",-0.0152
2023-03-13,253.11,255.2633,249.235,251.31,250.326981,3232109,3232100,-1.8,-0.71115,252.71,"March 13, 23",-0.0071115
2023-03-10,260.14,260.34,251.6,252.95,251.960571,2924582,2924600,-7.19,-2.76,254.44,"March 10, 23",-0.0276
2023-03-09,265.83,266.7,258.72,259.76,258.743958,1949943,1949800,-6.07,-2.28,262.17,"March 09, 23",-0.0228
2023-03-08,263.43,265.5854,262.49,263.66,262.628693,1462724,1462700,0.23,0.08730972,263.78,"March 08, 23",0.0008730972
2023-03-07,269.22,270.04,263.71,264.2,263.166565,2219432,2219300,-5.02,-1.86,265.17,"March 07, 23",-0.0186
2023-03-06,270.2,272.05,269.08,269.63,268.575317,1649147,1649100,-0.57,-0.21095,270.29,"March 06, 23",-0.0021095
2023-03-03,267.91,269.72,265.985,269.2,268.147034,1596074,1596100,1.29,0.4815,268.61,"March 03, 23",0.004815
2023-03-02,263.88,266.19,261.62,265.26,264.222443,2278272,2278300,1.38,0.52296,264.3,"March 02, 23",0.0052296
2023-03-01,265.01,265.97,261.75,263.59,262.55896,1700671,1700500,-1.42,-0.53583,263.81,"March 01, 23",-0.0053583
2023-02-28,264.69,268.49,262.745,265.55,264.511261,2160426,2160400,0.86,0.32491,265.83,"February 28, 23",0.0032491
2023-02-27,268.91,269.99,265.47,266.25,265.208557,1512857,1512900,-2.66,-0.98918,266.81,"February 27, 23",-0.0098918
2023-02-24,267.4,267.4,264.24,266.53,265.487457,1734977,1735000,-0.87,-0.32536,266.04,"February 24, 23",-0.0032536
2023-02-23,270.77,272.3,267.81,271.23,270.169067,1885582,1885500,0.46,0.16989,270.72,"February 23, 23",0.0016989
2023-02-22,270.63,272.49,268.16,269.63,268.575317,1823870,1823800,-1,-0.36951,270.38,"February 22, 23",-0.0036951
2023-02-21,272,273.15,268.78,269.15,268.097198,2446186,2446200,-2.85,-1.05,269.8,"February 21, 23",-0.0105
2023-02-17,278.78,279.4,274.91,277.05,275.966278,2722647,2722400,-1.73,-0.62056,276.53,"February 17, 23",-0.0062056
2023-02-16,283.03,285.46,278.64,281.22,280.119995,1899439,1899200,-1.81,-0.63951,282.59,"February 16, 23",-0.0063951
2023-02-15,282,287.83,281.97,287.65,286.524841,1890200,1890200,5.65,2,285.93,"February 15, 23",0.02
2023-02-14,285.47,288.14,283.35,284.77,283.656097,1821146,1821100,-0.7,-0.24521,285.32,"February 14, 23",-0.0024521
2023-02-13,284.37,288.41,284.37,288.35,287.222107,1284530,1284500,3.98,1.4,287.2,"February 13, 23",0.014
2023-02-10,281.7,284.57,281.02,283.96,282.849274,1347616,1347600,2.26,0.80227,283.24,"February 10, 23",0.0080227
2023-02-09,287.42,289.38,284.42,285.16,284.044586,1751955,1752000,-2.26,-0.78631,286.61,"February 09, 23",-0.0078631
2023-02-08,285.88,289.18,283.98,284.71,283.596344,1381888,1381800,-1.17,-0.40926,285.31,"February 08, 23",-0.0040926
2023-02-07,282.7,288.845,282.5,287.82,286.694183,1401144,1401100,5.12,1.81,285.98,"February 07, 23",0.0181
2023-02-06,286,287.8,283.44,284.48,283.367249,1262469,1262400,-1.52,-0.53147,285.56,"February 06, 23",-0.0053147
2023-02-03,288.22,289.68,286.76,289.22,288.088715,2167994,2168000,1,0.34696,288.46,"February 03, 23",0.0034696
2023-02-02,289.42,295.785,286.86,294.1,292.949615,2715989,2715900,4.68,1.62,292.87,"February 02, 23",0.0162
2023-02-01,276.6,285.27,275.7,283.6,282.490692,1797090,1797000,7,2.53,280.69,"February 01, 23",0.0253
2023-01-31,274.94,279.05,273.91,279.05,277.958466,1841858,1841800,4.11,1.49,277.31,"January 31, 23",0.0149
2023-01-30,273.57,277.45,273.31,274.32,273.246979,1732929,1732900,0.75,0.27415,275.09,"January 30, 23",0.0027415
2023-01-27,273.26,279.42,272.94,277.27,276.185425,2101109,2101100,4.01,1.47,277.07,"January 27, 23",0.0147
2023-01-26,277.17,277.33,270.865,274.26,273.187225,1942631,1942600,-2.91,-1.05,273.68,"January 26, 23",-0.0105
2023-01-25,270.74,273.75,265.66,273.16,272.091522,2576548,2576300,2.42,0.89385,271.09,"January 25, 23",0.0089385
2023-01-24,276.71,278.12,272.975,274.87,273.79483,2205270,2205300,-1.84,-0.66496,275.32,"January 24, 23",-0.0066496
2023-01-23,278.56,282.87,277.4332,279.34,278.247345,2593317,2593300,0.78,0.28001,279.87,"January 23, 23",0.0028001
2023-01-20,274.5,281.07,272.805,280.47,279.372925,3306557,3306600,5.97,2.17,278.7,"January 20, 23",0.0217
2023-01-19,277.28,278.95,272.59,272.89,271.822601,2212571,2212500,-4.39,-1.58,273.98,"January 19, 23",-0.0158
2023-01-18,284.58,287.28,276.98,277.9,276.812958,2192710,2192700,-6.68,-2.35,280.19,"January 18, 23",-0.0235
2023-01-17,283.04,287.75,282.34,284.88,283.765686,2863707,2863700,1.84,0.65008,285.13,"January 17, 23",0.0065008
2023-01-13,280.32,282.66,278.984,282.14,281.036407,2226788,2226800,1.82,0.64926,281.56,"January 13, 23",0.0064926
2023-01-12,282.74,287.9699,282.37,283.84,282.729736,2482615,2482500,1.1,0.38905,284.63,"January 12, 23",0.0038905
