date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-30,365.9,368.7,362.83,363.42,363.42,2500742,2500523,-2.48,-0.678,364.98333,"January 30, 23",-0.00678
2023-01-27,363.49,373.42,362.85,370.71,370.71,2615293,2615100,7.22,1.986,368.99333,"January 27, 23",0.01986
2023-01-26,362.76,367.43,360.72,365.82,365.82,2349367,2349200,3.06,0.844,364.65667,"January 26, 23",0.00844
2023-01-25,355.67,359.73,350.57,358.17,358.17,2238764,2238700,2.5,0.703,356.15667,"January 25, 23",0.00703
2023-01-24,364.1,364.34,358.01,361.32,361.32,2466610,2466393,-2.78,-0.764,361.22333,"January 24, 23",-0.00764
2023-01-23,358.28,365.87,356.85,364.98,364.98,3187126,3187100,6.7,1.87,362.56667,"January 23, 23",0.0187
2023-01-20,343.27,357.42,342.76,356.38,356.38,3143223,3143200,13.11,3.819,352.18667,"January 20, 23",0.03819
2023-01-19,340.56,346.73,340.01,342.53,342.53,2466387,2466300,1.97,0.578,343.09,"January 19, 23",0.00578
2023-01-18,345.01,349.24,338.4,341.31,341.31,2079936,2079800,-3.7,-1.072,342.98333,"January 18, 23",-0.01072
2023-01-17,344.38,350.79,341.97,344.38,344.38,2512488,2512300,0,0,345.71333,"January 17, 23",0
2023-01-13,340.25,344.65,335.5,344.38,344.38,2582152,2581900,4.13,1.214,341.51,"January 13, 23",0.01214
2023-01-12,344.17,346.44,337.37,344.54,344.54,2121534,2121500,0.37,0.108,342.78333,"January 12, 23",0.00108
2023-01-11,337.39,343.19,333.47,342.93,342.93,2343025,2342900,5.54,1.642,339.86333,"January 11, 23",0.01642
2023-01-10,337.65,344.63,336.8,338.7,338.7,1669896,1669800,1.05,0.311,340.04333,"January 10, 23",0.00311
2023-01-09,338.9,349.46,338.42,341.98,341.98,3133492,3133300,3.08,0.909,343.28667,"January 09, 23",0.00909
2023-01-06,332.28,334.88,322.44,332.75,332.75,2216166,2216100,0.47,0.141,330.02333,"January 06, 23",0.00141
2023-01-05,337.53,337.55,328.16,328.44,328.44,2081158,2081100,-9.09,-2.693,331.38333,"January 05, 23",-0.02693
2023-01-04,342.89,345.63,336.73,341.41,341.41,2185637,2185500,-1.48,-0.432,341.25667,"January 04, 23",-0.00432
2023-01-03,340.16,345.82,331.92,336.92,336.92,2228317,2228300,-3.24,-0.952,338.22,"January 03, 23",-0.00952
2022-12-30,333,336.64,331.64,336.53,336.53,1740473,1740300,3.53,1.06,334.93667,"December 30, 22",0.0106
2022-12-29,330.75,339.5,329.76,337.58,337.58,1792081,1792000,6.83,2.065,335.61333,"December 29, 22",0.02065
2022-12-28,335.06,338.5,327.19,328.33,328.33,1671220,1671200,-6.73,-2.009,331.34,"December 28, 22",-0.02009
