date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,213.93,214.2599,212.15,213.66,213.660004,1204373,1204373,-0.27,-0.12621,213.69,"May 09, 23",-0.0012621
2023-05-08,216.37,216.4909,213.555,214.27,214.270004,1001586,1001600,-2.1,-0.97056,214.73,"May 08, 23",-0.0097056
2023-05-05,215.15,217.55,213.94,215.48,215.479996,1455136,1455100,0.33,0.15338,215.53,"May 05, 23",0.0015338
2023-05-04,216.54,216.67,213.11,213.81,213.809998,1241484,1241500,-2.73,-1.26,214.11,"May 04, 23",-0.0126
2023-05-03,218.05,219.61,215.96,215.98,215.979996,1604855,1604900,-2.07,-0.94932,217.36,"May 03, 23",-0.0094932
2023-05-02,220.74,221.53,214.74,216.54,216.539993,1775534,1775500,-4.2,-1.9,216.61,"May 02, 23",-0.019
2023-05-01,219.23,222.55,218.85,221.12,221.119995,1699684,1699700,1.89,0.86211,221.17,"May 01, 23",0.0086211
2023-04-28,216.49,220.06,215.8,220,220,2427856,2427800,3.51,1.62,219.34,"April 28, 23",0.0162
2023-04-27,211.99,216.96,211.3975,216.16,216.160004,2180945,2180900,4.17,1.97,215.17,"April 27, 23",0.0197
2023-04-26,203.13,212.66,201.46,210.83,210.830002,3217594,3217600,7.7,3.79,209.91,"April 26, 23",0.0379
2023-04-25,214.88,214.88,211.64,211.69,211.690002,2161739,2161700,-3.19,-1.48,212.4,"April 25, 23",-0.0148
2023-04-24,215.88,216.785,214.79,215.47,215.470001,1332201,1332200,-0.41,-0.18992,215.46,"April 24, 23",-0.0018992
2023-04-21,215.98,215.98,213.81,215.21,215.210007,1093007,1093000,-0.77,-0.35651,214.85,"April 21, 23",-0.0035651
2023-04-20,215.74,216.57,214.36,215.62,215.619995,1117764,1117800,-0.12,-0.05562251,215.63,"April 20, 23",-0.0005562251
2023-04-19,216.93,218.12,216.665,217.04,217.039993,862983,863000,0.11,0.0507076,217.26,"April 19, 23",0.000507076
2023-04-18,218.68,219.47,216.62,217.32,217.320007,932105,932100,-1.36,-0.62191,217.51,"April 18, 23",-0.0062191
2023-04-17,216.23,218.23,215.73,218.16,218.160004,1648344,1648300,1.93,0.89257,217.09,"April 17, 23",0.0089257
2023-04-14,216.22,217.995,213.79,215.7,215.699997,1224198,1224100,-0.52,-0.2405,215.32,"April 14, 23",-0.002405
2023-04-13,215.87,217.635,214.475,217.25,217.25,1293886,1293900,1.38,0.63927,216.62,"April 13, 23",0.0063927
2023-04-12,215.8,217.2,214.89,215.61,215.610001,1654760,1654700,-0.19,-0.08804449,215.89,"April 12, 23",-0.0008804449
2023-04-11,214.34,215.46,213.29,215.21,215.210007,1370777,1370800,0.87,0.4059,214.83,"April 11, 23",0.004059
2023-04-10,214.11,214.76,213.02,214.22,214.220001,1181424,1181400,0.11,0.05137546,214.04,"April 10, 23",0.0005137546
2023-04-06,213.18,216.37,212.58,216.11,216.110001,1966560,1966600,2.93,1.37,215.28,"April 06, 23",0.0137
2023-04-05,213.41,214.56,211.32,213.17,213.169998,2223959,2223900,-0.24,-0.11246,213.12,"April 05, 23",-0.0011246
2023-04-04,216.155,216.97,212.19,214.04,214.039993,2384938,2384900,-2.115,-0.97846,214.01,"April 04, 23",-0.0097846
2023-04-03,218.54,219.05,215.14,216.81,216.809998,2592146,2592000,-1.73,-0.79162,216.64,"April 03, 23",-0.0079162
2023-03-31,220.92,222.77,219.81,222.63,222.630005,1782915,1782800,1.71,0.77404,221.98,"March 31, 23",0.0077404
2023-03-30,220.57,221.8,218.74,219.49,219.490005,1408684,1408600,-1.08,-0.48964,219.71,"March 30, 23",-0.0048964
2023-03-29,216.11,220.75,215,219.9,219.899994,1724403,1724400,3.79,1.75,219.07,"March 29, 23",0.0175
2023-03-28,214.58,215.915,212.85,214.15,214.149994,1130094,1130100,-0.43,-0.20039,214.21,"March 28, 23",-0.0020039
2023-03-27,214.95,216.31,214.1,214.36,214.360001,1627097,1627100,-0.59,-0.27448,214.82,"March 27, 23",-0.0027448
2023-03-24,213.92,214.49,211.41,214.13,214.130005,1720461,1720500,0.21,0.09816754,213.56,"March 24, 23",0.0009816754
2023-03-23,213.7,216.907,212.135,213.62,213.619995,1893903,1893900,-0.08,-0.03743566,214.32,"March 23, 23",-0.0003743566
2023-03-22,218.54,219.16,213.14,213.26,213.259995,1723111,1723100,-5.28,-2.42,216.11,"March 22, 23",-0.0242
2023-03-21,216.52,218.56,215.18,218.1,218.100006,2230474,2230500,1.58,0.72972,217.41,"March 21, 23",0.0072972
2023-03-20,213.91,216.34,212.58,215.87,215.869995,2400286,2400300,1.96,0.91627,215.16,"March 20, 23",0.0091627
2023-03-17,216.3,217.03,212.575,213.22,213.220001,8927720,8927500,-3.08,-1.42,213.72,"March 17, 23",-0.0142
2023-03-16,213.04,216.51,211.81,215.8,215.800003,2193681,2193600,2.76,1.3,215.26,"March 16, 23",0.013
2023-03-15,212.07,213.31,210.04,213.25,213.25,2538058,2538000,1.18,0.55642,212.42,"March 15, 23",0.0055642
