date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-27,112.62,113.89,110.7,112.5,112.5,8700440,8700440.88191961,-0.12,-0.107,112.36333,"January 27, 23",-0.00107
2023-01-26,114.4,115.76,112.265,115.58,115.58,5813415,5813038,1.18,1.031,114.535,"January 26, 23",0.01031
2023-01-25,110.99,114.44,109.41,113.95,113.95,5958050,5957609,2.96,2.667,112.6,"January 25, 23",0.02667
2023-01-24,113.47,114.07,112.47,112.99,112.99,3505032,3504703,-0.48,-0.423,113.17667,"January 24, 23",-0.00423
2023-01-23,108.53,114.91,108.5,114.155,114.155,7669924,7669252,5.625,5.183,112.52167,"January 23, 23",0.05183
2023-01-20,106.8,109.775,106.4896,109.65,109.65,5078842,5078502,2.85,2.669,108.6382,"January 20, 23",0.02669
2023-01-19,109.49,109.64,106.09,106.16,106.16,5325327,5325095,-3.33,-3.041,107.29667,"January 19, 23",-0.03041
2023-01-18,110.76,112.39,109.58,109.7,109.7,5374147,5374108,-1.06,-0.957,110.55667,"January 18, 23",-0.00957
2023-01-17,109.405,110.63,107.78,109.41,109.41,4848094,4848070,0.005,0.005,109.27333,"January 17, 23",5e-05
2023-01-13,107.53,110.2,107.44,109.97,109.97,5642110,5641571,2.44,2.269,109.20333,"January 13, 23",0.02269
2023-01-12,110.58,111.885,107.23,110.2,110.2,5331159,5330916,-0.38,-0.344,109.77167,"January 12, 23",-0.00344
2023-01-11,106.68,110.19,106.53,110.06,110.06,5533064,5532560,3.38,3.168,108.92667,"January 11, 23",0.03168
2023-01-10,106.14,108.19,105.86,108.04,108.04,4639246,4638814,1.9,1.79,107.36333,"January 10, 23",0.0179
2023-01-09,105.55,108.76,104.16,106.49,106.49,6212569,6212259,0.94,0.891,106.47,"January 09, 23",0.00891
2023-01-06,100,104.855,98.58,104.27,104.27,7241670,7241667,4.27,4.27,102.56833,"January 06, 23",0.0427
2023-01-05,97.84,99.24,97.36,97.92,97.92,4557079,4557079,0.08,0.082,98.17333,"January 05, 23",0.00082
2023-01-04,98.215,99.62,97.19,99.31,99.31,6289993,6289509,1.095,1.115,98.70667,"January 04, 23",0.01115
2023-01-03,99.77,100.02,96.12,96.73,96.73,5922244,5921671,-3.04,-3.047,97.62333,"January 03, 23",-0.03047
2022-12-30,95.6,97.48,95.03,97.38,97.38,3407094,3407047,1.78,1.862,96.63,"December 30, 22",0.01862
2022-12-29,96.05,97.64,95.13,97.14,97.14,5072074,5071960,1.09,1.135,96.63667,"December 29, 22",0.01135
2022-12-28,94.67,95.78,93.675,94.225,94.225,4274001,4273957,-0.445,-0.47,94.56,"December 28, 22",-0.0047
2022-12-27,96.18,96.84,95.17,95.34,95.34,6121451,6121361,-0.84,-0.873,95.78333,"December 27, 22",-0.00873
2022-12-23,96.69,97.3878,95.33,97.22,97.22,4753581,4753535,0.53,0.548,96.64593,"December 23, 22",0.00548
2022-12-22,102.11,102.61,95.97,97.6,97.6,11327183,11326627,-4.51,-4.417,98.72667,"December 22, 22",-0.04417
2022-12-21,104.63,106.51,104.2,105.9,105.9,4889519,4889064,1.27,1.214,105.53667,"December 21, 22",0.01214
2022-12-20,102.07,104.605,102.04,103.5,103.5,4761883,4761804,1.43,1.401,103.38167,"December 20, 22",0.01401
2022-12-19,104.83,105.06,102.67,103.99,103.99,6162582,6162500,-0.84,-0.801,103.90667,"December 19, 22",-0.00801
2022-12-16,104.15,105.93,103.55,104.73,104.73,12925873,12925702,0.58,0.557,104.73667,"December 16, 22",0.00557
2022-12-15,107.75,108.02,104.02,104.56,104.56,6775501,6775217,-3.19,-2.961,105.53333,"December 15, 22",-0.02961
2022-12-14,111.36,112.61,108.55,109.64,109.64,6429769,6429339,-1.72,-1.545,110.26667,"December 14, 22",-0.01545
2022-12-13,115.39,116.09,111.16,111.87,111.87,9557987,9557332,-3.52,-3.051,113.04,"December 13, 22",-0.03051
2022-12-12,106.82,109.42,105.64,109.37,109.37,4831692,4831377,2.55,2.387,108.14333,"December 12, 22",0.02387
2022-12-09,107.78,109.74,107,107.34,107.34,4706135,4705906,-0.44,-0.408,108.02667,"December 09, 22",-0.00408
2022-12-08,107.04,109.44,106.5,108.61,108.61,5493665,5493190,1.57,1.467,108.18333,"December 08, 22",0.01467
2022-12-07,104.71,107.65,104.14,106.11,106.11,6384138,6383621,1.4,1.337,105.96667,"December 07, 22",0.01337
2022-12-06,106.82,107.065,103.77,104.71,104.71,4572053,4571913,-2.11,-1.975,105.18167,"December 06, 22",-0.01975
2022-12-05,106.37,107.69,105.21,106.43,106.43,4692966,4692694,0.06,0.056,106.44333,"December 05, 22",0.00056
2022-12-02,104.32,107.32,104.22,106.71,106.71,3903651,3903370,2.39,2.291,106.08333,"December 02, 22",0.02291
2022-12-01,110.15,110.67,105.76,107.01,107.01,6976641,6976243,-3.14,-2.851,107.81333,"December 01, 22",-0.02851
2022-11-30,103.97,109.64,102.6601,109.6,109.6,11168144,11167032,5.63,5.415,107.30003,"November 30, 22",0.05415
