date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,94.89,96.16,93.4281,95.06,95.059998,68594126,68587861,0.17,0.17915,94.96,"May 09, 23",0.0017915
2023-05-08,89.99,95.655,89.17,95.04,95.040001,95503215,95503200,5.05,5.61,93.41,"May 08, 23",0.0561
2023-05-05,84.99,90.425,84.72,89.84,89.839996,78491108,78407400,4.85,5.71,88.43,"May 05, 23",0.0571
2023-05-04,81.57,91.64,81.11,86.61,86.610001,122825068,122840500,5.04,6.18,86.49,"May 04, 23",0.0618
2023-05-03,83.54,85.48,81.02,81.62,81.620003,109454572,109482200,-1.92,-2.3,82.54,"May 03, 23",-0.023
2023-05-02,89.32,90.455,88.12,89.91,89.910004,70483508,70483500,0.59,0.66055,89.06,"May 02, 23",0.0066055
2023-05-01,91.03,91.04,88.61,89.69,89.690002,59358710,59358700,-1.34,-1.47,89.77,"May 01, 23",-0.0147
2023-04-28,87.02,89.75,86.44,89.37,89.370003,50671653,50652100,2.35,2.7,88.26,"April 28, 23",0.027
2023-04-27,86.41,87.565,84.09,87.44,87.440002,52246613,53087200,1.03,1.19,86.2,"April 27, 23",0.0119
2023-04-26,86.51,87.35,85.32,85.94,85.940002,47786564,47786600,-0.57,-0.65888,86.3,"April 26, 23",-0.0065888
2023-04-25,86.9,87.06,83.76,83.8,83.800003,52771477,52771500,-3.1,-3.57,85.05,"April 25, 23",-0.0357
2023-04-24,88.11,88.64,86.34,87.57,87.57,40373789,40423800,-0.54,-0.61287,87.36,"April 24, 23",-0.0061287
2023-04-21,89.8,89.8,88.055,88.43,88.43,40818264,41067500,-1.37,-1.53,88.85,"April 21, 23",-0.0153
2023-04-20,88.825,91.5795,88.73,90.11,90.110001,47082684,47082700,1.285,1.45,90.55,"April 20, 23",0.0145
2023-04-19,88.51,90.54,88.22,89.94,89.940002,37344502,37344500,1.43,1.62,89.7,"April 19, 23",0.0162
2023-04-18,91.61,92.16,89.33,89.78,89.779999,46246286,46246300,-1.83,-2,90.48,"April 18, 23",-0.02
2023-04-17,90.23,90.69,88.3,89.87,89.870003,47234822,47250800,-0.36,-0.39898,89.44,"April 17, 23",-0.0039898
2023-04-14,91.82,92.97,90.5,91.75,91.75,38734794,38706700,-0.07,-0.07623611,91.62,"April 14, 23",-0.0007623611
2023-04-13,92.79,93.16,91.83,92.09,92.089996,40572482,40572500,-0.7,-0.75439,92.42,"April 13, 23",-0.0075439
2023-04-12,94.97,95,91.74,92.33,92.330002,53383124,53383100,-2.64,-2.78,93.03,"April 12, 23",-0.0278
2023-04-11,96.06,96.07,92.69,94.03,94.029999,51582200,51935800,-2.03,-2.11,93.96,"April 11, 23",-0.0211
2023-04-10,91.32,95.795,91.02,95.48,95.480003,52536324,52536300,4.16,4.56,94.28,"April 10, 23",0.0456
2023-04-06,91.47,92.9148,90.62,92.47,92.470001,47778378,47778400,1,1.09,92.16,"April 06, 23",0.0109
2023-04-05,94.35,94.5,91.36,92.56,92.559998,52979281,52979300,-1.79,-1.9,92.57,"April 05, 23",-0.019
2023-04-04,97.038,97.27,95.21,95.87,95.870003,43195876,43195900,-1.168,-1.2,96.23,"April 04, 23",-0.012
2023-04-03,96.695,96.79,94.81,96.56,96.559998,50655332,50655300,-0.135,-0.13961,95.84,"April 03, 23",-0.0013961
2023-03-31,96.34,98.36,95.27,98.01,98.010002,55857466,55827600,1.67,1.73,97.09,"March 31, 23",0.0173
2023-03-30,98,99.53,97.25,97.88,97.879997,59678531,59678500,-0.12,-0.12245,98.26,"March 30, 23",-0.0012245
2023-03-29,96.07,96.91,94.87,96.09,96.089996,55325974,55326000,0.02,0.02081815,95.92,"March 29, 23",0.0002081815
2023-03-28,96.77,96.94,92.87,94.56,94.559998,59070600,59150100,-2.21,-2.28,93.87,"March 28, 23",-0.0228
2023-03-27,98.02,98.93,95.425,96.61,96.610001,57413354,57461400,-1.41,-1.44,96.87,"March 27, 23",-0.0144
2023-03-24,99.18,99.52,96.74,97.95,97.949997,64696198,64712400,-1.23,-1.24,97.88,"March 24, 23",-0.0124
2023-03-23,100.05,102.43,98.671,100.28,100.279999,84016399,84088900,0.23,0.22989,100.81,"March 23, 23",0.0022989
2023-03-22,95.65,101.7,95.64,97.58,97.580002,110816317,110816300,1.93,2.02,98.7,"March 22, 23",0.0202
2023-03-21,97,99.4646,93.64,95.93,95.93,85285333,85285300,-1.07,-1.1,96.18,"March 21, 23",-0.011
2023-03-20,96.3,96.94,92.9,96.81,96.809998,92008949,92008900,0.51,0.5296,94.99,"March 20, 23",0.005296
2023-03-17,96.66,98.75,95.9364,97.84,97.839996,93935764,94005600,1.18,1.22,97.2,"March 17, 23",0.0122
2023-03-16,89.72,96.69,89.02,96.6,96.599998,115939649,115839200,6.88,7.67,94.63,"March 16, 23",0.0767
2023-03-15,86.77,90.42,86.215,89.68,89.68,86149424,86177400,2.91,3.35,88.09,"March 15, 23",0.0335
2023-03-14,83.67,88.3,83.59,87.45,87.449997,66616320,66616300,3.78,4.52,86.96,"March 14, 23",0.0452
2023-03-13,81.39,83.83,78.515,82.01,82.010002,65269120,65269100,0.62,0.76176,81.82,"March 13, 23",0.0076176
2023-03-10,84.47,85.45,81.63,82.67,82.669998,70273562,70232100,-1.8,-2.13,83.22,"March 10, 23",-0.0213
2023-03-09,85.29,87.81,83.59,84.03,84.029999,79496691,79496700,-1.26,-1.48,85.83,"March 09, 23",-0.0148
2023-03-08,82.79,85.77,82.28,85.37,85.370003,69529838,69529800,2.58,3.12,84.5,"March 08, 23",0.0312
2023-03-07,81.07,84.85,80.665,82.11,82.110001,70959009,70959000,1.04,1.28,82.52,"March 07, 23",0.0128
