date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,234.64,235.435,233.22,234.43,234.429993,1468536,1381589,-0.21,-0.08949881,234.22,"May 09, 23",-0.0008949881
2023-05-08,235.34,235.74,232.2,234.62,234.619995,1667791,1667800,-0.72,-0.30594,234.05,"May 08, 23",-0.0030594
2023-05-05,232.66,237.04,232.07,236.53,236.529999,2806782,2806800,3.87,1.66,235.59,"May 05, 23",0.0166
2023-05-04,230.31,232.025,229.15,231.89,231.889999,2228478,2228500,1.58,0.68603,231.18,"May 04, 23",0.0068603
2023-05-03,235.97,236.3,228.98,229.31,229.309998,2998048,2998000,-6.66,-2.82,231.09,"May 03, 23",-0.0282
2023-05-02,238.08,239,235.39,235.97,235.970001,2127200,2127200,-2.11,-0.88626,236.39,"May 02, 23",-0.0088626
2023-05-01,240.03,241.2999,238.09,238.9,238.899994,1920554,1920500,-1.13,-0.47077,239.18,"May 01, 23",-0.0047077
2023-04-28,236.82,240.1,233.17,239.74,239.740005,2721648,2721400,2.92,1.23,238.18,"April 28, 23",0.0123
2023-04-27,239.24,240.71,235.4,240.34,240.339996,2533892,2533900,1.1,0.45979,238.76,"April 27, 23",0.0045979
2023-04-26,242.08,243.55,238.58,238.8,238.800003,2002946,2002900,-3.28,-1.35,239.35,"April 26, 23",-0.0135
2023-04-25,245.12,246.53,244.31,244.87,244.869995,1509677,1509700,-0.25,-0.10199,245.21,"April 25, 23",-0.0010199
2023-04-24,243.2,245.37,242.33,244.45,244.449997,1232151,1232100,1.25,0.51398,244.31,"April 24, 23",0.0051398
2023-04-21,243.46,243.92,242.65,243.86,243.860001,1721442,1721300,0.4,0.1643,243.45,"April 21, 23",0.001643
2023-04-20,246.12,246.4,243.05,243.46,243.460007,1691294,1691300,-2.66,-1.08,244.02,"April 20, 23",-0.0108
2023-04-19,245.25,246.76,244.3722,246.21,246.210007,1246578,1246500,0.96,0.39144,246,"April 19, 23",0.0039144
2023-04-18,248.37,249.01,244.65,246.09,246.089996,1638773,1638800,-2.28,-0.91799,246.28,"April 18, 23",-0.0091799
2023-04-17,250.89,251.5,247.58,248.07,248.070007,1784851,1784800,-2.82,-1.12,248.61,"April 17, 23",-0.0112
2023-04-14,250.62,251.755,248.96,250,250,1866247,1866200,-0.62,-0.24739,249.93,"April 14, 23",-0.0024739
2023-04-13,248.6,251.9,248.27,251.44,251.440002,2020959,2020900,2.84,1.14,250.89,"April 13, 23",0.0114
2023-04-12,252.5,252.71,248.88,249.5,249.5,2268923,2268900,-3,-1.19,250.28,"April 12, 23",-0.0119
