date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,221.36,221.57,214.46,221.41,221.41,2988655,2988655,0.05,0.023,219.14667,"January 20, 23",0.00023
2023-01-19,224.07,227.11,222.97,223.35,223.35,1864409,1864409,-0.72,-0.321,224.47667,"January 19, 23",-0.00321
2023-01-18,231.26,232.51,224.24,225.19,225.19,2211865,2211865,-6.07,-2.625,227.31333,"January 18, 23",-0.02625
2023-01-17,234.23,235.57,230.96,231.05,231.05,2204551,2204551,-3.18,-1.358,232.52667,"January 17, 23",-0.01358
2023-01-13,229.25,234.87,229.25,232.81,232.81,2007273,2007273,3.56,1.553,232.31,"January 13, 23",0.01553
2023-01-12,229.3,232.8,225.56,232.21,232.21,2364616,2364616,2.91,1.269,230.19,"January 12, 23",0.01269
2023-01-11,223.71,228.81,223.71,228.12,228.12,1893961,1893961,4.41,1.971,226.88,"January 11, 23",0.01971
2023-01-10,221.09,222.95,219.75,221.95,221.95,1691433,1691433,0.86,0.389,221.55,"January 10, 23",0.00389
2023-01-09,220.85,223.46,219.14,219.3,219.3,1727342,1727342,-1.55,-0.702,220.63333,"January 09, 23",-0.00702
2023-01-06,213.4,219.34,210.925,218.5,218.5,1980262,1980262,5.1,2.39,216.255,"January 06, 23",0.0239
2023-01-05,217.07,217.81,211.5,212.13,212.13,1495089,1495089,-4.94,-2.276,213.81333,"January 05, 23",-0.02276
2023-01-04,217.41,222.54,215.51,219,219,1796064,1796064,1.59,0.731,219.01667,"January 04, 23",0.00731
2023-01-03,214,215.25,210.97,214.67,214.67,1812432,1812432,0.67,0.313,213.63,"January 03, 23",0.00313
2022-12-30,214.33,215.2,209.18,211.86,211.86,1450421,1450421,-2.47,-1.152,212.08,"December 30, 22",-0.01152
2022-12-29,211.85,216.7,210.13,215.74,215.74,1323903,1323903,3.89,1.836,214.19,"December 29, 22",0.01836
2022-12-28,211.35,214.25,209.99,210.1,210.1,1411760,1411760,-1.25,-0.591,211.44667,"December 28, 22",-0.00591
2022-12-27,211,211.6799927,208.6399994,210.8999939,210.8999939,1550000,1550000,-0.10001,-0.047,210.40666,"December 27, 22",-0.00047
2022-12-23,209.4100037,212.5899963,209.0099945,212.4499969,210.8899994,1146700,1146700,1.48,0.707,210.83,"December 23, 22",0.00707
2022-12-22,209.3600006,211.1000061,206.3999939,210.6000061,209.0536041,2212200,2212200,-0.3064,-0.146,208.8512,"December 22, 22",-0.00146
2022-12-21,209.7899933,213.3899994,209.4900055,210.6000061,209.0536041,1410200,1410200,-0.73639,-0.351,210.64454,"December 21, 22",-0.00351
2022-12-20,207.9600067,210.4299927,205.7599945,208.6900024,207.1576233,1307500,1307500,-0.80238,-0.386,207.78254,"December 20, 22",-0.00386
2022-12-19,213.1499939,213.1499939,207.7599945,209.6199951,208.08078,1401700,1401700,-5.06921,-2.378,209.66359,"December 19, 22",-0.02378
2022-12-16,215.0899963,215.1499939,208.0800018,213.4499969,211.8826599,3724100,3724100,-3.20734,-1.491,211.70422,"December 16, 22",-0.01491
2022-12-15,217.3200073,221.3899994,216.5399933,218.2200012,216.6176453,1693100,1693100,-0.70236,-0.323,218.18255,"December 15, 22",-0.00323
2022-12-14,222.7200012,226.9700012,219.7400055,219.8500061,218.235672,1902800,1902800,-4.48433,-2.013,221.64856,"December 14, 22",-0.02013
2022-12-13,222.9600067,227.9700012,220.9100037,223.3899994,221.7496796,2179100,2179100,-1.21033,-0.543,223.54323,"December 13, 22",-0.00543
2022-12-12,214.8800049,215.9299927,211.9700012,215.8699951,214.2848816,1847700,1847700,-0.59512,-0.277,214.06163,"December 12, 22",-0.00277
2022-12-09,211.9700012,216.3899994,211.2700043,213.8399963,212.2697906,1646800,1646800,0.29979,0.141,213.30993,"December 09, 22",0.00141
2022-12-08,210.3899994,213.8300018,209.2200012,212.25,210.6914673,2465300,2465300,0.30147,0.143,211.24716,"December 08, 22",0.00143
2022-12-07,211.9299927,215.6000061,209.4600067,211.1100006,209.559845,1624800,1624800,-2.37015,-1.118,211.53995,"December 07, 22",-0.01118
2022-12-06,216.2700043,216.8500061,211.7599945,212.5200043,210.9595032,1672200,1672200,-5.3105,-2.455,213.18983,"December 06, 22",-0.02455
2022-12-05,215.9499969,218.4900055,214.5800018,215.6100006,214.0268097,1454200,1454200,-1.92319,-0.891,215.69894,"December 05, 22",-0.00891
2022-12-02,218.2700043,220.9100037,216.2700043,219.3699951,217.7591858,1354400,1354400,-0.51082,-0.234,218.31306,"December 02, 22",-0.00234
2022-12-01,224.4199982,225.9700012,219.8899994,221.3000031,219.6750183,1708700,1708700,-4.74498,-2.114,221.84501,"December 01, 22",-0.02114
2022-11-30,215.8800049,221.3399963,214.6699982,221.25,219.6253815,3889200,3889200,3.74538,1.735,218.54513,"November 30, 22",0.01735
2022-11-29,214.8099976,217.2700043,213.3200073,217.2200012,215.6249847,1848100,1848100,0.81499,0.379,215.405,"November 29, 22",0.00379
2022-11-28,218.7100067,220.3699951,213.0399933,213.8999939,212.3293457,1367200,1367200,-6.38066,-2.917,215.24644,"November 28, 22",-0.02917
2022-11-25,219.6399994,221.2400055,218.3800049,220.0800018,218.4639893,566500,566500,-1.17601,-0.535,219.36133,"November 25, 22",-0.00535
2022-11-23,218.1999969,220.4199982,216.2599945,218.25,216.6474152,1210500,1210500,-1.55258,-0.712,217.7758,"November 23, 22",-0.00712
2022-11-22,220.7299957,221.1999969,215.4700012,218.1300049,216.5283051,1562400,1562400,-4.20169,-1.904,217.73277,"November 22, 22",-0.01904
2022-11-21,215.5899963,220.2400055,215.5899963,219.9100037,218.2952271,1682400,1682400,2.70523,1.255,218.04174,"November 21, 22",0.01255
2022-11-18,217.6300049,220.2100067,214.6300049,215.9299927,214.3444519,2360400,2360400,-3.28555,-1.51,216.39482,"November 18, 22",-0.0151
2022-11-17,217.7200012,219.5899963,214.3899994,216.3399963,214.7514343,2144600,2144600,-2.96857,-1.363,216.24381,"November 17, 22",-0.01363
2022-11-16,220.0899963,223.0599976,218.1300049,219.1499939,217.540802,2400800,2400800,-2.54919,-1.158,219.57693,"November 16, 22",-0.01158
2022-11-15,215.3999939,219.8200073,215.0700073,219.5800018,217.9676514,2152200,2152200,2.56766,1.192,217.61922,"November 15, 22",0.01192
2022-11-14,221.7799988,222.1699982,215.2299957,215.3800049,213.7984924,1628000,1628000,-7.98151,-3.599,217.06616,"November 14, 22",-0.03599
2022-11-11,222.8099976,225.4400024,221.0200043,223.2599945,221.6206207,1915700,1915700,-1.18938,-0.534,222.69354,"November 11, 22",-0.00534
2022-11-10,213.1100006,221.5800018,209.6399994,220.8999939,219.2779541,2781200,2781200,6.16795,2.894,216.83265,"November 10, 22",0.02894
2022-11-09,204.0099945,206.7299957,200.3999939,201.0399933,199.5637817,1530300,1530300,-4.44621,-2.179,202.23126,"November 09, 22",-0.02179
2022-11-08,202.0200043,205.4900055,201.1000061,203.0200043,201.5292511,2071800,2071800,-0.49075,-0.243,202.70642,"November 08, 22",-0.00243
2022-11-07,204.6399994,205.9900055,201.6999969,202.0200043,200.5365906,1828800,1828800,-4.10341,-2.005,202.7422,"November 07, 22",-0.02005
2022-11-04,202.9100037,204.3800049,199.1399994,203.9199982,202.4226379,1788100,1788100,-0.48737,-0.24,201.98088,"November 04, 22",-0.0024
2022-11-03,203.2100067,204.5599976,201.0800018,201.3300018,199.8516541,1703800,1703800,-3.35835,-1.653,201.83055,"November 03, 22",-0.01653
2022-11-02,206.7299957,212.0099945,202.3500061,205.1900024,203.6833191,2655500,2655500,-3.04668,-1.474,206.01444,"November 02, 22",-0.01474
2022-11-01,209.4100037,213.3200073,206.5899963,207.8800049,206.3535614,1907000,1907000,-3.05644,-1.46,208.75452,"November 01, 22",-0.0146
2022-10-31,201.6499939,209.8800049,200.6999969,207.1900024,205.6686249,2513500,2513500,4.01863,1.993,205.41621,"October 31, 22",0.01993
2022-10-28,197.3000031,208.3699951,197.3000031,204.7100067,203.2068481,2613600,2613600,5.90685,2.994,202.95895,"October 28, 22",0.02994
2022-10-27,198.8699951,203.9499969,196.1799927,198.6799927,197.2211151,3414500,3414500,-1.64888,-0.829,199.11703,"October 27, 22",-0.00829
2022-10-26,195.3200073,199.3099976,194.2100067,196.9199982,195.4740448,2512300,2512300,0.15404,0.079,196.33135,"October 26, 22",0.00079
2022-10-25,185.9600067,196.0500031,185.9199982,195.5299988,194.0942535,2495200,2495200,8.13425,4.374,192.02142,"October 25, 22",0.04374
2022-10-24,189.9199982,191.4299927,184.1799927,185.3999939,184.03862,1856400,1856400,-5.88138,-3.097,186.54954,"October 24, 22",-0.03097
2022-10-21,188.9700012,188.9700012,183.1300049,187.5599976,186.1827698,2078000,2078000,-2.78723,-1.475,186.09426,"October 21, 22",-0.01475
2022-10-20,191.1499939,191.1600037,185.3699951,188,186.6195374,2515600,2515600,-4.53046,-2.37,187.71651,"October 20, 22",-0.0237
2022-10-19,195.0099945,196.1900024,190.5099945,190.9900055,189.5875854,1824700,1824700,-5.42241,-2.781,192.09586,"October 19, 22",-0.02781
2022-10-18,194.5200043,197.9400024,194.2200012,197.2200012,195.7718353,3253400,3253400,1.25183,0.644,195.97728,"October 18, 22",0.00644
2022-10-17,189.7599945,195.8999939,188.8300018,192.4900055,191.0765686,3040900,3040900,1.31657,0.694,191.93552,"October 17, 22",0.00694
2022-10-14,191.6100006,192.6699982,185.0599976,185.7799988,184.4158325,2466400,2466400,-7.19417,-3.755,187.38194,"October 14, 22",-0.03755
2022-10-13,179.8699951,191.4400024,178.1699982,189.8500061,188.4559631,3518100,3518100,8.58597,4.773,186.02199,"October 13, 22",0.04773
2022-10-12,188.5800018,189.3500061,182.3000031,183.7899933,182.4404449,2572500,2572500,-6.13956,-3.256,184.69682,"October 12, 22",-0.03256
