date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,105.48,106.79,105.1567,106.62,106.620003,43878143,43123985,1.14,1.08,106.26,"May 09, 23",0.0108
2023-05-08,105.04,106.095,104.7001,105.83,105.830002,49412909,49430900,0.79,0.75209,105.55,"May 08, 23",0.0075209
2023-05-05,104.27,105.76,103.55,105.655,105.660004,56951644,56912900,1.385,1.33,105.1,"May 05, 23",0.0133
2023-05-04,104.04,105.39,103.3117,104,104,45345523,45345500,-0.04,-0.03844675,104.34,"May 04, 23",-0.0003844675
2023-05-03,103.735,105.96,103.28,103.65,103.650002,65051925,65051900,-0.085,-0.08193956,104.72,"May 03, 23",-0.0008193956
2023-05-02,101.47,103.9,101.15,103.63,103.629997,73458850,73469400,2.16,2.13,103.07,"May 02, 23",0.0213
2023-05-01,104.95,105.23,101.82,102.05,102.050003,74659196,74728100,-2.9,-2.76,102.97,"May 01, 23",-0.0276
2023-04-28,107.73,109.48,104.33,105.45,105.449997,130715946,130565000,-2.28,-2.12,105.84,"April 28, 23",-0.0212
2023-04-27,108.16,110.86,106.8,109.82,109.82,149900667,149961200,1.66,1.53,110.94,"April 27, 23",0.0153
2023-04-26,105.04,106.62,104.1,104.98,104.980003,73783977,73803800,-0.06,-0.0571211,105.51,"April 26, 23",-0.000571211
2023-04-25,104.91,105.45,102.45,102.57,102.57,65026818,65026800,-2.34,-2.23,103.86,"April 25, 23",-0.0223
2023-04-24,107.655,109.23,105.07,106.21,106.209999,69572310,69575600,-1.445,-1.34,106.68,"April 24, 23",-0.0134
2023-04-21,106.1,108.15,105.08,106.96,106.959999,86734185,86774200,0.86,0.81056,106.79,"April 21, 23",0.0081056
2023-04-20,103.53,105.25,103.21,103.81,103.809998,57696866,57696900,0.28,0.27045,104.07,"April 20, 23",0.0027045
2023-04-19,101.58,105.12,101.39,104.3,104.300003,58398890,58398900,2.72,2.68,103.94,"April 19, 23",0.0268
2023-04-18,103.95,104.2,101.52,102.3,102.300003,39790518,39790500,-1.65,-1.59,102.42,"April 18, 23",-0.0159
2023-04-17,103.16,103.73,101.59,102.74,102.739998,39919457,39919500,-0.42,-0.40713,102.59,"April 17, 23",-0.0040713
2023-04-14,102.07,103.2013,101.11,102.51,102.510002,51175522,51450500,0.44,0.43108,102.13,"April 14, 23",0.0043108
2023-04-13,98.95,102.57,98.71,102.4,102.400002,67925138,67925100,3.45,3.49,101.19,"April 13, 23",0.0349
2023-04-12,100.4,100.51,97.705,97.83,97.830002,56735007,56735000,-2.57,-2.56,98.97,"April 12, 23",-0.0256
2023-04-11,100.8,101,99.01,99.92,99.919998,60028547,60417800,-0.88,-0.87302,99.89,"April 11, 23",-0.0087302
2023-04-10,100.96,102.2,99.57,102.17,102.169998,37261185,37261200,1.21,1.2,101.11,"April 10, 23",0.012
2023-04-06,100.75,102.3817,99.8008,102.06,102.059998,43808020,43808000,1.31,1.3,101.37,"April 06, 23",0.013
2023-04-05,103.91,103.91,100.7506,101.1,101.099998,45175393,45175400,-2.81,-2.7,101.64,"April 05, 23",-0.027
2023-04-04,102.75,104.2,102.11,103.95,103.949997,48662496,48662500,1.2,1.17,103.31,"April 04, 23",0.0117
2023-04-03,102.3,103.29,101.43,102.41,102.410004,41135733,41135700,0.11,0.10753,102.23,"April 03, 23",0.0010753
2023-03-31,102.16,103.49,101.95,103.29,103.290001,56700317,56750300,1.13,1.11,102.97,"March 31, 23",0.0111
2023-03-30,101.55,103.04,101.01,102,102,53633398,53633400,0.45,0.44313,101.92,"March 30, 23",0.0044313
2023-03-29,98.69,100.4218,98.56,100.25,100.25,49783279,49783300,1.56,1.58,99.81,"March 29, 23",0.0158
2023-03-28,98.11,98.44,96.29,97.24,97.239998,38720050,38720100,-0.87,-0.88676,97.32,"March 28, 23",-0.0088676
2023-03-27,99.07,99.34,97.08,98.04,98.040001,46704796,46721300,-1.03,-1.04,98.22,"March 27, 23",-0.0104
2023-03-24,98.065,98.3,96.4,98.13,98.129997,56138401,56095400,0.065,0.06628257,97.53,"March 24, 23",0.0006628257
2023-03-23,100.43,101.06,97.62,98.71,98.709999,57472010,57559300,-1.72,-1.71,99.53,"March 23, 23",-0.0171
2023-03-22,100.45,102.1,98.61,98.7,98.699997,57367105,57475400,-1.75,-1.74,100.22,"March 22, 23",-0.0174
2023-03-21,98.14,100.845,98,100.61,100.610001,58237275,58597300,2.47,2.52,99.61,"March 21, 23",0.0252
2023-03-20,98.41,98.48,95.7,97.71,97.709999,62326911,62388900,-0.7,-0.71131,97.04,"March 20, 23",-0.0071131
2023-03-17,99.79,100.66,97.455,98.95,98.949997,87280992,87300200,-0.84,-0.84177,98.96,"March 17, 23",-0.0084177
2023-03-16,95.75,100.99,95.61,100.04,100.040001,84238058,84446900,4.29,4.48,99.33,"March 16, 23",0.0448
2023-03-15,93.22,96.67,93.07,96.2,96.199997,70536792,70731800,2.98,3.2,95.14,"March 15, 23",0.032
2023-03-14,93.83,95.07,92.71,94.88,94.879997,60912674,60912700,1.05,1.12,94.16,"March 14, 23",0.0112
2023-03-13,89.97,94.02,88.12,92.43,92.43,72397053,72397100,2.46,2.73,91.95,"March 13, 23",0.0273
2023-03-10,92.67,93.57,90.245,90.73,90.730003,69827490,69827500,-1.94,-2.09,91.6,"March 10, 23",-0.0209
2023-03-09,93.68,96.21,92.18,92.25,92.25,56218705,56218700,-1.43,-1.53,94.11,"March 09, 23",-0.0153
2023-03-08,93.6,94.165,92.18,93.92,93.919998,44899128,44899100,0.32,0.34188,93.33,"March 08, 23",0.0034188
2023-03-07,94.06,95.09,92.78,93.55,93.550003,49090268,49100700,-0.51,-0.54221,93.88,"March 07, 23",-0.0054221
2023-03-06,95.19,96.545,93.74,93.75,93.75,52112355,52112400,-1.44,-1.51,94.93,"March 06, 23",-0.0151
2023-03-03,92.74,94.94,92.66,94.9,94.900002,55741309,55759600,2.16,2.33,94.26,"March 03, 23",0.0233
2023-03-02,91.41,92.23,90.39,92.13,92.129997,55563270,55509400,0.72,0.78766,91.32,"March 02, 23",0.0078766
2023-03-01,93.87,94.68,91.59,92.17,92.169998,52299524,52299500,-1.7,-1.81,92.56,"March 01, 23",-0.0181
2023-02-28,93.14,94.69,92.92,94.23,94.230003,43959290,43959300,1.09,1.17,93.93,"February 28, 23",0.0117
2023-02-27,94.28,94.78,93.14,93.76,93.760002,47470321,47470300,-0.52,-0.55155,93.81,"February 27, 23",-0.0055155
2023-02-24,93.53,94.14,92.3186,93.5,93.5,57053812,57053800,-0.03,-0.03207527,93.15,"February 24, 23",-0.0003207527
2023-02-23,96.12,96.43,93.67,95.82,95.82,48466994,48467000,-0.3,-0.31211,95.27,"February 23, 23",-0.0031211
2023-02-22,95.1,97.01,94.8,95.79,95.790001,59484094,59534100,0.69,0.72555,95.92,"February 22, 23",0.0072555
2023-02-21,95.335,95.605,94.27,94.58,94.580002,56580360,56580400,-0.755,-0.79194,94.78,"February 21, 23",-0.0079194
2023-02-17,97.8,97.94,95.65,97.2,97.199997,60029405,60029400,-0.6,-0.6135,96.62,"February 17, 23",-0.006135
2023-02-16,99.21,100.63,98.1,98.15,98.150002,56309473,56339200,-1.06,-1.07,99.23,"February 16, 23",-0.0107
2023-02-15,99.09,101.17,98.45,101.16,101.160004,48053879,47957600,2.07,2.09,99.94,"February 15, 23",0.0209
2023-02-14,98.41,100.9207,97.52,99.7,99.699997,56202698,56202900,1.29,1.31,99.05,"February 14, 23",0.0131
2023-02-13,97.85,99.68,96.91,99.54,99.540001,52775864,52841500,1.69,1.73,98.82,"February 13, 23",0.0173
2023-02-10,97.56,98.8163,96.23,97.61,97.610001,52733633,52740100,0.05,0.05125051,97.47,"February 10, 23",0.0005125051
2023-02-09,101.32,101.78,97.57,98.24,98.239998,64568489,64622500,-3.08,-3.04,99.37,"February 09, 23",-0.0304
2023-02-08,102.04,102.6699,98.775,100.05,100.050003,74746154,75878300,-1.99,-1.95,100.18,"February 08, 23",-0.0195
2023-02-07,101.17,102.41,98.08,102.11,102.110001,119316301,119501300,0.94,0.92913,100.24,"February 07, 23",0.0092913
2023-02-06,102.925,103.9484,100.65,102.18,102.18,81945199,81945200,-0.745,-0.72383,102.25,"February 06, 23",-0.0072383
2023-02-03,105.26,108.78,102.52,103.39,103.389999,144343628,144374800,-1.87,-1.78,105.79,"February 03, 23",-0.0178
2023-02-02,110.245,114,108.88,112.91,112.910004,157942363,158154200,2.665,2.42,111.35,"February 02, 23",0.0242
2023-02-01,102.53,106.24,101.24,105.15,105.150002,80450121,80450100,2.62,2.56,103.72,"February 01, 23",0.0256
2023-01-31,101.155,103.3484,101.14,103.13,103.129997,66527253,66527300,1.975,1.95,102.6,"January 31, 23",0.0195
2023-01-30,101.09,101.74,99.01,100.55,100.550003,70691860,70691900,-0.54,-0.53418,100.58,"January 30, 23",-0.0053418
2023-01-27,99.53,103.485,99.53,102.24,102.239998,87775614,87775600,2.71,2.72,101.84,"January 27, 23",0.0272
2023-01-26,98.235,99.49,96.92,99.22,99.220001,68523557,68523600,0.985,1,98.52,"January 26, 23",0.01
2023-01-25,92.56,97.24,91.52,97.18,97.18,94261570,94261600,4.62,4.99,94.56,"January 25, 23",0.0499
2023-01-24,96.93,98.09,96,96.32,96.32,66929452,66929500,-0.61,-0.62932,97.07,"January 24, 23",-0.0062932
2023-01-23,97.56,97.78,95.86,97.52,97.519997,76487303,76501100,-0.04,-0.04100041,97.22,"January 23, 23",-0.0004100041
2023-01-20,93.86,97.354,93.2025,97.25,97.25,67141539,67481500,3.39,3.61,95.82,"January 20, 23",0.0361
2023-01-19,94.74,95.44,92.86,93.68,93.68,68915663,69002700,-1.06,-1.12,93.9,"January 19, 23",-0.0112
2023-01-18,97.25,99.32,95.38,95.46,95.459999,79532870,79570400,-1.79,-1.84,96.88,"January 18, 23",-0.0184
2023-01-17,98.68,98.89,95.73,96.05,96.050003,72755001,72755000,-2.63,-2.67,96.77,"January 17, 23",-0.0267
2023-01-13,94.18,98.37,94.12,98.12,98.120003,85549432,85549400,3.94,4.18,97,"January 13, 23",0.0418
