date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-31,582.07,587.23,580.735,585.01,585.01,2371836,2371715,2.94,0.505,584.325,"January 31, 23",0.00505
2023-01-30,583,589.465,579.76,581.45,581.45,1666014,1665968,-1.55,-0.266,583.55833,"January 30, 23",-0.00266
2023-01-27,593.32,599.25,590.19,590.99,590.99,1934638,1934464,-2.33,-0.393,593.47667,"January 27, 23",-0.00393
2023-01-26,590.41,600.56,586.26,598.58,598.58,2452058,2452000,8.17,1.384,595.13333,"January 26, 23",0.01384
2023-01-25,577.67,586.97,576.04,585.68,585.68,1376717,1376594,8.01,1.387,582.89667,"January 25, 23",0.01387
2023-01-24,578.44,586.305,575.63,585.03,585.03,1382480,1382466,6.59,1.139,582.32167,"January 24, 23",0.01139
2023-01-23,572,584.79,569.78,581.63,581.63,2342669,2342600,9.63,1.684,578.73333,"January 23, 23",0.01684
2023-01-20,563.03,571.36,559.11,570.78,570.78,2292456,2292300,7.75,1.376,567.08333,"January 20, 23",0.01376
2023-01-19,569.12,570.06,560.31,563.22,563.22,2269236,2269200,-5.9,-1.037,564.53,"January 19, 23",-0.01037
2023-01-18,583.21,587.56,573.72,574.29,574.29,1570344,1570300,-8.92,-1.529,578.52333,"January 18, 23",-0.01529
2023-01-17,574.9,585.36,574.54,579.24,579.24,1573468,1573400,4.34,0.755,579.71333,"January 17, 23",0.00755
2023-01-13,577.15,581.93,576.67,579,579,1964881,1964700,1.85,0.321,579.2,"January 13, 23",0.00321
2023-01-12,575.59,585.11,573.76,581.94,581.94,1950700,1950600,6.35,1.103,580.27,"January 12, 23",0.01103
2023-01-11,573,578.34,566.87,578.14,578.14,2249847,2249700,5.14,0.897,574.45,"January 11, 23",0.00897
2023-01-10,572,575.13,549.99,574.93,574.93,4462502,4462300,2.93,0.512,566.68333,"January 10, 23",0.00512
2023-01-09,592.3,601.67,560.56,576.89,576.89,3768555,3768500,-15.41,-2.602,579.70667,"January 09, 23",-0.02602
2023-01-06,563.12,591,562.305,588.43,588.43,3526201,3526101,25.31,4.495,580.57833,"January 06, 23",0.04495
2023-01-05,555.71,559.84,551.12,555.02,555.02,1627788,1627700,-0.69,-0.124,555.32667,"January 05, 23",-0.00124
2023-01-04,562.99,568.16,556.03,560.24,560.24,1705848,1705800,-2.75,-0.488,561.47667,"January 04, 23",-0.00488
2023-01-03,565,567.57,550.79,553.48,553.48,2017075,2017000,-11.52,-2.039,557.28,"January 03, 23",-0.02039
2022-12-30,551.82,559.65,548.01,559.13,559.13,1437734,1437600,7.31,1.325,555.59667,"December 30, 22",0.01325
2022-12-29,551.85,562.6,550.5,557.81,557.81,1817704,1817600,5.96,1.08,556.97,"December 29, 22",0.0108
