date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,147.96,151.78,147.72,151.6,151.6,3650100,3650100,3.64,2.46,150.36667,"January 20, 23",0.0246
2023-01-19,146.61,148,144.2,146.85,146.85,3852384,3852384,0.24,0.164,146.35,"January 19, 23",0.00164
2023-01-18,154.49,154.76,150.32,150.42,150.42,2761801,2761801,-4.07,-2.634,151.83333,"January 18, 23",-0.02634
2023-01-17,155.54,156.1,153.37,153.75,153.75,3071353,3071353,-1.79,-1.151,154.40667,"January 17, 23",-0.01151
2023-01-13,153.24,156.25,152.3,155.76,155.76,2390271,2390271,2.52,1.644,154.77,"January 13, 23",0.01644
2023-01-12,154.7599945,155.75,152.3999939,154.9199982,154.9199982,3322400,3322400,0.16,0.103,154.35666,"January 12, 23",0.00103
2023-01-11,152.3000031,154.1100006,152.2700043,153.9199982,153.9199982,3113600,3113600,1.62,1.064,153.43333,"January 11, 23",0.01064
2023-01-10,150.5099945,152.1799927,149.2799988,152,152,2198400,2198400,1.49001,0.99,151.15333,"January 10, 23",0.0099
2023-01-09,151.3500061,152.4499969,150.1000061,150.3999939,150.3999939,3219400,3219400,-0.95001,-0.628,150.98333,"January 09, 23",-0.00628
2023-01-06,147.7400055,150.4299927,145.4799957,150.1699982,150.1699982,3077400,3077400,2.42999,1.645,148.69333,"January 06, 23",0.01645
2023-01-05,147.1600037,148.7200012,146.0200043,146.4299927,146.4299927,2505700,2505700,-0.73001,-0.496,147.05667,"January 05, 23",-0.00496
2023-01-04,148.5599976,151.9600067,148.5599976,150.5399933,150.0200043,2620400,2620400,1.46001,0.983,150.18,"January 04, 23",0.00983
2023-01-03,149.5399933,150.4499969,145.7299957,147.1199951,146.6118164,2762200,2762200,-2.92818,-1.958,147.59727,"January 03, 23",-0.01958
2022-12-30,146.0099945,147.9299927,145.7299957,147.75,147.2396393,2247200,2247200,1.22964,0.842,146.96654,"December 30, 22",0.00842
2022-12-29,145.0800018,147.6199951,144.3999939,147.3200073,146.8111267,1758500,1758500,1.73112,1.193,146.27704,"December 29, 22",0.01193
2022-12-28,146.2100067,146.8200073,143.9400024,144.0099945,143.512558,1490200,1490200,-2.69745,-1.845,144.75752,"December 28, 22",-0.01845
2022-12-27,147.2899933,147.8600006,145.6699982,146.3899994,145.8843384,1858500,1858500,-1.40565,-0.954,146.47145,"December 27, 22",-0.00954
2022-12-23,145.2299957,147.1399994,144.5200043,147.0200043,146.5121613,1671800,1671800,1.28217,0.883,146.05739,"December 23, 22",0.00883
2022-12-22,146.0500031,146.6999969,142.7200012,145.3099976,144.8080597,2901100,2901100,-1.24194,-0.85,144.74269,"December 22, 22",-0.0085
2022-12-21,147.0599976,147.7799988,146.3699951,147.1000061,146.5918884,2107100,2107100,-0.46811,-0.318,146.91396,"December 21, 22",-0.00318
2022-12-20,144.9900055,146.5,144.25,145.6999969,145.1967163,1607800,1607800,0.20671,0.143,145.31557,"December 20, 22",0.00143
2022-12-19,146.0399933,146.7400055,143.6600037,145.0099945,144.5090942,2546000,2546000,-1.5309,-1.048,144.9697,"December 19, 22",-0.01048
2022-12-16,148.5899963,148.5899963,144.1499939,146.3000031,145.7946472,4510600,4510600,-2.79535,-1.881,146.17821,"December 16, 22",-0.01881
2022-12-15,151.6499939,152.2799988,146.4700012,150.2200012,149.7011108,4282200,4282200,-1.94888,-1.285,149.4837,"December 15, 22",-0.01285
2022-12-14,157.5700073,158.6199951,153.8399963,154.1100006,153.5776672,3556200,3556200,-3.99234,-2.534,155.34589,"December 14, 22",-0.02534
2022-12-13,160.6199951,161.5500031,156.1600037,157.5200043,156.9758911,3110500,3110500,-3.6441,-2.269,158.22863,"December 13, 22",-0.02269
2022-12-12,154.2599945,157.7599945,154,157.3099976,156.7666168,2773900,2773900,2.50662,1.625,156.17554,"December 12, 22",0.01625
2022-12-09,153.9900055,155.1399994,152.6199951,153.8999939,153.3683929,1761200,1761200,-0.62161,-0.404,153.70946,"December 09, 22",-0.00404
