date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-26,213.48,213.79,207.2,212.73,212.73,7259906,7259906.90369997,-0.75,-0.351,211.24,"January 26, 23",-0.00351
2023-01-25,205.8,214.75,203.11,212.68,212.68,16066049,16065008,6.88,3.343,210.18,"January 25, 23",0.03343
2023-01-24,205,212.15,205,211.98,211.98,4704358,4704176,6.98,3.405,209.71,"January 24, 23",0.03405
2023-01-23,208.36,211.09,206.99,209.97,209.97,5478138,5477600,1.61,0.773,209.35,"January 23, 23",0.00773
2023-01-20,207.47,207.99,204.78,206.76,206.76,5468223,5467800,-0.71,-0.342,206.51,"January 20, 23",-0.00342
2023-01-19,206.77,209.67,204.82,207.09,207.09,5809843,5809400,0.32,0.155,207.19333,"January 19, 23",0.00155
2023-01-18,212.9,213.4245,209.2,209.41,209.41,5387242,5387230,-3.49,-1.639,210.67817,"January 18, 23",-0.01639
2023-01-17,212.71,213.34,209.07,211.41,211.41,6144301,6144000,-1.3,-0.611,211.27333,"January 17, 23",-0.00611
2023-01-13,212,216.64,211.58,214.13,214.13,6211112,6210600,2.13,1.005,214.11667,"January 13, 23",0.01005
2023-01-12,209.58,214.92,207.37,214.32,214.32,8196809,8196800,4.74,2.262,212.20333,"January 12, 23",0.02262
2023-01-11,209.87,210.47,206.69,208.03,208.03,7186722,7186200,-1.84,-0.877,208.39667,"January 11, 23",-0.00877
2023-01-10,203.9,209.6,203.46,206.69,206.69,8177229,8176800,2.79,1.368,206.58333,"January 10, 23",0.01368
2023-01-09,212.36,213.88,207.91,208.57,208.57,8995760,8994900,-3.79,-1.785,210.12,"January 09, 23",-0.01785
2023-01-06,205.3,213.04,203.55,213,213,11246488,11245700,7.7,3.751,209.86333,"January 06, 23",0.03751
2023-01-05,201.72,204.99,200.78,204.99,204.99,6905058,6905000,3.27,1.621,203.58667,"January 05, 23",0.01621
2023-01-04,195.18,203.76,195.18,203.64,203.64,9732598,9731800,8.46,4.334,200.86,"January 04, 23",0.04334
2023-01-03,192.95,197.18,192.4,195.39,195.39,8611648,8610800,2.44,1.265,194.99,"January 03, 23",0.01265
2022-12-30,187.5,190.65,187.04,190.49,190.49,4005157,4005100,2.99,1.595,189.39333,"December 30, 22",0.01595
2022-12-29,189,190.25,186.19,188.91,188.91,4514531,4514400,-0.09,-0.048,188.45,"December 29, 22",-0.00048
2022-12-28,189.32,191.32,187.43,188.38,188.38,4421277,4421000,-0.94,-0.497,189.04333,"December 28, 22",-0.00497
2022-12-27,189.58,192.44,187.62,189.4,189.4,5008368,5008000,-0.18,-0.095,189.82,"December 27, 22",-0.00095
2022-12-23,188.25,189.43,184.72,189.06,189.06,3981108,3981000,0.81,0.43,187.73667,"December 23, 22",0.0043
2022-12-22,193.82,194.17,185.67,188.25,188.25,6925305,6924800,-5.57,-2.874,189.36333,"December 22, 22",-0.02874
2022-12-21,190.04,196.4,189.72,196,196,9083281,9082632,5.96,3.136,194.04,"December 21, 22",0.03136
2022-12-20,186.18,189.91,185.74,188.29,188.29,6140060,6139800,2.11,1.133,187.98,"December 20, 22",0.01133
2022-12-19,184.92,188.04,184.71,185.68,185.68,6601792,6601400,0.76,0.411,186.14333,"December 19, 22",0.00411
2022-12-16,182.79,186.61,181.295,184.7,184.7,7904849,7904609,1.91,1.045,184.20167,"December 16, 22",0.01045
2022-12-15,186.25,187.98,181.28,183.72,183.72,5343601,5343200,-2.53,-1.358,184.32667,"December 15, 22",-0.01358
2022-12-14,187.33,189.67,185.41,188.25,188.25,5809473,5809100,0.92,0.491,187.77667,"December 14, 22",0.00491
2022-12-13,191.11,191.11,184.85,187.13,187.13,10966601,10966400,-3.98,-2.083,187.69667,"December 13, 22",-0.02083
2022-12-12,180.8,186.69,180.5,186.27,186.27,8082299,8081600,5.47,3.025,184.48667,"December 12, 22",0.03025
2022-12-09,180.75,183.89,179.25,179.54,179.54,6349051,6348800,-1.21,-0.669,180.89333,"December 09, 22",-0.00669
2022-12-08,179.32,184.88,178.61,179.08,179.08,6695669,6695400,-0.24,-0.134,180.85667,"December 08, 22",-0.00134
2022-12-07,176.28,178.43,174.62,176.5,176.5,5869069,5868800,0.22,0.125,176.51667,"December 07, 22",0.00125
2022-12-06,184.01,184.79,177.01,178.43,178.43,8232875,8232100,-5.58,-3.032,180.07667,"December 06, 22",-0.03032
2022-12-05,182,188.45,180.8,185.1,185.1,10452344,10451600,3.1,1.703,184.78333,"December 05, 22",0.01703
2022-12-02,173.12,183.45,172.85,182.87,182.87,10553050,10552000,9.75,5.632,179.72333,"December 02, 22",0.05632
2022-12-01,178.88,179.7,174.69,175.78,175.78,4368070,4367901,-3.1,-1.733,176.72333,"December 01, 22",-0.01733
2022-11-30,178,179.98,174.2005,178.88,178.88,6453583,6453150,0.88,0.494,177.68683,"November 30, 22",0.00494
2022-11-29,172.88,175.95,172.56,175.32,175.32,5072399,5071900,2.44,1.411,174.61,"November 29, 22",0.01411
2022-11-28,176.17,177.14,171.7,171.83,171.83,5355729,5355500,-4.34,-2.464,173.55667,"November 28, 22",-0.02464
2022-11-25,174.35,178.46,174.03,178.36,178.36,3477148,3476900,4.01,2.3,176.95,"November 25, 22",0.023
2022-11-23,172.09,175,171.77,174.85,174.85,3515925,3515600,2.76,1.604,173.87333,"November 23, 22",0.01604
2022-11-22,173.65,174.99,171,172.5,172.5,4366102,4365900,-1.15,-0.662,172.83,"November 22, 22",-0.00662
2022-11-21,172.53,174.72,171.12,172.94,172.94,3500944,3500700,0.41,0.238,172.92667,"November 21, 22",0.00238
2022-11-18,173.98,175.1899,171.53,173.89,173.89,4588036,4587698,-0.09,-0.052,173.53663,"November 18, 22",-0.00052
2022-11-17,169.3,173.15,168.52,172.78,172.78,4878768,4878600,3.48,2.056,171.48333,"November 17, 22",0.02056
2022-11-16,174.11,174.79,171.85,172.69,172.69,4434954,4434900,-1.42,-0.816,173.11,"November 16, 22",-0.00816
2022-11-15,175.49,176.69,172.75,175.35,175.35,7202413,7202200,-0.14,-0.08,174.93,"November 15, 22",-0.0008
2022-11-14,176.5,178.19,173.5,173.55,173.55,5588192,5588100,-2.95,-1.671,175.08,"November 14, 22",-0.01671
2022-11-11,176.4,178.03,172.99,177.49,177.49,8887188,8886500,1.09,0.618,176.17,"November 11, 22",0.00618
2022-11-10,172.14,179.32,171.75,177.58,177.58,12365103,12364400,5.44,3.16,176.21667,"November 10, 22",0.0316
2022-11-09,169.29,171.62,166.86,168.74,168.74,8890335,8889600,-0.55,-0.325,169.07333,"November 09, 22",-0.00325
2022-11-08,166,170.55,164.91,169.62,169.62,11253326,11252500,3.62,2.181,168.36,"November 08, 22",0.02181
2022-11-07,161.4,166.7,160.63,164.91,164.91,10214700,10214400,3.51,2.175,164.08,"November 07, 22",0.02175
2022-11-04,156.66,160.98,154.5,160.01,160.01,9385688,9385300,3.35,2.138,158.49667,"November 04, 22",0.02138
2022-11-03,148.79,158.69,147.5,156.75,156.75,16196824,16196200,7.96,5.35,154.31333,"November 03, 22",0.0535
2022-11-02,142.12,153.59,141.54,147.41,147.41,20236851,20236100,5.29,3.722,147.51333,"November 02, 22",0.03722
2022-11-01,143.99,145.25,141.84,143.38,143.38,5755455,5755300,-0.61,-0.424,143.49,"November 01, 22",-0.00424
2022-10-31,141.88,144.45,139.52,142.51,142.51,6207959,6207700,0.63,0.444,142.16,"October 31, 22",0.00444
2022-10-28,141.16,144.73,139.93,143.84,143.84,7934188,7933700,2.68,1.899,142.83333,"October 28, 22",0.01899
2022-10-27,137.1,143.1,136.62,139.76,139.76,13731588,13730800,2.66,1.94,139.82667,"October 27, 22",0.0194
2022-10-26,147.05,150.14,132.21,133.79,133.79,29409226,29406500,-13.26,-9.017,138.71333,"October 26, 22",-0.09017
2022-10-25,142.09,146.88,141.88,146.65,146.65,6464122,6464000,4.56,3.209,145.13667,"October 25, 22",0.03209
2022-10-24,142.85,142.88,139.2815,142.05,142.05,5013256,5012773,-0.8,-0.56,141.40383,"October 24, 22",-0.0056
2022-10-21,138.48,141.33,136.62,141.32,141.32,5351383,5351358,2.84,2.051,139.75667,"October 21, 22",0.02051
2022-10-20,138.36,141.88,138.36,139.13,139.13,4327821,4327600,0.77,0.557,139.79,"October 20, 22",0.00557
2022-10-19,137.17,141.2,136.63,138.39,138.39,6308725,6308100,1.22,0.889,138.74,"October 19, 22",0.00889
2022-10-18,139,139.42,135.22,137.34,137.34,6142310,6142200,-1.66,-1.194,137.32667,"October 18, 22",-0.01194
2022-10-17,136.98,137.28,133.26,136.09,136.09,9051729,9051300,-0.89,-0.65,135.54333,"October 17, 22",-0.0065
2022-10-14,135.59,136.41,131.37,133.15,133.15,6094494,6093900,-2.44,-1.8,133.64333,"October 14, 22",-0.018
2022-10-13,126.5,134.7,124.17,132.4,132.4,7671283,7670825,5.9,4.664,130.42333,"October 13, 22",0.04664
2022-10-12,128.43,131.34,127.86,130.42,130.42,6392288,6391700,1.99,1.549,129.87333,"October 12, 22",0.01549
2022-10-11,132.96,135.36,129.51,131.57,131.57,8488115,8488000,-1.39,-1.045,132.14667,"October 11, 22",-0.01045
2022-10-10,131.42,135.74,130.2,131.9,131.9,6817517,6817400,0.48,0.365,132.61333,"October 10, 22",0.00365
2022-10-07,130.36,130.61,128.02,129.79,129.79,5092731,5092500,-0.57,-0.437,129.47333,"October 07, 22",-0.00437
2022-10-06,131.13,133.31,129.74,132.2,132.2,4451637,4451400,1.07,0.816,131.75,"October 06, 22",0.00816
2022-10-05,130.28,133.55,128.26,132.11,132.11,6263360,6263000,1.83,1.405,131.30667,"October 05, 22",0.01405
2022-10-04,129.4,133.57,129.33,133.51,133.51,7224376,7224200,4.11,3.176,132.13667,"October 04, 22",0.03176
2022-10-03,122,127.15,121.02,126.05,126.05,7950482,7949700,4.05,3.32,124.74,"October 03, 22",0.0332
2022-09-30,123.14,125.475,120.99,121.08,121.08,8091358,8091137,-2.06,-1.673,122.515,"September 30, 22",-0.01673
2022-09-29,131.2,131.61,123.8,125.33,125.33,8905423,8905400,-5.87,-4.474,126.91333,"September 29, 22",-0.04474
2022-09-28,128.04,133.89,127.4,133.44,133.44,10246579,10245900,5.4,4.217,131.57667,"September 28, 22",0.04217
2022-09-27,129.32,130.45,125.6,127.51,127.51,6672535,6672185,-1.81,-1.4,127.85333,"September 27, 22",-0.014
2022-09-26,129.77,132.45,126.88,127.34,127.34,7083781,7083200,-2.43,-1.873,128.89,"September 26, 22",-0.01873
2022-09-23,135.65,136.19,129.5,131.26,131.26,8921348,8920600,-4.39,-3.236,132.31667,"September 23, 22",-0.03236
2022-09-22,143.13,143.7,138.29,138.71,138.71,6307196,6306800,-4.42,-3.088,140.23333,"September 22, 22",-0.03088
2022-09-21,146.77,149.87,143.21,143.29,143.29,6221817,6221200,-3.48,-2.371,145.45667,"September 21, 22",-0.02371
2022-09-20,145.26,147.67,143.9,145.94,145.94,6729384,6729100,0.68,0.468,145.83667,"September 20, 22",0.00468
2022-09-19,142.62,146.99,142.35,144.88,144.88,5135768,5135600,2.26,1.585,144.74,"September 19, 22",0.01585
2022-09-16,145.23,145.63,141.35,144.29,144.29,10303014,10303000,-0.94,-0.647,143.75667,"September 16, 22",-0.00647
2022-09-15,147.88,153.45,147.28,149.78,149.78,9780609,9780100,1.9,1.285,150.17,"September 15, 22",0.01285
2022-09-14,146.9,149.7,144.3,149.26,149.26,8459374,8458843,2.36,1.607,147.75333,"September 14, 22",0.01607
2022-09-13,153.6,155.19,147.13,147.31,147.31,8498420,8497988,-6.29,-4.095,149.87667,"September 13, 22",-0.04095
2022-09-12,158.46,160.97,157.45,158.72,158.72,5289513,5289148,0.26,0.164,159.04667,"September 12, 22",0.00164
2022-09-09,158,159.75,156.95,157.52,157.52,5593504,5593145,-0.48,-0.304,158.07333,"September 09, 22",-0.00304
2022-09-08,155,158.3,153.84,157.79,157.79,4890428,4890410,2.79,1.8,156.64333,"September 08, 22",0.018
2022-09-07,151.26,156.345,150.87,155.95,155.95,5205131,5204701,4.69,3.101,154.38833,"September 07, 22",0.03101
2022-09-06,152.39,154.48,150.46,152.39,152.39,5208183,5207800,0,0,152.44333,"September 06, 22",0
2022-09-02,155.19,156.99,151.48,151.82,151.82,5256609,5256200,-3.37,-2.172,153.43,"September 02, 22",-0.02172
2022-09-01,158,158.9,150.82,153.66,153.66,7638645,7638300,-4.34,-2.747,154.46,"September 01, 22",-0.02747
2022-08-31,163,163.55,160.14,160.25,160.25,4101946,4101600,-2.75,-1.687,161.31333,"August 31, 22",-0.01687
2022-08-30,167.27,169.92,160.72,162.21,162.21,6241168,6241100,-5.06,-3.025,164.28333,"August 30, 22",-0.03025
2022-08-29,162.28,166.9,162.2,165.42,165.42,4723463,4723100,3.14,1.935,164.84,"August 29, 22",0.01935
2022-08-26,170,171.37,164.27,164.53,164.53,4946871,4946600,-5.47,-3.218,166.72333,"August 26, 22",-0.03218
2022-08-25,164.56,169.65,163.7,169.38,169.38,4947756,4947700,4.82,2.929,167.57667,"August 25, 22",0.02929
2022-08-24,162.27,164.14,161.38,163.6,163.6,4209575,4209500,1.33,0.82,163.04,"August 24, 22",0.0082
2022-08-23,159.14,161.69,159.08,160.07,160.07,3417971,3417700,0.93,0.584,160.28,"August 23, 22",0.00584
2022-08-22,159.4,160.27,157.91,158.98,158.98,5308064,5307800,-0.42,-0.263,159.05333,"August 22, 22",-0.00263
2022-08-19,166.33,166.84,162.58,162.92,162.92,5726249,5726000,-3.41,-2.05,164.11333,"August 19, 22",-0.0205
2022-08-18,167.2,169.18,165.77,168.69,168.69,4399294,4399100,1.49,0.891,167.88,"August 18, 22",0.00891
2022-08-17,169.61,169.85,166.09,167.2,167.2,6521962,6521700,-2.41,-1.421,167.71333,"August 17, 22",-0.01421
2022-08-16,170,173.85,169.15,172.08,172.08,5256917,5256800,2.08,1.224,171.69333,"August 16, 22",0.01224
2022-08-15,169.29,172.55,168.32,170.47,170.47,4731860,4731700,1.18,0.697,170.44667,"August 15, 22",0.00697
2022-08-12,168.39,170.11,167.57,169.99,169.99,4336304,4335900,1.6,0.95,169.22333,"August 12, 22",0.0095
2022-08-11,170.5,171.76,167.05,167.88,167.88,4990902,4990600,-2.62,-1.537,168.89667,"August 11, 22",-0.01537
2022-08-10,168.35,171.14,167.25,169.02,169.02,7162657,7162300,0.67,0.398,169.13667,"August 10, 22",0.00398
2022-08-09,166.51,166.51,163.45,164.85,164.85,6060337,6060300,-1.66,-0.997,164.93667,"August 09, 22",-0.00997
2022-08-08,166.41,171.09,164.71,165.89,165.89,11293409,11293200,-0.52,-0.312,167.23,"August 08, 22",-0.00312
2022-08-05,164.4,167.07,163.93,165.04,165.04,4699832,4699700,0.64,0.389,165.34667,"August 05, 22",0.00389
2022-08-04,165.77,168.12,164.41,166.5,166.5,5036834,5036500,0.73,0.44,166.34333,"August 04, 22",0.0044
2022-08-03,164.51,167.52,162.33,166.64,166.64,6703705,6703300,2.13,1.295,165.49667,"August 03, 22",0.01295
2022-08-02,167,167.33,163.14,163.28,163.28,10848280,10847800,-3.72,-2.228,164.58333,"August 02, 22",-0.02228
2022-08-01,165.95,171.76,164.25,169.07,169.07,18313352,18313000,3.12,1.88,168.36,"August 01, 22",0.0188
2022-07-29,157.95,159.84,155.54,159.31,159.31,5737800,5737800,1.36,0.861,158.23,"July 29, 22",0.00861
2022-07-28,154.02,160.1,153.03,159.09,159.09,8721739,8721200,5.07,3.292,157.40667,"July 28, 22",0.03292
2022-07-27,161.12,162.74,152.8,156.09,156.09,16350777,16350600,-5.03,-3.122,157.21,"July 27, 22",-0.03122
2022-07-26,155.24,158.18,154.5,155.92,155.92,6034283,6033900,0.68,0.438,156.2,"July 26, 22",0.00438
2022-07-25,156.94,157.31,152.84,156.64,156.64,5759116,5759000,-0.3,-0.191,155.59667,"July 25, 22",-0.00191
2022-07-22,161.8,163.34,157.77,158.16,158.16,7580338,7579800,-3.64,-2.25,159.75667,"July 22, 22",-0.0225
2022-07-21,158.89,161.66,156.19,161.41,161.41,8031951,8031800,2.52,1.586,159.75333,"July 21, 22",0.01586
2022-07-20,156,159.4,154.26,158.38,158.38,8656018,8655400,2.38,1.526,157.34667,"July 20, 22",0.01526
2022-07-19,149.61,156.28,148.97,156.13,156.13,14146330,14145200,6.52,4.358,153.79333,"July 19, 22",0.04358
2022-07-18,153.31,155.94,147.2,147.72,147.72,13929411,13929400,-5.59,-3.646,150.28667,"July 18, 22",-0.03646
2022-07-15,149.17,149.74,144.65,147.74,147.74,7907349,7907200,-1.43,-0.959,147.37667,"July 15, 22",-0.00959
2022-07-14,141.11,147.49,140.61,147.15,147.15,9445513,9445500,6.04,4.28,145.08333,"July 14, 22",0.0428
2022-07-13,142.79,146.41,142.18,143.95,143.95,9027069,9026200,1.16,0.812,144.18,"July 13, 22",0.00812
2022-07-12,136.86,149.32,136.81,147.15,147.15,18581075,18579900,10.29,7.519,144.42667,"July 12, 22",0.07519
2022-07-11,137.77,139.2227,134.89,136.99,136.99,6180997,6180548,-0.78,-0.566,137.03423,"July 11, 22",-0.00566
2022-07-08,139.7,140.74,137.37,139.07,139.07,5646225,5645900,-0.63,-0.451,139.06,"July 08, 22",-0.00451
2022-07-07,137.93,142.28,137.9,139.97,139.97,7655874,7655500,2.04,1.479,140.05,"July 07, 22",0.01479
2022-07-06,137.54,138.71,134.46,136.31,136.31,6604552,6604300,-1.23,-0.894,136.49333,"July 06, 22",-0.00894
2022-07-05,136.25,138.0572,131.29,137.7,137.7,10062343,10061888,1.45,1.064,135.6824,"July 05, 22",0.01064
2022-07-01,135.88,141.79,135.4,139.84,139.84,7621644,7621300,3.96,2.914,139.01,"July 01, 22",0.02914
2022-06-30,134.3,137.49,131.6,136.72,136.72,8448798,8448200,2.42,1.802,135.27,"June 30, 22",0.01802
2022-06-29,138.61,138.92,134.84,138.45,138.45,7363123,7362456,-0.16,-0.115,137.40333,"June 29, 22",-0.00115
2022-06-28,140.89,147.18,138.54,138.7,138.7,12126400,12125400,-2.19,-1.554,141.47333,"June 28, 22",-0.01554
2022-06-27,140.28,140.57,136.22,138.72,138.72,8454441,8454100,-1.56,-1.112,138.50333,"June 27, 22",-0.01112
2022-06-24,135.01,141.87,134.95,141.53,141.53,13617443,13616800,6.52,4.829,139.45,"June 24, 22",0.04829
2022-06-23,136.42,137.42,130.09,133.97,133.97,10741645,10741400,-2.45,-1.796,133.82667,"June 23, 22",-0.01796
2022-06-22,134.03,138.79,133.28,137.16,137.16,7718338,7717692,3.13,2.335,136.41,"June 22, 22",0.02335
2022-06-21,139.17,140.94,135.84,136.75,136.75,10513577,10512900,-2.42,-1.739,137.84333,"June 21, 22",-0.01739
2022-06-17,132.25,138.98,131.5,136.8,136.8,16013883,16013400,4.55,3.44,135.76,"June 17, 22",0.0344
2022-06-16,131.7,135.34,131.33,133.36,133.36,19543820,19543638,1.66,1.26,133.34333,"June 16, 22",0.0126
2022-06-15,124.35,134.99,123.83,133.72,133.72,25912417,25910800,9.37,7.535,130.84667,"June 15, 22",0.07535
2022-06-14,116.65,122.19,113.02,122.16,122.16,17525775,17524600,5.51,4.724,119.12333,"June 14, 22",0.04724
2022-06-13,123,123.25,114.145,115.86,115.86,16779169,16778494,-7.14,-5.805,117.75167,"June 13, 22",-0.05805
2022-06-10,130.27,132.19,126.85,127,127,7771009,7770700,-3.27,-2.51,128.68,"June 10, 22",-0.0251
