date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-26,35.05,35.35,34.79,35.34,35.34,25576826,25576826.6965138,0.29,0.827,35.16,"January 26, 23",0.00827
2023-01-25,34.3,34.96,34.25,34.87,34.87,28827992,28826600,0.57,1.662,34.69333,"January 25, 23",0.01662
2023-01-24,34.22,34.79,33.95,34.57,34.57,25612645,25610098,0.35,1.023,34.43667,"January 24, 23",0.01023
2023-01-23,33.81,34.51,33.75,34.32,34.32,33664238,33661300,0.51,1.508,34.19333,"January 23, 23",0.01508
2023-01-20,33.3,33.89,33.09,33.85,33.85,44979583,44979000,0.55,1.652,33.61,"January 20, 23",0.01652
2023-01-19,33.28,33.55,32.89,33.23,33.23,42680272,42678200,-0.05,-0.15,33.22333,"January 19, 23",-0.0015
2023-01-18,34.33,34.34,33.515,33.72,33.72,54522998,54517763,-0.61,-1.777,33.85833,"January 18, 23",-0.01777
2023-01-17,34.69,34.83,34.15,34.52,34.52,56422972,56420900,-0.17,-0.49,34.5,"January 17, 23",-0.0049
2023-01-13,34.2,35.39,33.09,35.23,35.23,88958222,88958192,1.03,3.012,34.57,"January 13, 23",0.03012
2023-01-12,34.6,34.87,34.36,34.47,34.47,44134087,44130800,-0.13,-0.376,34.56667,"January 12, 23",-0.00376
2023-01-11,34.12,34.44,34,34.38,34.38,36758160,36755600,0.26,0.762,34.27333,"January 11, 23",0.00762
2023-01-10,33.74,34.265,33.64,34.12,34.12,34288147,34285803,0.38,1.126,34.00833,"January 10, 23",0.01126
2023-01-09,34.75,34.76,33.71,33.89,33.89,43760845,43760400,-0.86,-2.475,34.12,"January 09, 23",-0.02475
2023-01-06,34.09,34.58,33.54,34.41,34.41,34063101,34062207,0.32,0.939,34.17667,"January 06, 23",0.00939
2023-01-05,33.92,34.14,33.58,34.07,34.07,34159462,34158900,0.15,0.442,33.93,"January 05, 23",0.00442
2023-01-04,33.9,34.8199,33.83,34.14,34.14,41998723,41998548,0.24,0.708,34.2633,"January 04, 23",0.00708
2023-01-03,33.23,34.09,33.21,33.51,33.51,35221815,35221501,0.28,0.843,33.60333,"January 03, 23",0.00843
2022-12-30,33.1,33.3,32.86,33.12,33.12,28201301,28198915,0.02,0.06,33.09333,"December 30, 22",0.0006
2022-12-29,32.89,33.16,32.75,33.14,33.14,22234676,22234000,0.25,0.76,33.01667,"December 29, 22",0.0076
2022-12-28,32.57,32.97,32.53,32.77,32.77,30524686,30524200,0.2,0.614,32.75667,"December 28, 22",0.00614
2022-12-27,32.5,32.67,32.275,32.53,32.53,22778024,22776092,0.03,0.092,32.49167,"December 27, 22",0.00092
2022-12-23,32.4,32.58,32.19,32.47,32.47,21375561,21373500,0.07,0.216,32.41333,"December 23, 22",0.00216
2022-12-22,32.52,32.58,31.87,32.39,32.39,30228188,30226100,-0.13,-0.4,32.28,"December 22, 22",-0.004
2022-12-21,32.52,32.87,32.41,32.68,32.68,32545916,32543963,0.16,0.492,32.65333,"December 21, 22",0.00492
2022-12-20,32.4,32.58,32.14,32.19,32.19,35563191,35561072,-0.21,-0.648,32.30333,"December 20, 22",-0.00648
2022-12-19,31.76,32.23,31.73,32.06,32.06,38374950,38374105,0.3,0.945,32.00667,"December 19, 22",0.00945
2022-12-16,31.62,31.93,31.35,31.7,31.7,61799088,61795197,0.08,0.253,31.66,"December 16, 22",0.00253
2022-12-15,31.75,31.99,31.49,31.77,31.77,49029894,49027584,0.02,0.063,31.75,"December 15, 22",0.00063
2022-12-14,32.8,33,32.1634,32.28,32.28,48820939,48819481,-0.52,-1.585,32.48113,"December 14, 22",-0.01585
2022-12-13,33.55,33.67,32.57,32.75,32.75,54787329,54783100,-0.8,-2.385,32.99667,"December 13, 22",-0.02385
2022-12-12,32.31,32.78,32.06,32.73,32.73,41064419,41060489,0.42,1.3,32.52333,"December 12, 22",0.013
2022-12-09,32.11,32.6,32.08,32.38,32.38,36967672,36966400,0.27,0.841,32.35333,"December 09, 22",0.00841
2022-12-08,32.965,32.99,32.18,32.44,32.44,45494933,45491146,-0.525,-1.593,32.53667,"December 08, 22",-0.01593
2022-12-07,32.59,32.92,32.35,32.74,32.74,49237706,49234137,0.15,0.46,32.67,"December 07, 22",0.0046
2022-12-06,34.57,34.68,32.41,33,33,84062223,84057700,-1.57,-4.542,33.36333,"December 06, 22",-0.04542
2022-12-05,35.81,35.89,34.14,34.47,34.47,71352206,71350500,-1.34,-3.742,34.83333,"December 05, 22",-0.03742
2022-12-02,36.0600014,36.2900009,35.8100014,36.0800018,36.0800018,42290900,42290900,0.02,0.055,36.06,"December 02, 22",0.00055
2022-12-01,37.5,37.6899986,36.4000015,36.5499992,36.5499992,46213200,46213200,-0.95,-2.533,36.88,"December 01, 22",-0.02533
2022-11-30,36.9000015,37.8499985,36.2000008,37.8499985,37.6299973,51731100,51731100,0.73,1.978,37.22667,"November 30, 22",0.01978
2022-11-29,36.9799995,37.1500015,36.7200012,37,36.7849426,27048800,27048800,-0.19506,-0.527,36.88498,"November 29, 22",-0.00527
2022-11-28,37.4000015,37.6599998,36.8300018,36.8600006,36.6457558,35428300,35428300,-0.75425,-2.017,37.04525,"November 28, 22",-0.02017
2022-11-25,37.7200012,37.8699989,37.5600014,37.7000008,37.4808731,16118500,16118500,-0.23913,-0.634,37.63696,"November 25, 22",-0.00634
2022-11-23,37.4900017,37.6599998,37.3699989,37.6100006,37.3913956,18934700,18934700,-0.09861,-0.263,37.4738,"November 23, 22",-0.00263
2022-11-22,37.5900002,37.7999992,37.4300003,37.4900017,37.2720947,23499300,23499300,-0.31791,-0.846,37.5007,"November 22, 22",-0.00846
