date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,2625.44,2664.59,2608.58,2634.91,2634.909912,339419,339419,9.47,0.3607,2636.72,"May 09, 23",0.003607
2023-05-08,2573.12,2648.15,2573.12,2639.47,2639.469971,344880,344900,66.35,2.58,2617.47,"May 08, 23",0.0258
2023-05-05,2630.32,2650.15,2524.345,2569.3,2569.300049,788233,788200,-61.02,-2.32,2567.92,"May 05, 23",-0.0232
2023-05-04,2610.92,2645.9999,2600.59,2603.57,2603.570068,487754,487800,-7.35,-0.28151,2603.86,"May 04, 23",-0.0028151
2023-05-03,2721.63,2721.63,2635.78,2646.21,2646.209961,399873,399900,-75.42,-2.77,2667.94,"May 03, 23",-0.0277
2023-05-02,2686.85,2731.75,2686.85,2716.05,2716.050049,291655,291500,29.2,1.09,2707.39,"May 02, 23",0.0109
2023-05-01,2680.32,2719.98,2678.72,2691.09,2691.090088,252445,252300,10.77,0.40182,2700.33,"May 01, 23",0.0040182
2023-04-28,2631.19,2693.92,2620.7,2686.31,2686.310059,295334,295300,55.12,2.09,2667.76,"April 28, 23",0.0209
2023-04-27,2622,2640.845,2577.31,2639.44,2639.439941,377021,376900,17.44,0.66514,2618.31,"April 27, 23",0.0066514
2023-04-26,2643.44,2660.05,2585.81,2597.37,2597.370117,357499,357400,-46.07,-1.74,2616.88,"April 26, 23",-0.0174
2023-04-25,2675.51,2675.51,2641.2,2645.02,2645.02002,283601,283600,-30.49,-1.14,2655.94,"April 25, 23",-0.0114
2023-04-24,2697.75,2706.9999,2666.86,2679.69,2679.689941,243646,243600,-18.06,-0.66945,2682.34,"April 24, 23",-0.0066945
2023-04-21,2662.62,2689.72,2633,2687.33,2687.330078,210098,210100,24.71,0.92803,2670.46,"April 21, 23",0.0092803
2023-04-20,2664.25,2699.695,2656.81,2660.77,2660.77002,247756,247700,-3.48,-0.13062,2673.62,"April 20, 23",-0.0013062
2023-04-19,2683.85,2694.86,2672.56,2676.28,2676.280029,198496,198500,-7.57,-0.28206,2682.78,"April 19, 23",-0.0028206
2023-04-18,2696.13,2721.8499,2687.805,2696.68,2696.679932,245029,245000,0.55,0.02039961,2701.35,"April 18, 23",0.0002039961
2023-04-17,2631.97,2676.18,2631.97,2676.05,2676.050049,175763,175700,44.08,1.67,2661.98,"April 17, 23",0.0167
2023-04-14,2626.45,2657.98,2615.62,2649.86,2649.860107,185473,185400,23.41,0.89132,2640.72,"April 14, 23",0.0089132
2023-04-13,2569,2631.1,2560.5,2629.63,2629.629883,334578,334600,60.63,2.36,2618.38,"April 13, 23",0.0236
2023-04-12,2587.86,2587.92,2534.52,2547.25,2547.25,276208,276200,-40.61,-1.57,2556.54,"April 12, 23",-0.0157
2023-04-11,2581.81,2588.68,2561.06,2566.47,2566.469971,236784,236700,-15.34,-0.59416,2571.36,"April 11, 23",-0.0059416
2023-04-10,2565.06,2585.08,2552.19,2572.57,2572.570068,205800,205800,7.51,0.29278,2571.27,"April 10, 23",0.0029278
2023-04-06,2605.75,2605.75,2552,2583.85,2583.850098,272676,272700,-21.9,-0.84045,2580.89,"April 06, 23",-0.0084045
2023-04-05,2633.02,2635.145,2590,2615.6,2615.600098,260866,260900,-17.42,-0.6616,2607.89,"April 05, 23",-0.006616
2023-04-04,2672.14,2674.95,2625,2638.33,2638.330078,260687,260700,-33.81,-1.27,2642.62,"April 04, 23",-0.0127
2023-04-03,2644.79,2677.18,2630,2665.19,2665.189941,223115,223100,20.4,0.77133,2656.6,"April 03, 23",0.0077133
2023-03-31,2625.7,2660.86,2621.99,2652.41,2652.409912,365790,365800,26.71,1.02,2648.96,"March 31, 23",0.0102
2023-03-30,2588.4,2624.49,2580.495,2609.76,2609.76001,265529,265400,21.36,0.82522,2606,"March 30, 23",0.0082522
2023-03-29,2581.43,2584.51,2555.14,2571.77,2571.77002,236766,236700,-9.66,-0.37421,2572.57,"March 29, 23",-0.0037421
2023-03-28,2520,2554.18,2508.31,2545.12,2545.120117,235917,235800,25.12,0.99683,2532.26,"March 28, 23",0.0099683
2023-03-27,2525,2542.8,2504.48,2508.31,2508.310059,246464,246400,-16.69,-0.66099,2516.64,"March 27, 23",-0.0066099
2023-03-24,2510.09,2513.8799,2466.02,2499.33,2499.330078,329595,329600,-10.76,-0.42867,2492.64,"March 24, 23",-0.0042867
2023-03-23,2573.01,2615.63,2523.85,2538.76,2538.76001,352620,352500,-34.25,-1.33,2563.14,"March 23, 23",-0.0133
2023-03-22,2577.37,2611.99,2557,2558.24,2558.23999,273079,273100,-19.13,-0.74223,2576.98,"March 22, 23",-0.0074223
2023-03-21,2517.81,2581.7,2517.81,2571.32,2571.320068,282569,282500,53.51,2.13,2563.34,"March 21, 23",0.0213
2023-03-20,2450.53,2503.89,2438.13,2493.73,2493.72998,322858,322900,43.2,1.76,2488.19,"March 20, 23",0.0176
2023-03-17,2439.91,2445.61,2392.81,2440.85,2440.850098,798893,798800,0.94,0.03852601,2432.75,"March 17, 23",0.0003852601
2023-03-16,2403.98,2452.435,2401.01,2439.91,2439.909912,337619,337600,35.93,1.49,2437.75,"March 16, 23",0.0149
2023-03-15,2418.64,2434.52,2383.18,2415.73,2415.72998,425562,425600,-2.91,-0.12032,2403.24,"March 15, 23",-0.0012032
2023-03-14,2499.02,2513.36,2460,2475.75,2475.75,379016,378900,-23.27,-0.93117,2483.18,"March 14, 23",-0.0093117
2023-03-13,2459.85,2467.66,2432.94,2438.89,2438.889893,418214,418200,-20.96,-0.85208,2449.35,"March 13, 23",-0.0085208
2023-03-10,2508.89,2524.59,2461.47,2480.49,2480.48999,383701,383600,-28.4,-1.13,2490.43,"March 10, 23",-0.0113
2023-03-09,2571.41,2587.3736,2503.55,2505.39,2505.389893,326646,326300,-66.02,-2.57,2542.02,"March 09, 23",-0.0257
2023-03-08,2577.4,2600.04,2563.69,2582.87,2582.870117,211443,211400,5.47,0.21223,2580.35,"March 08, 23",0.0021223
2023-03-07,2599.77,2630,2571.425,2578.9,2578.899902,297205,297200,-20.87,-0.80276,2591.5,"March 07, 23",-0.0080276
2023-03-06,2574.66,2626.46,2574.66,2613.43,2613.429932,447983,448000,38.77,1.51,2605.47,"March 06, 23",0.0151
2023-03-03,2600,2628.25,2589.3,2620.4,2620.399902,419107,419100,20.4,0.78462,2617.53,"March 03, 23",0.0078462
2023-03-02,2539.66,2583.6025,2527.82,2577.83,2577.830078,328683,328700,38.17,1.5,2561.85,"March 02, 23",0.015
2023-03-01,2530,2554.25,2524.905,2552.32,2552.320068,329116,328900,22.32,0.88221,2545.85,"March 01, 23",0.0088221
2023-02-28,2511.84,2548.89,2501.15,2524,2524,340179,340000,12.16,0.48411,2532.06,"February 28, 23",0.0048411
2023-02-27,2480.39,2528.76,2475.12,2521.08,2521.080078,363018,362900,40.69,1.64,2514.27,"February 27, 23",0.0164
2023-02-24,2430,2489.21,2405.04,2452.48,2452.47998,563702,563700,22.48,0.9251,2448.38,"February 24, 23",0.009251
2023-02-23,2429.74,2454.04,2382.545,2426.49,2426.48999,419555,419600,-3.25,-0.13376,2424.4,"February 23, 23",-0.0013376
2023-02-22,2423.27,2449.67,2418.6,2426.71,2426.709961,165968,166000,3.44,0.14196,2429.28,"February 22, 23",0.0014196
2023-02-21,2415.06,2449.71,2415.06,2425.49,2425.48999,225271,225200,10.43,0.43187,2430.44,"February 21, 23",0.0043187
2023-02-17,2465.64,2474.67,2442.51,2462.01,2462.01001,287025,287000,-3.63,-0.14722,2460.85,"February 17, 23",-0.0014722
2023-02-16,2474.8,2537,2469.5,2493.18,2493.179932,341339,341200,18.38,0.74269,2509.88,"February 16, 23",0.0074269
2023-02-15,2500,2519.42,2482.02,2516.58,2516.580078,299326,299300,16.58,0.6632,2504.86,"February 15, 23",0.006632
2023-02-14,2418.13,2481.13,2409.96,2471.05,2471.050049,263773,263600,52.92,2.19,2460.04,"February 14, 23",0.0219
2023-02-13,2376.94,2432.84,2366.5928,2423.03,2423.030029,269069,269000,46.09,1.94,2415.48,"February 13, 23",0.0194
2023-02-10,2383.71,2404.64,2331.23,2348.37,2348.370117,567590,567600,-35.34,-1.48,2352.36,"February 10, 23",-0.0148
2023-02-09,2461.82,2490.7,2435.58,2436.12,2436.120117,349027,349000,-25.7,-1.04,2460.38,"February 09, 23",-0.0104
2023-02-08,2462.8,2485.97,2420.15,2425.08,2425.080078,350643,350600,-37.72,-1.53,2438.17,"February 08, 23",-0.0153
2023-02-07,2464.82,2489.98,2412.88,2487.19,2487.189941,428165,428200,22.37,0.90757,2460.84,"February 07, 23",0.0090757
2023-02-06,2429.81,2474.87,2425.91,2469.95,2469.949951,246155,246100,40.14,1.65,2463.15,"February 06, 23",0.0165
2023-02-03,2422.685,2472.2199,2409.88,2455.07,2455.070068,287320,287300,32.385,1.34,2448.44,"February 03, 23",0.0134
2023-02-02,2455.85,2484.79,2438.96,2454.69,2454.689941,346051,346000,-1.16,-0.04723416,2462.47,"February 02, 23",-0.0004723416
2023-02-01,2422.34,2462.24,2390.15,2445.74,2445.73999,411362,411200,23.4,0.96601,2424.79,"February 01, 23",0.0096601
2023-01-31,2419.84,2435.99,2403.44,2434.1,2434.100098,338098,338100,14.26,0.5893,2421.45,"January 31, 23",0.005893
2023-01-30,2433.95,2456.3,2413.87,2436.98,2436.97998,317265,317200,3.03,0.12449,2438.76,"January 30, 23",0.0012449
2023-01-27,2421.78,2474.595,2421.78,2464.51,2464.51001,299109,299000,42.73,1.76,2456.4,"January 27, 23",0.0176
2023-01-26,2400,2433.86,2397.51,2431.15,2431.149902,238026,238000,31.15,1.3,2415.84,"January 26, 23",0.013
2023-01-25,2298.25,2392.99,2289.69,2390.75,2390.75,304419,304300,92.5,4.02,2374.15,"January 25, 23",0.0402
2023-01-24,2402.62,2430.86,2393.87,2402.34,2402.340088,237056,237100,-0.28,-0.01165394,2408.04,"January 24, 23",-0.0001165394
2023-01-23,2340,2403.78,2329.8,2401.58,2401.580078,341021,340900,61.58,2.63,2380.77,"January 23, 23",0.0263
2023-01-20,2327.12,2350.49,2320.28,2344.29,2344.290039,303671,303700,17.17,0.73782,2338.11,"January 20, 23",0.0073782
2023-01-19,2270,2322.34,2268.365,2315.4,2315.399902,284255,284200,45.4,2,2298.31,"January 19, 23",0.02
2023-01-18,2360,2374.72,2293.44,2296.45,2296.449951,307082,307100,-63.55,-2.69,2319.58,"January 18, 23",-0.0269
2023-01-17,2297.91,2336.33,2297.91,2334.02,2334.02002,344096,344000,36.11,1.57,2325.23,"January 17, 23",0.0157
2023-01-13,2223.35,2302.0127,2222.16,2301.34,2301.340088,290658,290700,77.99,3.51,2281.92,"January 13, 23",0.0351
2023-01-12,2225.53,2267.6592,2214.65,2256.77,2256.77002,292096,292100,31.24,1.4,2247.4,"January 12, 23",0.014
2023-01-11,2223.35,2246.27,2215.5,2224.81,2224.810059,289997,289900,1.46,0.06566667,2229.08,"January 11, 23",0.0006566667
2023-01-10,2200.56,2220.96,2179.325,2220.95,2220.949951,216697,216700,20.39,0.92658,2209.59,"January 10, 23",0.0092658
2023-01-09,2195,2222.52,2184.915,2208.41,2208.409912,271645,271600,13.41,0.61093,2209.47,"January 09, 23",0.0061093
2023-01-06,2165.12,2191.2,2151.16,2179.25,2179.25,350405,350400,14.13,0.65262,2173.67,"January 06, 23",0.0065262
2023-01-05,2085.49,2153.465,2085.49,2144.94,2144.939941,374955,376000,59.45,2.85,2133.79,"January 05, 23",0.0285
2023-01-04,2068.83,2113.595,2056.775,2110.44,2110.439941,368147,368100,41.61,2.01,2095.85,"January 04, 23",0.0201
2023-01-03,2038.83,2049,2005.57,2032.21,2032.209961,266999,266900,-6.62,-0.3247,2028.36,"January 03, 23",-0.003247
2022-12-30,1979.29,2017.6,1978,2015.28,2015.280029,196695,196700,35.99,1.82,2006.14,"December 30, 22",0.0182
2022-12-29,1984.8,2013.07,1974.58,2003.51,2003.51001,206694,206600,18.71,0.94266,2002.52,"December 29, 22",0.0094266
2022-12-28,2007.49,2030,1955.35,1958.84,1958.839966,240864,240900,-48.65,-2.42,1983.16,"December 28, 22",-0.0242
2022-12-27,1977.88,2012.3899,1962.185,1998.27,1998.27002,231467,231500,20.39,1.03,1994.2,"December 27, 22",0.0103
2022-12-23,1926.42,1973.34,1918.72,1971.52,1971.52002,157901,157800,45.1,2.34,1960.01,"December 23, 22",0.0234
2022-12-22,1947.7,1947.7,1907.38,1932.99,1932.98999,252746,252700,-14.71,-0.75525,1926.9,"December 22, 22",-0.0075525
2022-12-21,1975.58,1997.49,1967.84,1970.9,1970.900024,251010,251000,-4.68,-0.23689,1980.35,"December 21, 22",-0.0023689
2022-12-20,1924.72,1963.105,1924.72,1958.51,1958.51001,245346,245300,33.79,1.76,1946.87,"December 20, 22",0.0176
2022-12-19,1952.06,1959.45,1919.6,1931.44,1931.439941,278501,278500,-20.62,-1.06,1937.94,"December 19, 22",-0.0106
2022-12-16,1949.38,1972.275,1928.01,1938.55,1938.550049,807908,807900,-10.83,-0.55556,1940.81,"December 16, 22",-0.0055556
2022-12-15,1966.84,1976.22,1952.31,1965.69,1965.689941,342282,342300,-1.15,-0.05846942,1964.24,"December 15, 22",-0.0005846942
2022-12-14,2057.04,2069.66,1988.01,2006.8,2006.800049,401540,401500,-50.24,-2.44,2018.1,"December 14, 22",-0.0244
2022-12-13,2152.37,2152.37,2038.32,2047.83,2047.829956,418972,418900,-104.54,-4.86,2070.29,"December 13, 22",-0.0486
2022-12-12,2020.04,2081.9,2015,2080,2080,334979,335000,59.96,2.97,2061.33,"December 12, 22",0.0297
2022-12-09,2001.65,2031.21,1991.29,2019.98,2019.97998,242030,242000,18.33,0.91574,2019.47,"December 09, 22",0.0091574
2022-12-08,1962.39,2020.785,1948.64,2010.76,2010.76001,314147,314100,48.37,2.46,1997.19,"December 08, 22",0.0246
2022-12-07,1976.3,1987.64,1940.2599,1955.56,1955.560059,415417,415400,-20.74,-1.05,1959.74,"December 07, 22",-0.0105
2022-12-06,2058.04,2074.95,2023.51,2042.19,2042.189941,262827,262800,-15.85,-0.77015,2039.81,"December 06, 22",-0.0077015
2022-12-05,2056.07,2086.88,2046.77,2056.52,2056.52002,278968,279000,0.45,0.02188641,2061.98,"December 05, 22",0.0002188641
2022-12-02,2031.64,2094.49,2024.73,2085.44,2085.439941,270497,270400,53.8,2.65,2071.26,"December 02, 22",0.0265
2022-12-01,2083.7,2100.635,2048,2060.29,2060.290039,291983,291900,-23.41,-1.12,2066.95,"December 01, 22",-0.0112
2022-11-30,2032,2084.7,2012.2,2079.45,2079.449951,444131,444100,47.45,2.34,2055.63,"November 30, 22",0.0234
2022-11-29,1985.21,2027.565,1985.21,2017.16,2017.160034,284743,284700,31.95,1.61,2015.53,"November 29, 22",0.0161
2022-11-28,1986.02,2004.9,1978.06,1984.9,1984.900024,331380,331400,-1.12,-0.0563942,1989.09,"November 28, 22",-0.000563942
2022-11-25,1968.48,1996.28,1963.22,1984.63,1984.630005,168803,168800,16.15,0.82043,1982.07,"November 25, 22",0.0082043
2022-11-23,1954.88,2002,1951.735,1969.45,1969.449951,254420,254400,14.57,0.74531,1977.92,"November 23, 22",0.0074531
2022-11-22,1930,1950.05,1899.31,1946.97,1946.969971,327116,327100,16.97,0.87927,1932.12,"November 22, 22",0.0087927
2022-11-21,1922.94,1948.42,1900.01,1919.49,1919.48999,280051,279900,-3.45,-0.17941,1917.12,"November 21, 22",-0.0017941
2022-11-18,1959.77,1972.2,1925.5,1940.28,1940.280029,306105,306100,-19.49,-0.9945,1944.09,"November 18, 22",-0.009945
2022-11-17,1960.92,1972.45,1902.46,1940.76,1940.76001,495148,494900,-20.16,-1.03,1935.62,"November 17, 22",-0.0103
2022-11-16,2008.95,2028.83,1990,2013.78,2013.780029,302529,302500,4.83,0.24042,2010.48,"November 16, 22",0.0024042
2022-11-15,2029.62,2061.96,1975.22,2001.9,2001.900024,411342,411200,-27.72,-1.37,2020.41,"November 15, 22",-0.0137
2022-11-14,1996.51,2019.52,1974.01,1979.25,1979.25,411745,415700,-17.26,-0.86451,1996.54,"November 14, 22",-0.0086451
2022-11-11,1936.31,2033.38,1936.31,2015.77,2015.77002,442819,442800,79.46,4.1,2002.67,"November 11, 22",0.041
