date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,639,643.49,633.63,635.57,635.25,440567,387808,-3.43,-0.53678,636.89,"May 09, 23",-0.0053678
2023-05-08,646.25,647,640.78,643.14,643.140015,374512,374500,-3.11,-0.48124,643.45,"May 08, 23",-0.0048124
2023-05-05,642.19,644.66,637.55,644.48,644.47998,484312,484300,2.29,0.35659,642.55,"May 05, 23",0.0035659
2023-05-04,638.55,638.55,628.2301,631.66,631.659973,589364,589300,-6.89,-1.08,632.04,"May 04, 23",-0.0108
2023-05-03,657.42,662.97,640.25,642.41,642.409973,430726,430700,-15.01,-2.28,650,"May 03, 23",-0.0228
2023-05-02,657.73,658.585,635.28,651.46,651.460022,719727,719700,-6.27,-0.95328,646.62,"May 02, 23",-0.0095328
2023-05-01,675.08,675.59,662.18,662.97,662.969971,560197,560200,-12.11,-1.79,665.72,"May 01, 23",-0.0179
2023-04-28,659.83,672.03,658.95,671.2,671.200012,529088,529000,11.37,1.72,669.31,"April 28, 23",0.0172
2023-04-27,657.25,663.53,655.27,662.68,662.679993,393937,393900,5.43,0.82617,660.26,"April 27, 23",0.0082617
2023-04-26,655.69,661.74,647.42,650.67,650.669983,434695,434700,-5.02,-0.76561,652.53,"April 26, 23",-0.0076561
2023-04-25,670.64,671.73,658.46,659.71,659.710022,552376,552200,-10.93,-1.63,662.5,"April 25, 23",-0.0163
2023-04-24,682.28,682.28,673.1,674.19,674.190002,451863,451800,-8.09,-1.19,675.78,"April 24, 23",-0.0119
2023-04-21,695.53,696.27,678.915,680.94,680.940002,774571,774500,-14.59,-2.1,684.09,"April 21, 23",-0.021
2023-04-20,690.47,698.93,690.47,696.38,696.380005,580374,580400,5.91,0.85594,696.03,"April 20, 23",0.0085594
2023-04-19,690.98,699.5,690.01,695.24,695.23999,348118,348100,4.26,0.61652,696.09,"April 19, 23",0.0061652
2023-04-18,700.37,701.225,689.86,694.03,694.030029,593867,593800,-6.34,-0.90524,694.29,"April 18, 23",-0.0090524
2023-04-17,691.33,699.1,690.79,698.36,698.359985,586124,586100,7.03,1.02,696.7,"April 17, 23",0.0102
2023-04-14,680.23,704.005,678.06,691.33,691.330017,1117759,1117700,11.1,1.63,691.56,"April 14, 23",0.0163
2023-04-13,663.37,671.58,658.53,670.73,670.72998,694023,694000,7.36,1.11,667.76,"April 13, 23",0.0111
2023-04-12,676.15,677.64,663.36,665.97,665.969971,481368,481200,-10.18,-1.51,669.73,"April 12, 23",-0.0151
2023-04-11,662,671.44,661.85,669.68,669.679993,535868,535800,7.68,1.16,667.86,"April 11, 23",0.0116
2023-04-10,652.35,659.83,650.7928,659.82,659.820007,393846,393800,7.47,1.15,655.89,"April 10, 23",0.0115
2023-04-06,656.6,659.06,653.985,656.4,656.400024,441769,441700,-0.2,-0.03045995,656.25,"April 06, 23",-0.0003045995
2023-04-05,652.38,656.87,651.285,656.04,656.039978,426144,426100,3.66,0.56102,654.49,"April 05, 23",0.0056102
2023-04-04,665.89,669.65,653.84,659.11,659.109985,525148,525100,-6.78,-1.02,659.08,"April 04, 23",-0.0102
