date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,68,68.37,67.835,68,68,6408460,5319173,0,0,68.06,"May 09, 23",0
2023-05-08,68.08,68.77,67.86,68.41,68.410004,6142343,6142300,0.33,0.48472,68.46,"May 08, 23",0.0048472
2023-05-05,67.14,68.435,67.12,68.14,68.139999,8561960,8561000,1,1.49,67.91,"May 05, 23",0.0149
2023-05-04,66.45,67.2431,66.4,66.82,66.82,8801885,8801900,0.37,0.55681,66.82,"May 04, 23",0.0055681
2023-05-03,68.33,68.74,66.32,66.64,66.639999,12717715,12717700,-1.69,-2.47,66.95,"May 03, 23",-0.0247
2023-05-02,68.25,68.99,67.4,68.1,68.099998,7773438,7793400,-0.15,-0.21978,68.08,"May 02, 23",-0.0021978
2023-05-01,67.28,68.74,67.26,68.4,68.400002,10034010,10034000,1.12,1.66,68.4,"May 01, 23",0.0166
2023-04-28,67.14,67.225,66.02,66.77,66.769997,10695008,10694000,-0.37,-0.55109,66.63,"April 28, 23",-0.0055109
2023-04-27,68.02,68.02,66.5,67.61,67.610001,10521846,10521800,-0.41,-0.60276,67.31,"April 27, 23",-0.0060276
2023-04-26,69.6,69.74,67.64,68.02,68.019997,10206380,10206200,-1.58,-2.27,68.1,"April 26, 23",-0.0227
2023-04-25,70.68,70.935,70.1,70.24,70.239998,5337312,5337300,-0.44,-0.62252,70.4,"April 25, 23",-0.0062252
2023-04-24,70.34,70.62,70.06,70.54,70.540001,5384546,5384500,0.2,0.28433,70.37,"April 24, 23",0.0028433
2023-04-21,70.085,70.55,69.95,70.49,70.489998,6543787,6543600,0.405,0.57787,70.36,"April 21, 23",0.0057787
2023-04-20,69.7,69.81,68.8539,69.53,69.529999,5977749,5977700,-0.17,-0.2439,69.34,"April 20, 23",-0.002439
2023-04-19,70.27,70.415,69.552,69.86,69.860001,8179203,8179200,-0.41,-0.58346,69.82,"April 19, 23",-0.0058346
2023-04-18,70.55,70.75,69.88,70.23,70.230003,5723116,5722900,-0.32,-0.45358,70.25,"April 18, 23",-0.0045358
2023-04-17,70.6,70.78,70.215,70.6,70.599998,4435166,4435100,0,0,70.56,"April 17, 23",0
2023-04-14,70.6,70.79,69.95,70.45,70.449997,6260425,6260300,-0.15,-0.21246,70.36,"April 14, 23",-0.0021246
2023-04-13,70.44,70.82,69.93,70.69,70.690002,5981632,5981600,0.25,0.35491,70.53,"April 13, 23",0.0035491
2023-04-12,70.05,70.6678,69.8,70.21,70.209999,5364325,5364300,0.16,0.22841,70.28,"April 12, 23",0.0022841
2023-04-11,70.47,70.5,69.97,70.03,70.029999,4762676,4762500,-0.44,-0.62438,70.18,"April 11, 23",-0.0062438
2023-04-10,70.76,70.84,69.99,70.28,70.279999,5646440,5646400,-0.48,-0.67835,70.26,"April 10, 23",-0.0067835
2023-04-06,69.69,71.065,69.6,70.74,70.739998,9669523,9669500,1.05,1.51,70.59,"April 06, 23",0.0151
2023-04-05,69.46,70.205,69.04,69.82,69.25,7739025,7739000,0.36,0.51828,69.82,"April 05, 23",0.0051828
2023-04-04,69.78,69.78,68.625,68.91,68.347435,8626710,8626700,-0.87,-1.25,68.99,"April 04, 23",-0.0125
2023-04-03,69.03,70.005,68.67,69.69,69.121063,7333975,7333900,0.66,0.95611,69.66,"April 03, 23",0.0095611
2023-03-31,68.66,69.38,68.37,69.31,68.744164,8953242,8953200,0.65,0.94669,69.17,"March 31, 23",0.0094669
2023-03-30,68.38,68.53,67.99,68.2,67.643219,4400176,4400100,-0.18,-0.26323,68.22,"March 30, 23",-0.0026323
2023-03-29,68.22,68.46,67.855,68.18,67.62339,5369955,5369900,-0.04,-0.05863383,68.13,"March 29, 23",-0.0005863383
2023-03-28,68.08,68.59,67.96,68.2,67.643219,4715296,4715100,0.12,0.17626,68.25,"March 28, 23",0.0017626
2023-03-27,68.09,68.82,68.01,68.07,67.514282,6711455,6711300,-0.02,-0.02937289,68.28,"March 27, 23",-0.0002937289
2023-03-24,67.2,67.775,66.69,67.68,67.127472,6275289,6274900,0.48,0.71429,67.44,"March 24, 23",0.0071429
2023-03-23,67.59,67.9,66.64,66.98,66.433189,6723635,6723600,-0.61,-0.9025,67.12,"March 23, 23",-0.009025
2023-03-22,67.49,68,67.22,67.24,66.691063,6657597,6657600,-0.25,-0.37043,67.6,"March 22, 23",-0.0037043
2023-03-21,67.48,67.81,66.874,67.51,66.958862,8039687,8039600,0.03,0.04445762,67.47,"March 21, 23",0.0004445762
2023-03-20,66.73,67.375,66.24,67.24,66.691063,9731678,9731700,0.51,0.76427,67.06,"March 20, 23",0.0076427
2023-03-17,67.33,67.33,66.21,66.53,65.986855,21616937,21616900,-0.8,-1.19,66.63,"March 17, 23",-0.0119
2023-03-16,67.03,67.61,65.86,67.1,66.5522,10541662,10541100,0.07,0.10443,67.11,"March 16, 23",0.0010443
2023-03-15,66.12,67.72,66.06,67.48,66.929108,10701891,10701900,1.36,2.06,67.14,"March 15, 23",0.0206
2023-03-14,66.3,66.557,65.76,66.47,65.927345,9408409,9408400,0.17,0.25641,66.25,"March 14, 23",0.0025641
2023-03-13,65.41,67.09,65.275,66,65.461182,9598058,9598000,0.59,0.902,66.31,"March 13, 23",0.00902
2023-03-10,66.32,67.41,65.43,65.71,65.173553,10282416,10282400,-0.61,-0.91978,66.13,"March 10, 23",-0.0091978
2023-03-09,67.6,67.72,66.335,66.51,65.967026,7553551,7553600,-1.09,-1.61,66.77,"March 09, 23",-0.0161
2023-03-08,67.91,68.05,66.94,67.29,66.740654,5963011,5962900,-0.62,-0.91297,67.34,"March 08, 23",-0.0091297
2023-03-07,69.18,69.21,67.44,68,67.444855,8135763,8135800,-1.18,-1.71,67.95,"March 07, 23",-0.0171
2023-03-06,69.37,69.66,68.73,68.9,68.337509,7000228,7000100,-0.47,-0.67753,69.04,"March 06, 23",-0.0067753
2023-03-03,69.36,69.42,68.81,69.3,68.734245,6540126,6540100,-0.06,-0.08650519,69.16,"March 03, 23",-0.0008650519
2023-03-02,69.23,69.725,68.99,69.19,68.625145,6068912,6068900,-0.04,-0.05777842,69.26,"March 02, 23",-0.0005777842
