date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,324.87,326.88,323.48,324.87,324.87,2166832,2166832,0,0,325.08,"May 09, 23",0
2023-05-08,328.26,330.69,325.79,326.14,326.14,3303393,3303393,-2.12,-0.64583,327.22,"May 08, 23",-0.0064583
2023-05-05,323.36,325.16,322.62,323.88,323.88,3876299,3876299,0.52,0.16081,323.85,"May 05, 23",0.0016081
2023-05-04,323.44,325.99,317.41,320,320,3194768,3194768,-3.44,-1.06,319.9,"May 04, 23",-0.0106
2023-05-03,327.13,328.07,323.06,323.22,323.22,2660456,2660456,-3.91,-1.2,325.17,"May 03, 23",-0.012
2023-05-02,330.15,330.25,322.7601,325.86,325.86,3369713,3369713,-4.29,-1.3,325.58,"May 02, 23",-0.013
2023-05-01,329.16,331.84,328.57,330.17,330.17,2465391,2465391,1.01,0.30684,330.47,"May 01, 23",0.0030684
2023-04-28,325.44,328.81,325.19,328.55,328.55,2912387,2912387,3.11,0.95563,327.92,"April 28, 23",0.0095563
2023-04-27,322.86,326.91,322.11,326.23,326.23,2951130,2951130,3.37,1.04,325.16,"April 27, 23",0.0104
2023-04-26,323.31,323.74,319,320.53,320.53,2721238,2721238,-2.78,-0.85986,320.98,"April 26, 23",-0.0085986
2023-04-25,325.99,327.1,324.11,324.34,324.34,2554381,2554381,-1.65,-0.50615,325.21,"April 25, 23",-0.0050615
2023-04-24,324.43,326.395,324.3,326.05,326.05,2262151,2262151,1.62,0.49934,325.43,"April 24, 23",0.0049934
2023-04-21,322.36,324.85,321.61,324.33,324.33,2405869,2405869,1.97,0.61112,323.6,"April 21, 23",0.0061112
2023-04-20,322.2,324.3693,321.324,323.82,323.82,2429179,2429179,1.62,0.50279,323.14,"April 20, 23",0.0050279
2023-04-19,323.85,324.55,322.76,323.09,323.09,2410917,2410917,-0.76,-0.23468,323.32,"April 19, 23",-0.0023468
2023-04-18,324.95,325.7242,322.495,324.63,324.63,3582623,3582623,-0.32,-0.09847669,324.44,"April 18, 23",-0.0009847669
2023-04-17,320.2,323.98,319,323.79,323.79,3426342,3426342,3.59,1.12,322.25,"April 17, 23",0.0112
2023-04-14,318.89,321.88,318.12,319.74,319.74,2976417,2976417,0.85,0.26655,319.82,"April 14, 23",0.0026655
2023-04-13,315.27,318.81,313.26,318.05,318.05,3325989,3325989,2.78,0.88178,317.11,"April 13, 23",0.0088178
2023-04-12,315.97,316.92,313.72,314.55,314.55,2663461,2663461,-1.42,-0.44941,315.17,"April 12, 23",-0.0044941
2023-04-11,312.56,315.94,311.77,313.7,313.7,3109850,3109850,1.14,0.36473,314.18,"April 11, 23",0.0036473
2023-04-10,311.41,313.7,310.335,312.62,312.62,2331743,2331743,1.21,0.38856,311.85,"April 10, 23",0.0038856
2023-04-06,309.82,313.22,309.05,312.51,312.51,3132148,3132148,2.69,0.86825,311.85,"April 06, 23",0.0086825
2023-04-05,307.85,311.07,307.85,310.39,310.39,2314853,2314853,2.54,0.82508,310.13,"April 05, 23",0.0082508
2023-04-04,310.76,311,307.07,309.07,309.07,2740754,2740754,-1.69,-0.54383,308.76,"April 04, 23",-0.0054383
2023-04-03,309.25,311.5,308.24,310.31,310.31,4863537,4863537,1.06,0.34276,310.19,"April 03, 23",0.0034276
2023-03-31,305.9,308.81,304.9877,308.77,308.77,5022204,5022204,2.87,0.93822,307.5,"March 31, 23",0.0093822
2023-03-30,307.09,307.47,302.5772,305.08,305.08,2694985,2694985,-2.01,-0.65453,304.71,"March 30, 23",-0.0065453
2023-03-29,304.8,305.38,303.36,305.3,305.3,2651414,2651414,0.5,0.16404,304.71,"March 29, 23",0.0016404
2023-03-28,301.93,302.72,300.5901,302.32,302.32,2437683,2437683,0.39,0.12917,302.02,"March 28, 23",0.0012917
2023-03-27,300.88,303.21,298.97,302.14,302.14,3835260,3835260,1.26,0.41877,301.83,"March 27, 23",0.0041877
2023-03-24,294.68,299.5,293.3947,298.92,298.92,3905988,3905988,4.24,1.44,297.45,"March 24, 23",0.0144
2023-03-23,301.39,302.0799,296.3,298.37,298.37,4016197,4016197,-3.02,-1,299.19,"March 23, 23",-0.01
2023-03-22,303.72,307.05,299.65,299.73,299.73,3089313,3089313,-3.99,-1.31,303.25,"March 22, 23",-0.0131
2023-03-21,304.56,305.63,302.25,303.85,303.85,4725100,4725100,-0.71,-0.23312,304.08,"March 21, 23",-0.0023312
2023-03-20,295.57,301.51,295.06,301.06,301.06,6059923,6059923,5.49,1.86,299.67,"March 20, 23",0.0186
2023-03-17,301.3,301.3,292.42,293.51,293.51,15611270,15611270,-7.79,-2.59,294.91,"March 17, 23",-0.0259
2023-03-16,296.37,304.43,295.36,302.01,302.01,6327578,6327578,5.64,1.9,300.62,"March 16, 23",0.019
2023-03-15,300.02,300.55,294.9,297.88,297.88,7165298,7165298,-2.14,-0.71329,297.37,"March 15, 23",-0.0071329
2023-03-14,306.92,307.55,301.68,305.33,305.33,5255174,5255174,-1.59,-0.51805,304.8,"March 14, 23",-0.0051805
2023-03-13,301.75,306.59,300.76,302.88,302.88,4993820,4993820,1.13,0.37448,303.92,"March 13, 23",0.0037448
2023-03-10,302.95,306.72,301.92,303.63,303.63,5297790,5297790,0.68,0.22446,304.03,"March 10, 23",0.0022446
2023-03-09,311,313.18,303.9388,304.82,304.82,3934324,3934324,-6.18,-1.99,307.26,"March 09, 23",-0.0199
2023-03-08,310.72,312.675,309.2522,311.37,311.37,2706760,2706760,0.65,0.20919,311.11,"March 08, 23",0.0020919
2023-03-07,316.39,316.5,310.23,311.12,311.12,3610304,3610304,-5.27,-1.67,312.3,"March 07, 23",-0.0167
2023-03-06,312.82,317.29,312.43,316.97,316.97,4892345,4892345,4.15,1.33,316.03,"March 06, 23",0.0133
