date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,49.68,51.11,49.2601,51.09,51.09,19660579,19660579,1.41,2.838,50.4867,"January 20, 23",0.02838
2023-01-19,48.65,49.6,48.47,49.37,49.37,14868267,14868267,0.72,1.48,49.14667,"January 19, 23",0.0148
2023-01-18,50.24,50.48,49.24,49.43,49.43,18948235,18948235,-0.81,-1.612,49.71667,"January 18, 23",-0.01612
2023-01-17,49.86,50.74,49.74,50.31,50.31,28192699,28192699,0.45,0.903,50.26333,"January 17, 23",0.00903
2023-01-13,48.51,50.23,47.74,49.92,49.92,28028712,28028712,1.41,2.907,49.29667,"January 13, 23",0.02907
2023-01-12,49.06,49.48,48.55,49.09,49.09,16275371,16275371,0.03,0.061,49.04,"January 12, 23",0.00061
2023-01-11,48.21,48.74,47.86,48.71,48.71,17139173,17139173,0.5,1.037,48.43667,"January 11, 23",0.01037
2023-01-10,47.56,48.21,47.2,48.19,48.19,12422380,12422380,0.63,1.325,47.86667,"January 10, 23",0.01325
2023-01-09,47.89,48.32,47.47,47.54,47.54,16742588,16742588,-0.35,-0.731,47.77667,"January 09, 23",-0.00731
2023-01-06,47.06,47.69,46.61,47.31,47.31,16735418,16735418,0.25,0.531,47.20333,"January 06, 23",0.00531
2023-01-05,46.7,46.96,45.97,46.75,46.75,12314708,12314708,0.05,0.107,46.56,"January 05, 23",0.00107
2023-01-04,46.54,47.54,46.34,46.96,46.96,21500175,21500175,0.42,0.902,46.94667,"January 04, 23",0.00902
2023-01-03,45.75,46.75,45.54,45.78,45.78,19561711,19561711,0.03,0.066,46.02333,"January 03, 23",0.00066
2022-12-30,44.93,45.28,44.76,45.23,45.23,11778677,11778677,0.3,0.668,45.09,"December 30, 22",0.00668
2022-12-29,44.84,45.24,44.65,45.16,45.16,14122462,14122462,0.32,0.714,45.01667,"December 29, 22",0.00714
2022-12-28,44.43,44.87,44.19,44.62,44.62,12881069,12881069,0.19,0.428,44.56,"December 28, 22",0.00428
2022-12-27,44.28,44.54,43.97,44.39,44.39,14777484,14777484,0.11,0.248,44.3,"December 27, 22",0.00248
2022-12-23,44,44.36,43.88,44.26,44.26,15143394,15143394,0.26,0.591,44.16667,"December 23, 22",0.00591
2022-12-22,44.44,44.44,42.91,43.99,43.99,24472362,24472362,-0.45,-1.013,43.78,"December 22, 22",-0.01013
2022-12-21,44.21,44.89,44.17,44.81,44.81,18652595,18652595,0.6,1.357,44.62333,"December 21, 22",0.01357
2022-12-20,44.15,44.55,43.795,43.81,43.81,12910256,12910256,-0.34,-0.77,44.05167,"December 20, 22",-0.0077
2022-12-19,44.36,44.48,43.48,43.93,43.93,18008853,18008853,-0.43,-0.969,43.96333,"December 19, 22",-0.00969
2022-12-16,44.195,44.66,43.81,44.35,44.35,26954588,26954588,0.155,0.351,44.27333,"December 16, 22",0.00351
2022-12-15,45.09,45.26,44.13,44.62,44.62,20202949,20202949,-0.47,-1.042,44.67,"December 15, 22",-0.01042
2022-12-14,46.51,47.04,45.72,45.98,45.98,16581689,16581689,-0.53,-1.14,46.24667,"December 14, 22",-0.0114
2022-12-13,46.84,47.85,46.24,46.59,46.59,25654804,25654804,-0.25,-0.534,46.89333,"December 13, 22",-0.00534
2022-12-12,44.65,45.8,44.36,45.77,45.77,19045235,19045235,1.12,2.508,45.31,"December 12, 22",0.02508
2022-12-09,44.6,45.19,44.55,44.86,44.86,14031150,14031150,0.26,0.583,44.86667,"December 09, 22",0.00583
2022-12-08,44.85,45.37,44.26,44.69,44.69,15609240,15609240,-0.16,-0.357,44.77333,"December 08, 22",-0.00357
2022-12-07,44.64,45.45,44.31,44.67,44.67,20228586,20228586,0.03,0.067,44.81,"December 07, 22",0.00067
2022-12-06,45.65,45.89,44.2,44.98,44.98,22149725,22149725,-0.67,-1.468,45.02333,"December 06, 22",-0.01468
2022-12-05,46.94,47.12,45.38,45.64,45.64,20373385,20373385,-1.3,-2.769,46.04667,"December 05, 22",-0.02769
2022-12-02,47.28,47.45,46.81,47.24,47.24,12505772,12505772,-0.04,-0.085,47.16667,"December 02, 22",-0.00085
