date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-26,260,262.22,256.8913,262.12,262.12,2402035,2402035.30240648,2.12,0.815,260.41043,"January 26, 23",0.00815
2023-01-25,254.53,259.19,254.32,258.44,258.44,2423493,2423300,3.91,1.536,257.31667,"January 25, 23",0.01536
2023-01-24,252.88,259.05,249.75,257.61,257.61,3511501,3511200,4.73,1.87,255.47,"January 24, 23",0.0187
2023-01-23,250.75,253.68,249.27,252.7,252.7,2609515,2609400,1.95,0.778,251.88333,"January 23, 23",0.00778
2023-01-20,246.87,249.92,244.76,249.71,249.71,2963315,2963300,2.84,1.15,248.13,"January 20, 23",0.0115
2023-01-19,250.4799957,251.25,244.3000031,245.75,245.75,4885200,4885200,-4.73,-1.888,247.1,"January 19, 23",-0.01888
2023-01-18,257.2799988,258.9100037,252.0700073,252.8200073,251.6200104,3361400,3361400,-5.65999,-2.2,254.20001,"January 18, 23",-0.022
2023-01-17,258.8599854,260.5,255.9400024,256.2600098,255.0436859,4100100,4100100,-3.8163,-1.474,257.16123,"January 17, 23",-0.01474
2023-01-13,256.7999878,258.5799866,255.2299957,258.4599915,257.2332153,3066500,3066500,0.43323,0.169,257.0144,"January 13, 23",0.00169
2023-01-12,252,257.3800049,251.0099945,255.0700073,253.8593292,3881500,3881500,1.85933,0.738,254.08311,"January 12, 23",0.00738
2023-01-11,251.4900055,251.8899994,247.1300049,250.7299957,249.539917,2402400,2402400,-1.95009,-0.775,249.51997,"January 11, 23",-0.00775
2023-01-10,246.9499969,250.8399963,246.4499969,250.5099945,249.3209686,3011900,3011900,2.37097,0.96,248.87032,"January 10, 23",0.0096
2023-01-09,249.0099945,250.9700012,246,246.6199951,245.4494324,3417100,3417100,-3.56056,-1.43,247.47314,"January 09, 23",-0.0143
2023-01-06,242.8899994,249.9100037,242.2400055,248.8600006,247.6788025,3944300,3944300,4.7888,1.972,246.6096,"January 06, 23",0.01972
