date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-27,230.86,231.37,227.02,227.33,227.33,1493291,1493291.73553485,-3.53,-1.529,228.57333,"January 27, 23",-0.01529
2023-01-26,229.77,231.21,228.675,231.11,231.11,1054368,1054309,1.34,0.583,230.33167,"January 26, 23",0.00583
2023-01-25,227.49,230.82,227,229.77,229.77,1640226,1640183,2.28,1.002,229.19667,"January 25, 23",0.01002
2023-01-24,223.99,229.55,202.67,228.35,228.35,1533011,1532968,4.36,1.947,220.19,"January 24, 23",0.01947
2023-01-23,220.74,223.81,220.35,223.59,223.59,1753584,1753473,2.85,1.291,222.58333,"January 23, 23",0.01291
2023-01-20,219.86,220.65,217.55,220.43,220.43,1464887,1464743,0.57,0.259,219.54333,"January 20, 23",0.00259
2023-01-19,220.78,221.21,217.7,219.25,219.25,1529598,1529525,-1.53,-0.693,219.38667,"January 19, 23",-0.00693
2023-01-18,224.24,224.94,220.54,220.57,220.57,1439115,1439088,-3.67,-1.637,222.01667,"January 18, 23",-0.01637
2023-01-17,227.77,227.77,223.89,224.63,224.63,2360771,2360592,-3.14,-1.379,225.43,"January 17, 23",-0.01379
2023-01-13,224.48,227.87,223.58,227.19,227.19,1081265,1081183,2.71,1.207,226.21333,"January 13, 23",0.01207
2023-01-12,224.53,226.85,223,225.6,225.6,1024583,1024517,1.07,0.477,225.15,"January 12, 23",0.00477
2023-01-11,224.82,225.71,223.59,224.61,224.61,1477572,1477450,-0.21,-0.093,224.63667,"January 11, 23",-0.00093
2023-01-10,223.91,225.48,223.07,224.77,224.77,1189265,1189173,0.86,0.384,224.44,"January 10, 23",0.00384
2023-01-09,226.6,227.86,223.36,223.51,223.51,1778090,1778021,-3.09,-1.364,224.91,"January 09, 23",-0.01364
2023-01-06,225.03,230.27,224.3,228.86,228.86,1758191,1758152,3.83,1.702,227.81,"January 06, 23",0.01702
2023-01-05,224.25,225.8,221.22,223.56,223.56,1542538,1542480,-0.69,-0.308,223.52667,"January 05, 23",-0.00308
2023-01-04,221.91,225.26,221.3544,224.4,224.4,1753231,1753224,2.49,1.122,223.67147,"January 04, 23",0.01122
2023-01-03,220,221.24,217.59,220.77,220.77,1804395,1804374,0.77,0.35,219.86667,"January 03, 23",0.0035
2022-12-30,221.18,221.98,218.89,220.6,220.6,1046868,1046778,-0.58,-0.262,220.49,"December 30, 22",-0.00262
2022-12-29,220.77,223.05,219.7,222.08,222.08,1050901,1050830,1.31,0.593,221.61,"December 29, 22",0.00593
2022-12-28,221.28,222.33,219.78,219.82,219.82,1367421,1367395,-1.46,-0.66,220.64333,"December 28, 22",-0.0066
2022-12-27,219.8,221.77,219.43,220.9,220.9,1468774,1468676,1.1,0.5,220.7,"December 27, 22",0.005
2022-12-23,217.7,219.71,217.075,219.65,219.65,847911,847866,1.95,0.896,218.81167,"December 23, 22",0.00896
2022-12-22,216.73,219.32,215,217.39,217.39,1187924,1187885,0.66,0.305,217.23667,"December 22, 22",0.00305
2022-12-21,216.12,218.82,215.3,218.76,218.76,1181552,1181533,2.64,1.222,217.62667,"December 21, 22",0.01222
2022-12-20,213.21,216.24,212.19,214.7,214.7,1273832,1273832,1.49,0.699,214.37667,"December 20, 22",0.00699
2022-12-19,211.75,214.9,210.85,211.96,211.96,1156810,1156708,0.21,0.099,212.57,"December 19, 22",0.00099
2022-12-16,211.34,213.25,209.03,211.68,211.68,3937403,3937119,0.34,0.161,211.32,"December 16, 22",0.00161
2022-12-15,213.9199982,214.9400024,211.3300018,212.7700043,212.7700043,3117300,3117300,-1.14999,-0.538,213.01334,"December 15, 22",-0.00538
2022-12-14,217.3699951,221.1000061,215.2799988,216.8200073,215.9900055,1656500,1656500,-1.37999,-0.635,217.45667,"December 14, 22",-0.00635
2022-12-13,220,220.0200043,215.1000061,217.0399933,216.2091522,2063500,2063500,-3.79085,-1.723,217.10972,"December 13, 22",-0.01723
2022-12-12,217.1999969,218.1499939,215.6199951,217.5299988,216.6972809,1327100,1327100,-0.50272,-0.231,216.82242,"December 12, 22",-0.00231
2022-12-09,219.2400055,219.7200012,217.2200012,217.3300018,216.4980469,1356900,1356900,-2.74196,-1.251,217.81268,"December 09, 22",-0.01251
2022-12-08,218.3300018,219.3800049,217.6100006,219.1799927,218.3409576,1651600,1651600,0.01096,0.005,218.44365,"December 08, 22",5e-05
2022-12-07,216.8000031,220.1300049,216.1999969,217.6000061,216.7670288,1762400,1762400,-0.03297,-0.015,217.69901,"December 07, 22",-0.00015
2022-12-06,215.6799927,218.2400055,215.0099945,217.6300049,216.7969055,1496700,1496700,1.11691,0.518,216.6823,"December 06, 22",0.00518
2022-12-05,217.5500031,219.0800018,214.25,215.4299927,214.6053162,2214600,2214600,-2.94469,-1.354,215.97844,"December 05, 22",-0.01354
2022-12-02,217.1900024,219.4100037,216.3899994,219.1600037,218.3210449,1109700,1109700,1.13104,0.521,218.04035,"December 02, 22",0.00521
2022-12-01,222,222,216.9100037,218.3200073,217.4842682,1746000,1746000,-4.51573,-2.034,218.79809,"December 01, 22",-0.02034
2022-11-30,215.5299988,220,215.3000031,219.5899963,218.7493896,3612300,3612300,3.21939,1.494,218.01646,"November 30, 22",0.01494
2022-11-29,215.6000061,217.1399994,214.7400055,216.6799927,215.8505249,1270800,1270800,0.25052,0.116,215.91018,"November 29, 22",0.00116
2022-11-28,215.0800018,216.6699982,214.8699951,215.3999939,214.5754395,2027600,2027600,-0.50456,-0.235,215.37181,"November 28, 22",-0.00235
2022-11-25,215,216.5899963,214.6600037,216.2299957,215.4022522,639400,639400,0.40225,0.187,215.55075,"November 25, 22",0.00187
2022-11-23,213,214.5200043,213,214.1499939,213.3302155,1396300,1396300,0.33022,0.155,213.61674,"November 23, 22",0.00155
2022-11-22,211.3999939,213.3800049,210.8600006,213.0200043,212.2045593,1302900,1302900,0.80457,0.381,212.14819,"November 22, 22",0.00381
2022-11-21,210.5200043,211.4499969,209.3899994,210.3800049,209.5746613,963000,963000,-0.94534,-0.449,210.13822,"November 21, 22",-0.00449
2022-11-18,211.4900055,212.1900024,208.2299957,210.1399994,209.3355713,1444200,1444200,-2.15443,-1.019,209.91852,"November 18, 22",-0.01019
2022-11-17,206.0899963,209.9900055,206.0099945,209.0399933,208.2397766,854100,854100,2.14978,1.043,208.07993,"November 17, 22",0.01043
2022-11-16,206.7599945,207.7899933,205.25,207.2799988,206.4865265,1144100,1144100,-0.27347,-0.132,206.50884,"November 16, 22",-0.00132
2022-11-15,206.9499969,206.9600067,203.2899933,206.6300049,205.8390198,1439800,1439800,-1.11098,-0.537,205.36301,"November 15, 22",-0.00537
2022-11-14,206.8300018,209.2700043,205.0399933,205.1000061,204.3148804,1555600,1555600,-2.51512,-1.216,206.20829,"November 14, 22",-0.01216
2022-11-11,213.9199982,214.2700043,205.4299927,206.2599945,205.4704285,2620200,2620200,-8.44957,-3.95,208.39014,"November 11, 22",-0.0395
2022-11-10,215.0399933,215.0599976,209.8500061,211.9100037,211.0988007,2436600,2436600,-3.94119,-1.833,212.00293,"November 10, 22",-0.01833
2022-11-09,212,213.5,209.7599945,210.1199951,209.3156433,1544100,1544100,-2.68436,-1.266,210.85855,"November 09, 22",-0.01266
2022-11-08,211.0200043,213.5700073,209.0200043,212.4100037,211.5968933,1384400,1384400,0.57689,0.273,211.39563,"November 08, 22",0.00273
2022-11-07,210.3500061,213.8999939,209.1699982,212.0899963,211.2781067,2389400,2389400,0.9281,0.441,211.44937,"November 07, 22",0.00441
2022-11-04,211,212.1799927,207.0299988,209.1600037,208.3593292,1864200,1864200,-2.64067,-1.252,209.18977,"November 04, 22",-0.01252
2022-11-03,209.0700073,211.6999969,207.8699951,209.6399994,208.8374939,1561800,1561800,-0.23251,-0.111,209.46916,"November 03, 22",-0.00111
2022-11-02,212.3899994,215.1699982,210.1699982,210.5399933,209.7340393,2227100,2227100,-2.65596,-1.251,211.69135,"November 02, 22",-0.01251
2022-11-01,215.4499969,216,213.3099976,213.4799957,212.6627808,2298300,2298300,-2.78722,-1.294,213.99093,"November 01, 22",-0.01294
2022-10-31,212.5899963,215.5,211.9400024,214.8899994,214.0673828,2559600,2559600,1.47739,0.695,213.8358,"October 31, 22",0.00695
2022-10-28,209.25,214.8899994,208.8200073,214.5,213.6788788,1850300,1850300,4.42888,2.117,212.46296,"October 28, 22",0.02117
2022-10-27,206.2400055,210.2100067,205.6100006,207.5299988,206.7355652,2061300,2061300,0.49556,0.24,207.51852,"October 27, 22",0.0024
2022-10-26,213.6999969,214.0200043,203.1499939,204.1499939,203.3684998,2151500,2151500,-10.3315,-4.835,206.84617,"October 26, 22",-0.04835
2022-10-25,200.4700012,201.6300049,198.6600037,201.4299927,200.658905,1967900,1967900,0.1889,0.094,200.3163,"October 25, 22",0.00094
2022-10-24,199.3800049,205.0099945,199.3800049,203.3800049,202.6014557,2022900,2022900,3.22145,1.616,202.33049,"October 24, 22",0.01616
2022-10-21,192.7899933,197.9700012,191.5899963,197.7899933,197.0328369,1529000,1529000,4.24284,2.201,195.53094,"October 21, 22",0.02201
2022-10-20,194.0200043,196.0899963,191.5700073,192.2100067,191.4742126,1670200,1670200,-2.54579,-1.312,193.04474,"October 20, 22",-0.01312
2022-10-19,194,197.8300018,193.8600006,195.9799957,195.2297821,1415800,1415800,1.22978,0.634,195.63993,"October 19, 22",0.00634
2022-10-18,197.0800018,197.3200073,192.5800018,194.6499939,193.9048615,1148400,1148400,-3.17514,-1.611,194.60162,"October 18, 22",-0.01611
2022-10-17,190,193.3300018,190,192.6900024,191.9523773,1610100,1610100,1.95238,1.028,191.76079,"October 17, 22",0.01028
2022-10-14,194.5899963,195.6900024,188.0599976,188.7700043,188.0473785,2065600,2065600,-6.54262,-3.362,190.59913,"October 14, 22",-0.03362
2022-10-13,182.5500031,194.4700012,181.3200073,193.7299957,192.9883881,1557600,1557600,10.43839,5.718,189.5928,"October 13, 22",0.05718
2022-10-12,185.6199951,188.3300018,184.2899933,185,184.2918091,1406000,1406000,-1.32819,-0.716,185.63727,"October 12, 22",-0.00716
2022-10-11,184.9199982,188.3600006,184.4700012,185.6999969,184.9891357,1175300,1175300,0.06914,0.037,185.93971,"October 11, 22",0.00037
2022-10-10,186.2400055,187.5,184.4400024,184.9199982,184.2121124,1292000,1292000,-2.02789,-1.089,185.38404,"October 10, 22",-0.01089
2022-10-07,187.9299927,188.2400055,184.0500031,184.6799927,183.9730225,1271500,1271500,-3.95697,-2.106,185.42101,"October 07, 22",-0.02106
2022-10-06,190.1000061,190.2100067,188.0399933,188.8200073,188.0971985,1006300,1006300,-2.00281,-1.054,188.7824,"October 06, 22",-0.01054
2022-10-05,191.1199951,192.4199982,190.2599945,190.6300049,189.9002686,987100,987100,-1.21973,-0.638,190.86009,"October 05, 22",-0.00638
2022-10-04,188.1300049,192.9600067,188.0500031,192.7599945,192.0220947,1592800,1592800,3.89209,2.069,191.0107,"October 04, 22",0.02069
2022-10-03,183.4199982,187.75,181.2299957,187.1000061,186.3837738,1358900,1358900,2.96378,1.616,185.12126,"October 03, 22",0.01616
2022-09-30,184.25,186.4799957,181.6399994,181.8800049,181.1837616,1916000,1916000,-3.06624,-1.664,183.10125,"September 30, 22",-0.01664
2022-09-29,179.41,184.63,177.995,183.0765,183.0765,2247853,2247687,4.37,2.436,182.135,"September 29, 22",0.02436
2022-09-28,178.8399963,181.9600067,177.4799957,180.3200073,179.6297302,1743500,1743500,0.78973,0.442,179.68991,"September 28, 22",0.00442
2022-09-27,175.6300049,178.9299927,174.5200043,178.1399994,177.4580688,2213800,2213800,1.82806,1.041,176.96936,"September 27, 22",0.01041
2022-09-26,179.2100067,179.6000061,173.7799988,174.7400055,174.0710907,1880800,1880800,-5.13892,-2.868,175.81703,"September 26, 22",-0.02868
2022-09-23,180.2400055,181.7100067,178.1100006,180.2899933,179.5998383,1880000,1880000,-0.64017,-0.355,179.80662,"September 23, 22",-0.00355
2022-09-22,182.6499939,183.3099976,180.7799988,181.4900055,180.7952576,1775800,1775800,-1.85474,-1.015,181.62842,"September 22, 22",-0.01015
2022-09-21,188.4600067,188.8800049,182.3999939,182.4700012,181.7714996,1325700,1325700,-6.68851,-3.549,184.3505,"September 21, 22",-0.03549
2022-09-20,190.4400024,190.4400024,185.6100006,187.5800018,186.8619385,1802900,1802900,-3.57806,-1.879,187.63731,"September 20, 22",-0.01879
2022-09-19,188.0099945,191.9400024,187.0899963,191.8800049,191.1454773,1205800,1205800,3.13548,1.668,190.05849,"September 19, 22",0.01668
2022-09-16,190.1000061,191.3000031,188.6000061,189.25,188.5255432,3844900,3844900,-1.57446,-0.828,189.47518,"September 16, 22",-0.00828
2022-09-15,192.1600037,193.7899933,190.5800018,192.1600037,191.424408,1476600,1476600,-0.7356,-0.383,191.93147,"September 15, 22",-0.00383
2022-09-14,193.8800049,194.8399963,191.3500061,193.2599945,191.6933594,1667500,1667500,-2.18665,-1.128,192.62779,"September 14, 22",-0.01128
2022-09-13,194.7100067,195.9499969,192.9600067,193.1999969,191.6338501,1394800,1394800,-3.07616,-1.58,193.51462,"September 13, 22",-0.0158
2022-09-12,195.7700043,198.0200043,195.1399994,196.9799957,195.3832092,1133000,1133000,-0.3868,-0.198,196.18107,"September 12, 22",-0.00198
2022-09-09,195.5500031,196.2700043,194.4400024,195,193.4192505,1380700,1380700,-2.13075,-1.09,194.70975,"September 09, 22",-0.0109
2022-09-08,193.0599976,195.3800049,192.3300018,195.1100006,193.5283661,1560400,1560400,0.46837,0.243,193.74612,"September 08, 22",0.00243
2022-09-07,190.6499939,194.1699982,190.3600006,193.6799927,192.1099548,1135500,1135500,1.45996,0.766,192.21332,"September 07, 22",0.00766
2022-09-06,191.75,192.3300018,189.8999939,190.4299927,188.8863068,1098700,1098700,-2.86369,-1.493,190.3721,"September 06, 22",-0.01493
2022-09-02,193.7599945,195.8600006,190,190.8800049,189.3326569,1039500,1039500,-4.42734,-2.285,191.73089,"September 02, 22",-0.02285
2022-09-01,189.1300049,192.25,188.5099945,192.1399994,190.5824432,1205500,1205500,1.45244,0.768,190.44748,"September 01, 22",0.00768
2022-08-31,190.1799927,192.1100006,189.0399933,189.0500031,187.5175018,1759700,1759700,-2.66249,-1.4,189.55583,"August 31, 22",-0.014
2022-08-30,192.2899933,192.5200043,189.6499939,189.9900055,188.4498749,1119700,1119700,-3.84012,-1.997,190.20662,"August 30, 22",-0.01997
2022-08-29,192.0800018,193.6499939,190.1900024,192.1600037,190.6022949,995900,995900,-1.47771,-0.769,191.48076,"August 29, 22",-0.00769
2022-08-26,198.25,198.25,193.3500061,193.5099945,191.94133,1130200,1130200,-6.30867,-3.182,194.51378,"August 26, 22",-0.03182
2022-08-25,196.9199982,197.8999939,195.6799927,197.5099945,195.908905,708000,708000,-1.01109,-0.513,196.4963,"August 25, 22",-0.00513
2022-08-24,195.6000061,196.7299957,194.3500061,196.4100037,194.8178406,776500,776500,-0.78217,-0.4,195.29928,"August 24, 22",-0.004
2022-08-23,197,197.9799957,196.2599945,196.7299957,195.1352234,1048000,1048000,-1.86478,-0.947,196.4584,"August 23, 22",-0.00947
2022-08-22,198,198.4100037,196.5,197.0200043,195.4228973,1150900,1150900,-2.5771,-1.302,196.77763,"August 22, 22",-0.01302
2022-08-19,202.5299988,202.7299957,200.4100037,200.5800018,198.9540253,2016000,2016000,-3.57597,-1.766,200.69801,"August 19, 22",-0.01766
2022-08-18,200.9600067,202.4199982,200.7100067,202.4100037,200.7691956,1064200,1064200,-0.19081,-0.095,201.29973,"August 18, 22",-0.00095
2022-08-17,197.6900024,201.1600037,197.2599945,200.9400024,199.3111115,951400,951400,1.62111,0.82,199.2437,"August 17, 22",0.0082
2022-08-16,196.7799988,200.1600037,196.7799988,199.0500031,197.4364319,1193200,1193200,0.65643,0.334,198.12548,"August 16, 22",0.00334
2022-08-15,195.5,197.9799957,195.4499969,196.7100067,195.1154022,1397700,1397700,-0.3846,-0.197,196.1818,"August 15, 22",-0.00197
2022-08-12,194.5299988,197.5899963,194.2100067,197.5500031,195.9485931,942000,942000,1.41859,0.729,195.9162,"August 12, 22",0.00729
