Date,Open,High,Low,Close,Adj Close,Volume
1998-08-18,12.875,13.125,12.875,13.0,9.671460151672363,5783000
1998-08-19,13.0,13.25,13.0,13.0,9.671460151672363,388700
1998-08-20,13.125,13.25,13.0,13.0,9.671460151672363,348500
1998-08-21,13.0,13.0,13.0,13.0,9.671460151672363,804000
1998-08-24,13.0,13.0,13.0,13.0,9.671460151672363,119700
1998-08-25,13.0,13.0,12.875,13.0,9.671460151672363,294100
1998-08-26,13.0,13.0,12.125,12.25,9.113493919372559,383800
1998-08-27,12.25,12.375,10.75,11.125,8.27653694152832,435300
1998-08-28,11.375,11.375,10.0,10.0,7.439586639404297,192400
1998-08-31,10.0,10.125,7.625,8.125,6.044661998748779,150800
1998-09-01,8.25,9.0,6.6875,8.5,6.3236470222473145,440700
1998-09-02,8.5,10.5,8.5,9.5625,7.114104270935059,509200
1998-09-03,9.75,9.75,8.5,8.75,6.509637355804443,165900
1998-09-04,9.0,9.0,8.125,8.375,6.230651378631592,155700
1998-09-08,9.0,10.0,8.75,9.875,7.346591949462891,149300
1998-09-09,9.875,10.0,9.5,9.5,7.067606449127197,116900
1998-09-10,9.375,9.375,9.0,9.25,6.881616592407227,80700
1998-09-11,9.3125,9.375,9.0,9.0,6.695627212524414,84800
1998-09-14,9.25,9.625,9.0,9.0,6.695627212524414,90800
1998-09-15,9.125,9.25,8.625,8.75,6.509637355804443,200400
1998-09-16,8.75,8.75,7.75,7.875,5.858673572540283,221300
1998-09-17,7.875,8.625,7.875,8.28125,6.160907745361328,87300
1998-09-18,8.375,8.6875,7.75,8.25,6.137657165527344,147300
1998-09-21,7.875,8.0,6.875,7.0,5.207710266113281,472900
1998-09-22,7.125,8.125,7.0625,8.0,5.951667785644531,728300
1998-09-23,8.25,8.625,8.0,8.375,6.230651378631592,382500
1998-09-24,8.5,9.375,8.5,9.0625,6.742125511169434,280800
1998-09-25,8.75,9.4375,8.75,9.375,6.974612236022949,44400
1998-09-28,9.5,9.875,9.375,9.375,6.974612236022949,26500
1998-09-29,9.5,9.75,9.25,9.53125,7.09085750579834,88300
1998-09-30,9.5,10.0625,9.375,9.625,7.1606011390686035,172300
1998-10-01,9.625,9.625,8.875,8.875,6.602633476257324,85500
1998-10-02,8.875,9.25,8.875,8.875,6.602633476257324,58700
1998-10-05,8.75,8.875,8.0,8.0,5.951667785644531,63000
1998-10-06,9.0,9.125,8.0,8.375,6.230651378631592,129500
1998-10-07,8.375,8.625,7.8125,7.8125,5.812175750732422,340400
1998-10-08,7.75,7.8125,6.0,6.3125,4.696238040924072,346800
1998-10-09,7.0,7.125,6.125,6.25,4.649740219116211,271500
1998-10-12,6.5,6.5,6.0,6.25,4.649740219116211,660400
1998-10-13,6.25,7.5,6.25,7.0,5.207710266113281,228600
1998-10-14,6.875,7.625,6.875,7.625,5.672684192657471,46400
1998-10-15,7.5,7.625,7.375,7.5625,5.626186847686768,44100
1998-10-16,7.8125,8.375,7.5,7.875,5.858673572540283,421600
1998-10-19,8.125,8.5625,8.0,8.5625,6.37014627456665,50600
1998-10-20,8.625,9.5,8.5,9.375,6.974612236022949,354800
1998-10-21,9.4375,10.375,9.4375,10.0,7.439586639404297,156000
1998-10-22,10.125,11.5,10.0,11.4375,8.509025573730469,134600
1998-10-23,11.625,13.125,11.375,13.0,9.671460151672363,411400
1998-10-26,13.0,13.0,12.625,12.75,9.485471725463867,125500
1998-10-27,12.875,13.375,12.375,12.4375,9.252981185913086,417500
1998-10-28,12.375,12.75,12.25,12.75,9.485471725463867,53000
1998-10-29,12.625,13.0625,11.75,12.0,8.92750072479248,280000
1998-10-30,12.0,12.875,11.875,12.875,9.578465461730957,198600
1998-11-02,12.9375,13.3125,12.625,12.875,9.578465461730957,105900
1998-11-03,12.8125,12.875,12.625,12.75,9.485471725463867,24900
1998-11-04,12.875,12.875,12.25,12.5,9.299480438232422,105800
1998-11-05,12.5,13.25,12.3125,13.25,9.857451438903809,81800
1998-11-06,13.25,13.3125,12.875,13.25,9.857451438903809,55600
1998-11-09,12.875,13.3125,12.75,13.25,9.857451438903809,84200
1998-11-10,13.25,13.3125,12.875,13.0,9.671460151672363,22600
1998-11-11,12.875,13.125,12.625,12.75,9.485471725463867,22200
1998-11-12,12.75,12.75,12.25,12.5,9.299480438232422,23700
1998-11-13,12.5625,12.5625,10.5,11.8125,8.78801155090332,96600
1998-11-16,11.6875,12.25,11.25,11.5,8.555522918701172,70500
