date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,310.69,312.34,306.01,308.36,308.36,1107459,1107459,-2.33,-0.75,308.90333,"January 20, 23",-0.0075
2023-01-19,309.5,313.75,309.24,310.66,310.66,1207717,1207717,1.16,0.375,311.21667,"January 19, 23",0.00375
2023-01-18,314.43,316.26,307.97,308.36,308.36,1106090,1106090,-6.07,-1.93,310.86333,"January 18, 23",-0.0193
2023-01-17,314.78,318.2,313.7,315,315,1813016,1813016,0.22,0.07,315.63333,"January 17, 23",0.0007
2023-01-13,309.47,317.44,309.47,314.21,314.21,1407897,1407897,4.74,1.532,313.70667,"January 13, 23",0.01532
2023-01-12,308.58,311.99,306.82,310.22,310.22,1278633,1278633,1.64,0.531,309.67667,"January 12, 23",0.00531
2023-01-11,303.45,311.27,303.26,309.23,309.23,1608302,1608302,5.78,1.905,307.92,"January 11, 23",0.01905
2023-01-10,303.42,306.935,302.26,303.79,303.79,1288371,1288371,0.37,0.122,304.32833,"January 10, 23",0.00122
2023-01-09,302.75,304.63,299.49,303.04,303.04,2531407,2531407,0.29,0.096,302.38667,"January 09, 23",0.00096
2023-01-06,305.36,305.36,299.51,302.68,302.68,3422940,3422940,-2.68,-0.878,302.51667,"January 06, 23",-0.00878
2023-01-05,308.93,308.93,303.3,304.19,304.19,1752013,1752013,-4.74,-1.534,305.47333,"January 05, 23",-0.01534
2023-01-04,321.07,322.05,307.1176,310.3,310.3,2155755,2155755,-10.77,-3.354,313.15587,"January 04, 23",-0.03354
2023-01-03,327.36,327.715,318.04,321.48,321.48,1559527,1559527,-5.88,-1.796,322.41167,"January 03, 23",-0.01796
2022-12-30,330.7,331.82,327.37,331.34,331.34,655277,655277,0.64,0.194,330.17667,"December 30, 22",0.00194
2022-12-29,333.74,334,330.405,330.72,330.72,583520,583520,-3.02,-0.905,331.70833,"December 29, 22",-0.00905
2022-12-28,335.01,335.87,331.485,331.85,331.85,547727,547727,-3.16,-0.943,333.06833,"December 28, 22",-0.00943
2022-12-27,335.4,335.86,333.195,334.1,334.1,557944,557944,-1.3,-0.388,334.385,"December 27, 22",-0.00388
2022-12-23,333.28,335.81,332.03,334.31,334.31,618893,618893,1.03,0.309,334.05,"December 23, 22",0.00309
2022-12-22,333.23,334.55,329.65,333.28,333.28,888552,888552,0.05,0.015,332.49333,"December 22, 22",0.00015
2022-12-21,332.2,333.77,327.405,333.16,333.16,1283048,1283048,0.96,0.289,331.445,"December 21, 22",0.00289
2022-12-20,330.62,333.46,329.37,329.54,329.54,983678,983678,-1.08,-0.327,330.79,"December 20, 22",-0.00327
2022-12-19,327.8,331.96,326.72,330.78,330.78,1040713,1040713,2.98,0.909,329.82,"December 19, 22",0.00909
2022-12-16,327.95,329.605,321.595,327.29,327.29,1748969,1748969,-0.66,-0.201,326.16333,"December 16, 22",-0.00201
2022-12-15,332.49,334,329.35,331.45,331.45,1837412,1837412,-1.04,-0.313,331.6,"December 15, 22",-0.00313
2022-12-14,332.49,336,330.67,334.68,334.68,1165217,1165217,2.19,0.659,333.78333,"December 14, 22",0.00659
2022-12-13,340,340,330.08,330.25,330.25,2003028,2003028,-9.75,-2.868,333.44333,"December 13, 22",-0.02868
2022-12-12,332.29,339.51,332.29,339.3,339.3,1566599,1566599,7.01,2.11,337.03333,"December 12, 22",0.0211
2022-12-09,333.22,336.31,332.08,332.12,332.12,1323713,1323713,-1.1,-0.33,333.50333,"December 09, 22",-0.0033
2022-12-08,333.41,335.65,332.19,333.5,333.5,1039548,1039548,0.09,0.027,333.78,"December 08, 22",0.00027
2022-12-07,329.5,332.9,328.64,332.19,332.19,1951713,1951713,2.69,0.816,331.24333,"December 07, 22",0.00816
2022-12-06,327.8,331.95,325.99,329.64,329.64,1300610,1300610,1.84,0.561,329.19333,"December 06, 22",0.00561
