date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,40.41,40.5,39.57,39.62,39.619999,23318014,22617081,-0.79,-1.95,39.74,"May 09, 23",-0.0195
2023-05-08,40.53,40.8,40.26,40.59,40.59,16351918,16351900,0.06,0.14804,40.57,"May 08, 23",0.0014804
2023-05-05,40.57,40.63,39.85,40.43,40.43,18935503,18935300,-0.14,-0.34508,40.26,"May 05, 23",-0.0034508
2023-05-04,40.77,40.78,40.0101,40.22,40.220001,15142996,15143000,-0.55,-1.35,40.29,"May 04, 23",-0.0135
2023-05-03,41.36,41.525,40.81,40.89,40.889999,19592945,19592900,-0.47,-1.14,41.06,"May 03, 23",-0.0114
2023-05-02,41.53,41.64,40.515,41.2,41.200001,20977807,20977800,-0.33,-0.79461,41.08,"May 02, 23",-0.0079461
2023-05-01,42,42,41.53,41.64,41.639999,17235464,17235500,-0.36,-0.85714,41.73,"May 01, 23",-0.0085714
2023-04-28,40.04,41.42,39.99,41.37,41.369999,24806841,24805400,1.33,3.32,41.18,"April 28, 23",0.0332
2023-04-27,37.7,40.425,37.6,40.27,40.27,31581371,31581400,2.57,6.82,39.59,"April 27, 23",0.0682
2023-04-26,36.68,36.95,36.385,36.52,36.52,19547805,19547800,-0.16,-0.43621,36.58,"April 26, 23",-0.0043621
2023-04-25,36.97,37.1288,36.75,36.9,36.900002,18185351,18185400,-0.07,-0.18934,36.94,"April 25, 23",-0.0018934
2023-04-24,37.67,37.73,37.075,37.21,37.209999,13364755,13364800,-0.46,-1.22,37.29,"April 24, 23",-0.0122
2023-04-21,37.8,37.8528,37.5,37.74,37.740002,13679361,13679400,-0.06,-0.15873,37.7,"April 21, 23",-0.0015873
2023-04-20,38.04,38.17,37.575,37.73,37.73,14347716,14347700,-0.31,-0.81493,37.82,"April 20, 23",-0.0081493
2023-04-19,38.03,38.43,37.98,38.25,38.25,13400993,13401000,0.22,0.57849,38.26,"April 19, 23",0.0057849
2023-04-18,38.85,39.06,37.951,38.27,38.27,17250165,17250100,-0.58,-1.49,38.3,"April 18, 23",-0.0149
2023-04-17,37.99,38.24,37.94,38.09,38.09,14930519,14930500,0.1,0.26323,38.07,"April 17, 23",0.0026323
2023-04-14,37.985,38.205,37.43,37.96,37.959999,19679100,19679100,-0.025,-0.06581545,37.82,"April 14, 23",-0.0006581545
2023-04-13,37.89,38.3,37.74,38.05,38.049999,15539377,15539200,0.16,0.42228,38.07,"April 13, 23",0.0042228
2023-04-12,38.7,38.74,37.54,37.64,37.639999,16207543,16207500,-1.06,-2.74,37.92,"April 12, 23",-0.0274
2023-04-11,38.33,38.69,38.28,38.38,38.380001,14214857,14214800,0.05,0.13045,38.45,"April 11, 23",0.0013045
2023-04-10,37.53,38.28,37.42,38.23,38.23,12432581,12432400,0.7,1.87,38.1,"April 10, 23",0.0187
2023-04-06,38.04,38.0753,37.55,37.69,37.689999,20359116,20359100,-0.35,-0.92008,37.7,"April 06, 23",-0.0092008
2023-04-05,37.63,38.1,37.535,37.92,37.919998,16510585,16510500,0.29,0.77066,37.91,"April 05, 23",0.0077066
2023-04-04,37.95,38.0376,37.46,37.77,37.77,20121032,20121000,-0.18,-0.47431,37.7,"April 04, 23",-0.0047431
2023-04-03,38,38.35,37.82,38.01,37.719997,19698330,19698300,0.01,0.02631579,38.09,"April 03, 23",0.0002631579
2023-03-31,37.28,37.95,37.205,37.91,37.620762,15858425,15858200,0.63,1.69,37.75,"March 31, 23",0.0169
2023-03-30,37.39,37.4,36.97,37.15,36.866562,14922313,14922200,-0.24,-0.64188,37.11,"March 30, 23",-0.0064188
2023-03-29,36.83,36.995,36.725,36.95,36.668087,14579802,14579700,0.12,0.32582,36.89,"March 29, 23",0.0032582
2023-03-28,36.41,36.79,36.35,36.45,36.171902,11818084,11818100,0.04,0.10986,36.51,"March 28, 23",0.0010986
2023-03-27,36.18,36.615,36.17,36.4,36.122284,16333786,16333800,0.22,0.60807,36.44,"March 27, 23",0.0060807
2023-03-24,35.7,36.13,35.28,35.92,35.645943,20371184,20371000,0.22,0.61625,35.77,"March 24, 23",0.0061625
2023-03-23,36.11,36.48,35.635,35.97,35.695564,20322970,20323000,-0.14,-0.3877,36.03,"March 23, 23",-0.003877
2023-03-22,37.1,37.26,36.17,36.2,35.923809,16159230,16159200,-0.9,-2.43,36.61,"March 22, 23",-0.0243
2023-03-21,36.77,37.085,36.665,36.99,36.707783,17058185,17058200,0.22,0.59831,36.9,"March 21, 23",0.0059831
2023-03-20,36.19,36.54,36.16,36.43,36.152054,16516473,16516500,0.24,0.66317,36.39,"March 20, 23",0.0066317
2023-03-17,35.87,36.21,35.63,36.03,35.755104,51723725,51723700,0.16,0.44606,36,"March 17, 23",0.0044606
2023-03-16,35.41,36.305,35.41,36.24,35.963505,22245189,22245100,0.83,2.34,36.11,"March 16, 23",0.0234
