date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,120.16,121.91,119.33,121.8,121.8,4178279,4178279,1.64,1.365,121.01333,"January 20, 23",0.01365
2023-01-19,117.55,120.26,116.26,119.64,119.64,5049434,5049434,2.09,1.778,118.72,"January 19, 23",0.01778
2023-01-18,121.2,123.71,118.36,118.55,118.55,5137088,5137088,-2.65,-2.186,120.20667,"January 18, 23",-0.02186
2023-01-17,121.06,122.54,119.56,120.24,120.24,5227055,5227055,-0.82,-0.677,120.78,"January 17, 23",-0.00677
2023-01-13,120.58,121.85,118.51,121.47,121.47,4360379,4360379,0.89,0.738,120.61,"January 13, 23",0.00738
2023-01-12,118.39,121.1,117.85,120.16,120.16,5072076,5072076,1.77,1.495,119.70333,"January 12, 23",0.01495
2023-01-11,119.19,119.55,116.91,118.24,118.24,4569669,4569669,-0.95,-0.797,118.23333,"January 11, 23",-0.00797
2023-01-10,118.23,118.62,116.68,118.08,118.08,4042705,4042705,-0.15,-0.127,117.79333,"January 10, 23",-0.00127
2023-01-09,120.32,120.66,116.86,117.36,117.36,5403606,5403606,-2.96,-2.46,118.29333,"January 09, 23",-0.0246
2023-01-06,118.5,120.19,117.54,118.23,118.23,4440672,4440672,-0.27,-0.228,118.65333,"January 06, 23",-0.00228
2023-01-05,113.53,117.8,113.53,116.77,116.77,5176074,5176074,3.24,2.854,116.03333,"January 05, 23",0.02854
2023-01-04,111.22,114.31,110.46,113.34,113.34,4837964,4837964,2.12,1.906,112.70333,"January 04, 23",0.01906
2023-01-03,116.56,117.98,111.92,113.12,113.12,5416958,5416958,-3.44,-2.951,114.34,"January 03, 23",-0.02951
2022-12-30,116.07,118.21,116.01,118,118,4219738,4219738,1.93,1.663,117.40667,"December 30, 22",0.01663
2022-12-29,114.73,117,114.62,116.39,116.39,2917823,2917823,1.66,1.447,116.00333,"December 29, 22",0.01447
2022-12-28,118.21,118.27,114.74,115.31,115.31,3855456,3855456,-2.9,-2.453,116.10667,"December 28, 22",-0.02453
2022-12-27,117.92,119.06,117.06,118.47,118.47,3848522,3848522,0.55,0.466,118.19667,"December 27, 22",0.00466
2022-12-23,113.65,117.1,113.65,117.05,117.05,5001532,5001532,3.4,2.992,115.93333,"December 23, 22",0.02992
2022-12-22,116.0500031,116.7799988,109.8399963,112.9000015,112.1999969,5295400,5295400,-3.85001,-3.318,112.94,"December 22, 22",-0.03318
2022-12-21,114.9400024,116.6699982,113.5500031,116.2799988,115.5590439,5433000,5433000,0.61904,0.539,115.25968,"December 21, 22",0.00539
2022-12-20,110.4499969,113.8099976,110,112.6500015,111.9515533,5538700,5538700,1.50156,1.359,111.92052,"December 20, 22",0.01359
2022-12-19,112.1600037,112.7600021,109.6399994,110.4400024,109.7552567,4991400,4991400,-2.40475,-2.144,110.71842,"December 19, 22",-0.02144
2022-12-16,110.4499969,111.2200012,109.0100021,110.4400024,109.7552567,17421700,17421700,-0.69474,-0.629,109.99509,"December 16, 22",-0.00629
2022-12-15,111.6399994,112.9199982,110.4700012,112.5500031,111.8521729,6400900,6400900,0.21217,0.19,111.74739,"December 15, 22",0.0019
2022-12-14,114.75,115.6500015,112.0400009,112.8700027,112.1701889,5927000,5927000,-2.57981,-2.248,113.28673,"December 14, 22",-0.02248
2022-12-13,114.4499969,115.5899963,113.3700027,113.4100037,112.7068405,6285200,6285200,-1.74316,-1.523,113.88895,"December 13, 22",-0.01523
2022-12-12,110.9000015,112.3000031,110.0699997,111.7799988,111.0869446,5636500,5636500,0.18694,0.169,111.15232,"December 12, 22",0.00169
2022-12-09,112.4100037,113.9499969,109.7300034,110.0199966,109.3378525,6384700,6384700,-3.07215,-2.733,111.00595,"December 09, 22",-0.02733
2022-12-08,117.7900009,117.8899994,111.8799973,112.5999985,111.9018555,7720400,7720400,-5.88815,-4.999,113.89062,"December 08, 22",-0.04999
2022-12-07,116.2900009,117.5999985,114.0899963,114.8799973,114.167717,6099100,6099100,-2.12228,-1.825,115.2859,"December 07, 22",-0.01825
2022-12-06,118.4400024,119.7399979,114.5400009,115.6100006,114.8931961,6498400,6498400,-3.54681,-2.995,116.39106,"December 06, 22",-0.02995
2022-12-05,124.2600021,124.6900024,118.7099991,119.3700027,118.6298828,5478700,5478700,-5.63012,-4.531,120.67663,"December 05, 22",-0.04531
2022-12-02,122.1200027,123.8700027,121.3399963,122.1800003,121.4224625,4879400,4879400,-0.69754,-0.571,122.21082,"December 02, 22",-0.00571
2022-12-01,124.6699982,125.3700027,122.8899994,123.0599976,122.2970047,5285100,5285100,-2.37299,-1.903,123.519,"December 01, 22",-0.01903
2022-11-30,126.6500015,126.6800003,122.4400024,123.5100021,122.7442169,8480700,8480700,-3.90578,-3.084,123.95474,"November 30, 22",-0.03084
2022-11-29,125.8199997,126.8300018,123.9199982,124.25,123.4796295,4909700,4909700,-2.34037,-1.86,124.74321,"November 29, 22",-0.0186
2022-11-28,122.6999969,125.0599976,121.2399979,123.8399963,123.0721664,5648600,5648600,0.37217,0.303,123.12405,"November 28, 22",0.00303
2022-11-25,126.8899994,127.7699966,126.5,126.8099976,126.0237503,2547800,2547800,-0.86625,-0.683,126.76458,"November 25, 22",-0.00683
2022-11-23,127.5899963,129.2200012,125.8000031,126.7399979,125.9541855,7482600,7482600,-1.63581,-1.282,126.9914,"November 23, 22",-0.01282
2022-11-22,128,130.5500031,126.4599991,129.9799957,129.1740875,5604200,5604200,1.17409,0.917,128.72803,"November 22, 22",0.00917
2022-11-21,125.0400009,127.1100006,121.8099976,125.4899979,124.711937,6573200,6573200,-0.32806,-0.262,124.54398,"November 21, 22",-0.00262
2022-11-18,128.4100037,129.1999969,126.5,128.5899963,127.792717,5727200,5727200,-0.61729,-0.481,127.8309,"November 18, 22",-0.00481
2022-11-17,127.5899963,131.3699951,127.0299988,131.1900024,130.3766022,5735800,5735800,2.78661,2.184,129.5922,"November 17, 22",0.02184
2022-11-16,132.5800018,133.5,129.0899963,129.2400055,128.4386902,7365600,7365600,-4.14131,-3.124,130.3429,"November 16, 22",-0.03124
2022-11-15,133.5899963,134.8399963,131.9100037,134.0899963,133.258606,8300600,8300600,-0.33139,-0.248,133.3362,"November 15, 22",-0.00248
2022-11-14,132.3800049,135.6799927,132.2799988,133.0299988,132.2051849,6163400,6163400,-0.17482,-0.132,133.38839,"November 14, 22",-0.00132
2022-11-11,131.1999969,134.8500061,130.5599976,133.9600067,132.6225891,8662000,8662000,1.42259,1.084,132.67753,"November 11, 22",0.01084
2022-11-10,128.1000061,129.7700043,125.5699997,129.4600067,128.167511,7543900,7543900,0.0675,0.053,127.83584,"November 10, 22",0.00053
2022-11-09,132.4600067,132.5700073,124.8899994,125.2600021,124.0094452,7069500,7069500,-8.45056,-6.38,127.15648,"November 09, 22",-0.0638
2022-11-08,134.3000031,135.2799988,132.2299957,134.4400024,133.0977936,5039800,5039800,-1.20221,-0.895,133.53593,"November 08, 22",-0.00895
2022-11-07,132.75,136.4199982,132.6100006,134.9400024,133.592804,6882400,6882400,0.8428,0.635,134.2076,"November 07, 22",0.00635
2022-11-04,137,138.4900055,129.6499939,132.3200073,130.9989624,10663700,10663700,-6.00104,-4.38,133.04632,"November 04, 22",-0.0438
2022-11-03,129.6199951,136.1199951,128.2899933,133.8200073,132.4839783,13209100,13209100,2.86398,2.21,132.29799,"November 03, 22",0.0221
2022-11-02,127.0800018,129.8000031,125.7900009,126.5100021,125.2469635,7680400,7680400,-1.83304,-1.442,126.94566,"November 02, 22",-0.01442
2022-11-01,128.7400055,129.3200073,126.8899994,127.7799988,126.5042801,5875600,5875600,-2.23573,-1.737,127.57143,"November 01, 22",-0.01737
2022-10-31,125.5800018,129.9900055,125.5699997,126.0899963,124.8311462,7121000,7121000,-0.74886,-0.596,126.79705,"October 31, 22",-0.00596
2022-10-28,128.5,128.9900055,124.0100021,127.1699982,125.9003754,7293200,7293200,-2.59962,-2.023,126.30013,"October 28, 22",-0.02023
2022-10-27,127.6999969,129.4499969,126.2399979,126.6399994,125.3756561,8948500,8948500,-2.32434,-1.82,127.02188,"October 27, 22",-0.0182
2022-10-26,124.7200012,128.1799927,124.5800018,126.5699997,125.3063583,8139100,8139100,0.58636,0.47,126.02212,"October 26, 22",0.0047
2022-10-25,124.3300018,125.4899979,122.8799973,123.9400024,122.7026138,7000800,7000800,-1.62739,-1.309,123.69087,"October 25, 22",-0.01309
2022-10-24,124.5299988,126.4000015,124.1999969,125.1399994,123.8906326,5734900,5734900,-0.63937,-0.513,124.83021,"October 24, 22",-0.00513
2022-10-21,122.6699982,124.7600021,121.5699997,124.4899979,123.2471237,5886200,5886200,0.57713,0.47,123.19238,"October 21, 22",0.0047
2022-10-20,122.5,124.9100037,121.7799988,121.8099976,120.5938797,6456100,6456100,-1.90612,-1.556,122.42796,"October 20, 22",-0.01556
2022-10-19,118.4199982,121.5999985,118.0899963,121.1100006,119.9008713,5500400,5500400,1.48087,1.251,119.86362,"October 19, 22",0.01251
2022-10-18,119.5800018,120.0400009,115.6999969,117.8899994,116.7130203,6826200,6826200,-2.86698,-2.398,117.48434,"October 18, 22",-0.02398
2022-10-17,119.7799988,121.4400024,118.0199966,118.3600006,117.1783295,6667000,6667000,-2.60167,-2.172,118.87944,"October 17, 22",-0.02172
2022-10-14,121.0899963,122.9800034,117.0400009,117.9599991,116.7823181,7646000,7646000,-4.30768,-3.557,118.93411,"October 14, 22",-0.03557
2022-10-13,114.5,123.4100037,114.4300003,122.7399979,121.5146027,7999100,7999100,7.0146,6.126,119.78487,"October 13, 22",0.06126
2022-10-12,114.7600021,117.3399963,113.9899979,116.3000031,115.1388931,6221600,6221600,0.37889,0.33,115.48963,"October 12, 22",0.0033
2022-10-11,114.1100006,118.1100006,113.2099991,115.5800018,114.4260788,7602400,7602400,0.31608,0.277,115.24869,"October 11, 22",0.00277
2022-10-10,118.6100006,120.4400024,115.4499969,116.8000031,115.6339035,5883200,5883200,-2.9761,-2.509,117.17463,"October 10, 22",-0.02509
2022-10-07,118.1399994,121.3600006,117.3199997,118.5100021,117.326828,9373500,9373500,-0.81317,-0.688,118.66894,"October 07, 22",-0.00688
