Date,Open,High,Low,Close,Adj Close,Volume
1986-07-09,10.6875,11.0625,10.5625,11.0,7.656869411468506,1116800
1986-07-10,11.0625,11.125,10.6875,10.9375,7.613366603851318,595600
1986-07-11,10.875,10.9375,10.5625,10.5625,7.352334022521973,800400
1986-07-14,10.625,10.625,10.125,10.25,7.134812831878662,738000
1986-07-15,10.1875,10.1875,9.3125,9.9375,6.917285442352295,2059200
1986-07-16,9.9375,10.5,9.9375,10.125,7.047801494598389,1160400
1986-07-17,10.125,10.25,10.0,10.1875,7.091307163238525,1046000
1986-07-18,10.1875,10.34375,10.0,10.25,7.134812831878662,1420000
1986-07-21,10.25,10.3125,10.1875,10.25,7.134812831878662,322800
1986-07-22,10.25,10.28125,10.1875,10.1875,7.091307163238525,390800
1986-07-23,10.25,10.25,10.0,10.0625,7.00429630279541,1004000
1986-07-24,10.0625,10.125,9.8125,9.9375,6.917285442352295,1071600
1986-07-25,9.9375,10.125,9.875,10.0625,7.00429630279541,688400
1986-07-28,10.0625,10.25,9.96875,10.125,7.047801494598389,414800
1986-07-29,10.0,10.1875,10.0,10.1875,7.091307163238525,278400
1986-07-30,10.0625,10.125,9.875,10.125,7.047801494598389,459200
1986-07-31,10.125,10.25,10.0,10.0625,7.00429630279541,1213600
1986-08-01,10.0,10.125,9.75,9.75,6.786773681640625,1118000
1986-08-04,9.8125,9.8125,9.53125,9.75,6.786773681640625,892400
1986-08-05,9.75,9.75,9.5,9.5625,6.656257629394531,868800
1986-08-06,9.5625,9.625,9.125,9.125,6.351724147796631,550400
1986-08-07,9.0,9.0625,8.125,8.375,5.8296637535095215,7560000
1986-08-08,8.4375,8.9375,8.375,8.875,6.177703380584717,2802000
1986-08-11,9.0,9.125,8.875,9.125,6.351724147796631,1428000
1986-08-12,9.125,9.4375,9.125,9.375,6.525740146636963,1155200
1986-08-13,9.4375,10.09375,9.375,9.6875,6.743266582489014,865600
1986-08-14,9.75,9.8125,9.375,9.5,6.61275053024292,762000
1986-08-15,9.5,9.5,9.1875,9.375,6.525740146636963,654400
1986-08-18,9.4375,9.875,9.25,9.6875,6.743266582489014,606800
1986-08-19,9.75,9.75,9.5,9.5625,6.656257629394531,2744000
1986-08-20,9.5625,9.5625,9.375,9.5,6.61275053024292,500000
1986-08-21,9.5,9.5625,9.4375,9.4375,6.569250106811523,353200
1986-08-22,9.5,9.5625,9.375,9.375,6.525740146636963,286000
1986-08-25,9.5,9.5,9.125,9.25,6.4387359619140625,766400
1986-08-26,9.1875,9.375,9.1875,9.375,6.525740146636963,408800
1986-08-27,9.375,9.375,9.1875,9.3125,6.482236862182617,686400
1986-08-28,9.3125,9.3125,9.125,9.1875,6.395227909088135,286000
1986-08-29,9.125,9.25,9.0625,9.125,6.351724147796631,1128800
1986-09-02,9.1875,9.1875,8.6875,8.75,6.09069299697876,916800
1986-09-03,8.75,8.9375,8.6875,8.9375,6.2212090492248535,684400
1986-09-04,9.0,9.3125,8.875,9.3125,6.482236862182617,576800
1986-09-05,9.3125,9.4375,9.0,9.0,6.264712333679199,961600
1986-09-08,9.125,9.125,8.625,8.75,6.09069299697876,1793200
1986-09-09,8.6875,8.75,8.5,8.625,6.003681182861328,388000
1986-09-10,8.625,8.625,8.5,8.5,5.916673183441162,802400
1986-09-11,8.5625,8.5625,7.75,7.9375,5.5251288414001465,6240000
1986-09-12,7.875,7.9375,7.5625,7.625,5.307602405548096,2066800
1986-09-15,7.625,7.75,7.4375,7.625,5.307602405548096,1746800
1986-09-16,7.5625,7.625,7.3125,7.4375,5.177089214324951,1547200
1986-09-17,7.5,7.5,7.0625,7.375,5.133584499359131,997600
1986-09-18,7.375,8.75,7.375,8.75,6.09069299697876,833200
1986-09-19,8.75,8.75,8.1875,8.5625,5.960177898406982,928000
1986-09-22,8.5625,8.6875,8.375,8.5,5.916673183441162,464000
1986-09-23,8.5625,8.5625,8.0625,8.25,5.7426533699035645,436400
1986-09-24,8.25,8.5625,8.125,8.5,5.916673183441162,649600
1986-09-25,8.5,8.5,8.3125,8.3125,5.786158084869385,305600
1986-09-26,8.3125,8.4375,8.25,8.3125,5.786158084869385,278400
1986-09-29,8.375,8.375,8.0625,8.25,5.7426533699035645,724800
1986-09-30,8.1875,8.75,8.1875,8.5625,5.960177898406982,773200
1986-10-01,8.6875,8.75,8.5625,8.5625,5.960177898406982,668400
1986-10-02,8.5625,8.625,8.5625,8.5625,5.960177898406982,592000
1986-10-03,8.625,8.625,8.25,8.375,5.8296637535095215,228000
1986-10-06,8.5,8.5,8.3125,8.4375,5.873167991638184,467600
1986-10-07,8.375,8.5,8.375,8.4375,5.873167991638184,176000
1986-10-08,8.5,8.625,8.4375,8.625,6.003681182861328,558800
1986-10-09,8.625,8.625,8.375,8.4375,5.873167991638184,243200
1986-10-10,8.4375,8.4375,8.25,8.3125,5.786158084869385,238400
1986-10-13,8.375,8.375,8.0625,8.0625,5.6121368408203125,362800
1986-10-14,8.0625,8.625,8.0625,8.5,5.916673183441162,612000
