date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,87.48,87.48,86.7502,87,87,11535836,11535836,-0.48,-0.549,87.07673,"January 20, 23",-0.00549
2023-01-19,87.71,88.31,87.0468,87.48,87.48,11430474,11430474,-0.23,-0.262,87.61227,"January 19, 23",-0.00262
2023-01-18,89.5899963,89.75,88.0299988,88.1999969,88.1999969,9495000,9495000,-1.39,-1.552,88.66,"January 18, 23",-0.01552
2023-01-17,90.0999985,90.5599976,89.1100006,89.3700027,89.3700027,12365300,12365300,-0.73,-0.81,89.68,"January 17, 23",-0.0081
2023-01-13,88.6999969,90.4000015,88.5100021,89.9199982,89.9199982,10207300,10207300,1.22,1.375,89.61,"January 13, 23",0.01375
2023-01-12,89.7900009,89.9700012,89.0299988,89.1800003,89.1800003,10466200,10466200,-0.61,-0.679,89.39333,"January 12, 23",-0.00679
2023-01-11,91.5599976,91.6900024,89.3499985,89.75,89.75,10221100,10221100,-1.81,-1.977,90.26333,"January 11, 23",-0.01977
2023-01-10,90.8499985,91.3700027,88.5,90.6500015,90.6500015,10828300,10828300,-0.2,-0.22,90.17333,"January 10, 23",-0.0022
2023-01-09,92.1399994,93.25,91.4199982,91.4899979,91.4899979,10415900,10415900,-0.65,-0.705,92.05333,"January 09, 23",-0.00705
2023-01-06,91.3300018,91.9300003,90.9800034,91.5999985,91.5999985,8957500,8957500,0.27,0.296,91.50333,"January 06, 23",0.00296
2023-01-05,91.7099991,92.1699982,90.4300003,90.4499969,90.4499969,8441600,8441600,-1.26,-1.374,91.01667,"January 05, 23",-0.01374
2023-01-04,93.2799988,93.4100037,91.6600037,91.9800034,91.9800034,7330400,7330400,-1.3,-1.394,92.35,"January 04, 23",-0.01394
2023-01-03,91.7200012,93.0500031,91.0400009,92.9100037,92.9100037,6543500,6543500,1.19,1.297,92.33334,"January 03, 23",0.01297
2022-12-30,93.25,93.4499969,92.4899979,93.1900024,93.1900024,3567500,3567500,-0.06,-0.064,93.04333,"December 30, 22",-0.00064
2022-12-29,93.2099991,93.75,92.9199982,93.4499969,93.4499969,3297200,3297200,0.24,0.257,93.37333,"December 29, 22",0.00257
2022-12-28,93.4000015,93.6900024,92.5800018,92.7600021,92.7600021,3807000,3807000,-0.64,-0.685,93.01,"December 28, 22",-0.00685
2022-12-27,93.1100006,93.3199997,92.1299973,93.0199966,93.0199966,3977400,3977400,-0.09,-0.097,92.82333,"December 27, 22",-0.00097
2022-12-23,93.3099976,94.2099991,93.0699997,93.5599976,93.5599976,7307000,7307000,0.25,0.268,93.61333,"December 23, 22",0.00268
2022-12-22,93.5199966,94.0400009,92.4400024,93.4000015,93.4000015,5384100,5384100,-0.12,-0.128,93.29333,"December 22, 22",-0.00128
2022-12-21,95.5899963,95.6200027,93.0100021,94.1200027,94.1200027,6278400,6278400,-1.46999,-1.538,94.25,"December 21, 22",-0.01538
2022-12-20,94.8700027,95.4000015,94.1399994,95,95,5301200,5301200,0.13,0.137,94.84667,"December 20, 22",0.00137
