date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,178.81,181.02,177.54,180.9,180.9,6608520,6608520,2.09,1.169,179.82,"January 20, 23",0.01169
2023-01-19,176.61,179.95,176.16,179,179,5905256,5905256,2.39,1.353,178.37,"January 19, 23",0.01353
2023-01-18,180.82,182.38,176.94,177.23,177.23,8895901,8895901,-3.59,-1.985,178.85,"January 18, 23",-0.01985
2023-01-17,178.44,181.32,178.18,180.49,180.49,10695201,10695201,2.05,1.149,179.99667,"January 17, 23",0.01149
2023-01-13,177.09,177.97,175.68,177.56,177.56,5722407,5722407,0.47,0.265,177.07,"January 13, 23",0.00265
2023-01-12,175.99,178.37,175.9,177.08,177.08,6891082,6891082,1.09,0.619,177.11667,"January 12, 23",0.00619
2023-01-11,177.89,178.14,174.3,175.2,175.2,6959836,6959836,-2.69,-1.512,175.88,"January 11, 23",-0.01512
2023-01-10,176.4,176.665,173.72,176.04,176.04,8147419,8147419,-0.36,-0.204,175.475,"January 10, 23",-0.00204
2023-01-09,178.26,178.33,174.38,175.18,175.18,8383993,8383993,-3.08,-1.728,175.96333,"January 09, 23",-0.01728
2023-01-06,177.02,179.39,175.7,176.56,176.56,7178226,7178226,-0.46,-0.26,177.21667,"January 06, 23",-0.0026
2023-01-05,171.5,176.19,171.24,175.24,175.24,6084554,6084554,3.74,2.181,174.22333,"January 05, 23",0.02181
2023-01-04,170.95,174.265,170.85,172.14,172.14,6620130,6620130,1.19,0.696,172.41833,"January 04, 23",0.00696
2023-01-03,178.04,179,171.51,173.99,173.99,7558840,7558840,-4.05,-2.275,174.83333,"January 03, 23",-0.02275
2022-12-30,178.03,179.94,177.7,179.49,179.49,3768678,3768678,1.46,0.82,179.04333,"December 30, 22",0.0082
2022-12-29,176.65,179.2,176.65,178.32,178.32,4136237,4136237,1.67,0.945,178.05667,"December 29, 22",0.00945
2022-12-28,178.86,179.2981,175.94,176.98,176.98,3830681,3830681,-1.88,-1.051,177.40603,"December 28, 22",-0.01051
2022-12-27,178.36,180.22,177.4,179.63,179.63,5148514,5148514,1.27,0.712,179.08333,"December 27, 22",0.00712
2022-12-23,174.1,177.58,173.69,177.4,177.4,6079117,6079117,3.3,1.895,176.22333,"December 23, 22",0.01895
2022-12-22,175.16,175.21,168.33,172.08,172.08,5755225,5755225,-3.08,-1.758,171.87333,"December 22, 22",-0.01758
2022-12-21,175.19,175.96,173.17,174.7,174.7,5472997,5472997,-0.49,-0.28,174.61,"December 21, 22",-0.0028
2022-12-20,169.81,173.29,169.61,172.67,172.67,6193699,6193699,2.86,1.684,171.85667,"December 20, 22",0.01684
2022-12-19,170.11,170.82,168.25,169.88,169.88,7130531,7130531,-0.23,-0.135,169.65,"December 19, 22",-0.00135
2022-12-16,168.53,170.1,167.1,168.72,168.72,23593024,23593024,0.19,0.113,168.64,"December 16, 22",0.00113
2022-12-15,170.6,171.3724,168.055,171.04,171.04,7058587,7058587,0.44,0.258,170.1558,"December 15, 22",0.00258
2022-12-14,174.49,174.92,171.265,172.33,172.33,6688126,6688126,-2.16,-1.238,172.83833,"December 14, 22",-0.01238
2022-12-13,173.57,174.46,172.48,173.53,173.53,7837981,7837981,-0.04,-0.023,173.49,"December 13, 22",-0.00023
2022-12-12,168.93,170.52,167.75,169.75,169.75,9359530,9359530,0.82,0.485,169.34,"December 12, 22",0.00485
2022-12-09,172.3,173.19,167.93,168,168,10747318,10747318,-4.3,-2.496,169.70667,"December 09, 22",-0.02496
2022-12-08,176.25,176.4,172.03,173.54,173.54,8074733,8074733,-2.71,-1.538,173.99,"December 08, 22",-0.01538
2022-12-07,171.06,174.5699,170.85,172.52,172.52,6933402,6933402,1.46,0.854,172.64663,"December 07, 22",0.00854
2022-12-06,175.51,178.06,171.1204,172.01,172.01,8757388,8757388,-3.5,-1.994,173.73013,"December 06, 22",-0.01994
2022-12-05,182.67,182.95,174.63,176.56,176.56,8161036,8161036,-6.11,-3.345,178.04667,"December 05, 22",-0.03345
2022-12-02,181.53,183.62,179.925,181.03,181.03,6790625,6790625,-0.5,-0.275,181.525,"December 02, 22",-0.00275
2022-12-01,184.26,184.55,181.44,182.49,182.49,5001328,5001328,-1.77,-0.961,182.82667,"December 01, 22",-0.00961
2022-11-30,182.85,183.34,179.62,183.31,183.31,10913211,10913211,0.46,0.252,182.09,"November 30, 22",0.00252
2022-11-29,180.26,181.85,179.65,181.03,181.03,6984734,6984734,0.77,0.427,180.84333,"November 29, 22",0.00427
2022-11-28,180.28,181.42,177.96,178.36,178.36,7343920,7343920,-1.92,-1.065,179.24667,"November 28, 22",-0.01065
2022-11-25,184.89,185.26,183.31,183.7,183.7,2796471,2796471,-1.19,-0.644,184.09,"November 25, 22",-0.00644
2022-11-23,183.21,185.15,182.58,184.24,184.24,5830848,5830848,1.03,0.562,183.99,"November 23, 22",0.00562
2022-11-22,183.75,186.56,183.08,185.89,185.89,9016611,9016611,2.14,1.165,185.17667,"November 22, 22",0.01165
2022-11-21,179.73,181.7,175.825,181.24,181.24,8430068,8430068,1.51,0.84,179.58833,"November 21, 22",0.0084
2022-11-18,180.9600067,183.4100037,179.6499939,182.9900055,182.9900055,7659100,7659100,2.03,1.122,182.01667,"November 18, 22",0.01122
2022-11-17,181.5099945,184.2299957,180.2700043,184.0899963,184.0899963,6550500,6550500,2.58,1.421,182.86333,"November 17, 22",0.01421
2022-11-16,186.5399933,187.8200073,183.6799927,184.9900055,183.5700073,7941100,7941100,-2.96999,-1.592,185.02334,"November 16, 22",-0.01592
2022-11-15,187.1199951,188.4400024,185.2700043,188.0500031,186.6065216,7747300,7747300,-0.51347,-0.274,186.77218,"November 15, 22",-0.00274
2022-11-14,186.3099976,189.6799927,186.1799927,186.5500031,185.1180267,9722400,9722400,-1.19197,-0.64,186.99267,"November 14, 22",-0.0064
2022-11-11,184.0500031,187.1000061,183.8899994,186.4600067,185.0287323,8427400,8427400,0.97873,0.532,185.33958,"November 11, 22",0.00532
2022-11-10,182.2299957,182.3300018,178.0399933,181.3000031,179.9083252,6981500,6981500,-2.32167,-1.274,180.09277,"November 10, 22",-0.01274
2022-11-09,183.6100006,183.8099976,177.2200012,177.9299927,176.5641937,8021700,8021700,-7.04581,-3.837,179.19806,"November 09, 22",-0.03837
2022-11-08,185.3200073,186.25,183.8600006,185.3399963,183.9173126,6308200,6308200,-1.40269,-0.757,184.67577,"November 08, 22",-0.00757
2022-11-07,182.5,186.3800049,182.1100006,185.6100006,184.1852417,7578000,7578000,1.68524,0.923,184.22508,"November 07, 22",0.00923
2022-11-04,184.8399963,185.3999939,180.6000061,183.4199982,182.0120544,7490300,7490300,-2.82794,-1.53,182.67068,"November 04, 22",-0.0153
2022-11-03,177.9700012,182.1900024,177.4100037,181.1300049,179.7396393,6607800,6607800,1.76964,0.994,179.77988,"November 03, 22",0.00994
2022-11-02,180.9299927,182.8999939,178.2700043,178.5,177.1298218,8087500,8087500,-3.80017,-2.1,179.43327,"November 02, 22",-0.021
2022-11-01,183.8699951,184.5,181.8999939,182.2200012,180.8212738,9185600,9185600,-3.04872,-1.658,182.40709,"November 01, 22",-0.01658
2022-10-31,178.0599976,183.8399963,178.0599976,180.8999939,179.5113983,13281000,13281000,1.4514,0.815,180.47046,"October 31, 22",0.00815
2022-10-28,181.4700012,182.8600006,176.5299988,179.9799957,178.598465,10773900,10773900,-2.87154,-1.582,179.32949,"October 28, 22",-0.01582
2022-10-27,179.8899994,181.3999939,177.4799957,177.8999939,176.5344238,9177400,9177400,-3.35558,-1.865,178.47147,"October 27, 22",-0.01865
2022-10-26,175.3200073,178.4799957,175.1699982,177.0899963,175.7306366,6865300,6865300,0.41063,0.234,176.46021,"October 26, 22",0.00234
2022-10-25,173.0599976,175,172.1699982,174.9299927,173.5872192,7280600,7280600,0.52722,0.305,173.58574,"October 25, 22",0.00305
2022-10-24,172.0800018,174.6699982,171.6100006,173.1300049,171.8010406,7007700,7007700,-0.27896,-0.162,172.69368,"October 24, 22",-0.00162
2022-10-21,169.1499939,173.8399963,168.8500061,173.1900024,171.8605804,7971300,7971300,2.71059,1.602,171.51686,"October 21, 22",0.01602
2022-10-20,169.3000031,171.8200073,167.9400024,168.9600067,167.6630554,8871500,8871500,-1.63695,-0.967,169.14102,"October 20, 22",-0.00967
2022-10-19,163.5899963,169.2100067,163.5899963,168,166.7104187,9766800,9766800,3.12042,1.907,166.50347,"October 19, 22",0.01907
2022-10-18,162.3600006,163.3099976,158.9600067,162.7200012,161.4709473,5631200,5631200,-0.88905,-0.548,161.24698,"October 18, 22",-0.00548
2022-10-17,163.2899933,164.9100037,161.1000061,161.3099976,160.0717773,5890400,5890400,-3.21822,-1.971,162.02726,"October 17, 22",-0.01971
2022-10-14,164.0399933,165.4600067,159.9299927,160.1399994,158.9107513,7327900,7327900,-5.12924,-3.127,161.43358,"October 14, 22",-0.03127
2022-10-13,156.3500061,165.9900055,156.3500061,165.2799988,164.0112915,10227500,10227500,7.66129,4.9,162.1171,"October 13, 22",0.049
2022-10-12,156.1399994,158.8099976,155.5200043,157.6399994,156.4299469,4942000,4942000,0.28995,0.186,156.91998,"October 12, 22",0.00186
2022-10-11,154.75,159.9299927,154.1100006,157.1699982,155.9635468,7533300,7533300,1.21355,0.784,156.66785,"October 11, 22",0.00784
2022-10-10,161,161.4700012,156.4400024,157.1399994,155.9337769,5904500,5904500,-5.06622,-3.147,157.94793,"October 10, 22",-0.03147
2022-10-07,162.5099945,163.9299927,159.0599976,160.0299988,158.8016052,9972500,9972500,-3.70839,-2.282,160.5972,"October 07, 22",-0.02282
2022-10-06,157.3399963,161.9400024,157.1999969,161.4199982,160.1809235,9498300,9498300,2.84093,1.806,159.77364,"October 06, 22",0.01806
2022-10-05,155.8399963,159.7299957,154.8000031,158.5299988,157.3131104,10633100,10633100,1.47311,0.945,157.28104,"October 05, 22",0.00945
2022-10-04,154.4299927,157.8800049,153.6300049,157.6300049,156.4200287,9520200,9520200,1.99004,1.289,155.97668,"October 04, 22",0.01289
2022-10-03,148.9700012,152.3399963,148.3000031,151.7299957,150.5653076,9597400,9597400,1.59531,1.071,150.40177,"October 03, 22",0.01071
2022-09-30,144.0299988,145.1399994,142.4900055,143.6699982,142.5671844,9402700,9402700,-1.46281,-1.016,143.39906,"September 30, 22",-0.01016
2022-09-29,144.51,145.41,142.27,143.6587,143.6587,8198310,8198310,0.26,0.18,144.15,"September 29, 22",0.0018
2022-09-28,142.0800018,146.4400024,141.3999939,145.7799988,144.6609802,8279800,8279800,2.58098,1.817,144.16699,"September 28, 22",0.01817
2022-09-27,142.2899933,143.7700043,140.4600067,141.0200043,139.9375305,10121000,10121000,-2.35246,-1.653,141.38918,"September 27, 22",-0.01653
2022-09-26,143.5700073,145.0500031,140.8899994,140.9600067,139.8779907,9444000,9444000,-3.69202,-2.572,141.93933,"September 26, 22",-0.02572
2022-09-23,149.75,150.1799927,143.6600037,144.7700043,143.6587372,13919700,13919700,-6.09126,-4.068,145.83291,"September 23, 22",-0.04068
2022-09-22,157.6000061,158.2799988,154.7400055,154.8899994,153.7010498,6981100,6981100,-3.89896,-2.474,155.57368,"September 22, 22",-0.02474
2022-09-21,158.3099976,158.7799988,154.9499969,155.0099945,153.8201294,6877000,6877000,-4.48987,-2.836,155.85004,"September 21, 22",-0.02836
2022-09-20,156.0399933,156.8500061,154.3399963,156.2799988,155.0803833,8955200,8955200,-0.95961,-0.615,155.42346,"September 20, 22",-0.00615
2022-09-19,152.9299927,156.9499969,152.8000031,156.8999939,155.6956177,6813800,6813800,2.76562,1.808,155.14854,"September 19, 22",0.01808
2022-09-16,160.5200043,161.1399994,155.6100006,156.4499969,155.2490692,43741600,43741600,-5.27094,-3.284,157.33302,"September 16, 22",-0.03284
2022-09-15,160.6799927,161.6999969,159.5800018,160.6199951,159.3870697,9665000,9665000,-1.29292,-0.805,160.22236,"September 15, 22",-0.00805
2022-09-14,160.9400024,163.5700073,160.3500061,163.2700043,162.0167389,11160800,11160800,1.07674,0.669,161.97892,"September 14, 22",0.00669
2022-09-13,161.4100037,162.6600037,158.7400055,159.4100037,158.1863556,10308300,10308300,-3.22365,-1.997,159.86212,"September 13, 22",-0.01997
2022-09-12,162.8099976,164.5299988,161.25,162.5,161.2526398,8920800,8920800,-1.55736,-0.957,162.34421,"September 12, 22",-0.00957
2022-09-09,158.4100037,160.6499939,157.5299988,159.9700012,158.7420654,8261100,8261100,0.33206,0.21,158.97402,"September 09, 22",0.0021
2022-09-08,155.5899963,156.3800049,153.3800049,155.9499969,154.7529144,9232500,9232500,-0.83708,-0.538,154.83764,"September 08, 22",-0.00538
2022-09-07,154.0599976,155.8200073,152.6199951,155.1100006,153.9193726,9442100,9442100,-0.14062,-0.091,154.11979,"September 07, 22",-0.00091
2022-09-06,159.8899994,159.9900055,155.7100067,157.1199951,155.9139252,8550000,8550000,-3.97607,-2.487,157.20465,"September 06, 22",-0.02487
2022-09-02,158.2400055,159.1300049,156.7200012,157.8500061,156.6383362,7526600,7526600,-1.60167,-1.012,157.49611,"September 02, 22",-0.01012
2022-09-01,156.4799957,156.8800049,153.2299957,155.5399933,154.3460541,8244400,8244400,-2.13394,-1.364,154.81868,"September 01, 22",-0.01364
2022-08-31,157.6100006,161.4100037,156.1499939,158.0599976,156.8467255,13582700,13582700,-0.76328,-0.484,158.13557,"August 31, 22",-0.00484
2022-08-30,162.3200073,162.5599976,158.7599945,160.6199951,159.3870697,8814300,8814300,-2.93294,-1.807,160.23569,"August 30, 22",-0.01807
2022-08-29,163.8899994,166.8300018,163.6399994,164.6300049,163.3662872,8462600,8462600,-0.52371,-0.32,164.6121,"August 29, 22",-0.0032
2022-08-26,164.1799927,166.1300049,162.4600067,163.4100037,162.1556549,7765800,7765800,-2.02434,-1.233,163.58189,"August 26, 22",-0.01233
2022-08-25,163.9199982,164.8999939,162.6100006,164.6199951,163.3563538,8050700,8050700,-0.56364,-0.344,163.62212,"August 25, 22",-0.00344
2022-08-24,161.6600037,163.3500061,160.6699982,163.1900024,161.9373474,9468100,9468100,0.27734,0.172,161.98578,"August 24, 22",0.00172
2022-08-23,159.1000061,162.3399963,158.7100067,161.9900055,160.7465668,10354800,10354800,1.64656,1.035,160.59886,"August 23, 22",0.01035
2022-08-22,156.6900024,157.7400055,154.4199982,156.8999939,155.6956177,9147000,9147000,-0.99438,-0.635,155.95187,"August 22, 22",-0.00635
2022-08-19,158.4600067,159.7400055,157.6199951,157.6900024,156.4795685,6834200,6834200,-1.98044,-1.25,157.94652,"August 19, 22",-0.0125
2022-08-18,157.1499939,159.6600037,157.0899963,159.0200043,157.7993622,6477500,6477500,0.64937,0.413,158.18312,"August 18, 22",0.00413
2022-08-17,156.6300049,159.3399963,155.5099945,157.6999969,155.0803833,6741100,6741100,-1.54962,-0.989,156.64346,"August 17, 22",-0.00989
2022-08-16,157.4100037,157.9199982,155.8200073,156.4100037,153.8118134,7218400,7218400,-3.59819,-2.286,155.85061,"August 16, 22",-0.02286
