date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,236.88,237.795,234.16,235.16,235.160004,2678000,2096272,-1.72,-0.72611,235.68,"May 09, 23",-0.0072611
2023-05-08,243.61,243.7,237.6187,239.24,239.240005,2377523,2505500,-4.37,-1.79,239.13,"May 08, 23",-0.0179
2023-05-05,244.64,245.63,240.42,242.44,242.440002,2061701,2061600,-2.2,-0.89928,242.09,"May 05, 23",-0.0089928
2023-05-04,245.27,245.4,241.945,242.33,242.330002,2357579,2357600,-2.94,-1.2,243.47,"May 04, 23",-0.012
2023-05-03,247.19,252.925,245.145,245.57,245.570007,4280695,4280600,-1.62,-0.65537,248.52,"May 03, 23",-0.0065537
2023-05-02,238.41,244.6783,237.59,242.79,242.789993,3295725,3295500,4.38,1.84,241.97,"May 02, 23",0.0184
2023-05-01,239.19,244.075,237.77,241.73,241.729996,3803467,3803300,2.54,1.06,242.09,"May 01, 23",0.0106
2023-04-28,232.53,239.58,231.74,236.91,236.910004,4696627,4696500,4.38,1.88,236.84,"April 28, 23",0.0188
2023-04-27,232.91,232.9239,229.09,231.42,231.419998,6015373,6015300,-1.49,-0.63973,230.65,"April 27, 23",-0.0063973
2023-04-26,228.71,233.48,227,232.47,232.470001,7402135,7401900,3.76,1.64,231.6,"April 26, 23",0.0164
2023-04-25,245.18,247.65,230.99,231.99,231.990005,10331547,10331500,-13.19,-5.38,236.77,"April 25, 23",-0.0538
2023-04-24,254,254.72,252.66,254.35,254.350006,3163241,3163200,0.35,0.1378,254.03,"April 24, 23",0.001378
2023-04-21,250.26,252.97,248.62,252.81,252.809998,2447511,2447500,2.55,1.02,251.73,"April 21, 23",0.0102
2023-04-20,245,249.65,241.32,248.34,248.339996,3733673,3733700,3.34,1.36,247.69,"April 20, 23",0.0136
2023-04-19,254.5,255.61,251.52,254.76,254.759995,2385120,2385100,0.26,0.10216,254.2,"April 19, 23",0.0010216
2023-04-18,259.54,261.24,255.86,256.14,256.140015,3187441,3187400,-3.4,-1.31,257.01,"April 18, 23",-0.0131
2023-04-17,252.12,256.29,251.29,255.75,255.75,2610947,2610900,3.63,1.44,254.22,"April 17, 23",0.0144
2023-04-14,253.4,255.19,251.1201,251.67,251.669998,2475153,2475100,-1.73,-0.68272,252.59,"April 14, 23",-0.0068272
2023-04-13,254,254.88,251.03,254.41,254.410004,1764026,1764000,0.41,0.16142,253.56,"April 13, 23",0.0016142
2023-04-12,253,254.1,249.235,249.97,249.970001,2021374,2021300,-3.03,-1.2,251.18,"April 12, 23",-0.012
2023-04-11,250.34,252.595,249.55,249.88,249.880005,1525152,1525100,-0.46,-0.18375,250.61,"April 11, 23",-0.0018375
2023-04-10,245.84,249.73,244.7,249.54,249.539993,2081614,2081600,3.7,1.51,247.91,"April 10, 23",0.0151
