date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,100.34,103.5865,99.33,103.48,103.48,13028151,13028151,3.14,3.129,102.13217,"January 20, 23",0.03129
2023-01-19,98.12,99.45,97.12,99.08,99.08,10974271,10974271,0.96,0.978,98.55,"January 19, 23",0.00978
2023-01-18,100.28,101.1299,98.7249,99.04,99.04,11385357,11385357,-1.24,-1.237,99.6316,"January 18, 23",-0.01237
2023-01-17,100.32,100.99,98.995,99.91,99.91,14915677,14915677,-0.41,-0.409,99.965,"January 17, 23",-0.00409
2023-01-13,99.38,99.6,98.01,99.4,99.4,12230987,12230987,0.02,0.02,99.00333,"January 13, 23",0.0002
2023-01-12,98.5,100.63,97.5705,99.81,99.81,19764859,19764859,1.31,1.33,99.33683,"January 12, 23",0.0133
2023-01-11,95.92,96.55,95.045,96.33,96.33,8757931,8757931,0.41,0.427,95.975,"January 11, 23",0.00427
2023-01-10,94.28,95.64,93.82,95.56,95.56,6914951,6914951,1.28,1.358,95.00667,"January 10, 23",0.01358
2023-01-09,94.43,95.7,93.45,94.77,94.77,11670058,11670058,0.34,0.36,94.64,"January 09, 23",0.0036
2023-01-06,92.66,94.69,91.3211,93.92,93.92,9828638,9828638,1.26,1.36,93.31037,"January 06, 23",0.0136
2023-01-05,91.66,92.48,90.51,91.92,91.92,11623639,11623639,0.26,0.284,91.63667,"January 05, 23",0.00284
2023-01-04,90,92.745,89.36,91.98,91.98,14958505,14958505,1.98,2.2,91.36167,"January 04, 23",0.022
2023-01-03,88.98,89.9716,87.83,88.97,88.97,14997170,14997170,-0.01,-0.011,88.92387,"January 03, 23",-0.00011
2022-12-30,85.73,87.12,85.225,86.88,86.88,23232886,23232886,1.15,1.341,86.40833,"December 30, 22",0.01341
2022-12-29,85.25,88.242,84.97,87.18,87.18,13045819,13045819,1.93,2.264,86.79733,"December 29, 22",0.02264
2022-12-28,86.08,86.69,84.07,84.17,84.17,12400505,12400505,-1.91,-2.219,84.97667,"December 28, 22",-0.02219
2022-12-27,87.42,87.94,85.96,86.37,86.37,11562151,11562151,-1.05,-1.201,86.75667,"December 27, 22",-0.01201
2022-12-23,86.06,88.07,85.77,88.01,88.01,11171950,11171950,1.95,2.266,87.28333,"December 23, 22",0.02266
2022-12-22,86.03,86.73,84.69,86.67,86.67,15488214,15488214,0.64,0.744,86.03,"December 22, 22",0.00744
2022-12-21,87.19,88.0997,86.48,86.92,86.92,10719168,10719168,-0.27,-0.31,87.16657,"December 21, 22",-0.0031
2022-12-20,86.08,87.8391,85.76,87.02,87.02,14919469,14919469,0.94,1.092,86.87303,"December 20, 22",0.01092
2022-12-19,89.44,89.46,85.41,85.78,85.78,19195025,19195025,-3.66,-4.092,86.88333,"December 19, 22",-0.04092
2022-12-16,90.19,91.08,88.81,90.08,90.08,26386313,26386313,-0.11,-0.122,89.99,"December 16, 22",-0.00122
2022-12-15,92.47,93.12,90.115,90.49,90.49,15958525,15958525,-1.98,-2.141,91.24167,"December 15, 22",-0.02141
2022-12-14,94.54,95.47,92.62,94.15,94.15,11496630,11496630,-0.39,-0.413,94.08,"December 14, 22",-0.00413
2022-12-13,96.49,97.3917,93.57,94.7,94.7,22883618,22883618,-1.79,-1.855,95.22057,"December 13, 22",-0.01855
2022-12-12,93.73,94.66,92.61,94.66,94.66,14130607,14130607,0.93,0.992,93.97667,"December 12, 22",0.00992
2022-12-09,92.37,94.91,91.9,93.38,93.38,10112498,10112498,1.01,1.093,93.39667,"December 09, 22",0.01093
2022-12-08,92.5,93.428,91.67,92.55,92.55,9351706,9351706,0.05,0.054,92.54933,"December 08, 22",0.00054
2022-12-07,92.66,92.7857,91.26,92.15,92.15,10354333,10354333,-0.51,-0.55,92.06523,"December 07, 22",-0.0055
2022-12-06,95.73,96,91.98,92.29,92.29,11493226,11493226,-3.44,-3.593,93.42333,"December 06, 22",-0.03593
2022-12-05,98.24,99.16,95.67,95.93,95.93,10753149,10753149,-2.31,-2.351,96.92,"December 05, 22",-0.02351
2022-12-02,97.46,99.69,97.0101,99.43,99.43,11104731,11104731,1.97,2.021,98.71003,"December 02, 22",0.02021
2022-12-01,97.87,98.835,96.58,98.59,98.59,13855701,13855701,0.72,0.736,98.00167,"December 01, 22",0.00736
2022-11-30,94.95,97.94,93.87,97.87,97.87,15368726,15368726,2.92,3.075,96.56,"November 30, 22",0.03075
2022-11-29,96,96.4299,93.92,94.69,94.69,13205802,13205802,-1.31,-1.365,95.0133,"November 29, 22",-0.01365
2022-11-28,98.21,99.13,95.43,95.69,95.69,13661308,13661308,-2.52,-2.566,96.75,"November 28, 22",-0.02566
2022-11-25,98.81,99.81,98.08,98.87,98.87,6664285,6664285,0.06,0.061,98.92,"November 25, 22",0.00061
2022-11-23,96,99.34,95.7801,98.88,98.88,15504057,15504057,2.88,3,98.00003,"November 23, 22",0.03
2022-11-22,97,97.67,94.68,96.21,96.21,25754467,25754467,-0.79,-0.814,96.18667,"November 22, 22",-0.00814
2022-11-21,100.12,100.89,96.32,97.58,97.58,70110506,70110506,-2.54,-2.537,98.26333,"November 21, 22",-0.02537
2022-11-18,92.86,93.16,90.91,91.8,91.8,10012452,10012452,-1.06,-1.142,91.95667,"November 18, 22",-0.01142
2022-11-17,92.12,92.27,90.85,91.45,91.45,12306651,12306651,-0.67,-0.727,91.52333,"November 17, 22",-0.00727
2022-11-16,95.22,95.22,93.72,93.95,93.95,11138579,11138579,-1.27,-1.334,94.29667,"November 16, 22",-0.01334
2022-11-15,96,97.18,93.695,95.51,95.51,15802558,15802558,-0.49,-0.51,95.46167,"November 15, 22",-0.0051
2022-11-14,95.85,96.62,94.21,94.28,94.28,20599795,20599795,-1.57,-1.638,95.03667,"November 14, 22",-0.01638
2022-11-11,91.58,95.58,91.1,95.01,95.01,22374636,22374636,3.43,3.745,93.89667,"November 11, 22",0.03745
2022-11-10,89.75,90.5,87.608,90.46,90.46,36971211,36971211,0.71,0.791,89.52267,"November 10, 22",0.00791
2022-11-09,90.55,91.1,86.28,86.75,86.75,61955397,61955397,-3.8,-4.197,88.04333,"November 09, 22",-0.04197
2022-11-08,100.74,101.9687,98.05,99.9,99.9,27130766,27130766,-0.84,-0.834,99.9729,"November 08, 22",-0.00834
2022-11-07,100.88,101.56,98.99,100.43,100.43,11029677,11029677,-0.45,-0.446,100.32667,"November 07, 22",-0.00446
2022-11-04,101.15,101.16,98.11,99.58,99.58,11036033,11036033,-1.57,-1.552,99.61667,"November 04, 22",-0.01552
2022-11-03,100.2,100.7,98.56,99.25,99.25,8978440,8978440,-0.95,-0.948,99.50333,"November 03, 22",-0.00948
2022-11-02,105.45,106.08,101.785,101.82,101.82,9591714,9591714,-3.63,-3.442,103.22833,"November 02, 22",-0.03442
2022-11-01,107.7,108.84,105.64,106,106,7351027,7351027,-1.7,-1.578,106.82667,"November 01, 22",-0.01578
2022-10-31,105.66,106.9,104.82,106.54,106.54,8813562,8813562,0.88,0.833,106.08667,"October 31, 22",0.00833
2022-10-28,105.805,106.09,103.525,105.95,105.95,6958787,6958787,0.145,0.137,105.18833,"October 28, 22",0.00137
2022-10-27,105.805,106.87,104.31,104.44,104.44,8673563,8673563,-1.365,-1.29,105.20667,"October 27, 22",-0.0129
2022-10-26,103.53,107.43,103.53,104.63,104.63,9203712,9203712,1.1,1.062,105.19667,"October 26, 22",0.01062
2022-10-25,102.16,104.7299,102.03,104.36,104.36,7687936,7687936,2.2,2.153,103.70663,"October 25, 22",0.02153
