date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,465.66,469.35,460.13,460.48,460.480011,601909,438888,-5.18,-1.11,462.32,"May 09, 23",-0.0111
2023-05-08,463.62,465.75,459.21,465.19,465.190002,648005,648000,1.57,0.33864,463.75,"May 08, 23",0.0033864
2023-05-05,462.37,469.375,458.85,464.47,464.470001,800259,800300,2.1,0.45418,465.08,"May 05, 23",0.0045418
2023-05-04,458,459.52,452.19,456.69,456.690002,695621,695600,-1.31,-0.28603,455.97,"May 04, 23",-0.0028603
2023-05-03,467.04,467.86,456.47,458.18,458.179993,937956,937900,-8.86,-1.9,460.27,"May 03, 23",-0.019
2023-05-02,471.4,474.68,460.84,466.32,466.320007,809919,809900,-5.08,-1.08,466.39,"May 02, 23",-0.0108
2023-05-01,468.82,477.17,468.58,472.28,472.279999,785020,785000,3.46,0.73802,473.73,"May 01, 23",0.0073802
2023-04-28,464.96,472.3,464.55,468.65,468.649994,1083342,1083300,3.69,0.79362,469.09,"April 28, 23",0.0079362
2023-04-27,457.67,466.31,457.67,465.4,465.399994,1122469,1122500,7.73,1.69,463.94,"April 27, 23",0.0169
2023-04-26,456,458.36,447.81,452.38,452.380005,1156321,1156300,-3.62,-0.79386,451.41,"April 26, 23",-0.0079386
2023-04-25,465.1,470.065,460.56,460.87,460.869995,1125887,1125900,-4.23,-0.90948,463.27,"April 25, 23",-0.0090948
2023-04-24,451.8,465.18,450.095,462.92,462.920013,1535563,1535600,11.12,2.46,461.95,"April 24, 23",0.0246
2023-04-21,454.99,455.53,443.65,450.74,450.73999,1456318,1456300,-4.25,-0.93409,449.29,"April 21, 23",-0.0093409
2023-04-20,457.27,457.27,450.245,454.93,454.929993,1952869,1952900,-2.34,-0.51173,453.27,"April 20, 23",-0.0051173
2023-04-19,467.84,469.4,453.345,457.33,457.329987,2960180,2960200,-10.51,-2.25,458.62,"April 19, 23",-0.0225
2023-04-18,483,484.79,479.5,483.08,483.079987,943921,943800,0.08,0.01656315,482.99,"April 18, 23",0.0001656315
2023-04-17,483.45,484.61,479.19,484.27,484.269989,881537,881500,0.82,0.16961,483.15,"April 17, 23",0.0016961
