date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-26,134.4,136,132.68,135.93,135.93,2615307,2615307.21089844,1.53,1.138,134.87,"January 26, 23",0.01138
2023-01-25,132.09,132.8,130.7838,132.5,132.5,2576526,2576336,0.41,0.31,132.02793,"January 25, 23",0.0031
2023-01-24,134,134.86,132.38,132.76,132.76,2313249,2313141,-1.24,-0.925,133.33333,"January 24, 23",-0.00925
2023-01-23,133.5,135.03,133.26,134.18,134.18,2695245,2695188,0.68,0.509,134.15667,"January 23, 23",0.00509
2023-01-20,131.35,133.45,130.68,132.75,132.75,2477047,2477026,1.4,1.066,132.29333,"January 20, 23",0.01066
2023-01-19,128.97,131.9114,127.63,131.29,131.29,2449585,2449558,2.32,1.799,130.27713,"January 19, 23",0.01799
2023-01-18,131.41,133.82,128.3,128.79,128.79,3737587,3737444,-2.62,-1.994,130.30333,"January 18, 23",-0.01994
2023-01-17,129.83,130.97,128.665,130.06,130.06,3128023,3127767,0.23,0.177,129.89833,"January 17, 23",0.00177
2023-01-13,129.8699951,130.1999969,127.9300003,129.4600067,129.4600067,2110800,2110800,-0.40999,-0.316,129.19667,"January 13, 23",-0.00316
2023-01-12,127.9100037,132.1000061,127.5999985,130.4499969,129.625,4005400,4005400,1.715,1.341,129.775,"January 12, 23",0.01341
2023-01-11,129.1699982,129.6699982,125.6800003,126.8499985,126.04776,2771100,2771100,-3.12224,-2.417,127.13259,"January 11, 23",-0.02417
2023-01-10,128.6100006,128.6900024,126.0899963,127.6100006,126.8029556,2575200,2575200,-1.80704,-1.405,127.19432,"January 10, 23",-0.01405
2023-01-09,129.6300049,130.1999969,127.0599976,127.75,126.94207,3160300,3160300,-2.68793,-2.074,128.06735,"January 09, 23",-0.02074
2023-01-06,126.1699982,129.1499939,125.6100006,127.4700012,126.6638412,2595400,2595400,0.49384,0.391,127.14128,"January 06, 23",0.00391
2023-01-05,124.1500015,125.7399979,123.8300018,124.3799973,123.5933838,3560200,3560200,-0.55662,-0.448,124.38779,"January 05, 23",-0.00448
2023-01-04,121.9300003,125.5400009,121.3399963,124.3600006,123.5735092,2469700,2469700,1.64351,1.348,123.4845,"January 04, 23",0.01348
2023-01-03,128,129.2700043,122.8899994,124.4499969,123.662941,2994900,2994900,-4.33706,-3.388,125.27431,"January 03, 23",-0.03388
2022-12-30,128.25,129.6900024,127.9499969,129.5200043,128.700882,2179400,2179400,0.45088,0.352,128.78029,"December 30, 22",0.00352
2022-12-29,126.7200012,129.1999969,126.5,128.6300049,127.8165131,1744700,1744700,1.09651,0.865,127.83884,"December 29, 22",0.00865
2022-12-28,131.5099945,131.8300018,126.8600006,127.4000015,126.5942841,2490300,2490300,-4.91571,-3.738,128.4281,"December 28, 22",-0.03738
2022-12-27,131.4199982,132.3399963,130.3000031,132.0800018,131.2446899,2258000,2258000,-0.17531,-0.133,131.2949,"December 27, 22",-0.00133
2022-12-23,127.4800034,130.7100067,127.4800034,130.6100006,129.7839813,1678400,1678400,2.30398,1.807,129.32466,"December 23, 22",0.01807
2022-12-22,130.1399994,130.6699982,123.3099976,126.3000031,125.5012436,3011700,3011700,-4.63876,-3.564,126.49375,"December 22, 22",-0.03564
2022-12-21,129.4100037,130.4400024,127.3099976,130.0099945,129.1877747,2687600,2687600,-0.22223,-0.172,128.97926,"December 21, 22",-0.00172
2022-12-20,125.3099976,128.1199951,125,126.4899979,125.6900406,2381100,2381100,0.38004,0.303,126.27001,"December 20, 22",0.00303
2022-12-19,126.8399963,127.8499985,124.4800034,125.5299988,124.7361069,2410400,2410400,-2.10389,-1.659,125.6887,"December 19, 22",-0.01659
2022-12-16,125,126.6100006,122.4100037,125.7699966,124.9745941,13516600,13516600,-0.02541,-0.02,124.66487,"December 16, 22",-0.0002
2022-12-15,123.5899963,126.6999969,123.5899963,126.6299973,125.829155,3565400,3565400,2.23916,1.812,125.37305,"December 15, 22",0.01812
2022-12-14,127.5,129.2100067,124.7699966,125.9300003,125.1335831,3721800,3721800,-2.36642,-1.856,126.3712,"December 14, 22",-0.01856
2022-12-13,127.8499985,128.9900055,126.3099976,127.4599991,125.1633911,4376100,4376100,-2.68661,-2.101,126.82113,"December 13, 22",-0.02101
2022-12-12,122.7600021,125.2200012,122.2699966,124.0599976,121.824646,4307700,4307700,-0.93536,-0.762,123.10488,"December 12, 22",-0.00762
2022-12-09,125.1100006,126.3600006,121.4100037,121.6699982,119.4777145,4152400,4152400,-5.63229,-4.502,122.41591,"December 09, 22",-0.04502
2022-12-08,129.1799927,129.8800049,123.3099976,124.5699997,122.3254623,4767200,4767200,-6.85453,-5.306,125.17182,"December 08, 22",-0.05306
