date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-24,0.9198,0.923,0.9176,0.9184,0.9184,69782,69782,-0.0014,-0.152,0.91967,"January 24, 23",-0.00152
2023-01-23,0.9208,0.922,0.9151,0.9198,0.9198,72094,72094,-0.001,-0.109,0.91897,"January 23, 23",-0.00109
2023-01-22,0.9208,0.9209,0.9197,0.9204,0.9204,2160,2160,-0.0004,-0.043,0.92033,"January 22, 23",-0.00043
2023-01-20,0.9231,0.9258,0.9208,0.921,0.921,77661,77661,-0.0021,-0.227,0.92253,"January 20, 23",-0.00227
2023-01-19,0.9268,0.9275,0.9225,0.9233,0.9233,103050,103050,-0.0035,-0.378,0.92443,"January 19, 23",-0.00378
2023-01-18,0.9268,0.9289,0.9184,0.9263,0.9263,110022,110022,-0.0005,-0.054,0.92453,"January 18, 23",-0.00054
2023-01-17,0.924,0.9281,0.92,0.9269,0.9269,109140,109140,0.0029,0.314,0.925,"January 17, 23",0.00314
2023-01-16,0.923,0.9258,0.9196,0.9242,0.9242,66665,66665,0.0012,0.13,0.9232,"January 16, 23",0.0013
2023-01-15,0.923,0.9241,0.9227,0.924,0.924,2240,2240,0.001,0.108,0.9236,"January 15, 23",0.00108
2023-01-13,0.9219,0.9277,0.9201,0.9232,0.9232,98079,98079,0.0013,0.141,0.92367,"January 13, 23",0.00141
2023-01-12,0.9297,0.9319,0.9201,0.9215,0.9215,95625,95625,-0.0082,-0.882,0.9245,"January 12, 23",-0.00882
2023-01-11,0.9315,0.9324,0.9279,0.9295,0.9295,87800,87800,-0.002,-0.215,0.92993,"January 11, 23",-0.00215
2023-01-10,0.9324,0.9336,0.9294,0.9313,0.9313,94338,94338,-0.0011,-0.118,0.93143,"January 10, 23",-0.00118
2023-01-09,0.9401,0.9402,0.9293,0.9318,0.9318,87394,87394,-0.0083,-0.883,0.93377,"January 09, 23",-0.00883
2023-01-08,0.9401,0.9402,0.9378,0.9378,0.9378,2230,2230,-0.0023,-0.245,0.9386,"January 08, 23",-0.00245
2023-01-06,0.9504,0.9539,0.9391,0.9392,0.9392,94850,94850,-0.0112,-1.178,0.94407,"January 06, 23",-0.01178
2023-01-05,0.9431,0.951,0.9405,0.9502,0.9502,81260,81260,0.0071,0.753,0.94723,"January 05, 23",0.00753
2023-01-04,0.9481,0.9488,0.9402,0.9431,0.9431,90184,90184,-0.005,-0.527,0.94403,"January 04, 23",-0.00527
2023-01-03,0.9377,0.9507,0.9359,0.9475,0.9475,94731,94731,0.0098,1.045,0.9447,"January 03, 23",0.01045
2023-01-02,0.9344,0.939,0.9339,0.9376,0.9376,21160,21160,0.0032,0.342,0.93683,"January 02, 23",0.00342
2023-01-01,0.9347,0.9357,0.9343,0.9349,0.9349,700,700,0.0002,0.021,0.93497,"January 01, 23",0.00021
2022-12-30,0.9378,0.9399,0.9334,0.9341,0.9341,71530,71530,-0.0037,-0.395,0.9358,"December 30, 22",-0.00395
2022-12-29,0.9425,0.9426,0.9354,0.9379,0.9379,59740,59740,-0.0046,-0.488,0.93863,"December 29, 22",-0.00488
2022-12-28,0.9396,0.9428,0.9368,0.9422,0.9422,56012,56012,0.0026,0.277,0.9406,"December 28, 22",0.00277
2022-12-27,0.9401,0.9424,0.9372,0.9397,0.9397,68373,68373,-0.0004,-0.043,0.93977,"December 27, 22",-0.00043
2022-12-26,0.9424,0.9431,0.9399,0.9399,0.9399,17501,17501,-0.0025,-0.265,0.94097,"December 26, 22",-0.00265
2022-12-25,0.9424,0.9424,0.9414,0.9416,0.9416,540,540,-0.0008,-0.085,0.9418,"December 25, 22",-0.00085
2022-12-23,0.9438,0.9446,0.9405,0.9418,0.9418,94321,94321,-0.002,-0.212,0.9423,"December 23, 22",-0.00212
2022-12-22,0.9428,0.9459,0.9381,0.9437,0.9437,97305,97305,0.0009,0.095,0.94257,"December 22, 22",0.00095
2022-12-21,0.9412,0.9445,0.9392,0.9428,0.9428,86756,86756,0.0016,0.17,0.94217,"December 21, 22",0.0017
2022-12-20,0.9429,0.9453,0.9381,0.9413,0.9413,130500,130500,-0.0016,-0.17,0.94157,"December 20, 22",-0.0017
2022-12-19,0.9442,0.9456,0.9383,0.9426,0.9426,91776,91776,-0.0016,-0.169,0.94217,"December 19, 22",-0.00169
2022-12-18,0.9442,0.9449,0.9436,0.9448,0.9448,2560,2560,0.0006,0.064,0.94443,"December 18, 22",0.00064
2022-12-16,0.9411,0.9448,0.9377,0.9446,0.9446,96980,96980,0.0035,0.372,0.94237,"December 16, 22",0.00372
2022-12-15,0.936,0.9441,0.9314,0.9407,0.9407,96291,96291,0.0047,0.502,0.93873,"December 15, 22",0.00502
2022-12-14,0.9413,0.9417,0.935,0.9367,0.9367,93436,93436,-0.0046,-0.489,0.9378,"December 14, 22",-0.00489
2022-12-13,0.9493,0.9499,0.9369,0.9404,0.9404,76631,76631,-0.0089,-0.938,0.9424,"December 13, 22",-0.00938
2022-12-12,0.9499,0.9518,0.9452,0.9489,0.9489,72915,72915,-0.001,-0.105,0.94863,"December 12, 22",-0.00105
2022-12-11,0.9491,0.9507,0.9487,0.9505,0.9505,1660,1660,0.0014,0.148,0.94997,"December 11, 22",0.00148
2022-12-09,0.947,0.9518,0.9444,0.9493,0.9493,81683,81683,0.0023,0.243,0.9485,"December 09, 22",0.00243
2022-12-08,0.9517,0.9534,0.9464,0.9471,0.9471,89812,89812,-0.0046,-0.483,0.94897,"December 08, 22",-0.00483
2022-12-07,0.9552,0.9577,0.9478,0.9517,0.9517,102185,102185,-0.0035,-0.366,0.9524,"December 07, 22",-0.00366
2022-12-06,0.9534,0.9561,0.9493,0.955,0.955,83944,83944,0.0016,0.168,0.95347,"December 06, 22",0.00168
2022-12-05,0.9509,0.9542,0.9438,0.953,0.953,91077,91077,0.0021,0.221,0.95033,"December 05, 22",0.00221
2022-12-04,0.9498,0.9499,0.9484,0.9484,0.9484,2460,2460,-0.0014,-0.147,0.9489,"December 04, 22",-0.00147
2022-12-02,0.9499,0.9589,0.9483,0.9487,0.9487,82226,82226,-0.0012,-0.126,0.95197,"December 02, 22",-0.00126
2022-12-01,0.9594,0.9621,0.9488,0.9499,0.9499,108315,108315,-0.0095,-0.99,0.9536,"December 01, 22",-0.0099
2022-11-30,0.9686,0.9717,0.9589,0.9594,0.9594,92195,92195,-0.0092,-0.95,0.96333,"November 30, 22",-0.0095
2022-11-29,0.9668,0.9691,0.9621,0.9686,0.9686,75181,75181,0.0018,0.186,0.9666,"November 29, 22",0.00186
2022-11-28,0.9645,0.9681,0.9527,0.9668,0.9668,78445,78445,0.0023,0.238,0.96253,"November 28, 22",0.00238
2022-11-27,0.964,0.9647,0.9633,0.9646,0.9646,2450,2450,0.0006,0.062,0.9642,"November 27, 22",0.00062
2022-11-25,0.9609,0.9657,0.9589,0.9614,0.9614,70183,70183,0.0005,0.052,0.962,"November 25, 22",0.00052
2022-11-24,0.9599,0.9631,0.957,0.9609,0.9609,68515,68515,0.001,0.104,0.96033,"November 24, 22",0.00104
2022-11-23,0.9698,0.9711,0.9597,0.9599,0.9599,74472,74472,-0.0099,-1.021,0.96357,"November 23, 22",-0.01021
2022-11-22,0.976,0.9764,0.9698,0.9698,0.9698,79186,79186,-0.0062,-0.635,0.972,"November 22, 22",-0.00635
2022-11-21,0.9679,0.9782,0.9678,0.9761,0.9761,82173,82173,0.0082,0.847,0.97403,"November 21, 22",0.00847
2022-11-20,0.9684,0.9687,0.9678,0.9679,0.9679,1700,1700,-0.0005,-0.052,0.96813,"November 20, 22",-0.00052
2022-11-18,0.9643,0.9696,0.962,0.9685,0.9685,95101,95101,0.0042,0.436,0.9667,"November 18, 22",0.00436
2022-11-17,0.9625,0.9704,0.961,0.9649,0.9649,98791,98791,0.0024,0.249,0.96543,"November 17, 22",0.00249
2022-11-16,0.9668,0.968,0.9579,0.9619,0.9619,103834,103834,-0.0049,-0.507,0.9626,"November 16, 22",-0.00507
2022-11-15,0.9685,0.9729,0.9541,0.9661,0.9661,104616,104616,-0.0024,-0.248,0.96437,"November 15, 22",-0.00248
2022-11-14,0.9682,0.9735,0.9653,0.969,0.969,103368,103368,0.0008,0.083,0.96927,"November 14, 22",0.00083
2022-11-13,0.9646,0.9696,0.9645,0.9682,0.9682,4870,4870,0.0036,0.373,0.96743,"November 13, 22",0.00373
2022-11-11,0.9812,0.9839,0.9648,0.9658,0.9658,114010,114010,-0.0154,-1.57,0.9715,"November 11, 22",-0.0157
2022-11-10,0.998,1.0065,0.9783,0.9812,0.9812,128784,128784,-0.0168,-1.683,0.98867,"November 10, 22",-0.01683
2022-11-09,0.9922,1.0007,0.9912,0.998,0.998,117099,117099,0.0058,0.585,0.99663,"November 09, 22",0.00585
