date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,77.59,77.715,75.68,77.68,77.68,6915323,6915323,0.09,0.116,77.025,"January 20, 23",0.00116
2023-01-19,77.94,78.75,76.67,76.86,76.86,10410565,10410565,-1.08,-1.386,77.42667,"January 19, 23",-0.01386
2023-01-18,80.94,81.18,79.14,79.27,79.27,7834088,7834088,-1.67,-2.063,79.86333,"January 18, 23",-0.02063
2023-01-17,79.92,80.66,79.76,80.49,80.49,8491488,8491488,0.57,0.713,80.30333,"January 17, 23",0.00713
2023-01-13,78.78,80.6,78.5,80.2,80.2,11045161,11045161,1.42,1.802,79.76667,"January 13, 23",0.01802
2023-01-12,77.88,79.21,77.29,78.86,78.86,11497095,11497095,0.98,1.258,78.45333,"January 12, 23",0.01258
2023-01-11,75.82,77.7,75.51,77.69,77.69,10157501,10157501,1.87,2.466,76.96667,"January 11, 23",0.02466
2023-01-10,72.2,75.37,72.2,75.27,75.27,9251014,9251014,3.07,4.252,74.28,"January 10, 23",0.04252
2023-01-09,72,73.91,71.96,72.67,72.67,7571227,7571227,0.67,0.931,72.84667,"January 09, 23",0.00931
2023-01-06,72.01,72.33,70.75,71.94,71.94,10389755,10389755,-0.07,-0.097,71.67333,"January 06, 23",-0.00097
2023-01-05,69.9,71.55,69,71.29,71.29,12771379,12771379,1.39,1.989,70.61333,"January 05, 23",0.01989
2023-01-04,68.41,70.2,66.75,70.2,70.2,16785726,16785726,1.79,2.617,69.05,"January 04, 23",0.02617
2023-01-03,84.05,85.09,83.54,84.98,84.98,6401501,6401501,0.93,1.106,84.53667,"January 03, 23",0.01106
2022-12-30,82.91,84.03,82.78,83.79,83.79,4127148,4127148,0.88,1.061,83.53333,"December 30, 22",0.01061
2022-12-29,82.25,83.91,82,83.75,83.75,4416096,4416096,1.5,1.824,83.22,"December 29, 22",0.01824
2022-12-28,82.99,83.17,81.3,81.97,81.97,3869151,3869151,-1.02,-1.229,82.14667,"December 28, 22",-0.01229
2022-12-27,82,83.09,81.9,82.84,82.84,4238548,4238548,0.84,1.024,82.61,"December 27, 22",0.01024
2022-12-23,81.71,82.39,80.96,81.79,81.79,3292750,3292750,0.08,0.098,81.71333,"December 23, 22",0.00098
2022-12-22,82.18,82.71,80.28,81.77,81.77,6062060,6062060,-0.41,-0.499,81.58667,"December 22, 22",-0.00499
2022-12-21,81.04,83.59,80.975,82.98,82.98,7215692,7215692,1.94,2.394,82.515,"December 21, 22",0.02394
2022-12-20,78.04,80.8,77.85,80.33,80.33,6968724,6968724,2.29,2.934,79.66,"December 20, 22",0.02934
2022-12-19,77.25,78.35,77.2,78.06,78.06,4398789,4398789,0.81,1.049,77.87,"December 19, 22",0.01049
2022-12-16,77.79,78.35,76.69,77.65,77.65,9946670,9946670,-0.14,-0.18,77.56333,"December 16, 22",-0.0018
2022-12-15,80.07,81.21,78.5,78.81,78.81,9718952,9718952,-1.26,-1.574,79.50667,"December 15, 22",-0.01574
2022-12-14,82.3799973,83.3399963,81.3399963,81.4700012,81.4700012,7644700,7644700,-0.91,-1.105,82.05,"December 14, 22",-0.01105
2022-12-13,84.5699997,84.9000015,81.9300003,82.8799973,82.7999954,7720000,7720000,-1.77,-2.093,83.21,"December 13, 22",-0.02093
2022-12-12,81.7200012,83.2600021,81.0299988,83.2099991,83.1296844,4660200,4660200,1.40968,1.725,82.47323,"December 12, 22",0.01725
2022-12-09,83.6200027,83.8000031,81.3300018,81.4499969,81.371376,5539000,5539000,-2.24863,-2.689,82.16713,"December 09, 22",-0.02689
2022-12-08,85.5999985,86.1900024,82.6900024,83.6299973,83.5492706,6438400,6438400,-2.05073,-2.396,84.14309,"December 08, 22",-0.02396
2022-12-07,85,86.0800018,84.8199997,85,84.9179535,4860600,4860600,-0.08205,-0.097,85.27265,"December 07, 22",-0.00097
2022-12-06,86.6100006,87.0999985,84.4700012,85.2799988,85.1976852,5883900,5883900,-1.41232,-1.631,85.58923,"December 06, 22",-0.01631
2022-12-05,85.8399963,86.0500031,84.6200027,84.6600037,84.5782852,4715400,4715400,-1.26171,-1.47,85.08276,"December 05, 22",-0.0147
2022-12-02,84.5699997,86.9499969,84.4100037,86.8799973,86.7961349,4480000,4480000,2.22614,2.632,86.05205,"December 02, 22",0.02632
2022-12-01,86.2099991,86.6100006,84.8700027,85.2600021,85.1777039,4240700,4240700,-1.0323,-1.197,85.55257,"December 01, 22",-0.01197
2022-11-30,85.6399994,86.3499985,83.1900024,85.9700012,85.8870163,7256800,7256800,0.24702,0.288,85.14234,"November 30, 22",0.00288
2022-11-29,85.75,85.9199982,84.9599991,85.6600037,85.5773239,4489000,4489000,-0.17268,-0.201,85.48577,"November 29, 22",-0.00201
2022-11-28,87.1999969,87.5599976,85.1600037,85.4700012,85.3875046,4283900,4283900,-1.81249,-2.079,86.03584,"November 28, 22",-0.02079
2022-11-25,87.6999969,88.3799973,87.3499985,88.1399994,88.054924,1894100,1894100,0.35493,0.405,87.92831,"November 25, 22",0.00405
2022-11-23,87.0299988,87.9599991,86.9400024,87.8700027,87.7851868,3655700,3655700,0.75519,0.868,87.56173,"November 23, 22",0.00868
2022-11-22,86.3000031,87.5899963,86,87.3000031,87.2157364,4235000,4235000,0.91573,1.061,86.93524,"November 22, 22",0.01061
2022-11-21,85.1100006,86,84.7300034,85.8899994,85.8070984,3269400,3269400,0.6971,0.819,85.51237,"November 21, 22",0.00819
2022-11-18,86.4899979,87.1500015,84.8499985,85.4800034,85.3974915,4084200,4084200,-1.09251,-1.263,85.79916,"November 18, 22",-0.01263
2022-11-17,83.75,85.7699966,83.2099991,85.3899994,85.307579,4651700,4651700,1.55758,1.86,84.76252,"November 17, 22",0.0186
2022-11-16,86.8300018,86.9300003,84.6500015,84.9000015,84.8180542,4753200,4753200,-2.01195,-2.317,85.46602,"November 16, 22",-0.02317
2022-11-15,86.5400009,87.6200027,86.2200012,87.1399994,87.0558853,4930000,4930000,0.51588,0.596,86.9653,"November 15, 22",0.00596
2022-11-14,85.9800034,87.0999985,85.6699982,85.8300018,85.7471542,4925800,4925800,-0.23285,-0.271,86.17238,"November 14, 22",-0.00271
2022-11-11,85.7799988,86.7799988,85.1500015,86.3099976,86.2266846,7781800,7781800,0.44669,0.521,86.05223,"November 11, 22",0.00521
2022-11-10,85.2300034,85.6699982,84.1500015,85.3799973,85.2975845,8589100,8589100,0.06758,0.079,85.03919,"November 10, 22",0.00079
2022-11-09,83.2200012,84.7900009,82.9000015,83.1500015,83.0697403,4960300,4960300,-0.15026,-0.181,83.58658,"November 09, 22",-0.00181
2022-11-08,83.8000031,84.7099991,82.6500015,84,83.9189224,6262800,6262800,0.11892,0.142,83.75964,"November 08, 22",0.00142
2022-11-07,81.1100006,83.8399963,81.0699997,83.4599991,83.3794403,8014600,8014600,2.26944,2.798,82.76315,"November 07, 22",0.02798
2022-11-04,79.9899979,81.1600037,79.4300003,81.0699997,80.991745,7201100,7201100,1.00175,1.252,80.52725,"November 04, 22",0.01252
2022-11-03,76.8700027,78.7799988,76.5699997,78.3799973,78.3043442,8689500,8689500,1.43434,1.866,77.88478,"November 03, 22",0.01866
2022-11-02,78.0899963,79.6600037,77.2799988,77.4000015,77.3252945,6373600,6373600,-0.7647,-0.979,78.08843,"November 02, 22",-0.00979
2022-11-01,78.5599976,80.0899963,77.4499969,78.2099991,78.1345062,5715800,5715800,-0.42549,-0.542,78.55817,"November 01, 22",-0.00542
2022-10-31,77.7799988,78.8600006,77.5400009,77.8099976,77.7348938,6594900,6594900,-0.0451,-0.058,78.04497,"October 31, 22",-0.00058
2022-10-28,76.6900024,78.3700027,76.5800018,78.3300018,78.2543945,5387900,5387900,1.56439,2.04,77.7348,"October 28, 22",0.0204
2022-10-27,76.3000031,77.6299973,75.8899994,76,75.9266434,6295900,6295900,-0.37336,-0.489,76.48221,"October 27, 22",-0.00489
2022-10-26,73.2900009,76.6299973,73.1900024,75.4599991,75.3871613,8084000,8084000,2.09716,2.861,75.06905,"October 26, 22",0.02861
2022-10-25,75,75.25,71.0800018,73,72.9295349,9622600,9622600,-2.07047,-2.761,73.08651,"October 25, 22",-0.02761
2022-10-24,73,74.3199997,72.7699966,73.3600006,73.2891922,6799600,6799600,0.28919,0.396,73.45973,"October 24, 22",0.00396
2022-10-21,70,72.9000015,69.75,72.8199997,72.7497101,6449800,6449800,2.74971,3.928,71.7999,"October 21, 22",0.03928
2022-10-20,70.7600021,71.6100006,69.8300018,69.9700012,69.9024658,5987100,5987100,-0.85754,-1.212,70.44749,"October 20, 22",-0.01212
2022-10-19,70.2699966,70.9800034,69.3399963,70.5299988,70.4619217,5238500,5238500,0.19193,0.273,70.26064,"October 19, 22",0.00273
2022-10-18,70.1900024,71.1399994,69.9300003,70.6999969,70.631752,6109700,6109700,0.44175,0.629,70.56725,"October 18, 22",0.00629
2022-10-17,68.9499969,70.1900024,68.4300003,68.6299973,68.5637512,5141100,5141100,-0.38625,-0.56,69.06125,"October 17, 22",-0.0056
2022-10-14,68.3000031,68.7799988,67.1900024,67.5699997,67.504776,5673300,5673300,-0.79523,-1.164,67.82493,"October 14, 22",-0.01164
