date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,83.54,83.8,82.51,83.01,83.01,16568678,16568678,-0.53,-0.634,83.10667,"January 20, 23",-0.00634
2023-01-19,84.17,84.58,83.2514,83.62,83.62,6922771,6922771,-0.55,-0.653,83.81713,"January 19, 23",-0.00653
2023-01-18,85.02,85.125,83.6,83.74,83.74,6374873,6374873,-1.28,-1.506,84.155,"January 18, 23",-0.01506
2023-01-17,86.05,86.365,85.36,85.41,85.41,5960343,5960343,-0.64,-0.744,85.71167,"January 17, 23",-0.00744
2023-01-13,85.54,86.3,85.33,86.27,86.27,5305095,5305095,0.73,0.853,85.96667,"January 13, 23",0.00853
2023-01-12,86.5,86.59,85.08,85.72,85.72,6013524,6013524,-0.78,-0.902,85.79667,"January 12, 23",-0.00902
2023-01-11,87.12,87.2,86.02,87.19,87.19,5947283,5947283,0.07,0.08,86.80333,"January 11, 23",0.0008
2023-01-10,85.2,87.53,84.86,87.14,87.14,5034929,5034929,1.94,2.277,86.51,"January 10, 23",0.02277
2023-01-09,87.77,87.9,84.95,85.1,85.1,5435785,5435785,-2.67,-3.042,85.98333,"January 09, 23",-0.03042
2023-01-06,86.61,88.29,86.22,88.08,88.08,5939948,5939948,1.47,1.697,87.53,"January 06, 23",0.01697
2023-01-05,85.01,86.41,85,85.85,85.85,5711142,5711142,0.84,0.988,85.75333,"January 05, 23",0.00988
2023-01-04,86.2,86.5,84.94,85.5,85.5,5714192,5714192,-0.7,-0.812,85.64667,"January 04, 23",-0.00812
2023-01-03,85.08,86.145,84.83,85.39,85.39,6050887,6050887,0.31,0.364,85.455,"January 03, 23",0.00364
2022-12-30,85.33,85.89,84.78,85.85,85.85,3831126,3831126,0.52,0.609,85.50667,"December 30, 22",0.00609
2022-12-29,84.91,85.57,84.61,85.26,85.26,3464300,3464300,0.35,0.412,85.14667,"December 29, 22",0.00412
2022-12-28,85.4,85.83,84.45,84.57,84.57,3286219,3286219,-0.83,-0.972,84.95,"December 28, 22",-0.00972
2022-12-27,85.25,85.47,84.69,85.01,85.01,3456126,3456126,-0.24,-0.282,85.05667,"December 27, 22",-0.00282
2022-12-23,85.22,85.245,84.28,84.75,84.75,3955730,3955730,-0.47,-0.552,84.75833,"December 23, 22",-0.00552
2022-12-22,85.245,85.47,84.37,85.28,85.28,4699099,4699099,0.035,0.041,85.04,"December 22, 22",0.00041
2022-12-21,85.25,85.912,84.855,85.27,85.27,5321249,5321249,0.02,0.023,85.34567,"December 21, 22",0.00023
2022-12-20,83.642,85.26,81.81,84.77,84.77,10999080,10999080,1.128,1.349,83.94667,"December 20, 22",0.01349
2022-12-19,86,86.62,85.43,86.42,86.42,5833690,5833690,0.42,0.488,86.15667,"December 19, 22",0.00488
2022-12-16,86.34,87.12,85.8,86.76,86.76,28313302,28313302,0.42,0.486,86.56,"December 16, 22",0.00486
2022-12-15,88.05,88.1,85.385,86.58,86.58,9899379,9899379,-1.47,-1.67,86.68833,"December 15, 22",-0.0167
2022-12-14,88,89.2900009,87.5199966,88.4000015,88.4000015,8643500,8643500,0.4,0.455,88.40333,"December 14, 22",0.00455
2022-12-13,89.6299973,89.7399979,87.9400024,88.75,88.0199966,8462200,8462200,-1.61,-1.796,88.56667,"December 13, 22",-0.01796
2022-12-12,87.8499985,88.5599976,87.4300003,88.5400009,87.8117294,5968400,5968400,-0.03827,-0.044,87.93391,"December 12, 22",-0.00044
2022-12-09,89.2699966,89.2699966,87.7900009,87.9700012,87.2464142,8275300,8275300,-2.02358,-2.267,88.10214,"December 09, 22",-0.02267
2022-12-08,87.8700027,89.6100006,87.5599976,89.4700012,88.7340775,6392200,6392200,0.86407,0.983,88.63469,"December 08, 22",0.00983
2022-12-07,88.0299988,88.5500031,87.3700027,87.7900009,87.067894,8861700,8861700,-0.9621,-1.093,87.66263,"December 07, 22",-0.01093
2022-12-06,87.9899979,88.6699982,87.1399994,87.9599991,87.236496,6760500,6760500,-0.7535,-0.856,87.68216,"December 06, 22",-0.00856
2022-12-05,87.8399963,89.0999985,87.4700012,87.9800034,87.2563324,6811400,6811400,-0.58366,-0.664,87.94211,"December 05, 22",-0.00664
2022-12-02,86.6999969,89.0699997,86.5500031,89.0299988,88.2976913,6730000,6730000,1.59769,1.843,87.97256,"December 02, 22",0.01843
2022-12-01,88.1999969,88.9700012,87.7200012,87.9000015,87.1769867,8220500,8220500,-1.02301,-1.16,87.95566,"December 01, 22",-0.0116
2022-11-30,85.7600021,88.1500015,85.0100021,87.8300018,87.1075668,14657000,14657000,1.34756,1.571,86.75586,"November 30, 22",0.01571
2022-11-29,85.5,85.8700027,84.7099991,85.7600021,85.0545959,6155600,6155600,-0.4454,-0.521,85.21153,"November 29, 22",-0.00521
2022-11-28,86.9199982,88.1999969,85.0800018,85.2099991,84.5091171,9253800,9253800,-2.41088,-2.774,85.92971,"November 28, 22",-0.02774
2022-11-25,85.0400009,86.4100037,84.7600021,86.2600021,85.5504837,4028700,4028700,0.51048,0.6,85.5735,"November 25, 22",0.006
2022-11-23,85.0599976,85.9400024,85.0100021,85.4199982,84.7173843,4680500,4680500,-0.34261,-0.403,85.22246,"November 23, 22",-0.00403
2022-11-22,84.6500015,86.1500015,84.5400009,85.2300034,84.5289536,7357700,7357700,-0.12105,-0.143,85.07299,"November 22, 22",-0.00143
2022-11-21,83.7600021,85.1699982,83.6399994,84.3499985,83.656189,6347900,6347900,-0.10381,-0.124,84.1554,"November 21, 22",-0.00124
2022-11-18,83.6299973,84.0599976,82.9899979,83.6200027,82.9321976,7276400,7276400,-0.6978,-0.834,83.3274,"November 18, 22",-0.00834
2022-11-17,82.5500031,83.8300018,82.4700012,83.6200027,82.9321976,5757500,5757500,0.38219,0.463,83.0774,"November 17, 22",0.00463
2022-11-16,82.6800003,83.4400024,82.5400009,82.8799973,82.1982803,6280300,6280300,-0.48172,-0.583,82.72609,"November 16, 22",-0.00583
2022-11-15,83.1399994,83.6399994,81.9800034,83,82.3172913,7121000,7121000,-0.82271,-0.99,82.64576,"November 15, 22",-0.0099
2022-11-14,81.6500015,84.1399994,81.2300034,82.8499985,82.1685257,7665200,7665200,0.51852,0.635,82.51284,"November 14, 22",0.00635
2022-11-11,81.4100037,81.9800034,80.0699997,81.8199997,81.1469955,11413200,11413200,-0.26301,-0.323,81.06567,"November 11, 22",-0.00323
2022-11-10,83.5,83.8000031,81.5599976,82.5999985,81.9205856,9397300,9397300,-1.57941,-1.892,82.42686,"November 10, 22",-0.01892
2022-11-09,82.5,83.5500031,82.1800003,82.3199997,81.6428833,10316500,10316500,-0.85712,-1.039,82.45763,"November 09, 22",-0.01039
2022-11-08,80.5999985,83.8000031,80.0800018,82.2300034,81.553627,9344400,9344400,0.95363,1.183,81.81121,"November 08, 22",0.01183
2022-11-07,79.5599976,81.5599976,79.5100021,81.4599991,80.7899628,8989300,8989300,1.22997,1.546,80.61999,"November 07, 22",0.01546
2022-11-04,79.1399994,81.3199997,78.3899994,80.3399963,79.6791687,9103300,9103300,0.53917,0.681,79.79639,"November 04, 22",0.00681
2022-11-03,77.3300018,79.5699997,77.1600037,79.4599991,78.8064117,8261100,8261100,1.47641,1.909,78.51214,"November 03, 22",0.01909
2022-11-02,78.1800003,80,77.8099976,77.8799973,77.2394028,9785000,9785000,-0.9406,-1.203,78.3498,"November 02, 22",-0.01203
2022-11-01,78.2600021,79.5500031,77.6600037,79.3399963,78.6873932,10553100,10553100,0.42739,0.546,78.63247,"November 01, 22",0.00546
2022-10-31,78.0599976,79.3700027,77.5299988,78.4599991,77.8146362,14674300,14674300,-0.24536,-0.314,78.23821,"October 31, 22",-0.00314
2022-10-28,74.3600006,79.6100006,73.9899979,79.2699966,78.6179733,27665700,27665700,4.25797,5.726,77.40599,"October 28, 22",0.05726
2022-10-27,70.8499985,71.2600021,70.1399994,70.1999969,69.6225739,8881200,8881200,-1.22742,-1.732,70.34086,"October 27, 22",-0.01732
2022-10-26,70,71.4100037,69.8799973,70.8199997,70.2374802,8763100,8763100,0.23748,0.339,70.50916,"October 26, 22",0.00339
2022-10-25,68.8399963,69.7099991,68.4800034,69.5999985,69.0275116,6711800,6711800,0.18752,0.272,69.0725,"October 25, 22",0.00272
2022-10-24,68.1100006,69.3700027,68.0899963,69,68.4324493,7133100,7133100,0.32245,0.473,68.63082,"October 24, 22",0.00473
2022-10-21,66.1800003,67.9400024,66.1100006,67.7900009,67.232399,7814600,7814600,1.0524,1.59,67.09413,"October 21, 22",0.0159
2022-10-20,66.1600037,66.5400009,65.6999969,66.1600037,65.6158142,6384200,6384200,-0.54419,-0.823,65.95194,"October 20, 22",-0.00823
2022-10-19,66.8499985,66.9700012,65.8499985,66.1900024,65.6455612,7058600,7058600,-1.20444,-1.802,66.15519,"October 19, 22",-0.01802
2022-10-18,66.5400009,67.0800018,66.4400024,66.8700027,66.3199692,6802300,6802300,-0.22003,-0.331,66.61332,"October 18, 22",-0.00331
2022-10-17,66.8399963,66.9300003,65.9400024,66.3799973,65.8339996,5799600,5799600,-1.006,-1.505,66.23467,"October 17, 22",-0.01505
2022-10-14,66.6299973,67,66.0199966,66.1699982,65.6257248,7892200,7892200,-1.00427,-1.507,66.21524,"October 14, 22",-0.01507
2022-10-13,64.4599991,66.9499969,64.0999985,66.4599991,65.9133377,7690100,7690100,1.45334,2.255,65.65444,"October 13, 22",0.02255
2022-10-12,65.8499985,66.3700027,65.3099976,65.3899994,64.8521423,6406000,6406000,-0.99786,-1.515,65.51071,"October 12, 22",-0.01515
2022-10-11,64.5,66.0400009,64.4800034,65.6699982,65.129837,7154500,7154500,0.62984,0.976,65.21661,"October 11, 22",0.00976
2022-10-10,64.5699997,64.8499985,64.1100006,64.4599991,63.9297905,4328500,4328500,-0.64021,-0.991,64.2966,"October 10, 22",-0.00991
2022-10-07,64.6399994,65.0999985,63.9599991,64.2900009,63.7611923,6723200,6723200,-0.87881,-1.36,64.27373,"October 07, 22",-0.0136
2022-10-06,64.8899994,65.3600006,64.6100006,64.9499969,64.4157562,5622300,5622300,-0.47424,-0.731,64.79525,"October 06, 22",-0.00731
2022-10-05,64.7200012,65.9700012,64.3799973,65.4499969,64.911644,5802300,5802300,0.19164,0.296,65.08721,"October 05, 22",0.00296
2022-10-04,64.0899963,65.3600006,63.5999985,65.3099976,64.7727966,11966000,11966000,0.6828,1.065,64.5776,"October 04, 22",0.01065
2022-10-03,62.4000015,62.5699997,61.4500008,62.3199997,61.8073921,8094100,8094100,-0.59261,-0.95,61.94246,"October 03, 22",-0.0095
2022-09-30,63.1599998,63.5800018,61.6100006,61.6899986,61.1825752,8794700,8794700,-1.97742,-3.131,62.12419,"September 30, 22",-0.03131
2022-09-29,63.83,64.22,62.51,62.5512,62.5512,8431872,8431872,-0.76,-1.191,63.26667,"September 29, 22",-0.01191
2022-09-28,63,64.3700027,62.7099991,63.9300003,63.4041519,7567500,7567500,0.40415,0.642,63.49472,"September 28, 22",0.00642
2022-09-27,62.4300003,63.5200005,62.2799988,62.6300011,62.1148453,7125900,7125900,-0.31516,-0.505,62.63828,"September 27, 22",-0.00505
2022-09-26,62.5099983,62.9399986,62.1699982,62.3400002,61.8272285,6141300,6141300,-0.68277,-1.092,62.31241,"September 26, 22",-0.01092
2022-09-23,63.4900017,63.7900009,62.2999992,62.8600006,62.3429527,7603800,7603800,-1.14705,-1.807,62.81098,"September 23, 22",-0.01807
2022-09-22,63.3499985,64.3199997,62.9300003,63.7700005,63.2454681,6111800,6111800,-0.10453,-0.165,63.49849,"September 22, 22",-0.00165
2022-09-21,64.5800018,65.5299988,63.4599991,63.5,62.9776878,8776600,8776600,-1.60231,-2.481,63.98923,"September 21, 22",-0.02481
2022-09-20,65.4100037,65.4800034,63.8899994,64.5800018,64.0488052,6958900,6958900,-1.3612,-2.081,64.47294,"September 20, 22",-0.02081
2022-09-19,65.3499985,65.8600006,64.5999985,65.8199997,65.2786026,6162700,6162700,-0.0714,-0.109,65.2462,"September 19, 22",-0.00109
2022-09-16,65.0800018,65.9300003,64.8099976,65.5999985,65.0604172,11766000,11766000,-0.01958,-0.03,65.26681,"September 16, 22",-0.0003
2022-09-15,65.5,65.6999969,64.7099991,65,64.4653473,7088500,7088500,-1.03465,-1.58,64.95845,"September 15, 22",-0.0158
2022-09-14,64.4100037,65.4599991,64.4100037,65.1800003,64.6438675,9113200,9113200,0.23386,0.363,64.83796,"September 14, 22",0.00363
2022-09-13,67.4000015,67.4000015,64.9300003,65.0999985,63.8405266,11799400,11799400,-3.55947,-5.281,65.39018,"September 13, 22",-0.05281
2022-09-12,68.4300003,68.8799973,67.4800034,68.0100021,66.6942291,18777900,18777900,-1.73577,-2.537,67.68474,"September 12, 22",-0.02537
2022-09-09,64.9800034,65.7699966,64.8899994,65.2799988,64.0170517,6497000,6497000,-0.96295,-1.482,64.89235,"September 09, 22",-0.01482
2022-09-08,65.4100037,65.6500015,64.6900024,65.0999985,63.8405266,8278400,8278400,-1.56948,-2.399,64.72684,"September 08, 22",-0.02399
2022-09-07,63.6699982,64.9599991,63.5600014,64.7900009,63.5365295,9626600,9626600,-0.13347,-0.21,64.01884,"September 07, 22",-0.0021
2022-09-06,63.7799988,63.8400002,62.7999992,63.3899994,62.1636124,7377500,7377500,-1.61639,-2.534,62.93454,"September 06, 22",-0.02534
2022-09-02,65.0400009,65.2900009,63.3699989,63.8199997,62.5852928,6737300,6737300,-2.45471,-3.774,63.74843,"September 02, 22",-0.03774
2022-09-01,63.4099998,65,63.3199997,64.9499969,63.6934319,6269600,6269600,0.28343,0.447,64.00448,"September 01, 22",0.00447
