date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,95.95,99.42,95.91,99.28,99.28,53206531,53206531,3.33,3.471,98.20333,"January 20, 23",0.03471
2023-01-19,91.39,94.4,91.38,93.91,93.91,28710212,28710212,2.52,2.757,93.23,"January 19, 23",0.02757
2023-01-18,92.94,93.588,91.4,91.78,91.78,19643093,19643093,-1.16,-1.248,92.256,"January 18, 23",-0.01248
2023-01-17,92.78,92.97,90.84,92.16,92.16,22936260,22936260,-0.62,-0.668,91.99,"January 17, 23",-0.00668
2023-01-13,91.528,92.98,90.93,92.8,92.8,18631232,18631232,1.272,1.39,92.23667,"January 13, 23",0.0139
2023-01-12,92.4,92.62,90.57,91.91,91.91,22754712,22754712,-0.49,-0.53,91.7,"January 12, 23",-0.0053
2023-01-11,90.06,92.45,89.74,92.26,92.26,26000398,26000398,2.2,2.443,91.48333,"January 11, 23",0.02443
2023-01-10,86.72,89.475,86.7,89.24,89.24,22856185,22856185,2.52,2.906,88.47167,"January 10, 23",0.02906
2023-01-09,89.195,90.83,88.58,88.8,88.8,22998458,22998458,-0.395,-0.443,89.40333,"January 09, 23",-0.00443
2023-01-06,87.36,88.47,85.57,88.16,88.16,26609844,26609844,0.8,0.916,87.4,"January 06, 23",0.00916
2023-01-05,88.07,88.21,86.56,86.77,86.77,23138167,23138167,-1.3,-1.476,87.18,"January 05, 23",-0.01476
2023-01-04,91.01,91.24,87.8,88.71,88.71,27033692,27033692,-2.3,-2.527,89.25,"January 04, 23",-0.02527
2023-01-03,89.83,91.55,89.02,89.7,89.7,20729516,20729516,-0.13,-0.145,90.09,"January 03, 23",-0.00145
2022-12-30,87.365,88.83,87.03,88.73,88.73,19186166,19186166,1.365,1.562,88.19667,"December 30, 22",0.01562
2022-12-29,87.03,89.365,86.99,88.95,88.95,18281561,18281561,1.92,2.206,88.435,"December 29, 22",0.02206
2022-12-28,87.5,88.52,86.3701,86.46,86.46,17881040,17881040,-1.04,-1.189,87.1167,"December 28, 22",-0.01189
2022-12-27,89.31,89.5,87.535,87.93,87.93,15463693,15463693,-1.38,-1.545,88.32167,"December 27, 22",-0.01545
2022-12-23,87.62,90.1,87.62,89.81,89.81,17815088,17815088,2.19,2.499,89.17667,"December 23, 22",0.02499
2022-12-22,88.93,89.18,86.9401,88.26,88.26,23658407,23658407,-0.67,-0.753,88.1267,"December 22, 22",-0.00753
2022-12-21,89.73,90.915,88.91,90.25,90.25,20333714,20333714,0.52,0.58,90.025,"December 21, 22",0.0058
2022-12-20,88.73,89.78,88.04,89.63,89.63,21976891,21976891,0.9,1.014,89.15,"December 20, 22",0.01014
2022-12-19,90.88,91.2,88.925,89.15,89.15,23021758,23021758,-1.73,-1.904,89.75833,"December 19, 22",-0.01904
2022-12-16,91.2,91.75,90.01,90.86,90.86,48485206,48485206,-0.34,-0.373,90.87333,"December 16, 22",-0.00373
2022-12-15,93.54,94.03,90.43,91.2,91.2,28284000,28284000,-2.34,-2.502,91.88667,"December 15, 22",-0.02502
2022-12-14,95.54,97.22,93.94,95.31,95.31,26445362,26445362,-0.23,-0.241,95.49,"December 14, 22",-0.00241
2022-12-13,98.07,99.8,95.38,95.85,95.85,34790869,34790869,-2.22,-2.264,97.01,"December 13, 22",-0.02264
2022-12-12,93.09,93.8745,91.9,93.56,93.56,27375231,27375231,0.47,0.505,93.1115,"December 12, 22",0.00505
2022-12-09,93.9,94.49,93.02,93.07,93.07,21885427,21885427,-0.83,-0.884,93.52667,"December 09, 22",-0.00884
2022-12-08,95.69,95.87,93.8,93.95,93.95,25595300,25595300,-1.74,-1.818,94.54,"December 08, 22",-0.01818
2022-12-07,96.77,97.31,95.025,95.15,95.15,26650132,26650132,-1.62,-1.674,95.82833,"December 07, 22",-0.01674
2022-12-06,99.67,100.21,96.7604,97.31,97.31,20878460,20878460,-2.36,-2.368,98.09347,"December 06, 22",-0.02368
2022-12-05,99.815,101.7499,99.355,99.87,99.87,19956750,19956750,0.055,0.055,100.32497,"December 05, 22",0.00055
2022-12-02,99.37,101.15,99.17,100.83,100.83,18815482,18815482,1.46,1.469,100.38333,"December 02, 22",0.01469
2022-12-01,101.4,102.59,100.67,101.28,101.28,21759987,21759987,-0.12,-0.118,101.51333,"December 01, 22",-0.00118
2022-11-30,95.12,101.45,94.67,101.45,101.45,39856249,39856249,6.33,6.655,99.19,"November 30, 22",0.06655
2022-11-29,96,96.3901,94.39,95.44,95.44,20221080,20221080,-0.56,-0.583,95.4067,"November 29, 22",-0.00583
2022-11-28,97.2,97.83,95.89,96.25,96.25,19977585,19977585,-0.95,-0.977,96.65667,"November 28, 22",-0.00977
2022-11-25,98.465,98.94,97.53,97.6,97.6,8568314,8568314,-0.865,-0.878,98.02333,"November 25, 22",-0.00878
2022-11-23,97.34,99.0685,97.34,98.82,98.82,17569556,17569556,1.48,1.52,98.4095,"November 23, 22",0.0152
2022-11-22,96.16,97.5475,94.41,97.33,97.33,18870492,18870492,1.17,1.217,96.42917,"November 22, 22",0.01217
2022-11-21,97.56,98.72,95.67,95.83,95.83,18687583,18687583,-1.73,-1.773,96.74,"November 21, 22",-0.01773
2022-11-18,99.01,99.16,96.74,97.8,97.8,24966950,24966950,-1.21,-1.222,97.9,"November 18, 22",-0.01222
2022-11-17,97.18,99.48,97.1,98.5,98.5,21819837,21819837,1.32,1.358,98.36,"November 17, 22",0.01358
2022-11-16,98.02,99.85,97.9015,98.99,98.99,24658320,24658320,0.97,0.99,98.91383,"November 16, 22",0.0099
2022-11-15,98.67,100.42,97.02,98.72,98.72,31831224,31831224,0.05,0.051,98.72,"November 15, 22",0.00051
2022-11-14,95.5,97.18,95.1125,96.03,96.03,24172166,24172166,0.53,0.555,96.1075,"November 14, 22",0.00555
2022-11-11,94.71,97.36,94.16,96.73,96.73,30548093,30548093,2.02,2.133,96.08333,"November 11, 22",0.02133
2022-11-10,92.34,94.55,91.65,94.17,94.17,42355611,42355611,1.83,1.982,93.45667,"November 10, 22",0.01982
2022-11-09,88.545,89.49,87.3599,87.4,87.4,26745846,26745846,-1.145,-1.293,88.0833,"November 09, 22",-0.01293
2022-11-08,89.16,90.405,87.65,88.91,88.91,30172278,30172278,-0.25,-0.28,88.98833,"November 08, 22",-0.0028
2022-11-07,87.34,88.94,86.96,88.65,88.65,26900373,26900373,1.31,1.5,88.18333,"November 07, 22",0.015
2022-11-04,85.51,86.73,83.88,86.7,86.7,40176490,40176490,1.19,1.392,85.77,"November 04, 22",0.01392
2022-11-03,86.345,86.55,83.45,83.49,83.49,48488026,48488026,-2.855,-3.307,84.49667,"November 03, 22",-0.03307
2022-11-02,90.91,91.3,87.01,87.07,87.07,43524017,43524017,-3.84,-4.224,88.46,"November 02, 22",-0.04224
2022-11-01,95.59,96.165,90.43,90.5,90.5,43224346,43224346,-5.09,-5.325,92.365,"November 01, 22",-0.05325
2022-10-31,95.78,96.35,94.38,94.66,94.66,29868788,29868788,-1.12,-1.169,95.13,"October 31, 22",-0.01169
2022-10-28,92.53,96.86,92.3225,96.58,96.58,35697288,35697288,4.05,4.377,95.25417,"October 28, 22",0.04377
2022-10-27,94.31,95.17,91.9,92.6,92.6,54039916,54039916,-1.71,-1.813,93.22333,"October 27, 22",-0.01813
2022-10-26,96.76,98.54,94.57,94.82,94.82,71597212,71597212,-1.94,-2.005,95.97667,"October 26, 22",-0.02005
2022-10-25,103.3,105.0999,103.02,104.93,104.93,29911247,29911247,1.63,1.578,104.34997,"October 25, 22",0.01578
2022-10-24,102.09,103.1,100.3,102.97,102.97,24666628,24666628,0.88,0.862,102.12333,"October 24, 22",0.00862
2022-10-21,98.46,101.62,98.23,101.48,101.48,28985160,28985160,3.02,3.067,100.44333,"October 21, 22",0.03067
2022-10-20,100.82,103,99.97,100.53,100.53,25125963,25125963,-0.29,-0.288,101.16667,"October 20, 22",-0.00288
2022-10-19,100.6999969,101.6589966,99.6350021,100.2900009,100.2900009,21573700,21573700,-0.41,-0.407,100.528,"October 19, 22",-0.00407
2022-10-18,103.9400024,104.2200012,100.6500015,101.3899994,101.3899994,21610500,21610500,-2.55,-2.453,102.08667,"October 18, 22",-0.02453
2022-10-17,99.5199966,101.7699966,99.5100021,100.7799988,100.7799988,23311600,23311600,1.26,1.266,100.68667,"October 17, 22",0.01266
2022-10-14,100.625,101.2900009,97.0299988,97.1800003,97.1800003,22612900,22612900,-3.445,-3.424,98.5,"October 14, 22",-0.03424
2022-10-13,95.9300003,100.5299988,95.2699966,99.7099991,99.7099991,32812200,32812200,3.78,3.94,98.50333,"October 13, 22",0.0394
2022-10-12,98.2699966,99.6480026,97.6699982,98.3000031,98.3000031,17343400,17343400,0.03001,0.031,98.53933,"October 12, 22",0.00031
2022-10-11,98.25,100.1200027,97.25,98.0500031,98.0500031,21617700,21617700,-0.2,-0.204,98.47334,"October 11, 22",-0.00204
2022-10-10,99.8499985,99.9899979,97.8700027,98.7099991,98.7099991,16529900,16529900,-1.14,-1.142,98.85667,"October 10, 22",-0.01142
2022-10-07,100.6500015,101.4199982,99.2099991,99.5699997,99.5699997,24232300,24232300,-1.08,-1.073,100.06667,"October 07, 22",-0.01073
2022-10-06,101.5,103.7300034,101.5,102.2399979,102.2399979,17156200,17156200,0.74,0.729,102.49,"October 06, 22",0.00729
2022-10-05,100.6900024,102.7399979,99.7399979,102.2200012,102.2200012,18475500,18475500,1.53,1.52,101.56667,"October 05, 22",0.0152
2022-10-04,101.0400009,102.7200012,101.0400009,102.4100037,102.4100037,22580900,22580900,1.37,1.356,102.05667,"October 04, 22",0.01356
2022-10-03,97.2200012,99.9700012,97.0199966,99.3000031,99.3000031,24840000,24840000,2.08,2.139,98.76333,"October 03, 22",0.02139
2022-09-30,97.7300034,99.4940033,96.0299988,96.1500015,96.1500015,26248200,26248200,-1.58,-1.617,97.22467,"September 30, 22",-0.01617
2022-09-29,99.3,99.3,96.52,98.09,98.09,21921956,21921956,-1.21,-1.219,97.97,"September 29, 22",-0.01219
2022-09-28,98.0199966,101.4000015,97.8000031,100.7399979,100.7399979,24617000,24617000,2.72,2.775,99.98,"September 28, 22",0.02775
2022-09-27,99.9100037,100.4599991,97.3399963,98.0899963,98.0899963,24225000,24225000,-1.82001,-1.822,98.63,"September 27, 22",-0.01822
2022-09-26,98.6100006,100.4400024,98.3799973,98.8099976,98.8099976,22437900,22437900,0.2,0.203,99.21,"September 26, 22",0.00203
2022-09-23,100.0599976,100.1100006,98.0100021,99.1699982,99.1699982,25645100,25645100,-0.89,-0.889,99.09667,"September 23, 22",-0.00889
