date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,325.04,327.1799,323.295,324.77,324.769989,1251528,1251497,-0.27,-0.0830667,325.19,"May 09, 23",-0.000830667
2023-05-08,329.64,330.3,325.67,326.51,326.51001,1607368,1607300,-3.13,-0.94952,327.03,"May 08, 23",-0.0094952
2023-05-05,325.06,327.8691,322.42,327.02,327.019989,2413384,2412900,1.96,0.60297,325.62,"May 05, 23",0.0060297
2023-05-04,325.95,326.98,318.56,321.26,321.26001,2965114,2965100,-4.69,-1.44,321.58,"May 04, 23",-0.0144
2023-05-03,332.36,334.83,328.25,328.65,328.649994,1825366,1825400,-3.71,-1.12,331.52,"May 03, 23",-0.0112
2023-05-02,339.01,339.89,330.0013,333.37,333.369995,2397583,2397600,-5.64,-1.66,332.9,"May 02, 23",-0.0166
2023-05-01,344.05,347.46,340.365,340.57,340.570007,1373381,1375000,-3.48,-1.01,342.95,"May 01, 23",-0.0101
2023-04-28,340.05,344.1,339.7,343.44,343.440002,1714119,1712500,3.39,0.99691,342.65,"April 28, 23",0.0099691
2023-04-27,340.14,343.36,338.76,341.6,341.600006,1768168,1768200,1.46,0.42924,341.35,"April 27, 23",0.0042924
2023-04-26,337.58,340.6,334.64,336.56,336.559998,2042094,2041900,-1.02,-0.30215,337.47,"April 26, 23",-0.0030215
2023-04-25,341,343.47,338.33,339.48,339.480011,2138164,2138200,-1.52,-0.44575,340.43,"April 25, 23",-0.0044575
2023-04-24,341.99,345.06,341.53,343.96,343.959991,1966254,1966300,1.97,0.57604,343.89,"April 24, 23",0.0057604
2023-04-21,339,342.3599,336,341.66,341.660004,2278870,2277100,2.66,0.78466,340.37,"April 21, 23",0.0078466
2023-04-20,334.95,339.31,334.32,338.71,338.709991,2218025,2217900,3.76,1.12,337.88,"April 20, 23",0.0112
2023-04-19,332.98,336.99,331.6703,336.89,336.890015,2625397,2625400,3.91,1.17,334.67,"April 19, 23",0.0117
2023-04-18,328,336.55,326.13,333.91,333.910004,7549535,7549500,5.91,1.8,332.12,"April 18, 23",0.018
2023-04-17,336,340.45,333.68,339.68,339.679993,3012148,3012100,3.68,1.1,338.78,"April 17, 23",0.011
2023-04-14,336.53,339.63,334.32,336.92,336.920013,2275657,2274400,0.39,0.11589,336.64,"April 14, 23",0.0011589
2023-04-13,330.08,332.94,327,332.13,332.130005,1765454,1765500,2.05,0.62106,331.26,"April 13, 23",0.0062106
2023-04-12,331.72,332.07,327.18,330.24,330.23999,1859142,1862400,-1.48,-0.44616,330.11,"April 12, 23",-0.0044616
2023-04-11,326.05,329.2,323.665,327.37,327.369995,1559582,1559600,1.32,0.40485,327.14,"April 11, 23",0.0040485
2023-04-10,322.4,324.99,321.31,324.96,324.959991,1114386,1114400,2.56,0.79404,323.9,"April 10, 23",0.0079404
2023-04-06,320.38,323.225,319.98,322.4,322.399994,1310998,1311000,2.02,0.6305,322.08,"April 06, 23",0.006305
2023-04-05,319.62,322.2,319.37,321.53,321.529999,1324500,1329300,1.91,0.59758,320.84,"April 05, 23",0.0059758
2023-04-04,326.82,326.87,320.12,322.65,322.649994,1536818,1536800,-4.17,-1.28,322.17,"April 04, 23",-0.0128
2023-04-03,326.14,328.98,323.155,326.52,326.519989,1808836,1808800,0.38,0.11651,326.06,"April 03, 23",0.0011651
2023-03-31,323.47,327.33,322.42,327.11,327.109985,2281101,2279800,3.64,1.13,325.49,"March 31, 23",0.0113
2023-03-30,324.56,324.87,319.88,321.14,321.140015,1456528,1456300,-3.42,-1.05,321.71,"March 30, 23",-0.0105
2023-03-29,322.5,322.71,318.68,320.72,320.720001,1475911,1475900,-1.78,-0.55194,320.53,"March 29, 23",-0.0055194
2023-03-28,319.09,320.605,316.12,318.44,318.440002,1224463,1224300,-0.65,-0.2037,318.14,"March 28, 23",-0.002037
2023-03-27,318.62,320.9,317.17,318.53,318.529999,2300622,2300600,-0.09,-0.02824681,318.92,"March 27, 23",-0.0002824681
