date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,310.01,315.24,307.3901,315,315,3628781,3628781,4.99,1.61,312.54337,"January 20, 23",0.0161
2023-01-19,320.34,321.34,310.63,310.88,310.88,5357111,5357111,-9.46,-2.953,314.28333,"January 19, 23",-0.02953
2023-01-18,330,334.52,322.93,323.69,323.69,2951668,2951668,-6.31,-1.912,327.04667,"January 18, 23",-0.01912
2023-01-17,330.33,335.16,327.1,327.53,327.53,3988793,3988793,-2.8,-0.848,329.93,"January 17, 23",-0.00848
2023-01-13,326.49,332.39,326,331.21,331.21,2798189,2798189,4.72,1.446,329.86667,"January 13, 23",0.01446
2023-01-12,332.21,332.21,326.71,329.87,329.87,2480416,2480416,-2.34,-0.704,329.59667,"January 12, 23",-0.00704
2023-01-11,322.55,329.04,322.12,329,329,2863836,2863836,6.45,2,326.72,"January 11, 23",0.02
2023-01-10,316.3,320.73,313.96,320.63,320.63,2110919,2110919,4.33,1.369,318.44,"January 10, 23",0.01369
2023-01-09,320,322.55,317.06,317.81,317.81,3465907,3465907,-2.19,-0.684,319.14,"January 09, 23",-0.00684
2023-01-06,316.29,318.85,309,317.53,317.53,4022310,4022310,1.24,0.392,315.12667,"January 06, 23",0.00392
2023-01-05,317.83,318.08,313.23,315.47,315.47,2934352,2934352,-2.36,-0.743,315.59333,"January 05, 23",-0.00743
2023-01-04,321.07,322.51,316.38,319.73,319.73,3316622,3316622,-1.34,-0.417,319.54,"January 04, 23",-0.00417
2023-01-03,317.42,319.22,311.78,315.91,315.91,2822141,2822141,-1.51,-0.476,315.63667,"January 03, 23",-0.00476
2022-12-30,317.49,318.17,313.02,315.86,315.86,2580821,2580821,-1.63,-0.513,315.68333,"December 30, 22",-0.00513
2022-12-29,318.65,321.83,317.59,320.41,320.41,1559144,1559144,1.76,0.552,319.94333,"December 29, 22",0.00552
2022-12-28,320.55,321.43,315.5,315.73,315.73,1568289,1568289,-4.82,-1.504,317.55333,"December 28, 22",-0.01504
2022-12-27,318.41,321.55,317.51,319.55,319.55,1610265,1610265,1.14,0.358,319.53667,"December 27, 22",0.00358
2022-12-23,314.15,319.1,313.06,318.73,318.73,2064756,2064756,4.58,1.458,316.96333,"December 23, 22",0.01458
2022-12-22,316.4,316.4,310.73,316.12,316.12,3064628,3064628,-0.28,-0.088,314.41667,"December 22, 22",-0.00088
2022-12-21,318.05,319.59,314.74,319.36,319.36,2609815,2609815,1.31,0.412,317.89667,"December 21, 22",0.00412
2022-12-20,313.32,316.89,310.83,314.84,314.84,2632225,2632225,1.52,0.485,314.18667,"December 20, 22",0.00485
2022-12-19,319.5,321.91,316.02,317.33,317.33,2999562,2999562,-2.17,-0.679,318.42,"December 19, 22",-0.00679
2022-12-16,323.43,327.94,319.2422,323.34,323.34,9615525,9615525,-0.09,-0.028,323.5074,"December 16, 22",-0.00028
2022-12-15,329.44,330.02,323.37,327.6,327.6,5057023,5057023,-1.84,-0.559,326.99667,"December 15, 22",-0.00559
2022-12-14,330.53,339.055,329.045,333.43,333.43,4546384,4546384,2.9,0.877,333.84333,"December 14, 22",0.00877
2022-12-13,344.35,347.25,329.96,332.89,332.89,5787453,5787453,-11.46,-3.328,336.7,"December 13, 22",-0.03328
2022-12-12,323,328.34,321.29,327.98,327.98,4898589,4898589,4.98,1.542,325.87,"December 12, 22",0.01542
2022-12-09,321.48,324.44,319.93,320.48,320.48,3737023,3737023,-1,-0.311,321.61667,"December 09, 22",-0.00311
2022-12-08,318.55,324.52,318.55,324.09,324.09,3483556,3483556,5.54,1.739,322.38667,"December 08, 22",0.01739
2022-12-07,315.96,322.88,314.44,320.15,320.15,4037956,4037956,4.19,1.326,319.15667,"December 07, 22",0.01326
2022-12-06,319.64,321.65,314.54,317.45,317.45,3341389,3341389,-2.19,-0.685,317.88,"December 06, 22",-0.00685
2022-12-05,325.15,325.52,319.54,320.08,320.08,5055910,5055910,-5.07,-1.559,321.71333,"December 05, 22",-0.01559
2022-12-02,321.08,328.48,320.33,327.99,327.99,3643952,3643952,6.91,2.152,325.6,"December 02, 22",0.02152
2022-12-01,326.31,329.67,324.44,327.07,327.07,3702921,3702921,0.76,0.233,327.06,"December 01, 22",0.00233
2022-11-30,312.9299927,324.1900024,311.5,323.9899902,323.9899902,15103300,15103300,11.06,3.534,319.89333,"November 30, 22",0.03534
2022-11-29,316,320,315.6199951,315.9599915,314.0599976,3505600,3505600,-1.94,-0.614,316.56,"November 29, 22",-0.00614
