date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,199.565,202.6467,198.81,202.03,202.03,3946410,3946410,2.465,1.235,201.16223,"January 20, 23",0.01235
2023-01-19,204.3,204.38,200.22,200.66,200.66,4549135,4549135,-3.64,-1.782,201.75333,"January 19, 23",-0.01782
2023-01-18,210.89,210.89,203.98,204.24,204.24,5101251,5101251,-6.65,-3.153,206.37,"January 18, 23",-0.03153
2023-01-17,217.02,217.02,211.93,212.24,212.24,3281354,3281354,-4.78,-2.203,213.73,"January 17, 23",-0.02203
2023-01-13,214.49,216.83,212.895,216.61,216.61,1997264,1997264,2.12,0.988,215.445,"January 13, 23",0.00988
2023-01-12,212.85,217.22,212.38,215.98,215.98,2964238,2964238,3.13,1.471,215.19333,"January 12, 23",0.01471
2023-01-11,211.98,212.91,210.01,212.3,212.3,2919693,2919693,0.32,0.151,211.74,"January 11, 23",0.00151
2023-01-10,209.5,211.45,209.5,211.34,211.34,1775726,1775726,1.84,0.878,210.76333,"January 10, 23",0.00878
2023-01-09,210.27,213.63,209.54,210.67,210.67,2627536,2627536,0.4,0.19,211.28,"January 09, 23",0.0019
2023-01-06,206.47,211.06,205.8738,210.27,210.27,4056535,4056535,3.8,1.84,209.06793,"January 06, 23",0.0184
2023-01-05,208.48,208.81,204.06,204.47,204.47,4057411,4057411,-4.01,-1.923,205.78,"January 05, 23",-0.01923
2023-01-04,208.5,211.24,207.32,210.04,210.04,3860097,3860097,1.54,0.739,209.53333,"January 04, 23",0.00739
2023-01-03,215.15,215.15,212.22,214.3,214.3,2219364,2219364,-0.85,-0.395,213.89,"January 03, 23",-0.00395
2022-12-30,213.98,214.5,211.93,214.3,214.3,1597750,1597750,0.32,0.15,213.57667,"December 30, 22",0.0015
2022-12-29,213.09,215.25,212.77,214.75,214.75,1879953,1879953,1.66,0.779,214.25667,"December 29, 22",0.00779
2022-12-28,215.93,216.51,212.01,212.19,212.19,1607415,1607415,-3.74,-1.732,213.57,"December 28, 22",-0.01732
2022-12-27,213.9,215.78,213.71,214.89,214.89,1461031,1461031,0.99,0.463,214.79333,"December 27, 22",0.00463
2022-12-23,212,214.71,211.46,213.87,213.87,1300753,1300753,1.87,0.882,213.34667,"December 23, 22",0.00882
2022-12-22,214.34,214.61,208.99,212.31,212.31,2220061,2220061,-2.03,-0.947,211.97,"December 22, 22",-0.00947
2022-12-21,212.96,215.3,212.75,215.1,215.1,2625475,2625475,2.14,1.005,214.38333,"December 21, 22",0.01005
2022-12-20,209.57,212.76,209.22,211.49,211.49,1875947,1875947,1.92,0.916,211.15667,"December 20, 22",0.00916
2022-12-19,209.26,212.33,208.37,209.41,209.41,3089887,3089887,0.15,0.072,210.03667,"December 19, 22",0.00072
2022-12-16,207.35,210.29,206.23,209.74,209.74,7129182,7129182,2.39,1.153,208.75333,"December 16, 22",0.01153
2022-12-15,212.89,213.58,208.04,208.97,208.97,3221632,3221632,-3.92,-1.841,210.19667,"December 15, 22",-0.01841
2022-12-14,216.22,217.87,213.05,214.72,214.72,2545941,2545941,-1.5,-0.694,215.21333,"December 14, 22",-0.00694
2022-12-13,219.55,219.96,213.14,214.96,214.96,3448309,3448309,-4.59,-2.091,216.02,"December 13, 22",-0.02091
2022-12-12,212.16,214.59,211.06,214.5,214.5,3346561,3346561,2.34,1.103,213.38333,"December 12, 22",0.01103
2022-12-09,213.35,214.49,211.4,211.63,211.63,2260215,2260215,-1.72,-0.806,212.50667,"December 09, 22",-0.00806
2022-12-08,213.85,214.59,212.21,213.35,213.35,2169688,2169688,-0.5,-0.234,213.38333,"December 08, 22",-0.00234
2022-12-07,213.97,214.09,212.01,213.45,213.45,2983758,2983758,-0.52,-0.243,213.18333,"December 07, 22",-0.00243
2022-12-06,216.27,216.74,211.36,213.19,213.19,2518429,2518429,-3.08,-1.424,213.76333,"December 06, 22",-0.01424
2022-12-05,217.75,218.59,215.2,215.6,215.6,3077980,3077980,-2.15,-0.987,216.46333,"December 05, 22",-0.00987
2022-12-02,214.83,219.86,214.72,219.08,219.08,2194373,2194373,4.25,1.978,217.88667,"December 02, 22",0.01978
2022-12-01,220.28,220.53,216.3548,217.39,217.39,3990552,3990552,-2.89,-1.312,218.0916,"December 01, 22",-0.01312
2022-11-30,216.32,220.61,213.69,219.55,219.55,4675547,4675547,3.23,1.493,217.95,"November 30, 22",0.01493
2022-11-29,215.92,217.42,215.18,216.72,216.72,2101776,2101776,0.8,0.371,216.44,"November 29, 22",0.00371
2022-11-28,219.7,220.205,215.5,215.77,215.77,2642844,2642844,-3.93,-1.789,217.15833,"November 28, 22",-0.01789
2022-11-25,217.74,220.96,217.74,220.05,220.05,1119916,1119916,2.31,1.061,219.58333,"November 25, 22",0.01061
2022-11-23,218.79,220.68,218.3,218.91,218.91,2686781,2686781,0.12,0.055,219.29667,"November 23, 22",0.00055
2022-11-22,217.13,219.01,217,218.76,218.76,2515848,2515848,1.63,0.751,218.25667,"November 22, 22",0.00751
2022-11-21,215,217.19,213.85,216.56,216.56,2346623,2346623,1.56,0.726,215.86667,"November 21, 22",0.00726
2022-11-18,216.39,217.33,213.16,214.53,214.53,2973321,2973321,-1.86,-0.86,215.00667,"November 18, 22",-0.0086
2022-11-17,212.25,215.38,212.02,214.51,214.51,2689395,2689395,2.26,1.065,213.97,"November 17, 22",0.01065
2022-11-16,215.76,216.23,213.31,214,214,2447126,2447126,-1.76,-0.816,214.51333,"November 16, 22",-0.00816
2022-11-15,215.36,216.19,213.09,215.43,215.43,2367116,2367116,0.07,0.033,214.90333,"November 15, 22",0.00033
2022-11-14,212.7799988,216.0800018,211.8300018,213,213,3074000,3074000,0.22,0.103,213.63667,"November 14, 22",0.00103
2022-11-11,214.5899963,214.9600067,211.4499969,212.7299957,212.7299957,4226800,4226800,-1.86,-0.867,213.04667,"November 11, 22",-0.00867
2022-11-10,214.8500061,215.0700073,211.1499939,214.8000031,214.8000031,4354600,4354600,-0.05,-0.023,213.67333,"November 10, 22",-0.00023
2022-11-09,210,211.5399933,208.4400024,208.6300049,208.6300049,3040400,3040400,-1.37,-0.652,209.53667,"November 09, 22",-0.00652
2022-11-08,209.3300018,212.3800049,208.8800049,211.3600006,210.3300018,2631300,2631300,1,0.478,210.53,"November 08, 22",0.00478
2022-11-07,207.6999969,210.2400055,207.1399994,209.7700043,208.747757,2671700,2671700,1.04776,0.504,208.70925,"November 07, 22",0.00504
2022-11-04,206.3000031,208.0299988,204.2100067,207.8500061,206.8371124,4125000,4125000,0.53711,0.26,206.35904,"November 04, 22",0.0026
2022-11-03,200.3699951,206.0500031,199.1699982,204.3899994,203.3939667,4653700,4653700,3.02397,1.509,202.87132,"November 03, 22",0.01509
2022-11-02,203.3399963,206.8899994,200.0500031,200.4700012,199.4930725,4692700,4692700,-3.84692,-1.892,202.14436,"November 02, 22",-0.01892
2022-11-01,204.4499969,205.0800018,201.5200043,203.1000061,202.11026,4376600,4376600,-2.33974,-1.144,202.90342,"November 01, 22",-0.01144
2022-10-31,202.4100037,204.9900055,202.2899933,204.0200043,203.0257721,4433400,4433400,0.61577,0.304,203.43526,"October 31, 22",0.00304
2022-10-28,199,205.1600037,196.6900024,204.9299927,203.9313202,4892700,4892700,4.93132,2.478,201.92711,"October 28, 22",0.02478
2022-10-27,193.3600006,199.5800018,192.8000031,196.4900055,195.5324707,4754000,4754000,2.17247,1.124,195.97083,"October 27, 22",0.01124
2022-10-26,191.6300049,192.9499969,189.7599945,190.2700043,189.3427734,4202900,4202900,-2.28723,-1.194,190.68425,"October 26, 22",-0.01194
2022-10-25,186.6600037,189.8600006,186.1999969,189.6499939,188.7257843,2907100,2907100,2.06578,1.107,188.26193,"October 25, 22",0.01107
2022-10-24,184.5099945,188.0800018,183.8399963,186.8999939,185.9891968,3271000,3271000,1.4792,0.802,185.96973,"October 24, 22",0.00802
2022-10-21,176.9900055,183.3099976,176.5200043,182.8099976,181.9191284,2959800,2959800,4.92912,2.785,180.58304,"October 21, 22",0.02785
2022-10-20,179.3600006,180.8200073,177.1100006,177.6399994,176.7743225,2687500,2687500,-2.58568,-1.442,178.23478,"October 20, 22",-0.01442
2022-10-19,179.5,180.8300018,177.9400024,179.2799988,178.4063263,1688000,1688000,-1.09367,-0.609,179.05878,"October 19, 22",-0.00609
2022-10-18,180.1799927,181.1600037,177.6399994,179.8800049,179.003418,1978600,1978600,-1.17657,-0.653,179.26781,"October 18, 22",-0.00653
2022-10-17,177.6600037,179,176.1300049,177.0399933,176.1772461,3437900,3437900,-1.48276,-0.835,177.10242,"October 17, 22",-0.00835
2022-10-14,178.1499939,178.5200043,173.8300018,174.1600037,173.3112793,2970300,2970300,-4.83871,-2.716,175.22043,"October 14, 22",-0.02716
2022-10-13,169.3999939,178.3899994,169.2200012,177.5500031,176.6847687,3223000,3223000,7.28477,4.3,174.76492,"October 13, 22",0.043
2022-10-12,174.0599976,175,172.1999969,172.7899933,171.9479523,2728000,2728000,-2.11205,-1.213,173.04932,"October 12, 22",-0.01213
2022-10-11,171.3999939,175.7599945,170.7799988,173.6199951,172.7739105,2908300,2908300,1.37392,0.802,173.10463,"October 11, 22",0.00802
2022-10-10,172.8099976,173.8000031,170.1199951,171.8899994,171.0523376,1932100,1932100,-1.75766,-1.017,171.65745,"October 10, 22",-0.01017
2022-10-07,173.5899963,174.1600037,170.3699951,171.4100037,170.5746918,2961600,2961600,-3.0153,-1.737,171.70156,"October 07, 22",-0.01737
2022-10-06,176.2899933,177.6900024,173.8600006,175.0399933,174.1869812,2599200,2599200,-2.10301,-1.193,175.24566,"October 06, 22",-0.01193
2022-10-05,176.6199951,179.7700043,175.0099945,177.8099976,176.9434967,2940200,2940200,0.3235,0.183,177.24117,"October 05, 22",0.00183
2022-10-04,174.8999939,178.4100037,174.8300018,178.1900024,177.32164,3691300,3691300,2.42165,1.385,176.85388,"October 04, 22",0.01385
2022-10-03,170.0700073,174.3800049,169.0800018,173.0399933,172.1967316,3379000,3379000,2.12672,1.25,171.88558,"October 03, 22",0.0125
2022-09-30,170.1000061,171.1999969,166.6300049,166.9700012,166.1563263,3810300,3810300,-3.94368,-2.318,167.99544,"September 30, 22",-0.02318
2022-09-29,173.36,173.36,168.11,169.2304,169.2304,3117088,3117088,-3.29,-1.898,170.51333,"September 29, 22",-0.01898
2022-09-28,171.8600006,174.7599945,170.4299927,173.8300018,172.9828949,3077800,3077800,1.12289,0.653,172.72429,"September 28, 22",0.00653
2022-09-27,170.8600006,172.4600067,168.3800049,170.0700073,169.2412262,2692400,2692400,-1.61877,-0.947,170.02708,"September 27, 22",-0.00947
2022-09-26,171.5299988,172.3300018,168.8600006,170.0700073,169.2412262,3271600,3271600,-2.28877,-1.334,170.14374,"September 26, 22",-0.01334
2022-09-23,172.7799988,174.3000031,169.9199982,171.3800049,170.5448303,3202300,3202300,-2.23517,-1.294,171.58828,"September 23, 22",-0.01294
2022-09-22,173.5399933,174.75,172.0200043,173.25,172.4057159,2229900,2229900,-1.13428,-0.654,173.05857,"September 22, 22",-0.00654
2022-09-21,177.9100037,179.6300049,174.2899933,174.3000031,173.4506073,2505400,2505400,-4.4594,-2.507,175.7902,"September 21, 22",-0.02507
2022-09-20,177.0399933,177.5500031,175.0700073,177.0099945,176.1473846,2478800,2478800,-0.89261,-0.504,176.2558,"September 20, 22",-0.00504
2022-09-19,176,179.0700073,175.7400055,178.6300049,177.7595062,2416200,2416200,1.75951,1,177.52317,"September 19, 22",0.01
2022-09-16,173.5599976,177.6399994,172.5200043,177.3500061,176.4857483,6417900,6417900,2.92575,1.686,175.54858,"September 16, 22",0.01686
2022-09-15,179.1399994,179.9900055,176.1999969,176.8600006,175.9981232,3452100,3452100,-3.14188,-1.754,177.39604,"September 15, 22",-0.01754
2022-09-14,185.25,185.25,178.1900024,179.9700012,179.0929718,4949900,4949900,-6.15703,-3.324,180.84432,"September 14, 22",-0.03324
2022-09-13,188.5099945,190.0399933,184.6199951,184.9799957,184.0785522,4858500,4858500,-4.43144,-2.351,186.24618,"September 13, 22",-0.02351
2022-09-12,193.1999969,193.6699982,191.3800049,192.0299988,191.0941925,2766700,2766700,-2.1058,-1.09,192.04807,"September 12, 22",-0.0109
2022-09-09,189.1100006,192.0099945,188.8099976,191.6900024,190.7558594,2909900,2909900,1.64586,0.87,190.52528,"September 09, 22",0.0087
2022-09-08,188.3399963,188.3399963,184.4400024,187.8200073,186.9047241,3506500,3506500,-1.43527,-0.762,186.56157,"September 08, 22",-0.00762
2022-09-07,185.8999939,189.7599945,185.8300018,189.0899963,188.1685181,2344300,2344300,2.26852,1.22,187.9195,"September 07, 22",0.0122
2022-09-06,187.1100006,188.4299927,184.3600006,185.6000061,184.6955414,2548900,2548900,-2.41446,-1.29,185.82851,"September 06, 22",-0.0129
2022-09-02,193.0899963,193.4299927,186.2299957,186.8899994,185.979248,2748400,2748400,-7.11075,-3.683,188.54641,"September 02, 22",-0.03683
2022-09-01,189.1499939,191.1399994,188.5399933,190.7299957,189.8005219,2242600,2242600,0.65053,0.344,189.82684,"September 01, 22",0.00344
2022-08-31,192.5700073,192.6600037,189.0099945,189.3500061,188.4272614,2629300,2629300,-4.14275,-2.151,190.03242,"August 31, 22",-0.02151
2022-08-30,191.9600067,193.0399933,189.2899933,190.6999969,189.7706757,2224000,2224000,-2.18933,-1.141,190.70022,"August 30, 22",-0.01141
2022-08-29,192.7799988,193.8999939,191.1999969,192.4199982,191.4822998,2095700,2095700,-1.2977,-0.673,192.1941,"August 29, 22",-0.00673
2022-08-26,199.2400055,200.4400024,192.9400024,193.0599976,192.1191711,2837000,2837000,-7.12083,-3.574,195.16639,"August 26, 22",-0.03574
2022-08-25,199.2200012,200.5,197.9199982,200.4299927,199.4532471,1631500,1631500,0.23325,0.117,199.29108,"August 25, 22",0.00117
2022-08-24,196.7400055,198.5299988,196.3200073,197.7899933,196.8261261,1351800,1351800,0.08612,0.044,197.22538,"August 24, 22",0.00044
2022-08-23,198.3600006,198.8300018,197.1399994,197.5500031,196.5872955,1607600,1607600,-1.77271,-0.894,197.5191,"August 23, 22",-0.00894
2022-08-22,199.5800018,199.6699982,197.3300018,197.8399963,196.875885,2588000,2588000,-2.70412,-1.355,197.95863,"August 22, 22",-0.01355
2022-08-19,202.6199951,202.8200073,200.8600006,201.5599976,200.5777588,2040700,2040700,-2.04224,-1.008,201.41926,"August 19, 22",-0.01008
2022-08-18,202.5099945,204,202.3800049,203.7200012,202.7272339,1509200,1509200,0.21724,0.107,203.03575,"August 18, 22",0.00107
2022-08-17,201.8099976,203.9700012,201.25,202.7799988,201.7918091,1661200,1661200,-0.01819,-0.009,202.33727,"August 17, 22",-9e-05
2022-08-16,200.4199982,204.2599945,200.0599976,203.6699982,202.677475,1661200,1661200,2.25748,1.126,202.33249,"August 16, 22",0.01126
