date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-27,27.07,28.24,26.785,28.16,28.16,147816988,147816988.419697,1.09,4.027,27.72833,"January 27, 23",0.04027
2023-01-26,30.06,30.11,29.33,30.09,30.09,54868646,54865000,0.03,0.1,29.84333,"January 26, 23",0.001
2023-01-25,29.52,29.89,29.17,29.7,29.7,28202557,28201100,0.18,0.61,29.58667,"January 25, 23",0.0061
2023-01-24,29.94,30.19,29.73,29.92,29.92,24783416,24783000,-0.02,-0.067,29.94667,"January 24, 23",-0.00067
2023-01-23,29.33,30.49,29.18,30.27,30.27,38779587,38778500,0.94,3.205,29.98,"January 23, 23",0.03205
2023-01-20,28.42,29.23,28.25,29.22,29.22,35027767,35026300,0.8,2.815,28.9,"January 20, 23",0.02815
2023-01-19,28.61,28.76,28.24,28.42,28.42,36870881,36868900,-0.19,-0.664,28.47333,"January 19, 23",-0.00664
2023-01-18,29.8,29.82,28.63,28.81,28.81,44185085,44183000,-0.99,-3.322,29.08667,"January 18, 23",-0.03322
2023-01-17,30.18,30.26,29.52,29.6,29.6,34563429,34561600,-0.58,-1.922,29.79333,"January 17, 23",-0.01922
2023-01-13,29.97,30.17,29.81,30.11,30.11,31349259,31346800,0.14,0.467,30.03,"January 13, 23",0.00467
2023-01-12,29.98,30.38,29.47,30.29,30.29,28950509,28949300,0.31,1.034,30.04667,"January 12, 23",0.01034
2023-01-11,29.68,29.88,29,29.85,29.85,30363151,30361500,0.17,0.573,29.57667,"January 11, 23",0.00573
2023-01-10,29.24,29.51,28.92,29.44,29.44,23002050,23001400,0.2,0.684,29.29,"January 10, 23",0.00684
2023-01-09,28.84,29.87,28.84,29.31,29.31,37453676,37452900,0.47,1.63,29.34,"January 09, 23",0.0163
2023-01-06,27.93,28.83,27.38,28.73,28.73,31761578,31760300,0.8,2.864,28.31333,"January 06, 23",0.02864
2023-01-05,27.44,27.78,27.38,27.56,27.56,33547841,33545200,0.12,0.437,27.57333,"January 05, 23",0.00437
2023-01-04,27.41,27.92,27.16,27.68,27.68,37636531,37633800,0.27,0.985,27.58667,"January 04, 23",0.00985
2023-01-03,27.05,27.07,26.37,26.73,26.73,31301408,31299200,-0.32,-1.183,26.72333,"January 03, 23",-0.01183
2022-12-30,25.9,26.46,25.8,26.43,26.43,30998779,30997900,0.53,2.046,26.23,"December 30, 22",0.02046
2022-12-29,25.77,26.29,25.75,26.21,26.21,30905334,30903100,0.44,1.707,26.08333,"December 29, 22",0.01707
2022-12-28,25.84,26.12,25.5,25.54,25.54,26161024,26159900,-0.3,-1.161,25.72,"December 28, 22",-0.01161
2022-12-27,25.85,26.1,25.65,25.94,25.94,29539356,29536500,0.09,0.348,25.89667,"December 27, 22",0.00348
2022-12-23,25.92,26.19,25.68,26.09,26.09,23590293,23588200,0.17,0.656,25.98667,"December 23, 22",0.00656
2022-12-22,26.45,26.45,25.35,25.97,25.97,47449011,47447500,-0.48,-1.815,25.92333,"December 22, 22",-0.01815
2022-12-21,26.59,26.97,26.58,26.83,26.83,28086821,28086700,0.24,0.903,26.79333,"December 21, 22",0.00903
2022-12-20,26.54,26.87,26.42,26.44,26.44,31836830,31836500,-0.1,-0.377,26.57667,"December 20, 22",-0.00377
2022-12-19,26.9,26.97,26.5,26.79,26.79,37616954,37615500,-0.11,-0.409,26.75333,"December 19, 22",-0.00409
2022-12-16,27,27.135,26.4522,26.92,26.92,80953750,80945777,-0.08,-0.296,26.83573,"December 16, 22",-0.00296
2022-12-15,27.94,28,27.12,27.15,27.15,45663889,45663800,-0.79,-2.827,27.42333,"December 15, 22",-0.02827
2022-12-14,28.51,29.12,28.01,28.26,28.26,37122052,37119600,-0.25,-0.877,28.46333,"December 14, 22",-0.00877
2022-12-13,29.79,30.09,28.37,28.73,28.73,58538955,58534100,-1.06,-3.558,29.06333,"December 13, 22",-0.03558
2022-12-12,28.13,28.71,27.86,28.69,28.69,35108594,35106000,0.56,1.991,28.42,"December 12, 22",0.01991
2022-12-09,28.39,28.78,28.19,28.24,28.24,25634643,25634600,-0.15,-0.528,28.40333,"December 09, 22",-0.00528
2022-12-08,28.32,28.6,28.07,28.44,28.44,28474066,28471700,0.12,0.424,28.37,"December 08, 22",0.00424
2022-12-07,28.28,28.55,28.15,28.33,28.33,28227600,28226000,0.05,0.177,28.34333,"December 07, 22",0.00177
2022-12-06,29.19,29.31,28.34,28.6,28.6,27677645,27675200,-0.59,-2.021,28.75,"December 06, 22",-0.02021
2022-12-05,29.42,29.75,28.89,29.17,29.17,34030287,34029600,-0.25,-0.85,29.27,"December 05, 22",-0.0085
2022-12-02,29.17,29.43,28.71,29.41,29.41,31528516,31527363,0.24,0.823,29.18333,"December 02, 22",0.00823
2022-12-01,30.24,30.48,29.52,29.83,29.83,38883376,38881100,-0.41,-1.356,29.94333,"December 01, 22",-0.01356
2022-11-30,28.77,30.08,28.22,30.07,30.07,72035993,72030000,1.3,4.519,29.45667,"November 30, 22",0.04519
2022-11-29,28.85,29.18,28.74,28.9,28.9,24344992,24344200,0.05,0.173,28.94,"November 29, 22",0.00173
2022-11-28,29.1,29.19,28.54,28.73,28.73,28268458,28267900,-0.37,-1.271,28.82,"November 28, 22",-0.01271
2022-11-25,29.68,29.68,29.34,29.34,29.34,11315042,11314900,-0.34,-1.146,29.45333,"November 25, 22",-0.01146
2022-11-23,29.73,30.08,29.49,29.67,29.67,23128565,23127600,-0.06,-0.202,29.74667,"November 23, 22",-0.00202
2022-11-22,29.14,29.86,29.06,29.82,29.82,25578918,25578300,0.68,2.334,29.58,"November 22, 22",0.02334
2022-11-21,29.66,29.72,28.91,28.94,28.94,36070107,36068100,-0.72,-2.428,29.19,"November 21, 22",-0.02428
2022-11-18,30.26,30.26,29.61,29.87,29.87,27124872,27122210,-0.39,-1.289,29.91333,"November 18, 22",-0.01289
2022-11-17,29.07,29.95,29,29.89,29.89,31985050,31983300,0.82,2.821,29.61333,"November 17, 22",0.02821
2022-11-16,30.11,30.23,29.44,29.53,29.53,35571073,35568600,-0.58,-1.926,29.73333,"November 16, 22",-0.01926
2022-11-15,31.1,31.34,30.17,30.71,30.71,40915293,40914500,-0.39,-1.254,30.74,"November 15, 22",-0.01254
2022-11-14,30.34,30.99,30.18,30.35,30.35,39386859,39383900,0.01,0.033,30.50667,"November 14, 22",0.00033
2022-11-11,28.93,30.63,28.87,30.43,30.43,49811853,49811800,1.5,5.185,29.97667,"November 11, 22",0.05185
2022-11-10,28.88,29.83,28.65,29.76,29.76,62905847,62903000,0.88,3.047,29.41333,"November 10, 22",0.03047
2022-11-09,28.22,28.3,27.52,27.52,27.52,30505267,30503800,-0.7,-2.481,27.78,"November 09, 22",-0.02481
2022-11-08,28.76,28.95,27.93,28.48,28.48,36234756,36233100,-0.28,-0.974,28.45333,"November 08, 22",-0.00974
2022-11-07,28.36,28.47,27.89,28.41,28.41,34361261,34359100,0.05,0.176,28.25667,"November 07, 22",0.00176
2022-11-04,27.5699997,28.2399998,27.4099998,28.2000008,28.2000008,43045800,43045800,0.63,2.285,27.95,"November 04, 22",0.02285
2022-11-03,27.4500008,27.8799992,27.1700001,27.3899994,27.0249996,39678200,39678200,-0.425,-1.548,27.35833,"November 03, 22",-0.01548
2022-11-02,28.2700005,28.8500004,27.4099998,27.4200001,27.0545998,51956100,51956100,-1.2154,-4.299,27.77153,"November 02, 22",-0.04299
2022-11-01,28.7999992,28.8500004,27.8899994,28.2999992,27.9228725,44418700,44418700,-0.87713,-3.046,28.22096,"November 01, 22",-0.03046
2022-10-31,29.0799999,29.1800003,28.0499992,28.4300003,28.0511398,59507700,59507700,-1.02886,-3.538,28.42705,"October 31, 22",-0.03538
2022-10-28,28.1800003,29.2199993,27.8600006,29.0699997,28.6826115,91695700,91695700,0.50261,1.784,28.58754,"October 28, 22",0.01784
2022-10-27,27.4500008,27.5900002,26.1299992,26.2700005,25.9199257,56305100,56305100,-1.53008,-5.574,26.54664,"October 27, 22",-0.05574
2022-10-26,27.1900005,27.7999992,26.9899998,27.2099991,26.8473969,37111100,37111100,-0.3426,-1.26,27.21247,"October 26, 22",-0.0126
2022-10-25,27.1800003,27.5599995,27,27.4099998,27.044733,32205300,32205300,-0.13527,-0.498,27.20158,"October 25, 22",-0.00498
2022-10-24,26.75,27.4799995,26.5200005,27.1800003,26.8177986,43831600,43831600,0.0678,0.253,26.93927,"October 24, 22",0.00253
2022-10-21,25.8500004,27.0499992,25.7900009,26.9699993,26.6105957,53035100,53035100,0.7606,2.942,26.48353,"October 21, 22",0.02942
2022-10-20,26.1499996,26.9500008,25.9500008,26.0799999,25.7324562,33247700,33247700,-0.41754,-1.597,26.21082,"October 20, 22",-0.01597
2022-10-19,25.7399998,26.25,25.6900005,26,25.6535225,33882300,33882300,-0.08648,-0.336,25.86451,"October 19, 22",-0.00336
2022-10-18,26.7399998,26.9599991,25.5400009,25.8700008,25.5252552,51126900,51126900,-1.21474,-4.543,26.00842,"October 18, 22",-0.04543
2022-10-17,26.3099995,26.75,26.1700001,26.4200001,26.0679264,39416500,39416500,-0.24207,-0.92,26.32931,"October 17, 22",-0.0092
2022-10-14,26.4599991,26.6299992,25.7600002,25.9099998,25.5647221,48162500,48162500,-0.89528,-3.384,25.98491,"October 14, 22",-0.03384
2022-10-13,24.7299995,26.8400002,24.5900002,26.4200001,26.0679264,62447000,62447000,1.33793,5.41,25.83264,"October 13, 22",0.0541
2022-10-12,25.0499992,25.5200005,24.6599998,25.3299999,24.9924507,39634100,39634100,-0.05755,-0.23,25.05748,"October 12, 22",-0.0023
2022-10-11,25.0100002,25.4799995,24.6900005,25.0400009,24.706316,48134900,48134900,-0.30368,-1.214,24.95877,"October 11, 22",-0.01214
2022-10-10,25.9400005,25.9899998,25.0900002,25.2000008,24.8641834,43409300,43409300,-1.07582,-4.147,25.31473,"October 10, 22",-0.04147
2022-10-07,26.1700001,26.2800007,25.6499996,25.7199993,25.3772526,57167100,57167100,-0.79275,-3.029,25.76908,"October 07, 22",-0.03029
2022-10-06,27.4400005,27.7600002,27,27.1800003,26.8177986,33985100,33985100,-0.6222,-2.267,27.1926,"October 06, 22",-0.02267
2022-10-05,27.3700008,27.8400002,26.8899994,27.6399994,27.2716675,30120000,30120000,-0.09833,-0.359,27.33389,"October 05, 22",-0.00359
2022-10-04,27.4300003,27.7999992,27.0900002,27.7000008,27.3308697,42427500,42427500,-0.09913,-0.361,27.40696,"October 04, 22",-0.00361
2022-10-03,26.3299999,27.25,26.0699997,26.9699993,26.6105957,44096200,44096200,0.2806,1.066,26.64353,"October 03, 22",0.01066
2022-09-30,26.2999992,26.5699997,25.7399998,25.7700005,25.4265881,43675100,43675100,-0.87341,-3.321,25.9122,"September 30, 22",-0.03321
2022-09-29,26.78,26.78,26.19,26.0285,26.0285,41832345,41831300,-0.4,-1.494,26.45,"September 29, 22",-0.01494
2022-09-28,26.8600006,27.2800007,26.6000004,27.1299992,26.7684631,40433400,40433400,-0.09154,-0.341,26.88282,"September 28, 22",-0.00341
2022-09-27,27.3999996,27.6000004,26.6200008,26.8899994,26.531662,44121400,44121400,-0.86834,-3.169,26.91722,"September 27, 22",-0.03169
2022-09-26,27.5599995,27.7000008,26.8600006,26.9699993,26.6105957,44786400,44786400,-0.9494,-3.445,27.05687,"September 26, 22",-0.03445
2022-09-23,27.8999996,27.8999996,27.1900005,27.5200005,27.1532669,43477300,43477300,-0.74673,-2.676,27.41442,"September 23, 22",-0.02676
2022-09-22,28.3999996,28.5,28.0400009,28.0699997,27.6959381,36092700,36092700,-0.70406,-2.479,28.07865,"September 22, 22",-0.02479
2022-09-21,29.1499996,29.5900002,28.4599991,28.4699993,28.0906067,39977300,39977300,-1.05939,-3.634,28.71354,"September 21, 22",-0.03634
2022-09-20,29.0699997,29.1700001,28.7099991,28.9599991,28.5740776,31129000,31129000,-0.49592,-1.706,28.81803,"September 20, 22",-0.01706
2022-09-19,29.0200005,29.5,28.8999996,29.4400005,29.0476818,33151900,33151900,0.02768,0.095,29.14923,"September 19, 22",0.00095
2022-09-16,28.7000008,29.3199997,28.4200001,29.2399998,28.8503456,72687900,72687900,0.15034,0.524,28.86345,"September 16, 22",0.00524
2022-09-15,29.1499996,29.4099998,28.7099991,28.8400002,28.455677,39919100,39919100,-0.69432,-2.382,28.85856,"September 15, 22",-0.02382
2022-09-14,29.5499992,29.7700005,29.0100002,29.1800003,28.7911453,40767200,40767200,-0.75885,-2.568,29.19038,"September 14, 22",-0.02568
