date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,424.44,430.5199,422.81,427.68,427.679993,782552,780757,3.24,0.76336,427.49,"May 09, 23",0.0076336
2023-05-08,422.43,427.765,416.57,426.89,426.890015,1359651,1359600,4.46,1.06,423.27,"May 08, 23",0.0106
2023-05-05,427.88,439.25,425.18,425.95,425.950012,1800186,1800100,-1.93,-0.45106,428.82,"May 05, 23",-0.0045106
2023-05-04,432.64,432.75,421.31,422.45,422.450012,1283953,1283800,-10.19,-2.36,425.32,"May 04, 23",-0.0236
2023-05-03,440.2,440.9617,428.2,429.65,429.649994,1274811,1274800,-10.55,-2.4,432.64,"May 03, 23",-0.024
2023-05-02,445.08,445.37,430.8072,436.46,436.459991,1213538,1213500,-8.62,-1.94,436.39,"May 02, 23",-0.0194
2023-05-01,441.79,446.74,439.97,442.51,442.51001,1419390,1419200,0.72,0.16297,443.02,"May 01, 23",0.0016297
2023-04-28,428.73,462.5,424.79,443.95,443.950012,2538224,2538000,15.22,3.55,439.48,"April 28, 23",0.0355
2023-04-27,416.86,430.39,414.34,429.16,429.160004,1479255,1479300,12.3,2.95,424.85,"April 27, 23",0.0295
2023-04-26,418.32,422.5135,412.94,413.7,413.700012,1947880,1947900,-4.62,-1.1,417.11,"April 26, 23",-0.011
2023-04-25,436.95,438.578,418.85,419.83,419.829987,2269137,2269100,-17.12,-3.92,425.5,"April 25, 23",-0.0392
2023-04-24,450.07,450.23,439.6,442.32,442.320007,1177159,1177100,-7.75,-1.72,443.19,"April 24, 23",-0.0172
2023-04-21,448.64,452.71,443.27,446.4,446.399994,1280582,1280600,-2.24,-0.49929,447.68,"April 21, 23",-0.0049929
2023-04-20,439.88,451.12,439.88,447.4,447.399994,1098820,1103700,7.52,1.71,447,"April 20, 23",0.0171
2023-04-19,437.49,445.62,437,445.49,445.48999,802660,802700,8,1.83,442.52,"April 19, 23",0.0183
2023-04-18,445,445.645,439.59,442.59,442.589996,878399,878400,-2.41,-0.54157,442.06,"April 18, 23",-0.0054157
2023-04-17,443.91,443.91,435.96,440.09,440.089996,993142,993100,-3.82,-0.86053,439.28,"April 17, 23",-0.0086053
2023-04-14,439.01,443.69,436.24,441.62,441.619995,1328731,1328700,2.61,0.59452,440.44,"April 14, 23",0.0059452
2023-04-13,439.47,443.53,438.185,441.81,441.809998,966093,970600,2.34,0.53246,441.57,"April 13, 23",0.0053246
2023-04-12,443.47,444.54,434.44,435.09,435.089996,981740,981600,-8.38,-1.89,437.79,"April 12, 23",-0.0189
2023-04-11,441.85,443.61,434.3917,437.5,437.5,1267375,1267300,-4.35,-0.9845,438.25,"April 11, 23",-0.009845
2023-04-10,441.29,445.96,435.9353,444.72,444.720001,1165961,1165900,3.43,0.77727,441.89,"April 10, 23",0.0077727
2023-04-06,433.83,447.94,432.3584,446.76,446.76001,1673701,1673600,12.93,2.98,443.65,"April 06, 23",0.0298
2023-04-05,439.63,440.05,431.87,439.15,438.369995,1494750,1494700,-0.48,-0.10918,437.1,"April 05, 23",-0.0010918
2023-04-04,440.15,446.73,437.1101,439.81,439.028839,1119989,1120000,-0.34,-0.07724639,440.78,"April 04, 23",-0.0007724639
2023-04-03,443.01,443.01,436.16,440.67,439.887299,1234130,1234100,-2.34,-0.5282,439.55,"April 03, 23",-0.005282
2023-03-31,442.63,448.04,441.4999,445.83,445.038116,1700999,1700900,3.2,0.72295,445.53,"March 31, 23",0.0072295
