date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,161.75,162.13,160.79,161.05,161.050003,5520396,3966696,-0.7,-0.43277,161.22,"May 09, 23",-0.0043277
2023-05-08,161.99,162.57,161.34,162.31,162.309998,4994929,4994900,0.32,0.19754,162.19,"May 08, 23",0.0019754
2023-05-05,162.84,163.13,161.69,162.68,162.679993,5194461,5193700,-0.16,-0.09825596,162.51,"May 05, 23",-0.0009825596
2023-05-04,162.68,162.9,161.25,162.13,162.130005,5127992,5128000,-0.55,-0.33809,162.16,"May 04, 23",-0.0033809
2023-05-03,165.55,166.18,162.51,162.87,162.869995,5937170,5937200,-2.68,-1.62,163.71,"May 03, 23",-0.0162
2023-05-02,164.34,165.48,163.555,165.03,165.029999,7541724,7541700,0.69,0.41986,164.71,"May 02, 23",0.0041986
2023-05-01,163.6,164.298,162.24,163.6,163.600006,4893426,4893400,0,0,163.67,"May 01, 23",0
2023-04-28,162.81,163.76,162.5566,163.7,163.699997,6024864,6023400,0.89,0.54665,163.38,"April 28, 23",0.0054665
2023-04-27,162.9,163.4067,162.13,163,163,5739700,5739700,0.1,0.06138735,162.82,"April 27, 23",0.0006138735
2023-04-26,164.09,164.39,162.24,162.62,162.619995,5518174,5518200,-1.47,-0.89585,162.87,"April 26, 23",-0.0089585
2023-04-25,164.31,165.35,164.155,165.18,165.179993,6263103,6263100,0.87,0.52949,164.99,"April 25, 23",0.0052949
2023-04-24,162.69,163.805,161.87,163.68,163.679993,5278892,5278900,0.99,0.60852,163.31,"April 24, 23",0.0060852
2023-04-21,164.44,164.97,161.97,162.69,162.690002,7014214,7013800,-1.75,-1.06,163.06,"April 21, 23",-0.0106
2023-04-20,162.43,163.82,160.96,163.58,163.580002,9498768,9498800,1.15,0.708,162.66,"April 20, 23",0.00708
2023-04-19,161.99,162.68,161.17,162.53,162.529999,6752006,6752000,0.54,0.33335,162.19,"April 19, 23",0.0033335
2023-04-18,164.25,164.69,159.65,161.01,161.009995,14571485,14571500,-3.24,-1.97,161.54,"April 18, 23",-0.0197
2023-04-17,165.735,166.24,164.94,165.67,165.669998,8046428,8046400,-0.065,-0.03921924,165.54,"April 17, 23",-0.0003921924
2023-04-14,165.97,166.115,164.06,165.84,165.839996,7225127,7224600,-0.13,-0.07832741,165.3,"April 14, 23",-0.0007832741
2023-04-13,164.18,166.33,163.805,166.11,166.110001,5640617,5640600,1.93,1.18,165.4,"April 13, 23",0.0118
2023-04-12,163.94,164.84,163.1,163.92,163.919998,5764240,5764100,-0.02,-0.01219959,164.04,"April 12, 23",-0.0001219959
2023-04-11,164.42,165.28,164.0401,164.27,164.270004,5903824,5903800,-0.15,-0.09122978,164.59,"April 11, 23",-0.0009122978
2023-04-10,164.63,164.84,163.64,164.32,164.320007,5353951,5354000,-0.31,-0.1883,164.16,"April 10, 23",-0.001883
2023-04-06,165.99,167.23,164.8,165.15,165.149994,9615407,9615400,-0.84,-0.50605,165.5,"April 06, 23",-0.0050605
2023-04-05,164.37,165.66,162.76,165.61,165.610001,16704181,16704200,1.24,0.7544,164.28,"April 05, 23",0.007544
2023-04-04,156.97,158.97,156.59,158.49,158.490005,8314527,8314500,1.52,0.96834,158.73,"April 04, 23",0.0096834
2023-04-03,154.95,157.01,153.94,156.85,156.850006,6841888,6841900,1.9,1.23,156.38,"April 03, 23",0.0123
2023-03-31,153.79,155.19,153.24,155,155,9890047,9888000,1.21,0.78679,154.55,"March 31, 23",0.0078679
