date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,135.93,136.95,135.21,136.41,136.410004,7321194,6088713,0.48,0.35312,136.22,"May 09, 23",0.0035312
2023-05-08,137.49,137.97,136.475,137.07,137.070007,7484872,7484900,-0.42,-0.30548,137.13,"May 08, 23",-0.0030548
2023-05-05,136.44,137.88,135.912,136.74,136.740005,11261394,11259100,0.3,0.21988,136.71,"May 05, 23",0.0021988
2023-05-04,134.96,135.72,131.81,134.12,134.119995,17089164,17089200,-0.84,-0.62241,133.62,"May 04, 23",-0.0062241
2023-05-03,138.44,138.6687,135.76,135.98,135.979996,12930906,12930900,-2.46,-1.78,137.02,"May 03, 23",-0.0178
2023-05-02,141.4,142.41,138.43,138.92,138.919998,14113447,14113400,-2.48,-1.75,139.42,"May 02, 23",-0.0175
2023-05-01,142.26,143.37,140.83,141.2,141.199997,20415762,20415800,-1.06,-0.74511,141.93,"May 01, 23",-0.0074511
2023-04-28,136.56,138.32,135.67,138.24,138.240005,9887262,9881800,1.68,1.23,137.78,"April 28, 23",0.0123
2023-04-27,136,137.91,135.66,137.05,137.050003,9041092,9041100,1.05,0.77206,136.99,"April 27, 23",0.0077206
2023-04-26,137.62,137.8093,134,135.23,135.229996,14416145,14416100,-2.39,-1.74,135.56,"April 26, 23",-0.0174
2023-04-25,139.6,139.96,137.625,137.67,137.669998,10592555,10629300,-1.93,-1.38,138.42,"April 25, 23",-0.0138
2023-04-24,140.455,141.1,140.04,140.73,140.729996,7567666,7567500,0.275,0.19579,140.54,"April 24, 23",0.0019579
2023-04-21,139.74,141.11,138.78,140.54,140.539993,11842537,11842500,0.8,0.57249,140.27,"April 21, 23",0.0057249
2023-04-20,139.91,141.43,139.84,140.81,140.809998,10586245,10586200,0.9,0.64327,140.8,"April 20, 23",0.0064327
2023-04-19,141.23,141.5,140.4,141.22,141.220001,9131512,9158100,-0.01,-0.00708065,141.06,"April 19, 23",-7.08065e-05
2023-04-18,140.27,141.78,139.03,141.4,141.399994,13760139,13760100,1.13,0.80559,140.92,"April 18, 23",0.0080559
2023-04-17,139.95,140.06,137.66,139.83,139.830002,16044486,16050500,-0.12,-0.08574491,139.09,"April 17, 23",-0.0008574491
2023-04-14,135.15,139.12,134.9001,138.73,138.729996,43931328,43931300,3.58,2.65,137.94,"April 14, 23",0.0265
2023-04-13,128.46,129.04,126.83,128.99,128.990005,12450242,12450200,0.53,0.41258,128.45,"April 13, 23",0.0041258
2023-04-12,129.18,130.43,128.0603,128.5,128.5,11820995,11821000,-0.68,-0.5264,128.89,"April 12, 23",-0.005264
2023-04-11,128.3,128.94,127.54,128.52,128.520004,10516267,10516300,0.22,0.17147,128.34,"April 11, 23",0.0017147
2023-04-10,126.54,128.23,126.22,127.89,127.889999,9477292,9477300,1.35,1.07,127.69,"April 10, 23",0.0107
2023-04-06,127,128.08,126.8553,127.47,127.470001,8760220,8760200,0.47,0.37008,127.56,"April 06, 23",0.0037008
2023-04-05,126.8,128.15,126.46,127.61,127.610001,9614692,9614700,0.81,0.6388,127.5,"April 05, 23",0.006388
2023-04-04,130.5,130.59,127.41,128.42,127.419998,11579916,11579900,-2.08,-1.59,128.35,"April 04, 23",-0.0159
2023-04-03,129.91,131.44,129.41,130.16,129.146454,11775388,11775400,0.25,0.19244,130.24,"April 03, 23",0.0019244
2023-03-31,129.66,130.34,128.8514,130.31,129.295288,13105215,13105200,0.65,0.50131,129.86,"March 31, 23",0.0050131
2023-03-30,129.95,130.12,127.65,128.75,127.747437,12134675,12134700,-1.2,-0.92343,128.72,"March 30, 23",-0.0092343
2023-03-29,130.1,130.22,127.77,129.14,128.134399,14595260,14595300,-0.96,-0.73789,129.08,"March 29, 23",-0.0073789
2023-03-28,128.71,129.3417,127.744,128.88,127.876427,10813866,10820500,0.17,0.13208,128.68,"March 28, 23",0.0013208
2023-03-27,126.79,129.38,126.29,128.49,127.489464,18853935,18853900,1.7,1.34,128.14,"March 27, 23",0.0134
2023-03-24,125.63,125.68,123.11,124.91,123.93734,22326916,22311100,-0.72,-0.57311,124.49,"March 24, 23",-0.0057311
2023-03-23,127.9,129.53,126.02,126.84,125.852303,16671515,16677600,-1.06,-0.82877,127.61,"March 23, 23",-0.0082877
2023-03-22,130.56,130.655,127.08,127.18,126.189659,17250168,17250200,-3.38,-2.59,128.91,"March 22, 23",-0.0259
2023-03-21,130.59,131.73,130.19,130.55,129.533417,17807808,17807800,-0.04,-0.03063022,130.71,"March 21, 23",-0.0003063022
2023-03-20,126.99,129.47,126.01,127.14,126.149971,22868705,22875500,0.15,0.11812,127.35,"March 20, 23",0.0011812
2023-03-17,128.38,128.48,125.45,125.81,124.830322,38395982,38396000,-2.57,-2,126.21,"March 17, 23",-0.02
2023-03-16,128.01,131.95,126.02,130.75,129.731857,24570587,24558500,2.74,2.14,129.7,"March 16, 23",0.0214
2023-03-15,130.98,130.99,126.73,128.26,127.261246,34280607,34280600,-2.72,-2.08,128.51,"March 15, 23",-0.0208
2023-03-14,135.28,135.53,131.29,134.62,133.571716,29648116,29648100,-0.66,-0.48788,133.24,"March 14, 23",-0.0048788
2023-03-13,131.21,133.88,129.41,131.25,130.227966,42901132,42901100,0.04,0.03048548,131.75,"March 13, 23",0.0003048548
2023-03-10,128.96,135.26,127.82,133.65,132.609268,37599655,37599700,4.69,3.64,132.57,"March 10, 23",0.0364
2023-03-09,136.76,137.35,129.215,130.34,129.325043,25888097,25888100,-6.42,-4.69,131.9,"March 09, 23",-0.0469
2023-03-08,138,138.59,136.885,137.8,136.726959,10002548,10002500,-0.2,-0.14493,137.73,"March 08, 23",-0.0014493
2023-03-07,142.01,142.31,137.81,138.62,137.540573,11747620,11747600,-3.39,-2.39,139.49,"March 07, 23",-0.0239
2023-03-06,143.44,144.04,142.66,142.82,141.70787,9261255,9261300,-0.62,-0.43224,143.23,"March 06, 23",-0.0043224
2023-03-03,141.51,143.74,141.08,143.66,142.541336,9513063,9513100,2.15,1.52,142.82,"March 03, 23",0.0152
2023-03-02,142.24,142.43,139.54,141.07,139.971512,11107549,11106800,-1.17,-0.82255,140.75,"March 02, 23",-0.0082255
2023-03-01,142.1,143.4583,141.8,142.55,141.439972,7139155,7139200,0.45,0.31668,142.62,"March 01, 23",0.0031668
2023-02-28,142.94,143.76,141.9001,143.35,142.233749,11019757,11019800,0.41,0.28683,143.1,"February 28, 23",0.0028683
2023-02-27,142.11,143.31,141.7201,142.16,141.053009,10014654,10014700,0.05,0.03518401,142.5,"February 27, 23",0.0003518401
2023-02-24,139.11,141.36,138.93,140.93,139.832581,9126888,9126900,1.82,1.31,140.52,"February 24, 23",0.0131
2023-02-23,138.73,140.17,137.94,139.67,138.582397,8068010,8068000,0.94,0.67758,139.29,"February 23, 23",0.0067758
2023-02-22,138.92,139.43,137.435,138.56,137.481033,11104036,11107500,-0.36,-0.25914,138.63,"February 22, 23",-0.0025914
2023-02-21,140.69,141.34,138.75,139.63,138.542709,9996283,9996300,-1.06,-0.75343,139.69,"February 21, 23",-0.0075343
2023-02-17,140.98,142.83,140.07,142.24,141.132385,7948829,7948800,1.26,0.89374,141.82,"February 17, 23",0.0089374
2023-02-16,142.91,143.39,141.676,141.82,140.715668,8165306,8165300,-1.09,-0.76272,142.33,"February 16, 23",-0.0076272
2023-02-15,141.61,143.89,141.3,143.8,142.680237,6731172,6728300,2.19,1.55,143.21,"February 15, 23",0.0155
2023-02-14,142.5,143.81,141.595,143.2,142.084915,9249399,9249400,0.7,0.49123,143.01,"February 14, 23",0.0049123
2023-02-13,141.3,142.73,140.74,142.57,141.459824,7134607,7134600,1.27,0.8988,142.3,"February 13, 23",0.008988
2023-02-10,139.78,141.28,138.59,141.04,139.941727,6582853,6582900,1.26,0.90142,140.46,"February 10, 23",0.0090142
2023-02-09,143.12,143.34,139.87,140.42,139.326553,6443109,6443100,-2.7,-1.89,141.06,"February 09, 23",-0.0189
2023-02-08,142.65,144.04,142.2763,142.64,141.529266,6957965,6958000,-0.01,-0.00701016,143.06,"February 08, 23",-7.01016e-05
2023-02-07,141.38,144.34,141.18,143.65,142.531403,10447888,10447900,2.27,1.61,143.04,"February 07, 23",0.0161
2023-02-06,140.23,142.24,140.0313,141.92,140.81488,8406231,8406200,1.69,1.21,141.33,"February 06, 23",0.0121
2023-02-03,138.18,142.33,138.13,141.09,139.991333,11439232,11501200,2.91,2.11,140.75,"February 03, 23",0.0211
2023-02-02,140,140.46,138,138.94,137.858093,11822064,11822100,-1.06,-0.75714,139.07,"February 02, 23",-0.0075714
2023-02-01,138.21,140.875,138.12,139.59,138.503021,8841846,8841800,1.38,0.99848,139.56,"February 01, 23",0.0099848
2023-01-31,139.88,140.07,138.25,139.96,138.870148,9188738,9188700,0.08,0.05719188,139.33,"January 31, 23",0.0005719188
2023-01-30,139.23,140.09,138.91,139.13,138.046616,6729255,6729300,-0.1,-0.0718236,139.46,"January 30, 23",-0.000718236
2023-01-27,140.61,141.255,139.7499,140.32,139.227341,7489946,7489900,-0.29,-0.20624,140.53,"January 27, 23",-0.0020624
2023-01-26,139.42,140.06,138.36,139.98,138.889984,7487631,7487600,0.56,0.40166,139.51,"January 26, 23",0.0040166
2023-01-25,138.05,139.12,137.25,139.12,138.036682,8962387,8967000,1.07,0.77508,138.35,"January 25, 23",0.0077508
2023-01-24,140.29,140.29,135,138.45,137.371902,6944991,6945000,-1.84,-1.31,138.37,"January 24, 23",-0.0131
2023-01-23,135.115,137.96,134.82,137.27,136.201096,10483768,10487100,2.155,1.59,136.91,"January 23, 23",0.0159
2023-01-20,135.16,135.49,133.55,135.08,134.028137,13092492,13092500,-0.08,-0.05918911,134.76,"January 20, 23",-0.0005918911
2023-01-19,135.32,135.9,133.59,134.75,133.700714,13303371,13303400,-0.57,-0.42122,134.87,"January 19, 23",-0.0042122
2023-01-18,138.92,140.73,136.41,136.57,135.506546,13389161,13392600,-2.35,-1.69,137.74,"January 18, 23",-0.0169
2023-01-17,141.17,141.54,139.225,140.8,139.703598,14292881,14292900,-0.37,-0.2621,140.46,"January 17, 23",-0.002621
2023-01-13,135.6,143.49,134.8,143.01,141.896393,20200047,20200000,7.41,5.46,140.73,"January 13, 23",0.0546
2023-01-12,140,140.86,139.22,139.49,138.403809,11001666,11001700,-0.51,-0.36429,139.93,"January 12, 23",-0.0036429
2023-01-11,138.9,139.75,138.1,139.63,138.542709,8703698,8703700,0.73,0.52556,139.24,"January 11, 23",0.0052556
2023-01-10,137.79,138.72,137.31,138.6,137.520737,9048665,9048700,0.81,0.58785,138.31,"January 10, 23",0.0058785
2023-01-09,138.6,138.88,136.88,137.37,136.300308,8482297,8482300,-1.23,-0.88745,137.73,"January 09, 23",-0.0088745
2023-01-06,136.125,138.38,134.49,137.94,136.865875,10029076,10029100,1.815,1.33,137.34,"January 06, 23",0.0133
2023-01-05,135.66,135.71,133.7004,135.35,134.296051,8381265,8381300,-0.31,-0.22851,134.99,"January 05, 23",-0.0022851
2023-01-04,135.99,137.68,135.57,136.38,134.325806,11687643,11687600,0.39,0.28679,136.49,"January 04, 23",0.0028679
2023-01-03,135.24,136.74,133.89,135.12,133.084778,11054778,11054800,-0.12,-0.08873114,135.11,"January 03, 23",-0.0008873114
2022-12-30,132.81,134.33,132.44,134.1,132.080154,9292519,9292500,1.29,0.97131,133.68,"December 30, 22",0.0097131
2022-12-29,132.93,133.27,132.31,133.22,131.213409,6585228,6585200,0.29,0.21816,132.95,"December 29, 22",0.0021816
2022-12-28,131.85,133.41,131.01,132.46,130.464844,8827738,8827700,0.61,0.46265,132.31,"December 28, 22",0.0046265
2022-12-27,131.57,132.22,130.55,131.74,129.755707,5384491,5411000,0.17,0.12921,131.62,"December 27, 22",0.0012921
2022-12-23,130.58,131.44,129.64,131.28,129.302628,5091905,5091900,0.7,0.53607,130.95,"December 23, 22",0.0053607
2022-12-22,131.1,131.3,128.41,130.66,128.691971,8651131,8648200,-0.44,-0.33562,129.92,"December 22, 22",-0.0033562
2022-12-21,132.18,132.98,131.77,132.16,130.169373,8051704,8051700,-0.02,-0.01513088,132.25,"December 21, 22",-0.0001513088
2022-12-20,130.97,132.05,130.2,130.69,128.721512,8479927,8549900,-0.28,-0.21379,131.13,"December 20, 22",-0.0021379
2022-12-19,129.65,131.33,129.09,130.06,128.100998,9017156,9017200,0.41,0.31624,130.1,"December 19, 22",0.0031624
2022-12-16,129.15,129.9,128.425,129.29,127.34259,21133707,21133700,0.14,0.1084,129.21,"December 16, 22",0.001084
2022-12-15,131.145,132.08,129.05,130.1,128.140411,12090286,12087800,-1.045,-0.79683,130.21,"December 15, 22",-0.0079683
2022-12-14,133.78,135.71,132.76,133.41,131.400543,9966115,9966100,-0.37,-0.27657,134,"December 14, 22",-0.0027657
2022-12-13,136.885,137.09,133.08,134.08,132.060455,10025383,10025400,-2.805,-2.05,134.37,"December 13, 22",-0.0205
2022-12-12,132.4,134.65,131.6,134.21,132.188492,8841631,8841600,1.81,1.37,133.75,"December 12, 22",0.0137
2022-12-09,132.2,133.76,132,132.16,130.169373,7957818,7957800,-0.04,-0.03025719,132.7,"December 09, 22",-0.0003025719
2022-12-08,132.33,132.98,131.43,132.88,130.878525,8875757,8907300,0.55,0.41563,132.41,"December 08, 22",0.0041563
2022-12-07,131.31,133.08,130.33,131.5,129.519302,11739425,11739400,0.19,0.1447,131.61,"December 07, 22",0.001447
2022-12-06,133.39,135.11,129.87,131.59,129.607941,13903691,13966700,-1.8,-1.35,131.64,"December 06, 22",-0.0135
2022-12-05,134.24,134.57,130.6,131.37,129.391266,10154531,10154500,-2.87,-2.14,131.76,"December 05, 22",-0.0214
2022-12-02,134.49,135.35,133.34,135.16,133.124191,8932057,8931900,0.67,0.49818,134.5,"December 02, 22",0.0049818
