date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,59.72,60.09,59.4,60.08,60.08,14076568,14076568,0.36,0.603,59.85667,"January 20, 23",0.00603
2023-01-19,59.73,60.64,59.71,59.72,59.72,14889535,14889535,-0.01,-0.017,60.02333,"January 19, 23",-0.00017
2023-01-18,61.51,61.59,59.68,59.81,59.81,19674484,19674484,-1.7,-2.764,60.36,"January 18, 23",-0.02764
2023-01-17,61.73,62.38,61.56,61.68,61.68,18327221,18327221,-0.05,-0.081,61.87333,"January 17, 23",-0.00081
2023-01-13,60.7,61.46,60.59,61.43,61.43,13985037,13985037,0.73,1.203,61.16,"January 13, 23",0.01203
2023-01-12,62.11,62.18,60.97,61.21,61.21,13905905,13905905,-0.9,-1.449,61.45333,"January 12, 23",-0.01449
2023-01-11,62.38,62.56,61.41,62.01,62.01,10821148,10821148,-0.37,-0.593,61.99333,"January 11, 23",-0.00593
2023-01-10,62.6,62.73,61.92,62.13,62.13,10134494,10134494,-0.47,-0.751,62.26,"January 10, 23",-0.00751
2023-01-09,63.3,63.72,62.58,62.61,62.61,9415448,9415448,-0.69,-1.09,62.97,"January 09, 23",-0.0109
2023-01-06,62.91,63.67,62.58,63.4,63.4,9988677,9988677,0.49,0.779,63.21667,"January 06, 23",0.00779
2023-01-05,62.6,62.8,62.08,62.2,62.2,9814197,9814197,-0.4,-0.639,62.36,"January 05, 23",-0.00639
2023-01-04,63.15,63.33,62.51,62.92,62.92,13387479,13387479,-0.23,-0.364,62.92,"January 04, 23",-0.00364
2023-01-03,63.56,63.56,62.18,62.95,62.95,12180238,12180238,-0.61,-0.96,62.89667,"January 03, 23",-0.0096
2022-12-30,63.92,63.92,63.17,63.61,63.61,7649995,7649995,-0.31,-0.485,63.56667,"December 30, 22",-0.00485
2022-12-29,63.8,64.15,63.7,63.95,63.95,7169158,7169158,0.15,0.235,63.93333,"December 29, 22",0.00235
2022-12-28,64.46,64.65,63.49,63.57,63.57,7158068,7158068,-0.89,-1.381,63.90333,"December 28, 22",-0.01381
2022-12-27,63.93,64.29,63.71,64.21,64.21,7320042,7320042,0.28,0.438,64.07,"December 27, 22",0.00438
2022-12-23,63.5,63.87,63.2,63.82,63.82,6462731,6462731,0.32,0.504,63.63,"December 23, 22",0.00504
2022-12-22,63.42,63.59,62.65,63.34,63.34,9667024,9667024,-0.08,-0.126,63.19333,"December 22, 22",-0.00126
2022-12-21,63.07,64.05,63.07,63.8,63.8,9466079,9466079,0.73,1.157,63.64,"December 21, 22",0.01157
2022-12-20,62.82,63.15,62.75,62.79,62.79,10276547,10276547,-0.03,-0.048,62.89667,"December 20, 22",-0.00048
2022-12-19,62.83,63.41,62.47,62.84,62.84,10906603,10906603,0.01,0.016,62.90667,"December 19, 22",0.00016
2022-12-16,62.75,63.14,62.325,62.75,62.75,23240359,23240359,0,0,62.73833,"December 16, 22",0
2022-12-15,63.59,63.89,62.49,63.11,63.11,12212952,12212952,-0.48,-0.755,63.16333,"December 15, 22",-0.00755
2022-12-14,64.19,64.65,63.57,63.99,63.99,9561055,9561055,-0.2,-0.312,64.07,"December 14, 22",-0.00312
2022-12-13,64.59,64.7,63.8,63.99,63.99,17522162,17522162,-0.6,-0.929,64.16333,"December 13, 22",-0.00929
2022-12-12,63.3,64.005,63.01,63.97,63.97,11648104,11648104,0.67,1.058,63.66167,"December 12, 22",0.01058
