date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,441.34,443.35,437.62,443.28,443.28,1409289,1409289,1.94,0.44,441.41667,"January 20, 23",0.0044
2023-01-19,442.76,445.92,439.03,439.31,439.31,1469913,1469913,-3.45,-0.779,441.42,"January 19, 23",-0.00779
2023-01-18,447.16,448.2321,440.65,441.27,441.27,1644635,1644635,-5.89,-1.317,443.38403,"January 18, 23",-0.01317
2023-01-17,450.3,453.5,446.67,447.16,447.16,1753125,1753125,-3.14,-0.697,449.11,"January 17, 23",-0.00697
2023-01-13,446.5,453.711,444.74,449.83,449.83,2206490,2206490,3.33,0.746,449.427,"January 13, 23",0.00746
2023-01-12,462.99,465.88,459.19,461.74,461.74,936645,936645,-1.25,-0.27,462.27,"January 12, 23",-0.0027
2023-01-11,463.37,465.55,461.04,463,463,1055912,1055912,-0.37,-0.08,463.19667,"January 11, 23",-0.0008
2023-01-10,462.18,465.47,456.9,462.29,462.29,1003444,1003444,0.11,0.024,461.55333,"January 10, 23",0.00024
2023-01-09,467.79,470.79,455.3,458.99,458.99,2376599,2376599,-8.8,-1.881,461.69333,"January 09, 23",-0.01881
2023-01-06,480,488,465.765,473.24,473.24,1963083,1963083,-6.76,-1.408,475.66833,"January 06, 23",-0.01408
2023-01-05,475.69,478.14,469.9,477.07,477.07,1210195,1210195,1.38,0.29,475.03667,"January 05, 23",0.0029
2023-01-04,473.25,479.7,469.3,476.5,476.5,1355192,1355192,3.25,0.687,475.16667,"January 04, 23",0.00687
2023-01-03,483.39,484.25,474.03,477.53,477.53,1657358,1657358,-5.86,-1.212,478.60333,"January 03, 23",-0.01212
2022-12-30,488,489.81,481.235,486.49,486.49,903422,903422,-1.51,-0.309,485.845,"December 30, 22",-0.00309
2022-12-29,484,489.57,483.3,487.05,487.05,764008,764008,3.05,0.63,486.64,"December 29, 22",0.0063
2022-12-28,486.15,489,482.9,483.22,483.22,760800,760800,-2.93,-0.603,485.04,"December 28, 22",-0.00603
2022-12-27,485,489.24,483.5,485.5,485.5,719896,719896,0.5,0.103,486.08,"December 27, 22",0.00103
2022-12-23,479.5,484.1835,478.36,483.29,483.29,648982,648982,3.79,0.79,481.9445,"December 23, 22",0.0079
2022-12-22,486.5,486.82,473.95,479.3,479.3,1129245,1129245,-7.2,-1.48,480.02333,"December 22, 22",-0.0148
2022-12-21,487.88,490.57,485.69,487.65,487.65,944069,944069,-0.23,-0.047,487.97,"December 21, 22",-0.00047
2022-12-20,482.88,491.4499,481.815,486.15,486.15,1014549,1014549,3.27,0.677,486.47163,"December 20, 22",0.00677
2022-12-19,481.78,487.98,479.93,481.79,481.79,929735,929735,0.01,0.002,483.23333,"December 19, 22",2e-05
2022-12-16,475.63,482.61,473.665,481.79,481.79,2590828,2590828,6.16,1.295,479.355,"December 16, 22",0.01295
2022-12-15,481,485.1,475.14,478.79,478.79,1067327,1067327,-2.21,-0.459,479.67667,"December 15, 22",-0.00459
2022-12-14,481.19,488.27,480.14,485.19,485.19,1071882,1071882,4,0.831,484.53333,"December 14, 22",0.00831
2022-12-13,490,490.37,478.67,480.22,480.22,1699803,1699803,-9.78,-1.996,483.08667,"December 13, 22",-0.01996
2022-12-12,484.95,487.17,482.5,486.32,486.32,880319,880319,1.37,0.283,485.33,"December 12, 22",0.00283
2022-12-09,485.64,490.36,483.21,483.58,483.58,856431,856431,-2.06,-0.424,485.71667,"December 09, 22",-0.00424
2022-12-08,485.26,488.81,481.55,485.38,485.38,762257,762257,0.12,0.025,485.24667,"December 08, 22",0.00025
2022-12-07,484.3,489.24,480.48,481.2,481.2,999899,999899,-3.1,-0.64,483.64,"December 07, 22",-0.0064
2022-12-06,491.32,491.32,482.2,484,484,1043367,1043367,-7.32,-1.49,485.84,"December 06, 22",-0.0149
2022-12-05,490.87,494.98,488.32,490.67,490.67,1230211,1230211,-0.2,-0.041,491.32333,"December 05, 22",-0.00041
2022-12-02,481.81,498.95,481.81,496.23,496.23,1743392,1743392,14.42,2.993,492.33,"December 02, 22",0.02993
2022-12-01,486.52,488,480.67,483.69,483.69,913669,913669,-2.83,-0.582,484.12,"December 01, 22",-0.00582
2022-11-30,480,485.9500122,477.730011,485.1900024,485.1900024,1469100,1469100,5.19,1.081,482.95668,"November 30, 22",0.01081
2022-11-29,483.1000061,485.1000061,481.7399902,484.1000061,481.1000061,802600,802600,-2,-0.414,482.64667,"November 29, 22",-0.00414
2022-11-28,480.1099854,485.2399902,480,483.2099915,480.2154846,939000,939000,0.1055,0.022,481.81849,"November 28, 22",0.00022
2022-11-25,484.2999878,484.5,481.4200134,483.4599915,480.4639587,321500,321500,-3.83603,-0.792,482.12799,"November 25, 22",-0.00792
2022-11-23,479.7799988,482.9899902,478.7200012,481.0700073,478.0887756,1020200,1020200,-1.69122,-0.352,479.93292,"November 23, 22",-0.00352
2022-11-22,482.9700012,484.2600098,479.2799988,479.5,476.5285034,838400,838400,-6.4415,-1.334,480.02284,"November 22, 22",-0.01334
2022-11-21,478.4899902,483.9599915,478.230011,480.9400024,477.9595642,1730500,1730500,-0.53043,-0.111,480.04986,"November 21, 22",-0.00111
2022-11-18,473.6300049,480.8699951,472.769989,476.8200073,473.8651123,2160300,2160300,0.23511,0.05,475.83503,"November 18, 22",0.0005
2022-11-17,465,474.7799988,464.2600098,472.769989,469.8401794,1401900,1401900,4.84018,1.041,469.62673,"November 17, 22",0.01041
2022-11-16,465.2399902,469.2600098,461.5899963,466.2399902,463.350647,1022600,1022600,-1.88934,-0.406,464.73355,"November 16, 22",-0.00406
2022-11-15,465.8399963,474.9899902,458.0499878,467.25,464.3544006,3272800,3272800,-1.4856,-0.319,465.79813,"November 15, 22",-0.00319
