date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,204.1,207.18,203.24,207.12,207.119995,2248543,2247867,3.02,1.48,206.04,"May 09, 23",0.0148
2023-05-08,205.6,206.12,203.03,204.05,204.050003,1586594,1586500,-1.55,-0.75389,204.32,"May 08, 23",-0.0075389
2023-05-05,204.05,206.52,203.31,205.81,205.809998,2495636,2495600,1.76,0.86253,205.24,"May 05, 23",0.0086253
2023-05-04,205.24,206.6299,201.27,202.8,202.800003,2375943,2375800,-2.44,-1.19,203.33,"May 04, 23",-0.0119
2023-05-03,206.38,210.32,205.15,205.31,205.309998,2386576,2386600,-1.07,-0.51846,207.91,"May 03, 23",-0.0051846
2023-05-02,208.5,208.5,203.24,205.97,205.970001,2201912,2201800,-2.53,-1.21,205.32,"May 02, 23",-0.0121
2023-05-01,207.83,208.92,207.135,208.22,208.220001,2282164,2282100,0.39,0.18765,208.03,"May 01, 23",0.0018765
2023-04-28,204.6,207.88,204.34,207.83,207.830002,2451890,2451400,3.23,1.58,206.65,"April 28, 23",0.0158
2023-04-27,200.625,204.83,200.625,204.53,204.529999,2498982,2498900,3.905,1.95,203.26,"April 27, 23",0.0195
2023-04-26,205.49,205.71,200.1,200.8,200.800003,3409008,3409000,-4.69,-2.28,201.8,"April 26, 23",-0.0228
2023-04-25,210.99,211.24,205.78,205.88,205.880005,2723867,2723700,-5.11,-2.42,208.3,"April 25, 23",-0.0242
2023-04-24,210.3,212.03,210.09,211.04,209.98999,2758708,2758700,0.74,0.35188,210.88,"April 24, 23",0.0035188
2023-04-21,211.34,212.5,210.01,211.04,209.98999,2864183,2864000,-0.3,-0.14195,211.12,"April 21, 23",-0.0014195
2023-04-20,208.48,212.37,208.45,209.76,208.716354,2948979,2948800,1.28,0.61397,210.31,"April 20, 23",0.0061397
2023-04-19,207.17,209.05,206.26,208.83,207.791,2488819,2488700,1.66,0.80127,208.33,"April 19, 23",0.0080127
2023-04-18,206.28,208.63,205.75,208.1,207.064636,2685246,2685200,1.82,0.8823,207.73,"April 18, 23",0.008823
2023-04-17,202.5,205.03,202.41,205,203.980042,2420060,2420000,2.5,1.23,204.02,"April 17, 23",0.0123
2023-04-14,201.52,203.88,201.1,202.18,201.174072,2028284,2028300,0.66,0.32751,202.1,"April 14, 23",0.0032751
2023-04-13,199.77,201.84,196.235,201.47,200.467606,2778705,2778700,1.7,0.85098,200.12,"April 13, 23",0.0085098
2023-04-12,203.4,204.7091,199.41,199.77,198.776077,2665419,2665400,-3.63,-1.78,201.59,"April 12, 23",-0.0178
2023-04-11,200.99,202.94,200.7552,201.34,200.338257,2458989,2459000,0.35,0.17414,201.63,"April 11, 23",0.0017414
2023-04-10,197.6,201.17,196.21,199.78,198.786011,2387668,2387500,2.18,1.1,199.95,"April 10, 23",0.011
2023-04-06,198.115,199.48,195.5,198.57,197.582047,2403332,2403300,0.455,0.22966,198.17,"April 06, 23",0.0022966
2023-04-05,203.005,203.35,198.65,199.43,198.437759,2417870,2417800,-3.575,-1.76,199.79,"April 05, 23",-0.0176
2023-04-04,203.5,204.275,200.75,203,201.990005,2500147,2500100,-0.5,-0.2457,202.53,"April 04, 23",-0.002457
2023-04-03,201.07,204.23,200.97,203.99,202.975082,3471080,3471100,2.92,1.45,202.94,"April 03, 23",0.0145
2023-03-31,194.09,200.23,193.65,199.97,198.975082,3151577,3151600,5.88,3.03,198.4,"March 31, 23",0.0303
2023-03-30,194.075,195.2,192.3,192.65,191.691483,2157103,2157000,-1.425,-0.73425,193.16,"March 30, 23",-0.0073425
2023-03-29,190.95,191.99,190,191.94,190.985031,2436492,2436300,0.99,0.51846,191.28,"March 29, 23",0.0051846
2023-03-28,190.46,192.44,189.62,190.15,189.203918,1872337,1872300,-0.31,-0.16276,190.38,"March 28, 23",-0.0016276
2023-03-27,190.07,191.94,188.9,190.53,189.582047,2488490,2488400,0.46,0.24202,190.6,"March 27, 23",0.0024202
2023-03-24,188.75,190.27,187.44,189.46,188.517365,2692548,2692400,0.71,0.37616,189.09,"March 24, 23",0.0037616
2023-03-23,192.72,193.1,188.07,189.69,188.746216,3346503,3346400,-3.03,-1.57,190.64,"March 23, 23",-0.0157
2023-03-22,196.89,197.49,191.36,191.57,190.616867,3275746,3275700,-5.32,-2.7,194.53,"March 22, 23",-0.027
2023-03-21,198.5,198.7688,195.18,196.79,195.810883,2940356,2940400,-1.71,-0.86146,196.77,"March 21, 23",-0.0086146
2023-03-20,197.01,197.89,195.41,196.79,195.810883,2405200,2405100,-0.22,-0.11167,196.71,"March 20, 23",-0.0011167
2023-03-17,199.79,201.3,195.7933,197.36,196.378067,7271376,7271200,-2.43,-1.22,197.73,"March 17, 23",-0.0122
2023-03-16,197.57,200.08,196.435,199.67,198.676559,3154009,3153900,2.1,1.06,199.05,"March 16, 23",0.0106
2023-03-15,195.84,200.45,194.61,198.59,197.601929,3794220,3794100,2.75,1.4,197.08,"March 15, 23",0.014
2023-03-14,199.4,200.09,193.82,196.83,195.850693,3909236,3909000,-2.57,-1.29,196.53,"March 14, 23",-0.0129
2023-03-13,195.735,201.39,194.73,197.55,196.567123,3116451,3116300,1.815,0.92727,198.55,"March 13, 23",0.0092727
2023-03-10,199.12,201.69,196.09,196.66,195.681549,2963717,2986800,-2.46,-1.24,197.91,"March 10, 23",-0.0124
2023-03-09,202.09,204.05,198.54,199.05,198.059647,2440684,2440300,-3.04,-1.5,200.96,"March 09, 23",-0.015
2023-03-08,198.215,202.08,197.69,201.14,200.139252,2670533,2670400,2.925,1.48,200.39,"March 08, 23",0.0148
2023-03-07,202.49,202.49,197.26,197.41,196.427811,3320205,3320200,-5.08,-2.51,198.64,"March 07, 23",-0.0251
2023-03-06,200.3,203.71,200.06,201.57,200.567123,3160916,3160900,1.27,0.63405,202.2,"March 06, 23",0.0063405
2023-03-03,195.78,200.55,195.0593,199.73,198.736267,3483230,3483200,3.95,2.02,198.96,"March 03, 23",0.0202
2023-03-02,192.66,195.4489,192.03,195.1,194.129303,4097297,4096900,2.44,1.27,194.43,"March 02, 23",0.0127
2023-03-01,205.44,205.64,191.2714,194.31,193.343231,9814299,9814300,-11.13,-5.42,194.88,"March 01, 23",-0.0542
2023-02-28,203.98,208.275,203.3,205.75,204.726318,4391371,4391400,1.77,0.86773,206.33,"February 28, 23",0.0086773
2023-02-27,204.33,206.49,203.44,204.24,203.223831,2765044,2764800,-0.09,-0.0440464,204.48,"February 27, 23",-0.000440464
2023-02-24,199.79,202.59,198.46,201.54,200.537262,2163697,2163500,1.75,0.87592,200.87,"February 24, 23",0.0087592
2023-02-23,202.56,203.75,199.13,202.21,201.203934,2332267,2332200,-0.35,-0.17279,201.33,"February 23, 23",-0.0017279
2023-02-22,201.21,204.44,200.06,202.63,201.621841,2667375,2667400,1.42,0.70573,202.7,"February 22, 23",0.0070573
2023-02-21,205.27,206.9,201.22,201.85,200.845718,3942873,3942900,-3.42,-1.67,202.68,"February 21, 23",-0.0167
2023-02-17,213.24,213.71,208.9,212.75,211.691483,3462070,3462000,-0.49,-0.22979,211.59,"February 17, 23",-0.0022979
2023-02-16,210.2,216.0682,209.62,214.01,212.945221,2479039,2479000,3.81,1.81,214.12,"February 16, 23",0.0181
2023-02-15,212.35,215.5,211.27,215.03,213.960144,1851560,1849900,2.68,1.26,214.22,"February 15, 23",0.0126
2023-02-14,212.03,215.12,211.14,213.76,212.696457,2316568,2316600,1.73,0.81592,213.19,"February 14, 23",0.0081592
2023-02-13,209.3,214.3,207.43,214.14,213.07457,2341784,2364000,4.84,2.31,212.48,"February 13, 23",0.0231
2023-02-10,207.46,208.93,206.33,208.78,207.741241,1821457,1836300,1.32,0.63627,207.95,"February 10, 23",0.0063627
2023-02-09,214.77,215.24,207.96,208.64,207.601944,2386806,2386700,-6.13,-2.85,210.4,"February 09, 23",-0.0285
2023-02-08,214.21,214.21,211.07,212.76,211.701431,2421051,2421100,-1.45,-0.67691,212.48,"February 08, 23",-0.0067691
2023-02-07,212.89,215.57,210.42,214.73,213.661636,2552300,2552300,1.84,0.8643,213.24,"February 07, 23",0.008643
2023-02-06,214.25,216.84,214.06,215.87,214.795959,2380640,2380600,1.62,0.75613,215.71,"February 06, 23",0.0075613
2023-02-03,217.14,218.39,214.82,215.97,214.895462,3047868,3047900,-1.17,-0.53882,216.74,"February 03, 23",-0.0053882
2023-02-02,216.05,223.31,215.98,221.56,220.457657,4156769,4156800,5.51,2.55,220.76,"February 02, 23",0.0255
2023-02-01,207.455,215.14,204.39,213.56,212.497452,3363932,3363900,6.105,2.94,209.8,"February 01, 23",0.0294
2023-01-31,203.25,208.33,202.5,208.25,207.213882,3415828,3415800,5,2.46,206.55,"January 31, 23",0.0246
2023-01-30,201.97,204.56,201.15,201.91,200.905426,2786376,2786300,-0.06,-0.02970738,202.72,"January 30, 23",-0.0002970738
2023-01-27,201.45,203.42,200.435,202.49,201.482544,2907889,2907900,1.04,0.51626,202.08,"January 27, 23",0.0051626
2023-01-26,204.35,208.77,201.6394,201.81,200.805923,3426079,3426100,-2.54,-1.24,203.43,"January 26, 23",-0.0124
2023-01-25,204.52,206.289,201.84,206.11,205.084518,2283441,2283400,1.59,0.77743,205.04,"January 25, 23",0.0077743
2023-01-24,202.61,206.58,202.61,206.41,205.383041,2862499,2862500,3.8,1.88,205.77,"January 24, 23",0.0188
2023-01-23,203.52,206.91,201.79,205.11,203.044724,3348698,3473500,1.59,0.78125,205.1,"January 23, 23",0.0078125
2023-01-20,201.36,204.99,198.665,204.53,202.470566,3517607,3517600,3.17,1.57,202.04,"January 20, 23",0.0157
2023-01-19,207.505,207.9,201.19,202.13,200.094742,3508807,3508800,-5.375,-2.59,203.15,"January 19, 23",-0.0259
2023-01-18,210.72,214.18,208.11,208.5,206.400589,3575106,3575000,-2.22,-1.05,210.17,"January 18, 23",-0.0105
2023-01-17,212.17,214.98,209.2475,209.52,207.410324,2943807,2943800,-2.65,-1.25,210.65,"January 17, 23",-0.0125
2023-01-13,207.81,213.556,207.81,212.16,210.023743,3875862,3875900,4.35,2.09,212.27,"January 13, 23",0.0209
2023-01-12,210.26,211.57,206.59,210.26,208.142853,2690152,2690200,0,0,210.05,"January 12, 23",0
2023-01-11,202.16,208.72,202.15,208.59,206.489685,2780964,2781000,6.43,3.18,207.21,"January 11, 23",0.0318
2023-01-10,199.92,201.67,198.54,201.4,199.37207,2200918,2200800,1.48,0.7403,200.26,"January 10, 23",0.007403
2023-01-09,202.42,204.1299,199.34,199.44,197.431808,2748474,2748500,-2.98,-1.47,201.49,"January 09, 23",-0.0147
2023-01-06,200.73,201.79,194.45,200.97,198.946411,3121509,3121400,0.24,0.11956,199.22,"January 06, 23",0.0011956
2023-01-05,199.3,201.44,197.48,200.77,198.748428,1942252,1942300,1.47,0.73758,200.06,"January 05, 23",0.0073758
2023-01-04,201.43,202.35,197.51,201.39,199.362183,2507434,2507400,-0.04,-0.01985802,200.8,"January 04, 23",-0.0001985802
2023-01-03,201.49,202.3,197.14,199.04,197.035843,2602208,2602000,-2.45,-1.22,198.94,"January 03, 23",-0.0122
2022-12-30,200.03,200.5,197.21,199.24,197.233841,2154647,2154600,-0.79,-0.39494,198.48,"December 30, 22",-0.0039494
2022-12-29,201.68,203.12,201.3,202.26,200.223404,1270947,1270900,0.58,0.28758,202.39,"December 29, 22",0.0028758
2022-12-28,201.96,203.4999,199.63,200.06,198.045563,1419898,1419900,-1.9,-0.94078,200.83,"December 28, 22",-0.0094078
2022-12-27,201.69,203.99,201.31,201.71,199.67897,2076600,2076600,0.02,0.00991621,202.26,"December 27, 22",9.91621e-05
2022-12-23,198.42,202.32,197.02,201.88,199.84726,1469299,1469200,3.46,1.74,200.87,"December 23, 22",0.0174
2022-12-22,198.52,200.225,195.27,199.15,197.14473,2414946,2414800,0.63,0.31735,197.55,"December 22, 22",0.0031735
2022-12-21,202.93,203.62,200.27,202.43,200.391693,2345410,2345400,-0.5,-0.24639,201.82,"December 21, 22",-0.0024639
2022-12-20,201.19,202.13,197.69,200.86,198.837524,2372187,2372200,-0.33,-0.16402,200.7,"December 20, 22",-0.0016402
2022-12-19,205.35,205.94,201.99,203.17,201.124252,2442444,2442400,-2.18,-1.06,203.43,"December 19, 22",-0.0106
2022-12-16,206.36,207.36,203.32,206.14,204.064362,9543471,9543500,-0.22,-0.10661,205.76,"December 16, 22",-0.0010661
2022-12-15,208.61,209.72,205.49,208.02,205.92543,3374053,3373900,-0.59,-0.28282,208.06,"December 15, 22",-0.0028282
2022-12-14,210.95,216.63,210.06,212.11,209.974243,3727712,3727700,1.16,0.54989,213.09,"December 14, 22",0.0054989
2022-12-13,216.71,217.83,208.92,211.22,209.093201,4168645,4168600,-5.49,-2.53,211.97,"December 13, 22",-0.0253
2022-12-12,202.29,205.1,201.04,205.08,203.01503,2720027,2719800,2.79,1.38,203.75,"December 12, 22",0.0138
2022-12-09,201,204.61,200.2,201.77,199.738358,3226910,3226900,0.77,0.38308,202.8,"December 09, 22",0.0038308
2022-12-08,205,206.41,202.46,203.56,201.51033,3150188,3150200,-1.44,-0.70244,203.99,"December 08, 22",-0.0070244
2022-12-07,202.76,209.99,202.26,206.89,204.806793,3999395,3999300,4.13,2.04,207.2,"December 07, 22",0.0204
2022-12-06,205.21,205.71,199,201.91,199.876953,3627519,3627500,-3.3,-1.61,201.76,"December 06, 22",-0.0161
2022-12-05,210.91,211.605,205.4,206.18,204.103943,3308476,3308400,-4.73,-2.24,207.39,"December 05, 22",-0.0224
2022-12-02,212.4,216.6,211.5,214.84,212.676758,3242449,3242300,2.44,1.15,214.77,"December 02, 22",0.0115
2022-12-01,214.79,216.715,212.71,215.48,213.310303,2735131,2735100,0.69,0.32124,215.01,"December 01, 22",0.0032124
2022-11-30,206.11,212.965,203.25,212.55,210.409805,4701568,4701600,6.44,3.12,210.06,"November 30, 22",0.0312
2022-11-29,208,208.6506,206.62,207.47,205.380951,1980888,1980900,-0.53,-0.25481,207.47,"November 29, 22",-0.0025481
2022-11-28,210.39,211.47,208.515,209.04,206.93515,2202367,2202300,-1.35,-0.64167,209.54,"November 28, 22",-0.0064167
2022-11-25,211.36,211.83,210.01,210.97,208.845718,975678,975700,-0.39,-0.18452,210.83,"November 25, 22",-0.0018452
2022-11-23,215.23,215.7,210.02,211.02,208.895218,2593950,2593800,-4.21,-1.96,211.86,"November 23, 22",-0.0196
2022-11-22,211.65,215.53,211.07,214.47,212.310486,2813405,2845700,2.82,1.33,214.1,"November 22, 22",0.0133
2022-11-21,210.13,210.8096,208.23,210.27,208.152771,2326785,2326400,0.14,0.06662542,209.72,"November 21, 22",0.0006662542
2022-11-18,211.82,211.84,206.41,209.93,207.816177,2912756,2912500,-1.89,-0.89227,209.12,"November 18, 22",-0.0089227
2022-11-17,212.5,212.99,205.37,208.4,206.30159,3509736,3507800,-4.1,-1.93,208.33,"November 17, 22",-0.0193
2022-11-16,212.09,221.42,211.6,215.13,212.963837,8173082,8173100,3.04,1.43,216.98,"November 16, 22",0.0143
2022-11-15,206.75,211.25,203.82,208.84,206.737167,5121210,5127800,2.09,1.01,208.07,"November 15, 22",0.0101
2022-11-14,208.43,210.47,204.23,204.66,202.599258,4164981,4165000,-3.77,-1.81,206.87,"November 14, 22",-0.0181
2022-11-11,205.09,211.26,204.51,209.02,206.915344,4272464,4272500,3.93,1.92,208.41,"November 11, 22",0.0192
2022-11-10,195.31,204.74,195.3,204.32,202.26268,4837244,4837200,9.01,4.61,202.86,"November 10, 22",0.0461
2022-11-09,187.31,191.27,186.305,186.63,184.750809,3007350,3007200,-0.68,-0.36303,188.13,"November 09, 22",-0.0036303
2022-11-08,188.06,190.01,185.78,188.36,186.463394,2880906,2880800,0.3,0.15952,188.23,"November 08, 22",0.0015952
2022-11-07,183.57,187.8,181.04,186.56,184.681503,2715511,2715300,2.99,1.63,185.07,"November 07, 22",0.0163
2022-11-04,182.78,187.85,178.3,182.15,180.315903,4623564,4623400,-0.63,-0.34468,182.07,"November 04, 22",-0.0034468
2022-11-03,180.85,182.86,178.71,179.82,178.009384,4133460,4187500,-1.03,-0.56953,180.52,"November 03, 22",-0.0056953
2022-11-02,193.19,194.68,185.53,185.71,183.840073,4539660,4539400,-7.48,-3.87,189.72,"November 02, 22",-0.0387
2022-11-01,198,199.74,192.28,193.55,191.60112,3260207,3260100,-4.45,-2.25,194.13,"November 01, 22",-0.0225
2022-10-31,196.99,197.965,194.36,194.95,192.98703,3550336,3550200,-2.04,-1.04,195.56,"October 31, 22",-0.0104
2022-10-28,193.5,199.74,192.85,198.73,196.728973,3292225,3292200,5.23,2.7,197.33,"October 28, 22",0.027
2022-10-27,195.24,196.48,192.53,193.66,191.710022,2457637,2457600,-1.58,-0.80926,193.93,"October 27, 22",-0.0080926
2022-10-26,194.23,195.61,191.28,193.55,191.60112,2567321,2567200,-0.68,-0.3501,193.77,"October 26, 22",-0.003501
2022-10-25,189.9,195.08,188.89,193.85,191.898117,3245708,3245700,3.95,2.08,193.19,"October 25, 22",0.0208
2022-10-24,183.58,188.51,183.58,187.61,185.720932,3705003,3704900,4.03,2.2,186.83,"October 24, 22",0.022
2022-10-21,178.14,182.67,176.5,182.37,180.533691,3583575,3583600,4.23,2.37,180.26,"October 21, 22",0.0237
2022-10-20,183.39,185.4,177.47,178.3,176.504684,4095592,4095600,-5.09,-2.78,180.21,"October 20, 22",-0.0278
2022-10-19,187.28,188.47,180.22,183.94,182.087891,5362452,5362300,-3.34,-1.78,183.78,"October 19, 22",-0.0178
2022-10-18,196.2,198.565,192.56,193.2,191.254639,3804253,3804300,-3,-1.53,194.05,"October 18, 22",-0.0153
2022-10-17,192.25,195.215,192.09,194.09,191.096252,3504756,3504800,1.84,0.95709,193.78,"October 17, 22",0.0095709
