date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,298.63,298.86,296.3,296.66,296.660004,1637292,1197932,-1.97,-0.65968,297.19,"May 09, 23",-0.0065968
2023-05-08,297.1,297.37,295.57,296.69,296.690002,2969801,2969600,-0.41,-0.138,296.52,"May 08, 23",-0.00138
2023-05-05,295.77,297.02,294.4625,296.6,296.600006,1815841,1815400,0.83,0.28062,296.32,"May 05, 23",0.0028062
2023-05-04,296.06,296.31,293.47,295.16,295.160004,2005472,2005300,-0.9,-0.30399,294.84,"May 04, 23",-0.0030399
2023-05-03,296.76,297.2562,294.65,295.22,295.220001,2389452,2425500,-1.54,-0.51894,295.57,"May 03, 23",-0.0051894
2023-05-02,297.37,298.46,295.58,298.07,298.070007,2083769,2083800,0.7,0.2354,297.53,"May 02, 23",0.002354
2023-05-01,295.72,298.8,295.65,297.58,297.579987,2124401,2124400,1.86,0.62897,297.81,"May 01, 23",0.0062897
2023-04-28,294.83,296.18,293.91,295.75,295.75,2838198,2837200,0.92,0.31204,295.52,"April 28, 23",0.0031204
2023-04-27,290.72,295.0499,290,294.72,294.720001,3142286,3142300,4,1.38,293.5,"April 27, 23",0.0138
2023-04-26,289.98,291.5,289.76,289.76,289.76001,3289959,3290000,-0.22,-0.0758673,290.27,"April 26, 23",-0.000758673
2023-04-25,295,295,289.43,291.51,291.51001,5845217,5845200,-3.49,-1.18,291.67,"April 25, 23",-0.0118
2023-04-24,292.83,293.43,291.7101,293.2,293.200012,2995244,2995200,0.37,0.12635,292.77,"April 24, 23",0.0012635
2023-04-21,292.32,292.53,290.51,292.06,292.059998,2171180,2170400,-0.26,-0.08894362,291.89,"April 21, 23",-0.0008894362
2023-04-20,290.96,291.67,289.88,291,291,2274152,2274200,0.04,0.01374759,290.84,"April 20, 23",0.0001374759
2023-04-19,290.91,291.6,290.19,291.27,291.269989,2254075,2254000,0.36,0.12375,290.94,"April 19, 23",0.0012375
2023-04-18,289.4,291.19,289,290.91,290.910004,2086719,2086700,1.51,0.52177,290.54,"April 18, 23",0.0052177
2023-04-17,289.84,290.51,288.18,289.31,289.309998,2364538,2371000,-0.53,-0.18286,289.12,"April 17, 23",-0.0018286
2023-04-14,289.29,289.94,287.62,288.98,288.980011,2054679,2054200,-0.31,-0.10716,288.5,"April 14, 23",-0.0010716
2023-04-13,286.57,289.5399,286.11,289.07,289.070007,3229280,3229300,2.5,0.87239,287.89,"April 13, 23",0.0087239
2023-04-12,283.85,286.79,283.5,285.3,285.299988,2557446,2557400,1.45,0.51083,285.36,"April 12, 23",0.0051083
2023-04-11,283.17,285.535,282.75,284.48,284.480011,2732890,2732900,1.31,0.46262,284.51,"April 11, 23",0.0046262
2023-04-10,283.18,284.1686,281.99,283.78,283.779999,1942019,1941800,0.6,0.21188,283.16,"April 10, 23",0.0021188
2023-04-06,282.43,283.4881,281.57,282.89,282.890015,1730953,1731000,0.46,0.16287,282.48,"April 06, 23",0.0016287
2023-04-05,283.49,284.98,281.78,282.02,282.019989,2600775,2600800,-1.47,-0.51854,283.1,"April 05, 23",-0.0051854
2023-04-04,281.41,283.42,280.39,282.28,282.279999,2282434,2282300,0.87,0.30916,282.35,"April 04, 23",0.0030916
2023-04-03,280.99,282.87,279.68,282.14,282.140015,2352716,2352700,1.15,0.40927,281.83,"April 03, 23",0.0040927
2023-03-31,278.92,280.635,278.5,279.61,279.609985,2902491,2902100,0.69,0.24738,279.67,"March 31, 23",0.0024738
2023-03-30,277.26,278.4,276.5,277.79,277.790009,1788868,1788800,0.53,0.19116,277.6,"March 30, 23",0.0019116
2023-03-29,277,278.15,276.45,277.44,277.440002,2053558,2053400,0.44,0.15884,277.18,"March 29, 23",0.0015884
2023-03-28,273.99,276.22,273.51,275.85,275.850006,2035971,2036000,1.86,0.67886,275.56,"March 28, 23",0.0067886
2023-03-27,272,274.95,270.57,273.84,273.839996,2799118,2799100,1.84,0.67647,273.45,"March 27, 23",0.0067647
2023-03-24,270.37,271.83,268.84,271.33,271.329987,2229368,2229200,0.96,0.35507,270.69,"March 24, 23",0.0035507
2023-03-23,267.99,271.475,267.99,269.62,269.619995,2263814,2263800,1.63,0.60823,269.79,"March 23, 23",0.0060823
2023-03-22,270.04,271.98,267.71,267.87,267.869995,2240797,2240800,-2.17,-0.80358,269.32,"March 22, 23",-0.0080358
2023-03-21,270,270.8675,267.62,270.21,270.209991,3120195,3120100,0.21,0.07777778,269.56,"March 21, 23",0.0007777778
2023-03-20,267.84,271.38,267.84,270.74,270.73999,2109113,2108900,2.9,1.08,270.19,"March 20, 23",0.0108
2023-03-17,269.57,269.97,265.71,267.2,267.200012,5075300,5074800,-2.37,-0.87918,267.63,"March 17, 23",-0.0087918
2023-03-16,265.78,270.68,265.505,270.57,270.570007,3098073,3097900,4.79,1.8,269.22,"March 16, 23",0.018
2023-03-15,264.58,266.41,262.565,266.34,266.339996,3419419,3419400,1.76,0.66521,265.09,"March 15, 23",0.0066521
2023-03-14,263.12,266.94,262.6,265.9,265.899994,3194391,3194400,2.78,1.06,265.19,"March 14, 23",0.0106
2023-03-13,260.37,267.4,260.37,263.08,263.079987,3552410,3552400,2.71,1.04,264.23,"March 13, 23",0.0104
2023-03-10,263.73,266.5799,261.26,262.03,262.029999,3093072,3091300,-1.7,-0.6446,263.52,"March 10, 23",-0.006446
2023-03-09,267.09,267.61,260.865,261.63,261.630005,2339345,2339300,-5.46,-2.04,263.04,"March 09, 23",-0.0204
2023-03-08,265.86,266.16,263.14,265.33,265.329987,2313951,2314000,-0.53,-0.19935,264.88,"March 08, 23",-0.0019935
2023-03-07,271.52,273.15,266.82,267.13,267.130005,2766688,2766600,-4.39,-1.62,268.75,"March 07, 23",-0.0162
2023-03-06,269.15,270.78,268.9,270.64,270.640015,2217669,2217600,1.49,0.55359,270.1,"March 06, 23",0.0055359
2023-03-03,268.42,269.38,266.2,269.07,269.070007,2725884,2725800,0.65,0.24216,268.44,"March 03, 23",0.0024216
2023-03-02,262.45,268.46,262.31,267.57,267.570007,2386008,2385900,5.12,1.95,266.77,"March 02, 23",0.0195
2023-03-01,262.54,263.53,261.68,262.72,262.720001,2058920,2058900,0.18,0.06856098,262.58,"March 01, 23",0.0006856098
2023-02-28,263.14,264.58,262.81,263.91,263.910004,2853396,2853400,0.77,0.29262,263.94,"February 28, 23",0.0029262
2023-02-27,265.03,266.3,263.535,264.78,263.259979,2024791,2024800,-0.25,-0.09432894,264.78,"February 27, 23",-0.0009432894
2023-02-24,265.91,266.28,262.25,263.68,262.16629,2645314,2645300,-2.23,-0.83863,263.73,"February 24, 23",-0.0083863
2023-02-23,267.7,267.87,263.96,266.78,265.248505,4216978,4217000,-0.92,-0.34367,266.81,"February 23, 23",-0.0034367
2023-02-22,268.2,270.48,267.66,268.64,267.097839,2192035,2192000,0.44,0.16406,268.92,"February 22, 23",0.0016406
2023-02-21,269.29,270.24,267.61,268.55,267.008331,2787326,2824300,-0.74,-0.2748,268.84,"February 21, 23",-0.002748
2023-02-17,266.3,270,265.33,269.99,268.440063,3055817,3055600,3.69,1.39,268.84,"February 17, 23",0.0139
