date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,63.76,64.04,63.26,64.04,64.04,7524779,7524779,0.28,0.439,63.78,"January 20, 23",0.00439
2023-01-19,64.41,64.81,63.75,63.84,63.84,5934038,5934038,-0.57,-0.885,64.13333,"January 19, 23",-0.00885
2023-01-18,66.73,66.84,64.43,64.57,64.57,6751982,6751982,-2.16,-3.237,65.28,"January 18, 23",-0.03237
2023-01-17,67.18,67.5,66.93,67.02,67.02,6245704,6245704,-0.16,-0.238,67.15,"January 17, 23",-0.00238
2023-01-13,66.59,67.11,66.22,67.06,67.06,4711728,4711728,0.47,0.706,66.79667,"January 13, 23",0.00706
2023-01-12,67.41,67.53,66.56,66.76,66.76,4946088,4946088,-0.65,-0.964,66.95,"January 12, 23",-0.00964
2023-01-11,67.57,67.82,66.94,67.57,67.57,4928941,4928941,0,0,67.44333,"January 11, 23",0
2023-01-10,67.02,67.47,67,67.31,67.31,3560903,3560903,0.29,0.433,67.26,"January 10, 23",0.00433
2023-01-09,67.67,68.33,67.22,67.24,67.24,4132801,4132801,-0.43,-0.635,67.59667,"January 09, 23",-0.00635
2023-01-06,67.15,68.26,66.89,68.02,68.02,5844131,5844131,0.87,1.296,67.72333,"January 06, 23",0.01296
2023-01-05,66.99,67.13,66.03,66.19,66.19,5353706,5353706,-0.8,-1.194,66.45,"January 05, 23",-0.01194
2023-01-04,66.36,67.39,66.26,66.73,66.73,6085081,6085081,0.37,0.558,66.79333,"January 04, 23",0.00558
2023-01-03,66.5,66.7,65.37,66.25,66.25,6545708,6545708,-0.25,-0.376,66.10667,"January 03, 23",-0.00376
2022-12-30,66.89,66.99,66.105,66.65,66.65,4335678,4335678,-0.24,-0.359,66.58167,"December 30, 22",-0.00359
2022-12-29,66.5400009,67.1299973,66.5,66.9700012,66.9700012,3277700,3277700,0.43,0.646,66.86667,"December 29, 22",0.00646
2022-12-28,67.8199997,67.8300018,66.8000031,66.8300018,66.4449997,3499200,3499200,-1.375,-2.027,67.025,"December 28, 22",-0.02027
2022-12-27,67.3899994,67.5999985,67.1399994,67.4899979,67.1011963,3139400,3139400,-0.2888,-0.429,67.2804,"December 27, 22",-0.00429
2022-12-23,66.7900009,67.2399979,66.5400009,67.0999985,66.7134399,3365200,3365200,-0.07656,-0.115,66.83115,"December 23, 22",-0.00115
2022-12-22,66.6900024,66.8300018,65.9700012,66.7300034,66.3455811,4856700,4856700,-0.34442,-0.516,66.38186,"December 22, 22",-0.00516
2022-12-21,66.25,67.2900009,66.0999985,66.8899994,66.5046539,5608500,5608500,0.25465,0.384,66.63155,"December 21, 22",0.00384
2022-12-20,65.7799988,66.2099991,65.3799973,65.8499985,65.4706421,5718300,5718300,-0.30936,-0.47,65.68688,"December 20, 22",-0.0047
2022-12-19,66.0599976,66.2900009,65.4700012,65.6999969,65.3215027,7117200,7117200,-0.73849,-1.118,65.69383,"December 19, 22",-0.01118
2022-12-16,65.9199982,66.3899994,65.2799988,66.1600037,65.778862,17584400,17584400,-0.14114,-0.214,65.81629,"December 16, 22",-0.00214
2022-12-15,66.9400024,67.2200012,65.8199997,66.3899994,66.0075302,7717300,7717300,-0.93247,-1.393,66.34918,"December 15, 22",-0.01393
2022-12-14,67.7399979,68.0599976,66.7900009,67.2600021,66.8725204,7986500,7986500,-0.86748,-1.281,67.24084,"December 14, 22",-0.01281
2022-12-13,68.25,68.5,67.0699997,67.5999985,67.2105637,6992100,6992100,-1.03944,-1.523,67.59352,"December 13, 22",-0.01523
2022-12-12,67.3399963,67.4300003,66.9000015,67.3799973,66.9918289,6225000,6225000,-0.34817,-0.517,67.10728,"December 12, 22",-0.00517
2022-12-09,67.5599976,67.6200027,66.9400024,67.0599976,66.6736679,4819200,4819200,-0.88633,-1.312,67.07789,"December 09, 22",-0.01312
2022-12-08,67.3399963,68.0800018,67.1999969,67.5899963,67.2006149,5929800,5929800,-0.13938,-0.207,67.49354,"December 08, 22",-0.00207
2022-12-07,67.6200027,68.8099976,67.4800034,68.0299988,67.6380844,7222700,7222700,0.01808,0.027,67.97603,"December 07, 22",0.00027
2022-12-06,67.6800003,67.9700012,66.9100037,67.2900009,66.9023514,4819600,4819600,-0.77765,-1.149,67.26079,"December 06, 22",-0.01149
2022-12-05,67.5500031,67.6500015,67.0500031,67.4300003,67.0415421,4190000,4190000,-0.50846,-0.753,67.24718,"December 05, 22",-0.00753
2022-12-02,67.4100037,68.3600006,67.2099991,68.3099976,67.9164734,3798400,3798400,0.50647,0.751,67.82882,"December 02, 22",0.00751
2022-12-01,67.7600021,68.5299988,67.6900024,68.0899963,67.6977386,5846500,5846500,-0.06226,-0.092,67.97258,"December 01, 22",-0.00092
2022-11-30,65.7900009,67.75,65.5899963,67.6100006,67.2205048,8415200,8415200,1.4305,2.174,66.8535,"November 30, 22",0.02174
2022-11-29,65.8099976,66.1299973,65.5899963,66.0500031,65.6694946,3673500,3673500,-0.1405,-0.213,65.7965,"November 29, 22",-0.00213
2022-11-28,66.6800003,66.9899979,66.0699997,66.1500015,65.7689209,3755200,3755200,-0.91108,-1.366,66.27631,"November 28, 22",-0.01366
2022-11-25,66.6699982,66.8199997,66.4899979,66.6900024,66.305809,2212200,2212200,-0.36419,-0.546,66.5386,"November 25, 22",-0.00546
