date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-24,81.73,82.35,80.5,80.8,80.8,7105210,7104992,-0.93,-1.138,81.21667,"January 24, 23",-0.01138
2023-01-23,81.02,82.95,80.75,82.37,82.37,9488024,9487500,1.35,1.666,82.02333,"January 23, 23",0.01666
2023-01-20,80.05,80.99,79.34,80.91,80.91,6806437,6806100,0.86,1.074,80.41333,"January 20, 23",0.01074
2023-01-19,78.38,80.06,77.87,79.52,79.52,7831101,7830900,1.14,1.454,79.15,"January 19, 23",0.01454
2023-01-18,80.27,80.39,78.66,78.73,78.73,5791920,5791500,-1.54,-1.919,79.26,"January 18, 23",-0.01919
2023-01-17,80.58,80.95,79.38,80.35,80.35,8176481,8175900,-0.23,-0.285,80.22667,"January 17, 23",-0.00285
2023-01-13,79.17,80.69,78.91,80.59,80.59,6023753,6023600,1.42,1.794,80.06333,"January 13, 23",0.01794
2023-01-12,80.58,80.68,78.89,79.85,79.85,5738458,5738000,-0.73,-0.906,79.80667,"January 12, 23",-0.00906
2023-01-11,79.46,80.44,78.14,80.32,80.32,8367058,8366300,0.86,1.082,79.63333,"January 11, 23",0.01082
2023-01-10,77.87,79.41,77.75,78.89,78.89,6494671,6494500,1.02,1.31,78.68333,"January 10, 23",0.0131
2023-01-09,80.75,81.26,77.47,77.54,77.54,11108146,11108100,-3.21,-3.975,78.75667,"January 09, 23",-0.03975
2023-01-06,80.49,81.23,79.35,80.86,80.86,5994882,5994400,0.37,0.46,80.48,"January 06, 23",0.0046
2023-01-05,80.88,81.16,80,80.03,80.03,7044762,7044400,-0.85,-1.051,80.39667,"January 05, 23",-0.01051
2023-01-04,79.14,81.78,78.8,80.97,80.97,9767059,9766500,1.83,2.312,80.51667,"January 04, 23",0.02312
2023-01-03,77.97,78.33,77.38,78.26,78.26,6544555,6544500,0.29,0.372,77.99,"January 03, 23",0.00372
