date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-24,141.69,145,141.36,143.14,143.14,21766016,21764613,1.45,1.023,143.16667,"January 24, 23",0.01023
2023-01-23,139.29,143.76,138.66,143.27,143.27,27471667,27470093,3.98,2.857,141.89667,"January 23, 23",0.02857
2023-01-20,135.89,139.94,134.61,139.37,139.37,28688925,28688630,3.48,2.561,137.97333,"January 20, 23",0.02561
2023-01-19,132.49,137.45,132.14,136.15,136.15,28627626,28625232,3.66,2.762,135.24667,"January 19, 23",0.02762
2023-01-18,135.81,137.25,132.8,133.02,133.02,20217029,20215486,-2.79,-2.054,134.35667,"January 18, 23",-0.02054
2023-01-17,136.176,136.75,134.25,135.36,135.36,21148844,21147587,-0.816,-0.599,135.45333,"January 17, 23",-0.00599
2023-01-13,134.97,137.39,134.835,136.98,136.98,22424354,22423839,2.01,1.489,136.40167,"January 13, 23",0.01489
2023-01-12,133.44,137.6781,131.76,136.71,136.71,30760530,30757732,3.27,2.451,135.3827,"January 12, 23",0.02451
2023-01-11,130.96,133.8494,130.34,132.89,132.89,25424139,25423046,1.93,1.474,132.3598,"January 11, 23",0.01474
2023-01-10,127.27,133.44,127.15,132.99,132.99,28684947,28684431,5.72,4.494,131.19333,"January 10, 23",0.04494
2023-01-09,131.16,132.95,129.29,129.47,129.47,26315502,26313353,-1.69,-1.289,130.57,"January 09, 23",-0.01289
2023-01-06,128.97,130.33,126.04,130.02,130.02,27585334,27584498,1.05,0.814,128.79667,"January 06, 23",0.00814
2023-01-05,126.125,128.52,124.54,126.94,126.94,25447459,25447099,0.815,0.646,126.66667,"January 05, 23",0.00646
2023-01-04,127.38,129.0498,125.85,127.37,127.37,32399204,32397094,-0.01,-0.008,127.42327,"January 04, 23",-8e-05
2023-01-03,122.82,126.37,122.28,124.74,124.74,35530891,35528531,1.92,1.563,124.46333,"January 03, 23",0.01563
2022-12-30,118.16,120.42,117.74,120.34,120.34,19585173,19583825,2.18,1.845,119.5,"December 30, 22",0.01845
2022-12-29,116.4,121.03,115.77,120.26,120.26,22367302,22366192,3.86,3.316,119.02,"December 29, 22",0.03316
2022-12-28,116.25,118.15,115.51,115.62,115.62,19613943,19612473,-0.63,-0.542,116.42667,"December 28, 22",-0.00542
2022-12-27,117.93,118.6,116.0501,116.88,116.88,21394354,21392311,-1.05,-0.89,117.1767,"December 27, 22",-0.0089
2022-12-23,116.03,118.175,115.535,118.04,118.04,17797274,17796625,2.01,1.732,117.25,"December 23, 22",0.01732
2022-12-22,117.2,118.62,114.38,117.12,117.12,23618948,23618121,-0.08,-0.068,116.70667,"December 22, 22",-0.00068
2022-12-21,116.7,120.34,115.62,119.76,119.76,20393230,20392799,3.06,2.622,118.57333,"December 21, 22",0.02622
2022-12-20,113.26,117.33,112.46,117.09,117.09,28743308,28742501,3.83,3.382,115.62667,"December 20, 22",0.03382
2022-12-19,116.83,117.8,114.331,114.48,114.48,29529348,29527159,-2.35,-2.011,115.537,"December 19, 22",-0.02011
2022-12-16,120.23,123.31,118.8214,119.43,119.43,67015151,67013231,-0.8,-0.665,120.52047,"December 16, 22",-0.00665
2022-12-15,118.33,118.625,114.01,116.15,116.15,33878749,33876284,-2.18,-1.842,116.26167,"December 15, 22",-0.01842
2022-12-14,119.39,124.14,119.39,121.59,121.59,36924004,36922037,2.2,1.843,121.70667,"December 14, 22",0.01843
2022-12-13,122.13,123.3,118.65,120.15,120.15,44702793,44701054,-1.98,-1.621,120.7,"December 13, 22",-0.01621
2022-12-12,115.18,115.72,113.14,114.71,114.71,24748432,24747064,-0.47,-0.408,114.52333,"December 12, 22",-0.00408
2022-12-09,115.3,117.54,113.88,115.9,115.9,23966233,23966159,0.6,0.52,115.77333,"December 09, 22",0.0052
2022-12-08,116.39,117.34,114.6,115.33,115.33,30622192,30619418,-1.06,-0.911,115.75667,"December 08, 22",-0.00911
2022-12-07,113.76,115.88,112.88,113.93,113.93,29462416,29461137,0.17,0.149,114.23,"December 07, 22",0.00149
2022-12-06,119.91,120.49,113.74,114.12,114.12,43692518,43689183,-5.79,-4.829,116.11667,"December 06, 22",-0.04829
2022-12-05,121.75,124.67,121.35,122.43,122.43,35475394,35474884,0.68,0.559,122.81667,"December 05, 22",0.00559
2022-12-02,117.83,124.01,117.62,123.49,123.49,39812950,39811582,5.66,4.804,121.70667,"December 02, 22",0.04804
2022-12-01,119.198,121.2,118.41,120.44,120.44,35551142,35549741,1.242,1.042,120.01667,"December 01, 22",0.01042
2022-11-30,109.54,118.16,109.38,118.1,118.1,43351935,43348557,8.56,7.814,115.21333,"November 30, 22",0.07814
2022-11-29,109.54,110.94,108.545,109.46,109.46,23901352,23899238,-0.08,-0.073,109.64833,"November 29, 22",-0.00073
2022-11-28,110.78,112.03,108.38,108.78,108.78,23333665,23332816,-2,-1.805,109.73,"November 28, 22",-0.01805
2022-11-25,111.3,112.7288,111.02,111.41,111.41,11901349,11901157,0.11,0.099,111.7196,"November 25, 22",0.00099
2022-11-23,111.72,112.66,110.74,112.24,112.24,21345211,21343083,0.52,0.465,111.88,"November 23, 22",0.00465
2022-11-22,109.86,111.62,108.3216,111.44,111.44,28985488,28985456,1.58,1.438,110.46053,"November 22, 22",0.01438
2022-11-21,111.52,112.36,109.2,109.86,109.86,24313062,24311053,-1.66,-1.489,110.47333,"November 21, 22",-0.01489
2022-11-18,113.8,114.32,110.62,112.05,112.05,33360534,33357707,-1.75,-1.538,112.33,"November 18, 22",-0.01538
2022-11-17,110.41,112.3272,109.8,111.45,111.45,34997096,34995304,1.04,0.942,111.1924,"November 17, 22",0.00942
2022-11-16,114.5,116.075,112.6612,113.23,113.23,33288879,33287773,-1.27,-1.109,113.98873,"November 16, 22",-0.01109
2022-11-15,116.07,118.74,114.4116,117.08,117.08,49672014,49667517,1.01,0.87,116.74387,"November 15, 22",0.0087
2022-11-14,110.99,116.27,110.85,114.22,114.22,53301514,53299453,3.23,2.91,113.78,"November 14, 22",0.0291
2022-11-11,109.23,114.89,108.82,113.02,113.02,59832842,59828022,3.79,3.47,112.24333,"November 11, 22",0.0347
2022-11-10,107.12,112.75,104.61,111.87,111.87,78082620,78078444,4.75,4.434,109.74333,"November 10, 22",0.04434
2022-11-09,101.72,104.9,100.9,101.47,101.47,107683182,107677284,-0.25,-0.246,102.42333,"November 09, 22",-0.00246
2022-11-08,95.92,97.8,94.8,96.47,96.47,51405046,51401774,0.55,0.573,96.35667,"November 08, 22",0.00573
2022-11-07,94.78,96.88,93.1,96.72,96.72,80181445,80179209,1.94,2.047,95.56667,"November 07, 22",0.02047
2022-11-04,90.35,91.3899,88.09,90.79,90.79,52360128,52356576,0.44,0.487,90.08997,"November 04, 22",0.00487
2022-11-03,90.08,90.4576,88.42,88.91,88.91,60668029,60664012,-1.17,-1.299,89.26253,"November 03, 22",-0.01299
2022-11-02,94.205,95.2,90.485,90.54,90.54,71824662,71821058,-3.665,-3.89,92.075,"November 02, 22",-0.0389
2022-11-01,94.33,97.49,93.55,95.2,95.2,109485205,109483662,0.87,0.922,95.41333,"November 01, 22",0.00922
2022-10-31,98.22,99.32,92.6,93.16,93.16,119596891,119585311,-5.06,-5.152,95.02667,"October 31, 22",-0.05152
2022-10-28,99.58,100.85,97.51,99.2,99.2,95935606,95928306,-0.38,-0.382,99.18667,"October 28, 22",-0.00382
2022-10-27,97.975,102.5,96.38,97.94,97.94,232334278,232316571,-0.035,-0.036,98.94,"October 27, 22",-0.00036
2022-10-26,131.68,135.55,128.53,129.82,129.82,89301923,89294679,-1.86,-1.413,131.3,"October 26, 22",-0.01413
2022-10-25,130.875,138.35,130.63,137.51,137.51,38436312,38433219,6.635,5.07,135.49667,"October 25, 22",0.0507
2022-10-24,127.25,133.4699,124.57,129.72,129.72,63565752,63563447,2.47,1.941,129.2533,"October 24, 22",0.01941
2022-10-21,126.31,130.08,125.45,130.01,130.01,43922704,43918643,3.7,2.929,128.51333,"October 21, 22",0.02929
2022-10-20,132.93,136.77,131.31,131.53,131.53,24344999,24343392,-1.4,-1.053,133.20333,"October 20, 22",-0.01053
2022-10-19,132.89,137,132.23,133.23,133.23,30516111,30515678,0.34,0.256,134.15333,"October 19, 22",0.00256
2022-10-18,137.085,137.8399,131.4,132.8,132.8,25445664,25444979,-4.285,-3.126,134.0133,"October 18, 22",-0.03126
