date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-31,172.51,174.98,171.6,174.91,174.91,2011791,2011737,2.4,1.391,173.83,"January 31, 23",0.01391
2023-01-30,172.07,173.72,171.56,171.93,171.93,1378253,1378200,-0.14,-0.081,172.40333,"January 30, 23",-0.00081
2023-01-27,175.36,175.36,171.18,172.13,172.13,1621193,1621129,-3.23,-1.842,172.89,"January 27, 23",-0.01842
2023-01-26,172.45,175.99,170.395,175.66,175.66,2151701,2151491,3.21,1.861,174.015,"January 26, 23",0.01861
2023-01-25,171.9900055,173.8200073,170.6900024,173.2799988,173.2799988,1558500,1558500,1.28999,0.75,172.59667,"January 25, 23",0.0075
2023-01-24,173.8000031,174.2299957,171.6799927,173.4900055,172.9000092,1061800,1061800,-0.89999,-0.518,172.93667,"January 24, 23",-0.00518
2023-01-23,173.2599945,175.1199951,172.1799927,173.5099945,173.5099945,1410300,1410300,0.25,0.144,173.60333,"January 23, 23",0.00144
2023-01-20,169.93,173.235,168.67,173.12,173.12,1565564,1565553,3.19,1.877,171.675,"January 20, 23",0.01877
2023-01-19,168.22,170.56,167.76,169.6,169.6,2009968,2009900,1.38,0.82,169.30667,"January 19, 23",0.0082
2023-01-18,171.94,172.335,168.52,168.81,168.81,1176986,1176946,-3.13,-1.82,169.88833,"January 18, 23",-0.0182
2023-01-17,173.33,174.55,171.7,172.01,172.01,1278864,1278800,-1.32,-0.762,172.75333,"January 17, 23",-0.00762
2023-01-13,172.9,173.87,172.18,173.38,173.38,1061531,1061486,0.48,0.278,173.14333,"January 13, 23",0.00278
2023-01-12,175,175,172.51,174.16,174.16,1947013,1946900,-0.84,-0.48,173.89,"January 12, 23",-0.0048
2023-01-11,171.21,174.15,171.21,173.91,173.91,1641061,1641021,2.7,1.577,173.09,"January 11, 23",0.01577
2023-01-10,170.14,170.9499,168.89,170.39,170.39,831183,831103,0.25,0.147,170.07663,"January 10, 23",0.00147
2023-01-09,170.87,173.94,170.07,170.39,170.39,1371412,1371400,-0.48,-0.281,171.46667,"January 09, 23",-0.00281
2023-01-06,168.08,171.6,167.0192,170.96,170.96,1322063,1321932,2.88,1.713,169.85973,"January 06, 23",0.01713
2023-01-05,168.59,169,165.89,166.14,166.14,1323344,1323322,-2.45,-1.453,167.01,"January 05, 23",-0.01453
2023-01-04,167.46,169.9,165.88,169.21,169.21,1729298,1729195,1.75,1.045,168.33,"January 04, 23",0.01045
2023-01-03,166.31,167.13,164.55,165.98,165.98,1589384,1589341,-0.33,-0.198,165.88667,"January 03, 23",-0.00198
2022-12-30,165.6,165.99,163.66,165.48,165.48,808134,808061,-0.12,-0.072,165.04333,"December 30, 22",-0.00072
2022-12-29,165.52,167.35,164.92,166.78,166.78,816866,816800,1.26,0.761,166.35,"December 29, 22",0.00761
2022-12-28,166.98,167.57,164.54,164.6,164.6,772281,772215,-2.38,-1.425,165.57,"December 28, 22",-0.01425
2022-12-27,165.64,167.04,165.2301,166.44,166.44,785450,785438,0.8,0.483,166.2367,"December 27, 22",0.00483
