date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,94.13,96.28,93.88,96.24,96.24,10774024,10774024,2.11,2.242,95.46667,"January 20, 23",0.02242
2023-01-19,94.61,94.98,92.94,94.15,94.15,13457068,13457068,-0.46,-0.486,94.02333,"January 19, 23",-0.00486
2023-01-18,96.8,97.95,96.335,96.58,96.58,14134894,14134894,-0.22,-0.227,96.955,"January 18, 23",-0.00227
2023-01-17,95.9,99.1,95,97.08,97.08,27916266,27916266,1.18,1.23,97.06,"January 17, 23",0.0123
2023-01-13,89.03,91.98,88.27,91.66,91.66,8414818,8414818,2.63,2.954,90.63667,"January 13, 23",0.02954
2023-01-12,90.02,91.81,89.35,90.53,90.53,7895883,7895883,0.51,0.567,90.56333,"January 12, 23",0.00567
2023-01-11,89.37,89.81,88.85,89.43,89.43,6122911,6122911,0.06,0.067,89.36333,"January 11, 23",0.00067
2023-01-10,87.55,88.93,86.84,88.92,88.92,4536677,4536677,1.37,1.565,88.23,"January 10, 23",0.01565
2023-01-09,88.245,88.9125,87.41,87.64,87.64,5039767,5039767,-0.605,-0.686,87.9875,"January 09, 23",-0.00686
2023-01-06,86.44,87.96,85.71,87.56,87.56,5711391,5711391,1.12,1.296,87.07667,"January 06, 23",0.01296
2023-01-05,85.9,86.1674,84.83,85.92,85.92,5340126,5340126,0.02,0.023,85.63913,"January 05, 23",0.00023
2023-01-04,85.55,87.35,85.175,86.65,86.65,7726929,7726929,1.1,1.286,86.39167,"January 04, 23",0.01286
2023-01-03,85.635,86.6,84.98,85.72,85.72,5108900,5108900,0.085,0.099,85.76667,"January 03, 23",0.00099
2022-12-30,84.695,85.2033,84.175,85.02,85.02,4455779,4455779,0.325,0.384,84.79943,"December 30, 22",0.00384
2022-12-29,84.96,85.5869,84.56,85.24,85.24,3461964,3461964,0.28,0.33,85.12897,"December 29, 22",0.0033
2022-12-28,84.96,85.21,84.06,84.46,84.46,3715234,3715234,-0.5,-0.589,84.57667,"December 28, 22",-0.00589
2022-12-27,86.36,86.36,84.94,85.06,85.06,7064864,7064864,-1.3,-1.505,85.45333,"December 27, 22",-0.01505
2022-12-23,86.33,86.58,85.35,86.11,86.11,3316151,3316151,-0.22,-0.255,86.01333,"December 23, 22",-0.00255
2022-12-22,86.58,86.58,84.77,86.37,86.37,5635368,5635368,-0.21,-0.243,85.90667,"December 22, 22",-0.00243
2022-12-21,86.41,87.815,86.35,86.87,86.87,5423032,5423032,0.46,0.532,87.01167,"December 21, 22",0.00532
2022-12-20,85.92,86.452,85.135,85.16,85.16,5207242,5207242,-0.76,-0.885,85.58233,"December 20, 22",-0.00885
2022-12-19,86.74,87.04,84.955,85.55,85.55,5130073,5130073,-1.19,-1.372,85.84833,"December 19, 22",-0.01372
2022-12-16,86.53,86.87,85.83,86.86,86.86,17263112,17263112,0.33,0.381,86.52,"December 16, 22",0.00381
2022-12-15,89.15,89.19,86.92,87.79,87.79,8796342,8796342,-1.36,-1.526,87.96667,"December 15, 22",-0.01526
2022-12-14,92.51,92.68,89.87,90.5,90.5,7705079,7705079,-2.01,-2.173,91.01667,"December 14, 22",-0.02173
2022-12-13,93.66,95.16,92.07,92.71,92.71,10330795,10330795,-0.95,-1.014,93.31333,"December 13, 22",-0.01014
2022-12-12,89.01,91.325,88.28,91.12,91.12,7496583,7496583,2.11,2.371,90.24167,"December 12, 22",0.02371
2022-12-09,88.68,89.76,88.37,89.47,89.47,6488912,6488912,0.79,0.891,89.2,"December 09, 22",0.00891
2022-12-08,87.675,88.7898,87,88.69,88.69,6141614,6141614,1.015,1.158,88.15993,"December 08, 22",0.01158
2022-12-07,86.82,88.03,86.71,87.28,87.28,7067469,7067469,0.46,0.53,87.34,"December 07, 22",0.0053
2022-12-06,89.62,89.76,86.41,87.51,87.51,10425529,10425529,-2.11,-2.354,87.89333,"December 06, 22",-0.02354
2022-12-05,91.48,91.72,89.085,89.81,89.81,8272732,8272732,-1.67,-1.826,90.205,"December 05, 22",-0.01826
2022-12-02,91.86,92.66,91.51,92.1,92.1,5198182,5198182,0.24,0.261,92.09,"December 02, 22",0.00261
2022-12-01,93.06,93.49,92.04,93,93,7311221,7311221,-0.06,-0.064,92.84333,"December 01, 22",-0.00064
2022-11-30,91.28,93.25,89.13,93.07,93.07,10520669,10520669,1.79,1.961,91.81667,"November 30, 22",0.01961
2022-11-29,89.64,91.4696,89.6,91.08,91.08,5307378,5307378,1.44,1.606,90.71653,"November 29, 22",0.01606
2022-11-28,90.2,91.1,89.7,89.89,89.89,6148347,6148347,-0.31,-0.344,90.23,"November 28, 22",-0.00344
2022-11-25,89.65,91.0799,89.47,90.91,90.91,2450297,2450297,1.26,1.405,90.48663,"November 25, 22",0.01405
2022-11-23,89.72,90.45,89.67,89.93,89.93,4961664,4961664,0.21,0.234,90.01667,"November 23, 22",0.00234
2022-11-22,89.59,90.19,89.3,89.67,89.67,3804274,3804274,0.08,0.089,89.72,"November 22, 22",0.00089
2022-11-21,89.06,89.68,88.57,89.08,89.08,4667357,4667357,0.02,0.022,89.11,"November 21, 22",0.00022
2022-11-18,90.27,90.37,88.59,89.2,89.2,5450820,5450820,-1.07,-1.185,89.38667,"November 18, 22",-0.01185
2022-11-17,88.69,89.12,87.51,88.95,88.95,4968045,4968045,0.26,0.293,88.52667,"November 17, 22",0.00293
2022-11-16,90.47,90.47,89.06,89.82,89.82,4368864,4368864,-0.65,-0.718,89.78333,"November 16, 22",-0.00718
2022-11-15,91.07,91.8593,89.36,90.5,90.5,7336700,7336700,-0.57,-0.626,90.5731,"November 15, 22",-0.00626
2022-11-14,90.27,91.36,89.7858,89.81,89.81,4873682,4873682,-0.46,-0.51,90.3186,"November 14, 22",-0.0051
2022-11-11,89,91.6914,89,90.78,90.78,9119848,9119848,1.78,2,90.49047,"November 11, 22",0.02
2022-11-10,86.69,88.98,86.52,88.8,88.8,10014772,10014772,2.11,2.434,88.1,"November 10, 22",0.02434
2022-11-09,84.88,85.34,83.19,83.45,83.45,5200972,5200972,-1.43,-1.685,83.99333,"November 09, 22",-0.01685
2022-11-08,85.61,86.23,84.5068,85.28,85.28,4850694,4850694,-0.33,-0.385,85.33893,"November 08, 22",-0.00385
2022-11-07,85.52,86.13,85.11,85.57,85.57,4599628,4599628,0.05,0.058,85.60333,"November 07, 22",0.00058
2022-11-04,85.15,85.75,84,84.85,84.85,6930588,6930588,-0.3,-0.352,84.86667,"November 04, 22",-0.00352
2022-11-03,83.06,84.625,82.55,83.62,83.62,6447650,6447650,0.56,0.674,83.59833,"November 03, 22",0.00674
2022-11-02,83.45,86.72,83.42,84.37,84.37,10909429,10909429,0.92,1.102,84.83667,"November 02, 22",0.01102
2022-11-01,83.25,83.97,82.985,83.72,83.72,8195780,8195780,0.47,0.565,83.55833,"November 01, 22",0.00565
2022-10-31,81.77,83.36,81.695,82.17,82.17,9087830,9087830,0.4,0.489,82.40833,"October 31, 22",0.00489
2022-10-28,80.2699966,82.3000031,79.5100021,82.2200012,82.2200012,7815300,7815300,1.95,2.429,81.34334,"October 28, 22",0.02429
2022-10-27,82,82.4800034,80.5999985,80.6900024,79.9150009,6466400,6466400,-2.085,-2.543,80.99833,"October 27, 22",-0.02543
2022-10-26,80.5999985,82.0500031,80.5800018,80.9100037,80.1328964,7733400,7733400,-0.4671,-0.58,80.92097,"October 26, 22",-0.0058
2022-10-25,78.6100006,80.6699982,78.6100006,80.5100021,79.7367325,8173600,8173600,1.12673,1.433,79.67224,"October 25, 22",0.01433
2022-10-24,79.5299988,81.0999985,78.5699997,79.4300003,78.6671066,8143300,8143300,-0.86289,-1.085,79.4457,"October 24, 22",-0.01085
2022-10-21,76.6100006,79.5299988,76.2200012,79.2200012,78.4591217,8147700,8147700,1.84912,2.414,78.06971,"October 21, 22",0.02414
2022-10-20,77.6299973,78.5400009,76.1399994,76.5999985,75.8642807,7638100,7638100,-1.76572,-2.275,76.84809,"October 20, 22",-0.02275
2022-10-19,79.1500015,79.5899963,77.3700027,77.6399994,76.8942947,7429600,7429600,-2.25571,-2.85,77.95143,"October 19, 22",-0.0285
2022-10-18,79.8000031,80.5899963,78.3799973,79.4400024,78.6770096,9767800,9767800,-1.12299,-1.407,79.21567,"October 18, 22",-0.01407
2022-10-17,76.8099976,78.2399979,76.3300018,77.1399994,76.3991013,11412400,11412400,-0.4109,-0.535,76.9897,"October 17, 22",-0.00535
2022-10-14,77.2300034,79.0599976,74.8300018,75.3000031,74.5767746,13658500,13658500,-2.65323,-3.435,76.15559,"October 14, 22",-0.03435
2022-10-13,74.9800034,79.6600037,74.6699982,79.3199997,78.5581589,11811500,11811500,3.57816,4.772,77.62939,"October 13, 22",0.04772
2022-10-12,76.9899979,77.8000031,76.3300018,76.5999985,75.8642807,6411600,6411600,-1.12572,-1.462,76.66476,"October 12, 22",-0.01462
2022-10-11,77.9199982,78.4100037,76.5400009,77,76.2604446,6271100,6271100,-1.65955,-2.13,77.07015,"October 11, 22",-0.0213
2022-10-10,79.4400024,79.7200012,77.8199997,78.4100037,77.6569061,5418000,5418000,-1.7831,-2.245,78.39897,"October 10, 22",-0.02245
2022-10-07,80.6999969,80.7900009,78.3799973,78.9300003,78.1719055,7179900,7179900,-2.52809,-3.133,79.11397,"October 07, 22",-0.03133
2022-10-06,82.4499969,83.1900024,81.1299973,81.3099976,80.5290451,6434800,6434800,-1.92095,-2.33,81.61635,"October 06, 22",-0.0233
2022-10-05,82.0299988,83.5899963,81.3799973,83.1100006,82.3117599,5956500,5956500,0.28176,0.343,82.42725,"October 05, 22",0.00343
2022-10-04,82.1999969,84.7399979,81.8000031,83.9700012,83.1634979,7875000,7875000,0.9635,1.172,83.2345,"October 04, 22",0.01172
2022-10-03,80.0500031,80.9800034,78.3199997,80.3799973,79.6079788,8169200,8169200,-0.44202,-0.552,79.63599,"October 03, 22",-0.00552
2022-09-30,79.7699966,81.1600037,78.8600006,79.0100021,78.2511368,8090300,8090300,-1.51886,-1.904,79.42371,"September 30, 22",-0.01904
2022-09-29,80.8,81.03,79.03,79.093,79.093,5893048,5893048,-0.94,-1.163,79.97333,"September 29, 22",-0.01163
2022-09-28,79.7600021,81.8899994,79.6900024,81.4700012,80.6875153,6693500,6693500,0.92751,1.163,80.75584,"September 28, 22",0.01163
2022-09-27,80.6999969,80.8499985,78.3499985,79.4800034,78.716629,6855400,6855400,-1.98337,-2.458,79.30554,"September 27, 22",-0.02458
2022-09-26,80.9199982,81.6600037,79.0100021,79.7600021,78.9939346,8496000,8496000,-1.92606,-2.38,79.88798,"September 26, 22",-0.0238
2022-09-23,83.2799988,83.6900024,80.2200012,81.5100021,80.7271271,9989600,9989600,-2.55287,-3.065,81.54571,"September 23, 22",-0.03065
2022-09-22,86.9100037,87.25,84.2699966,84.7699966,83.9558105,8376300,8376300,-2.95419,-3.399,85.1586,"September 22, 22",-0.03399
2022-09-21,87.9000015,89.1500015,86.3499985,86.3600006,85.5305481,9707800,9707800,-2.36945,-2.696,87.01018,"September 21, 22",-0.02696
2022-09-20,88.0999985,88.4499969,86.3700027,87.1900024,86.3525772,8092300,8092300,-1.74742,-1.983,87.05753,"September 20, 22",-0.01983
2022-09-19,86.1200027,89.0199966,86.0800018,88.7200012,87.8678818,6011500,6011500,1.74788,2.03,87.65596,"September 19, 22",0.0203
2022-09-16,87.4000015,87.6999969,85.5800018,87.4300003,86.590271,20988900,20988900,-0.80973,-0.926,86.62342,"September 16, 22",-0.00926
2022-09-15,87.3399963,89.4599991,87.25,88.2600021,87.4123001,8883100,8883100,0.0723,0.083,88.04077,"September 15, 22",0.00083
2022-09-14,87.5400009,88.1100006,86.1299973,87.1800003,86.3426666,8341100,8341100,-1.19733,-1.368,86.86089,"September 14, 22",-0.01368
2022-09-13,88.0100021,88.6800003,86.8000031,87.0500031,86.2139206,7890700,7890700,-1.79608,-2.041,87.23131,"September 13, 22",-0.02041
2022-09-12,90,91.0400009,89.8499985,90.1500015,89.2841415,8030800,8030800,-0.71586,-0.795,90.05805,"September 12, 22",-0.00795
2022-09-09,89.2200012,89.8199997,88.8000031,89.4599991,88.600769,5976200,5976200,-0.61923,-0.694,89.07359,"September 09, 22",-0.00694
2022-09-08,86.5299988,88.4899979,86,88.4400024,87.5905685,8446700,8446700,1.06057,1.226,87.36019,"September 08, 22",0.01226
2022-09-07,84.3700027,87.2600021,84.3700027,86.8600006,86.0257416,7592700,7592700,1.65574,1.962,85.88525,"September 07, 22",0.01962
2022-09-06,86.75,86.8399963,83.1600037,85.1299973,84.312355,10689300,10689300,-2.43764,-2.81,84.77079,"September 06, 22",-0.0281
2022-09-02,87.3600006,89.0299988,85.7200012,86.4000015,85.5701599,9972300,9972300,-1.78984,-2.049,86.77339,"September 02, 22",-0.02049
2022-09-01,84.6699982,86.2099991,83.3899994,86.1699982,85.3423691,7830800,7830800,0.67237,0.794,84.98079,"September 01, 22",0.00794
2022-08-31,84.6100006,85.9400024,84.0599976,85.2200012,84.4014969,9223100,9223100,-0.2085,-0.246,84.8005,"August 31, 22",-0.00246
2022-08-30,86.1399994,86.2300034,84.2099991,84.4300003,83.6190796,8849400,8849400,-2.52092,-2.927,84.68636,"August 30, 22",-0.02927
