date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-30,244.51,245.59,242.2,242.71,242.71,25713976,25711835,-1.8,-0.736,243.5,"January 30, 23",-0.00736
2023-01-27,248.99,249.83,246.83,248.16,248.16,26501027,26498939,-0.83,-0.333,248.27333,"January 27, 23",-0.00333
2023-01-26,243.65,248.31,242,248,248,33457163,33454491,4.35,1.785,246.10333,"January 26, 23",0.01785
2023-01-25,234.48,243.3,230.9,240.61,240.61,66531166,66526641,6.13,2.614,238.27,"January 25, 23",0.02614
2023-01-24,242.5,243.95,240.44,242.04,242.04,40234604,40234444,-0.46,-0.19,242.14333,"January 24, 23",-0.0019
2023-01-23,241.1,245.165,239.65,242.58,242.58,31934965,31933951,1.48,0.614,242.465,"January 23, 23",0.00614
2023-01-20,234.855,240.74,234.51,240.22,240.22,35392010,35389809,5.365,2.284,238.49,"January 20, 23",0.02284
2023-01-19,233.78,235.52,230.68,231.93,231.93,28623153,28623033,-1.85,-0.791,232.71,"January 19, 23",-0.00791
2023-01-18,241.565,242.38,235.52,235.81,235.81,30030589,30028692,-5.755,-2.382,237.90333,"January 18, 23",-0.02382
2023-01-17,237.97,240.91,237.09,240.35,240.35,29833625,29831257,2.38,1,239.45,"January 17, 23",0.01
2023-01-13,237.002,239.37,234.92,239.23,239.23,21334056,21333265,2.228,0.94,237.84,"January 13, 23",0.0094
2023-01-12,235.26,239.9,233.56,238.51,238.51,27271577,27269486,3.25,1.381,237.32333,"January 12, 23",0.01381
2023-01-11,231.29,235.95,231.11,235.77,235.77,28671932,28669331,4.48,1.937,234.27667,"January 11, 23",0.01937
2023-01-10,227.755,231.31,227.33,228.85,228.85,27034689,27033881,1.095,0.481,229.16333,"January 10, 23",0.00481
2023-01-09,226.45,231.2366,226.41,227.12,227.12,27370200,27369784,0.67,0.296,228.25553,"January 09, 23",0.00296
2023-01-06,223,225.7601,219.35,224.93,224.93,43613915,43613574,1.93,0.865,223.3467,"January 06, 23",0.00865
2023-01-05,227.2,227.55,221.7602,222.31,222.31,39586923,39585623,-4.89,-2.152,223.8734,"January 05, 23",-0.02152
2023-01-04,232.275,232.87,225.96,229.1,229.1,50627692,50623394,-3.175,-1.367,229.31,"January 04, 23",-0.01367
2023-01-03,243.08,245.75,237.4,239.58,239.58,25695316,25693700,-3.5,-1.44,240.91,"January 03, 23",-0.0144
