date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,76.225,76.225,75.19,75.58,75.580002,5586926,4506469,-0.645,-0.84618,75.6,"May 09, 23",-0.0084618
2023-05-08,75.53,76.685,75.28,76.06,76.059998,6751748,6751700,0.53,0.70171,76.08,"May 08, 23",0.0070171
2023-05-05,75.61,76.57,75.185,75.51,75.510002,6215614,6215500,-0.1,-0.13226,75.61,"May 05, 23",-0.0013226
2023-05-04,75.38,75.67,74.56,75.51,75.510002,6042464,6042300,0.13,0.17246,75.37,"May 04, 23",0.0017246
2023-05-03,76.26,76.56,75.27,75.39,75.389999,6265933,6265900,-0.87,-1.14,75.77,"May 03, 23",-0.0114
2023-05-02,76.66,77.02,75.51,75.94,75.940002,7674164,7674200,-0.72,-0.93921,76.08,"May 02, 23",-0.0093921
2023-05-01,76.47,77.375,76.359,76.8,76.800003,5214783,5214700,0.33,0.43154,76.91,"May 01, 23",0.0043154
2023-04-28,75.41,76.7,75.41,76.63,76.629997,10005852,10005800,1.22,1.62,76.46,"April 28, 23",0.0162
2023-04-27,74.31,76.52,73.91,75.85,75.849998,8155578,8155600,1.54,2.07,75.82,"April 27, 23",0.0207
2023-04-26,76.78,76.95,74.03,74.07,74.07,12656655,12656700,-2.71,-3.53,74.66,"April 26, 23",-0.0353
2023-04-25,77.73,79.1,77.5,77.82,77.82,8399806,8399800,0.09,0.11579,78.08,"April 25, 23",0.0011579
2023-04-24,78.51,79.25,78.5,79.04,79.040001,5725790,5725800,0.53,0.67507,78.97,"April 24, 23",0.0067507
2023-04-21,79.44,79.775,78.56,78.99,78.989998,5192615,5192600,-0.45,-0.56647,79.04,"April 21, 23",-0.0056647
2023-04-20,78.72,79.1,78.2273,78.75,78.75,4350401,4350400,0.03,0.03810976,78.62,"April 20, 23",0.0003810976
2023-04-19,78.31,79.165,78.29,78.94,78.940002,3813305,3813300,0.63,0.80449,78.87,"April 19, 23",0.0080449
2023-04-18,78.73,79.065,77.945,78.3,78.300003,8147618,8147500,-0.43,-0.54617,78.25,"April 18, 23",-0.0054617
2023-04-17,78.18,78.55,77.79,78.54,78.540001,4393358,4393300,0.36,0.46048,78.35,"April 17, 23",0.0046048
2023-04-14,78.39,78.475,77.56,78.02,78.019997,4920866,4909900,-0.37,-0.472,77.95,"April 14, 23",-0.00472
2023-04-13,78.42,79.115,77.48,78.85,78.849998,4928608,4928600,0.43,0.54833,78.56,"April 13, 23",0.0054833
2023-04-12,78.69,79.44,78.255,78.59,78.589996,6786576,6786400,-0.1,-0.12708,78.75,"April 12, 23",-0.0012708
2023-04-11,78.39,78.605,77.9,78.34,78.339996,6019632,6019600,-0.05,-0.06378365,78.34,"April 11, 23",-0.0006378365
2023-04-10,78.35,78.5,77.31,78.43,78.43,5647541,5647500,0.08,0.10211,78.16,"April 10, 23",0.0010211
2023-04-06,78.8,79,77.96,78.97,78.970001,5427720,5427700,0.17,0.21574,78.63,"April 06, 23",0.0021574
2023-04-05,77.9,78.95,77.735,78.33,78.330002,8200436,8200400,0.43,0.55199,78.36,"April 05, 23",0.0055199
2023-04-04,76.85,77.685,76.43,77.16,77.160004,6165648,6165600,0.31,0.40338,77.16,"April 04, 23",0.0040338
2023-04-03,77.05,77.05,75.8,76.67,76.669998,5778653,5778700,-0.38,-0.49319,76.6,"April 03, 23",-0.0049319
2023-03-31,76.765,77.12,75.98,77.08,77.080002,10124428,10124000,0.315,0.41034,76.72,"March 31, 23",0.0041034
2023-03-30,76.365,77.02,76.17,76.59,76.589996,6187023,6187000,0.225,0.29464,76.56,"March 30, 23",0.0029464
2023-03-29,75.47,76.31,75.47,76.11,76.110001,5680646,5680500,0.64,0.84802,76.06,"March 29, 23",0.0084802
2023-03-28,75.5,76.25,74.82,75.24,75.239998,5935605,5935500,-0.26,-0.34437,75.41,"March 28, 23",-0.0034437
2023-03-27,75.87,76.0599,74.95,75.44,75.440002,5516054,5515900,-0.43,-0.56676,75.55,"March 27, 23",-0.0056676
2023-03-24,73.99,75.75,73.71,75.69,75.690002,5294109,5293900,1.7,2.3,75.12,"March 24, 23",0.023
2023-03-23,73.77,75.72,73.37,73.81,73.809998,7541396,7541200,0.04,0.05422258,74.37,"March 23, 23",0.0005422258
2023-03-22,75.31,75.98,74.09,74.13,74.129997,7038158,7038000,-1.18,-1.57,74.79,"March 22, 23",-0.0157
2023-03-21,76.345,76.345,74.27,75.36,75.360001,6222390,6222300,-0.985,-1.29,75.27,"March 21, 23",-0.0129
2023-03-20,75.6,77,75.31,75.97,75.970001,7140296,7140100,0.37,0.48942,75.79,"March 20, 23",0.0048942
2023-03-17,76.29,76.29,74.7393,75.67,75.669998,14137395,14131700,-0.62,-0.81269,75.65,"March 17, 23",-0.0081269
2023-03-16,75.66,76.51,74.83,76.23,76.230003,8896527,8895800,0.57,0.75337,75.97,"March 16, 23",0.0075337
2023-03-15,74.45,75.845,73.9271,75.52,75.519997,12030326,12030300,1.07,1.44,75.06,"March 15, 23",0.0144
2023-03-14,73.99,74.85,73.43,74.55,74.550003,8635793,8635800,0.56,0.75686,74.28,"March 14, 23",0.0075686
2023-03-13,73.06,75.18,73,73.29,73.290001,8388885,8388800,0.23,0.31481,74.04,"March 13, 23",0.0031481
2023-03-10,73.99,74.27,72.37,73.01,73.010002,10167054,10166700,-0.98,-1.32,73.11,"March 10, 23",-0.0132
2023-03-09,74.5,74.99,73.385,73.76,73.760002,7678060,7678100,-0.74,-0.99329,74.23,"March 09, 23",-0.0099329
2023-03-08,73.38,74.38,73.04,74.25,74.25,5913550,5913600,0.87,1.19,74,"March 08, 23",0.0119
2023-03-07,73.94,74.49,73.02,73.75,73.75,7308906,7308900,-0.19,-0.25697,73.57,"March 07, 23",-0.0025697
2023-03-06,73.54,74.6,73.41,74.4,74.400002,6888875,6888900,0.86,1.17,74.32,"March 06, 23",0.0117
2023-03-03,72.89,73.87,72.18,73.83,73.830002,10724778,10724300,0.94,1.29,73.34,"March 03, 23",0.0129
2023-03-02,70.36,72.22,70.12,72.21,72.209999,15671195,16066500,1.85,2.63,71.39,"March 02, 23",0.0263
2023-03-01,70.86,71.035,69.64,69.87,69.870003,11809198,11809200,-0.99,-1.4,70.04,"March 01, 23",-0.014
2023-02-28,71.7,71.85,70.8,71.03,71.029999,11276725,11276700,-0.67,-0.93445,71.21,"February 28, 23",-0.0093445
