date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,125.27,125.66,124.17,125.1,125.099998,4081508,4079894,-0.17,-0.13571,125,"May 09, 23",-0.0013571
2023-05-08,127.26,127.69,125.975,126.88,126.879997,3892645,3892600,-0.38,-0.2986,126.79,"May 08, 23",-0.002986
2023-05-05,125.93,127.0283,125.22,126.59,126.589996,4887759,4887500,0.66,0.5241,126.33,"May 05, 23",0.005241
2023-05-04,124.94,125.185,122.82,123.67,123.669998,6177127,6177100,-1.27,-1.02,123.83,"May 04, 23",-0.0102
2023-05-03,125.49,128.38,123.67,126.74,126.739998,4560081,4560100,1.25,0.9961,126.42,"May 03, 23",0.009961
2023-05-02,127.15,127.58,125.165,127.26,127.260002,3831644,3831600,0.11,0.08651199,126.88,"May 02, 23",0.0008651199
2023-05-01,126.92,128.68,126.86,127.92,127.919998,4112782,4112600,1,0.7879,127.95,"May 01, 23",0.007879
2023-04-28,125.15,127.07,124.96,126.72,126.720001,4421419,4420700,1.57,1.25,126.36,"April 28, 23",0.0125
2023-04-27,124.44,126.01,123.14,125.7,125.699997,4252135,4252100,1.26,1.01,124.84,"April 27, 23",0.0101
2023-04-26,124.21,124.98,123.29,123.84,123.839996,4003190,4003200,-0.37,-0.29788,124.01,"April 26, 23",-0.0029788
2023-04-25,126.53,126.77,124.05,124.66,124.660004,4383342,4383300,-1.87,-1.48,124.99,"April 25, 23",-0.0148
2023-04-24,125.51,127.13,125.145,127.09,127.089996,3790923,3790900,1.58,1.26,126.24,"April 24, 23",0.0126
2023-04-21,124.4,125.68,123.62,125.53,125.529999,3651389,3651000,1.13,0.90836,124.94,"April 21, 23",0.0090836
2023-04-20,124.8,125.3513,123.7085,124.45,124.449997,3891706,3891600,-0.35,-0.28045,124.55,"April 20, 23",-0.0028045
2023-04-19,126,126.075,124.92,125.67,125.669998,3547598,3547400,-0.33,-0.2619,125.67,"April 19, 23",-0.002619
2023-04-18,127.23,127.28,125.015,126.21,126.209999,3857914,3857700,-1.02,-0.8017,126.16,"April 18, 23",-0.008017
2023-04-17,126.03,126.48,125.13,126.19,126.190002,3917912,3917900,0.16,0.12695,125.86,"April 17, 23",0.0012695
2023-04-14,127,127.49,125.49,125.95,125.949997,4828882,4828700,-1.05,-0.82677,126.19,"April 14, 23",-0.0082677
2023-04-13,124.64,126.6714,124.46,126.43,126.43,5355297,5355300,1.79,1.44,125.95,"April 13, 23",0.0144
2023-04-12,124.76,124.8625,123.221,123.66,123.660004,4525132,4524900,-1.1,-0.88169,123.93,"April 12, 23",-0.0088169
2023-04-11,122.04,124.08,122.04,123.3,123.300003,4470956,4471000,1.26,1.03,123.22,"April 11, 23",0.0103
2023-04-10,119.3,121.91,119.13,121.91,121.910004,3731236,3731200,2.61,2.19,121.21,"April 10, 23",0.0219
2023-04-06,119.51,120.49,117.85,120.22,120.220001,4256901,4256900,0.71,0.59409,119.65,"April 06, 23",0.0059409
2023-04-05,123,123.33,120.56,120.9,120.900002,4331407,4331400,-2.1,-1.71,121.23,"April 05, 23",-0.0171
2023-04-04,121.38,123.945,121.36,123.69,123.690002,5895258,5895300,2.31,1.9,123.19,"April 04, 23",0.019
2023-04-03,122.5,122.85,120.82,121.67,121.669998,4838399,4838400,-0.83,-0.67755,121.64,"April 03, 23",-0.0067755
2023-03-31,120.92,122.71,120.6,122.64,122.639999,5659422,5658600,1.72,1.42,122.05,"March 31, 23",0.0142
2023-03-30,121.03,121.44,119.335,120.1,120.099998,4578912,4578900,-0.93,-0.7684,120.25,"March 30, 23",-0.007684
2023-03-29,118.64,120.57,118.49,120.49,120.489998,5644018,5644000,1.85,1.56,119.84,"March 29, 23",0.0156
2023-03-28,117.95,118.44,116.85,117.87,117.870003,4461446,4461400,-0.08,-0.06782535,117.59,"March 28, 23",-0.0006782535
2023-03-27,121.02,121.07,117.61,117.81,117.809998,6564242,6564200,-3.21,-2.65,118.39,"March 27, 23",-0.0265
2023-03-24,120.23,121,119.315,120.71,120.709999,6163391,6158800,0.48,0.39923,120.16,"March 24, 23",0.0039923
2023-03-23,120.47,123.27,119.465,120.97,120.970001,7628073,7628100,0.5,0.41504,121.31,"March 23, 23",0.0041504
2023-03-22,123.66,125.26,119.33,119.5,119.5,17625504,17625500,-4.16,-3.36,122.55,"March 22, 23",-0.0336
2023-03-21,123.5,126.06,122.97,125.61,125.610001,15078777,15078800,2.11,1.71,124.91,"March 21, 23",0.0171
2023-03-20,120.99,122.68,119.81,121.2,121.199997,7594101,7594100,0.21,0.17357,121.09,"March 20, 23",0.0017357
2023-03-17,121.17,121.73,118.67,120.39,120.389999,12868912,12863200,-0.78,-0.64372,120.26,"March 17, 23",-0.0064372
2023-03-16,116.86,120.81,116.6101,120.65,120.650002,5644022,5658700,3.79,3.24,119.92,"March 16, 23",0.0324
2023-03-15,116.32,118.625,115.81,118.17,118.169998,6599249,6599200,1.85,1.59,117.47,"March 15, 23",0.0159
2023-03-14,119,119.49,117.23,119,119,6050822,6050800,0,0,118.74,"March 14, 23",0
2023-03-13,115.82,118.29,115.79,116.86,116.860001,6038216,6038200,1.04,0.89795,117.18,"March 13, 23",0.0089795
2023-03-10,118.83,118.99,116.64,117.49,117.489998,5979635,5978400,-1.34,-1.13,117.75,"March 10, 23",-0.0113
2023-03-09,120.08,121.86,117.55,117.87,117.870003,5635879,5635900,-2.21,-1.84,119.61,"March 09, 23",-0.0184
2023-03-08,119.27,120.04,118.73,119.86,119.860001,4175226,4175200,0.59,0.49468,119.48,"March 08, 23",0.0049468
2023-03-07,120.2,121.02,119.23,119.59,119.589996,5345746,5345700,-0.61,-0.50749,119.85,"March 07, 23",-0.0050749
2023-03-06,121.13,121.99,119.955,120.17,120.169998,5033814,5183800,-0.96,-0.79254,120.73,"March 06, 23",-0.0079254
2023-03-03,120.13,121.04,119.02,120.94,120.940002,3871822,3869700,0.81,0.67427,120.51,"March 03, 23",0.0067427
2023-03-02,117.55,119.96,117.55,119.58,119.240005,4443207,4443200,2.03,1.73,119.14,"March 02, 23",0.0173
2023-03-01,117.95,119.79,117.83,118.58,118.242851,4120488,4120500,0.63,0.53412,118.66,"March 01, 23",0.0053412
2023-02-28,118.74,120.4,117.845,118.79,118.452248,8414063,8414100,0.05,0.04210881,119.05,"February 28, 23",0.0004210881
2023-02-27,119.26,119.82,118.32,118.53,118.192986,4240017,4239800,-0.73,-0.61211,118.83,"February 27, 23",-0.0061211
2023-02-24,117.97,118.74,117.34,118.04,117.704384,4693002,4693000,0.07,0.05933712,118.06,"February 24, 23",0.0005933712
2023-02-23,120.76,120.76,118.55,119.96,119.618919,4101920,4101900,-0.8,-0.66247,119.62,"February 23, 23",-0.0066247
2023-02-22,121.1,121.395,119.6375,119.9,119.559097,5021991,5022000,-1.2,-0.99092,120.37,"February 22, 23",-0.0099092
2023-02-21,123.28,124,120.98,121.1,120.755676,5110256,5110300,-2.18,-1.77,121.82,"February 21, 23",-0.0177
2023-02-17,123.71,124.89,123.435,124.84,124.485046,5161724,5161500,1.13,0.91343,124.39,"February 17, 23",0.0091343
2023-02-16,125.43,127.21,124.1101,124.38,124.026352,4722184,4722200,-1.05,-0.83712,125.43,"February 16, 23",-0.0083712
2023-02-15,124.9,127.5,124.9,127.48,127.117546,5689700,5687900,2.58,2.07,126.7,"February 15, 23",0.0207
2023-02-14,123.95,126.36,123.74,126.2,125.841179,4845860,4845900,2.25,1.82,125.59,"February 14, 23",0.0182
2023-02-13,122.82,125.72,122.46,125.15,124.794167,5689778,5689800,2.33,1.9,124.92,"February 13, 23",0.019
2023-02-10,121.51,122.635,120.54,122.23,121.882469,5195451,5195500,0.72,0.59254,121.86,"February 10, 23",0.0059254
2023-02-09,124.71,125.02,121.5,122.18,121.832611,5928984,5929000,-2.53,-2.03,122.78,"February 09, 23",-0.0203
2023-02-08,123.38,124.1,121.8,122.91,122.560539,5877807,5877800,-0.47,-0.38094,122.75,"February 08, 23",-0.0038094
2023-02-07,123.96,125.93,123.25,125.33,124.973656,5288935,5288900,1.37,1.11,124.64,"February 07, 23",0.0111
2023-02-06,125.52,126.1,124.32,125.73,125.37252,4666535,4666400,0.21,0.1673,125.37,"February 06, 23",0.001673
2023-02-03,126.79,129.42,126.44,127.61,127.247169,4930209,4930200,0.82,0.64674,127.8,"February 03, 23",0.0064674
2023-02-02,130.45,131.31,127.86,129.06,128.693039,5214452,5214500,-1.39,-1.07,129.62,"February 02, 23",-0.0107
2023-02-01,127.9,130.22,126.22,129.5,129.13179,6387919,6387900,1.6,1.25,128.15,"February 01, 23",0.0125
2023-01-31,126.42,127.85,126.01,127.33,126.967972,7687083,7686900,0.91,0.71982,127.15,"January 31, 23",0.0071982
2023-01-30,126.5,127.56,126.205,126.37,126.010696,6494692,6494600,-0.13,-0.10277,126.59,"January 30, 23",-0.0010277
2023-01-27,127.07,128.58,126.695,127.53,127.167397,5730012,5730000,0.46,0.36201,127.58,"January 27, 23",0.0036201
2023-01-26,128.46,128.99,126.01,127.53,127.167397,5838801,5838800,-0.93,-0.72396,127.2,"January 26, 23",-0.0072396
2023-01-25,125.86,127.01,124.83,126.82,126.459419,5933516,5933700,0.96,0.76275,126.27,"January 25, 23",0.0076275
2023-01-24,123.58,128.005,112.36,126.83,126.469391,5479327,5486200,3.25,2.63,127.27,"January 24, 23",0.0263
2023-01-23,126.9,128.745,126.54,128.29,127.925232,5581559,5581600,1.39,1.1,128,"January 23, 23",0.011
2023-01-20,124.68,126.64,124.04,126.62,126.259987,5673181,5673200,1.94,1.56,125.76,"January 20, 23",0.0156
2023-01-19,124.79,125.44,123.61,124.53,124.175926,5273493,5273500,-0.26,-0.20835,124.44,"January 19, 23",-0.0020835
2023-01-18,127.8,128.5852,126,126.43,126.070526,6828808,6828800,-1.37,-1.07,126.78,"January 18, 23",-0.0107
2023-01-17,128,129.05,127.83,128.14,127.775665,6163770,6172200,0.14,0.10937,128.4,"January 17, 23",0.0010937
2023-01-13,126.66,129.23,126.66,128.85,128.483658,4856475,4856500,2.19,1.73,128.31,"January 13, 23",0.0173
2023-01-12,128.35,128.46,126.46,127.89,127.526375,8366442,8366400,-0.46,-0.3584,127.49,"January 12, 23",-0.003584
