date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-24,452.21,462.99,407.77,459.31,459.31,1118314,1118259,7.1,1.57,443.35667,"January 24, 23",0.0157
2023-01-23,451.97,454.48,448.33,450.87,450.87,1054906,1054900,-1.1,-0.243,451.22667,"January 23, 23",-0.00243
2023-01-20,445.99,452.3,440.09,450.76,450.76,2130628,2130600,4.77,1.07,447.71667,"January 20, 23",0.0107
2023-01-19,448.15,453.01,442.21,442.31,442.31,1376728,1376600,-5.84,-1.303,445.84333,"January 19, 23",-0.01303
2023-01-18,453.73,454.08,445.51,446.06,446.06,1926721,1926700,-7.67,-1.69,448.55,"January 18, 23",-0.0169
2023-01-17,463.34,465.23,453.73,455.57,455.57,1934489,1934300,-7.77,-1.677,458.17667,"January 17, 23",-0.01677
2023-01-13,474.4,474.4,454.79,461.43,461.43,2608507,2608400,-12.97,-2.734,463.54,"January 13, 23",-0.02734
2023-01-12,491.71,494,485.89,487.98,487.98,1097898,1097800,-3.73,-0.759,489.29,"January 12, 23",-0.00759
2023-01-11,496.2,499.36,489.49,492.93,492.93,944084,944000,-3.27,-0.659,493.92667,"January 11, 23",-0.00659
2023-01-10,496.97,502.31,490.95,495.79,495.79,901706,901700,-1.18,-0.237,496.35,"January 10, 23",-0.00237
2023-01-09,518.03,518.03,488.12,495.41,495.41,1853101,1853000,-22.62,-4.367,500.52,"January 09, 23",-0.04367
2023-01-06,529.81,540.845,505.05,521.42,521.42,1061109,1061007,-8.39,-1.584,522.43833,"January 06, 23",-0.01584
2023-01-05,526.53,533.71,522.94,528.52,528.52,766642,766600,1.99,0.378,528.39,"January 05, 23",0.00378
2023-01-04,535.87,540.35,522.37,526.45,526.45,930163,930100,-9.42,-1.758,529.72333,"January 04, 23",-0.01758
2023-01-03,544.92,547.8,537.9,540.33,540.33,575672,575664,-4.59,-0.842,542.01,"January 03, 23",-0.00842
2022-12-30,542.93,546.87,539.51,545.61,545.61,564753,564700,2.68,0.494,543.99667,"December 30, 22",0.00494
2022-12-29,540.22,544.22,538.21,542,542,487146,487100,1.78,0.329,541.47667,"December 29, 22",0.00329
2022-12-28,543.45,545.37,540.24,540.41,540.41,718112,718100,-3.04,-0.559,542.00667,"December 28, 22",-0.00559
2022-12-27,538,544.04,537,541.19,541.19,454541,454500,3.19,0.593,540.74333,"December 27, 22",0.00593
2022-12-23,531.71,536.25,529.88,534.77,534.77,475747,475700,3.06,0.576,533.63333,"December 23, 22",0.00576
2022-12-22,539,542.1,526.38,531.37,531.37,434638,434600,-7.63,-1.416,533.28333,"December 22, 22",-0.01416
2022-12-21,531,540.51,530.4379,538.79,538.79,513596,513562,7.79,1.467,536.5793,"December 21, 22",0.01467
2022-12-20,533.63,540.81,528.17,529.57,529.57,642009,642000,-4.06,-0.761,532.85,"December 20, 22",-0.00761
2022-12-19,529.58,538,526.46,532.52,532.52,783749,783700,2.94,0.555,532.32667,"December 19, 22",0.00555
2022-12-16,527.17,532.38,521.61,529.87,529.87,1226249,1226173,2.7,0.512,527.95333,"December 16, 22",0.00512
2022-12-15,532.73,533.37,522.61,528.49,528.49,483233,483200,-4.24,-0.796,528.15667,"December 15, 22",-0.00796
2022-12-14,528.75,537.67,524.95,531.78,531.78,575450,575400,3.03,0.573,531.46667,"December 14, 22",0.00573
2022-12-13,537.01,537.06,523.34,525.59,525.59,853443,853400,-11.42,-2.127,528.66333,"December 13, 22",-0.02127
2022-12-12,530.5,535.89,525.92,535.18,535.18,540550,540500,4.68,0.882,532.33,"December 12, 22",0.00882
2022-12-09,539,545.73,528.83,528.94,528.94,589033,589000,-10.06,-1.866,534.5,"December 09, 22",-0.01866
2022-12-08,545,546.75,539.26,540.55,540.55,378708,378700,-4.45,-0.817,542.18667,"December 08, 22",-0.00817
2022-12-07,532.18,540.94,529.9,540.21,540.21,583055,583000,8.03,1.509,537.01667,"December 07, 22",0.01509
2022-12-06,543.8,543.8,528.36,531.81,531.81,576609,576600,-11.99,-2.205,534.65667,"December 06, 22",-0.02205
2022-12-05,539.52,543.19,533.85,541.43,541.43,671113,671100,1.91,0.354,539.49,"December 05, 22",0.00354
2022-12-02,528.58,549.87,527.39,545.6,545.6,827511,827468,17.02,3.22,540.95333,"December 02, 22",0.0322
2022-12-01,534.62,534.895,521.6,530.3,530.3,488729,488709,-4.32,-0.808,528.93167,"December 01, 22",-0.00808
2022-11-30,527.95,534.89,524.46,533.29,533.29,711019,710968,5.34,1.011,530.88,"November 30, 22",0.01011
2022-11-29,524.87,529.7,523.2,528.35,528.35,385503,385500,3.48,0.663,527.08333,"November 29, 22",0.00663
2022-11-28,524.72,530.51,522.4659,524.88,524.88,381554,381537,0.16,0.03,525.95197,"November 28, 22",0.0003
2022-11-25,526.8699951,529.789978,522.0800171,527.8300171,527.8300171,254400,254400,0.96002,0.182,526.56667,"November 25, 22",0.00182
2022-11-23,524.4400024,525.7700195,518.3699951,522.3400269,520.6100464,553600,553600,-3.82996,-0.73,521.58335,"November 23, 22",-0.0073
2022-11-22,529.9099731,533.7700195,523.4299927,524.6500244,522.9124146,635300,635300,-6.99756,-1.321,526.70414,"November 22, 22",-0.01321
2022-11-21,521.710022,532.4400024,520.4899902,527.8699951,526.1217041,861500,861500,4.41168,0.846,526.35057,"November 21, 22",0.00846
2022-11-18,518.8400269,524.789978,515.8300171,520.4199829,518.6963501,863500,863500,-0.14368,-0.028,519.77212,"November 18, 22",-0.00028
2022-11-17,504.9400024,519.789978,504.8200073,518.8499756,517.1315308,950800,950800,12.19153,2.414,513.91384,"November 17, 22",0.02414
2022-11-16,499,507.6799927,496.0400085,505.1300049,503.4570312,1066900,1066900,4.45703,0.893,502.39234,"November 16, 22",0.00893
2022-11-15,485,510,479.9200134,500.7200012,499.061615,1902800,1902800,14.06161,2.899,496.32721,"November 15, 22",0.02899
2022-11-14,496,500.0700073,478.4599915,481.7399902,480.1444702,2194500,2194500,-15.85553,-3.197,486.22482,"November 14, 22",-0.03197
2022-11-11,517.9699707,518.8300171,490.2000122,492.7000122,491.0682068,2266900,2266900,-26.90176,-5.194,500.03275,"November 11, 22",-0.05194
2022-11-10,540.7800293,540.7800293,523.7199707,531.5900269,529.8294067,1220000,1220000,-10.95062,-2.025,531.44314,"November 10, 22",-0.02025
2022-11-09,540.6599731,543.1900024,532.8099976,533.1400146,531.3742676,601600,601600,-9.28571,-1.717,535.79142,"November 09, 22",-0.01717
2022-11-08,533.3400269,542.1400146,532.3300171,540.9299927,539.1384277,652600,652600,5.7984,1.087,537.86949,"November 08, 22",0.01087
2022-11-07,523.0499878,537.5800171,520.5599976,534.7700195,532.9988403,804500,804500,9.94885,1.902,530.37962,"November 07, 22",0.01902
2022-11-04,526,527.1599731,510.0100098,522.7700195,521.0386353,1242000,1242000,-4.96136,-0.943,519.40287,"November 04, 22",-0.00943
2022-11-03,528.039978,531.3499756,525.4699707,525.5100098,523.7695312,1200000,1200000,-4.27045,-0.809,526.86316,"November 03, 22",-0.00809
2022-11-02,534.0499878,539.6799927,529.8300171,530.2999878,528.5436401,1111900,1111900,-5.50635,-1.031,532.68455,"November 02, 22",-0.01031
2022-11-01,549.6199951,550.1099854,534.2600098,535.8800049,534.1051636,1303100,1303100,-15.51483,-2.823,539.49172,"November 01, 22",-0.02823
2022-10-31,544.7999878,553.6599731,543.9699707,549.0100098,547.1917114,1089000,1089000,2.39172,0.439,548.27389,"October 31, 22",0.00439
2022-10-28,540.0800171,556.2700195,531,548.1099854,546.2946777,1316600,1316600,6.21466,1.151,544.52157,"October 28, 22",0.01151
2022-10-27,512.5800171,537.8099976,508,535.5100098,533.7363892,1689500,1689500,21.15637,4.127,526.51546,"October 27, 22",0.04127
2022-10-26,529.5599976,535.210022,524.8800049,530.9899902,529.2313843,940900,940900,-0.32861,-0.062,529.7738,"October 26, 22",-0.00062
2022-10-25,520.3699951,528,517.4500122,526.75,525.0054321,763800,763800,4.63544,0.891,523.48515,"October 25, 22",0.00891
2022-10-24,527.6199951,534.6400146,524.2800293,525.960022,524.2180176,866600,866600,-3.40198,-0.645,527.71269,"October 24, 22",-0.00645
2022-10-21,512.5599976,525.3499756,509.5,522.6599731,520.9289551,1054300,1054300,8.36896,1.633,518.59298,"October 21, 22",0.01633
2022-10-20,511.7600098,516.4899902,509.1600037,512.4400024,510.7427979,877900,877900,-1.01721,-0.199,512.13093,"October 20, 22",-0.00199
2022-10-19,504.8399963,516.789978,501.519989,510.9100037,509.217865,1342700,1342700,4.37787,0.867,509.17594,"October 19, 22",0.00867
2022-10-18,480,509.8900146,478.980011,506.7999878,505.12146,1853200,1853200,25.12146,5.234,497.99716,"October 18, 22",0.05234
2022-10-17,467.2099915,478.7000122,466.2600098,475.0899963,473.51651,1122600,1122600,6.30652,1.35,472.82551,"October 17, 22",0.0135
2022-10-14,495.7000122,496.980011,463.1099854,464.1900024,462.6526184,1642700,1642700,-33.04739,-6.667,474.24754,"October 14, 22",-0.06667
2022-10-13,488.0899963,503.0499878,486.3800049,501.4400024,499.7792358,922000,922000,11.68924,2.395,496.40308,"October 13, 22",0.02395
2022-10-12,508.1400146,508.1400146,492.2000122,492.3800049,490.7492371,972500,972500,-17.39078,-3.422,497.02975,"October 12, 22",-0.03422
2022-10-11,504.1300049,514.5599976,503.2600098,507.3099976,505.6297913,836500,836500,1.49979,0.298,507.8166,"October 11, 22",0.00298
2022-10-10,498.8200073,509,498,503.8299866,502.1613159,1375700,1375700,3.34131,0.67,503.05377,"October 10, 22",0.0067
2022-10-07,485.1600037,496.519989,483.019989,496.0899963,494.4469604,1097600,1097600,9.28696,1.914,491.32898,"October 07, 22",0.01914
2022-10-06,483.7200012,486.2999878,480.9899902,485.230011,483.6229248,604900,604900,-0.09708,-0.02,483.63763,"October 06, 22",-0.0002
2022-10-05,487,489.5,480.6799927,484.4500122,482.84552,620800,620800,-4.15448,-0.853,484.34184,"October 05, 22",-0.00853
2022-10-04,488.4200134,497.1199951,487.0100098,490.2799988,488.656189,985700,985700,0.23618,0.048,490.92873,"October 04, 22",0.00048
2022-10-03,476.4400024,489.9299927,474,485.7099915,484.1013184,910600,910600,7.66132,1.608,482.6771,"October 03, 22",0.01608
2022-09-30,466.5,474,466.5,470.3200073,468.7622986,1134500,1134500,2.2623,0.485,469.7541,"September 30, 22",0.00485
2022-09-29,480.66,482.1,464.51,468.9218,468.9218,910961,910900,-10.18,-2.118,472.36333,"September 29, 22",-0.02118
2022-09-28,475.5299988,485.8500061,464.2799988,483.6900024,482.0880127,948300,948300,6.55801,1.379,477.40601,"September 28, 22",0.01379
2022-09-27,477.3399963,479.1900024,471.2399902,474.1400146,472.5696716,1023800,1023800,-4.77032,-0.999,474.33322,"September 27, 22",-0.00999
2022-09-26,477.3800049,482.019989,472.3599854,474.3699951,472.7988892,657200,657200,-4.58112,-0.96,475.72629,"September 26, 22",-0.0096
2022-09-23,491.8800049,491.8800049,474.0799866,478.8200073,477.2341614,877700,877700,-14.64584,-2.978,481.06472,"September 23, 22",-0.02978
2022-09-22,492.769989,500.6300049,482.2600098,496.4599915,494.8157349,1206800,1206800,2.04575,0.415,492.56858,"September 22, 22",0.00415
2022-09-21,505.4899902,515.4899902,492.6099854,492.8699951,491.2376099,1246600,1246600,-14.25238,-2.82,499.7792,"September 21, 22",-0.0282
2022-09-20,488.0599976,496.0799866,481.0299988,494,492.3638611,875700,875700,4.30386,0.882,489.82462,"September 20, 22",0.00882
2022-09-19,483.1900024,492.5700073,481.0499878,488.0700073,486.4535217,842900,842900,3.26352,0.675,486.69117,"September 19, 22",0.00675
2022-09-16,483.3599854,487.8500061,480.2999878,485.2000122,483.5930481,1115500,1115500,0.23306,0.048,483.91435,"September 16, 22",0.00048
2022-09-15,482.730011,487.7600098,478.5400085,485.0799866,483.4734192,758000,758000,0.74341,0.154,483.25781,"September 15, 22",0.00154
2022-09-14,472.8099976,485.2000122,471.8500061,484.8800049,483.2740784,1157400,1157400,10.46408,2.213,480.10803,"September 14, 22",0.02213
2022-09-13,479.5700073,487.3999939,465.25,468.9299927,467.3768921,836500,836500,-12.19312,-2.543,473.3423,"September 13, 22",-0.02543
2022-09-12,491.0499878,491.1099854,481.4599915,482.2999878,480.7026062,918500,918500,-10.34738,-2.107,484.42419,"September 12, 22",-0.02107
2022-09-09,489.4700012,495.3800049,486.269989,491.4100037,489.7824707,704600,704600,0.31247,0.064,490.47749,"September 09, 22",0.00064
2022-09-08,487.0700073,489.8200073,481.2999878,489.730011,488.1080322,584900,584900,1.03802,0.213,486.40934,"September 08, 22",0.00213
2022-09-07,477.7999878,488.2200012,475.9700012,487.7799988,486.1644897,512300,512300,8.3645,1.751,483.4515,"September 07, 22",0.01751
2022-09-06,476.7999878,484.1900024,476.7200012,479.7399902,478.1510925,569300,569300,1.3511,0.283,479.68703,"September 06, 22",0.00283
2022-09-02,483.9899902,485.3699951,474.7399902,476.9500122,475.3703613,512100,512100,-8.61963,-1.781,478.49345,"September 02, 22",-0.01781
