date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,437.22,445.84,435.07,441.39,441.390015,1171203,1123037,4.17,0.95375,441.88,"May 09, 23",0.0095375
2023-05-08,436.9,439.57,429.05,438.99,438.98999,1446644,1446600,2.09,0.47837,434.93,"May 08, 23",0.0047837
2023-05-05,433,439.67,431.55,434.8,434.799988,1302807,1302600,1.8,0.4157,434.82,"May 05, 23",0.004157
2023-05-04,439.06,442.54,428.97,430.51,430.51001,1658810,1658800,-8.55,-1.95,433.4,"May 04, 23",-0.0195
2023-05-03,443.53,446.9,436.45,437.08,437.079987,1192000,1192000,-6.45,-1.45,441.87,"May 03, 23",-0.0145
2023-05-02,450.53,451,439.39,443.68,443.679993,1284314,1284300,-6.85,-1.52,443.96,"May 02, 23",-0.0152
2023-05-01,456.31,456.31,449.3,450.41,450.410004,1424271,1424100,-5.9,-1.29,451.38,"May 01, 23",-0.0129
2023-04-28,454.24,461.68,449.2,459.42,459.420013,2360323,2360100,5.18,1.14,457.83,"April 28, 23",0.0114
2023-04-27,440.23,458.65,427.68,454.34,454.339996,4855322,4855300,14.11,3.21,449.19,"April 27, 23",0.0321
2023-04-26,450,454.5,445.88,454.03,454.029999,2891124,2891100,4.03,0.89556,451.63,"April 26, 23",0.0089556
2023-04-25,466.75,468.2499,441.98,442.28,442.279999,2058579,2058600,-24.47,-5.24,450.69,"April 25, 23",-0.0524
2023-04-24,474,476.6,465.25,473,473,1223655,1223300,-1,-0.21097,470.86,"April 24, 23",-0.0021097
2023-04-21,470.19,474.16,465.11,473.31,473.309998,1092083,1091900,3.12,0.66356,471.63,"April 21, 23",0.0066356
2023-04-20,473.32,473.78,465.4,467.69,467.690002,1038705,1038600,-5.63,-1.19,468.77,"April 20, 23",-0.0119
2023-04-19,475,478.35,473.17,475.59,475.589996,1018571,1018600,0.59,0.12421,475.9,"April 19, 23",0.0012421
2023-04-18,478.13,478.13,470.01,475.99,475.98999,1181166,1181000,-2.14,-0.44758,474.7,"April 18, 23",-0.0044758
2023-04-17,465.01,471.69,463.57,470.55,470.549988,1070931,1070800,5.54,1.19,469.01,"April 17, 23",0.0119
2023-04-14,466.78,469.82,454.6871,463.03,463.029999,3075216,3074800,-3.75,-0.80338,462.34,"April 14, 23",-0.0080338
2023-04-13,475.32,485.58,472.95,483.5,483.5,1600195,1600200,8.18,1.72,482.04,"April 13, 23",0.0172
2023-04-12,474.59,480.83,469.475,471.43,471.429993,1622495,1622500,-3.16,-0.66584,474.85,"April 12, 23",-0.0066584
2023-04-11,466.01,473.89,464.33,469.82,469.820007,977903,977900,3.81,0.81758,469.99,"April 11, 23",0.0081758
2023-04-10,466.15,473.03,456.375,472.64,472.640015,1242760,1242600,6.49,1.39,467.76,"April 10, 23",0.0139
2023-04-06,463.95,473.65,457.46,473.13,473.130005,1691546,1691500,9.18,1.98,469.14,"April 06, 23",0.0198
2023-04-05,475.75,476,460.29,467.33,467.329987,1345811,1345800,-8.42,-1.77,467.09,"April 05, 23",-0.0177
2023-04-04,475.44,482.33,472.38,476.05,476.049988,2247230,2247200,0.61,0.1283,476.86,"April 04, 23",0.001283
2023-04-03,461.53,465.89,457.41,464.49,464.48999,1358561,1358600,2.96,0.64135,462.26,"April 03, 23",0.0064135
2023-03-31,443.1,465.405,441.62,464.72,464.720001,2454005,2453900,21.62,4.88,458.4,"March 31, 23",0.0488
2023-03-30,443.54,443.84,438.08,439.63,439.630005,1078797,1078700,-3.91,-0.88154,440.57,"March 30, 23",-0.0088154
2023-03-29,433.55,438.99,431.29,438.44,438.440002,1304536,1304500,4.89,1.13,435.29,"March 29, 23",0.0113
2023-03-28,429.02,431.91,427.01,429.08,429.079987,1089117,1089100,0.06,0.01398536,429.26,"March 28, 23",0.0001398536
2023-03-27,433.5,437.7401,430.13,431.31,431.309998,935255,935200,-2.19,-0.50519,432.96,"March 27, 23",-0.0050519
2023-03-24,438.83,439.2199,427.1101,432.9,432.899994,922868,922700,-5.93,-1.35,431.79,"March 24, 23",-0.0135
2023-03-23,440.47,451.9737,437.665,440.47,440.470001,1165451,1165500,0,0,444.09,"March 23, 23",0
2023-03-22,447.18,448.76,433.47,433.51,433.51001,931550,931500,-13.67,-3.06,440.86,"March 22, 23",-0.0306
2023-03-21,436.1,447.87,436.1,445.46,445.459991,1282051,1282000,9.36,2.15,443.1,"March 21, 23",0.0215
2023-03-20,438.04,439.49,425.85,435.15,435.149994,1379119,1379100,-2.89,-0.65976,432.63,"March 20, 23",-0.0065976
2023-03-17,443.65,443.66,434.6,441,441,2917494,2917400,-2.65,-0.59732,440.08,"March 17, 23",-0.0059732
