date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,288.99,289.73,284.5,285.71,285.709991,30248811,29395759,-3.28,-1.13,286.33,"May 09, 23",-0.0113
2023-05-08,285.22,292.2,283.5,291.51,291.51001,34497890,34497900,6.29,2.21,288.58,"May 08, 23",0.0221
2023-05-05,278.255,287.55,277.31,286.8,286.799988,36147908,36101400,8.545,3.07,284.08,"May 05, 23",0.0307
2023-05-04,276.51,278.59,272.4,275.62,275.619995,32184806,32185000,-0.89,-0.32187,275.71,"May 04, 23",-0.0032187
2023-05-03,278.4,283.67,274.72,278.02,278.019989,38338740,38338700,-0.38,-0.13649,279.08,"May 03, 23",-0.0013649
2023-05-02,286.8,288.3599,280.83,282.1,282.100006,40122057,40273000,-4.7,-1.64,283.55,"May 02, 23",-0.0164
2023-05-01,278.4,290.5844,277.8,289.1,289.100006,56942853,57032900,10.7,3.84,286.24,"May 01, 23",0.0384
2023-04-28,272.25,277.58,270.7148,277.49,277.48999,29221614,29168700,5.24,1.92,274.71,"April 28, 23",0.0192
2023-04-27,273.63,274.95,266.2501,272.26,272.26001,37693119,37716100,-1.37,-0.50068,269.79,"April 27, 23",-0.0050068
2023-04-26,270.02,273.3,267.051,269.56,269.559998,40633681,40633700,-0.46,-0.17036,270.45,"April 26, 23",-0.0017036
2023-04-25,270.78,272.47,262.25,262.41,262.410004,37852716,37852700,-8.37,-3.09,265.59,"April 25, 23",-0.0309
2023-04-24,270.13,273.6599,266.7101,270.42,270.420013,33928186,33928200,0.29,0.10736,270.08,"April 24, 23",0.0010736
2023-04-21,269.52,271.83,267.22,271.19,271.190002,34289637,34476600,1.67,0.61962,269.99,"April 21, 23",0.0061962
2023-04-20,276.71,280.3,270,271.04,271.040009,42771326,42771300,-5.67,-2.05,275.14,"April 20, 23",-0.0205
2023-04-19,273.61,280,272.32,279.31,279.309998,35866041,35866000,5.7,2.08,277.44,"April 19, 23",0.0208
2023-04-18,275.335,281.1,273.57,276.67,276.670013,60481154,60481200,1.335,0.48486,277.51,"April 18, 23",0.0048486
2023-04-17,265.655,270.06,264.3318,270.02,270.019989,32147130,32147100,4.365,1.64,267.46,"April 17, 23",0.0164
2023-04-14,265.04,268.83,262.2,267.58,267.579987,39557433,39505500,2.54,0.95835,265.74,"April 14, 23",0.0095835
2023-04-13,267.34,268.869,263.29,264.63,264.630005,35361528,35361500,-2.71,-1.01,266.53,"April 13, 23",-0.0101
