date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,96.2,96.89,96.1,96.14,96.139999,6309501,6309168,-0.06,-0.06237006,96.36,"May 09, 23",-0.0006237006
2023-05-08,97.08,97.28,96.44,96.79,96.790001,5314753,5314800,-0.29,-0.29872,96.77,"May 08, 23",-0.0029872
2023-05-05,95,97.31,94.83,96.97,96.970001,8068571,8062700,1.97,2.07,96.67,"May 05, 23",0.0207
2023-05-04,94.98,95.12,94.41,94.97,94.970001,5038200,5038200,-0.01,-0.01052853,94.82,"May 04, 23",-0.0001052853
2023-05-03,95.07,95.42,94.54,94.78,94.779999,6744810,6744800,-0.29,-0.30504,94.91,"May 03, 23",-0.0030504
2023-05-02,94.93,95.24,93.85,94.8,94.800003,5995080,5995100,-0.13,-0.13694,94.59,"May 02, 23",-0.0013694
2023-05-01,94.8,95.73,94.7,94.87,94.870003,5459865,5459800,0.07,0.07383966,95.1,"May 01, 23",0.0007383966
2023-04-28,94.27,95.4,94.24,94.72,94.720001,8498551,8498500,0.45,0.47735,94.8,"April 28, 23",0.0047735
2023-04-27,94.31,95.09,93.2906,95.04,95.040001,5615746,5615700,0.73,0.77404,94.44,"April 27, 23",0.0077404
2023-04-26,93.75,94.81,93.34,93.71,93.709999,6395726,6395500,-0.04,-0.04266667,93.95,"April 26, 23",-0.0004266667
2023-04-25,95.14,95.7,94.02,94.06,94.059998,5768842,5768800,-1.08,-1.14,94.52,"April 25, 23",-0.0114
2023-04-24,95.34,96.075,94.97,95.44,95.440002,4901783,4901700,0.1,0.10489,95.37,"April 24, 23",0.0010489
2023-04-21,95.01,95.31,94.26,95.15,95.150002,7335787,7335800,0.14,0.14735,94.89,"April 21, 23",0.0014735
2023-04-20,96,96.15,94.6,94.83,94.830002,5815527,5815500,-1.17,-1.22,95.03,"April 20, 23",-0.0122
2023-04-19,95.59,96.47,95.59,95.81,95.809998,4766371,4766200,0.22,0.23015,95.93,"April 19, 23",0.0023015
2023-04-18,96,96.7413,95.7749,96.47,96.470001,7219366,7219400,0.47,0.48958,96.32,"April 18, 23",0.0048958
2023-04-17,95.64,95.99,95.31,95.59,95.589996,4772486,4772400,-0.05,-0.05227938,95.62,"April 17, 23",-0.0005227938
2023-04-14,95.5,95.99,94.68,95.71,95.709999,6485060,6485100,0.21,0.2199,95.5,"April 14, 23",0.002199
2023-04-13,94.18,95.745,93.94,95.55,95.550003,6240215,6240200,1.37,1.45,95.22,"April 13, 23",0.0145
2023-04-12,94.38,95.32,93.595,93.9,93.900002,8040306,8040300,-0.48,-0.50858,94.37,"April 12, 23",-0.0050858
2023-04-11,93.46,94.13,93.2,93.97,93.970001,8196049,8196000,0.51,0.54569,93.86,"April 11, 23",0.0054569
2023-04-10,94.68,95.11,93.55,93.76,93.760002,8681735,8681500,-0.92,-0.97169,93.99,"April 10, 23",-0.0097169
2023-04-06,94.33,96.08,93.99,95.92,95.519997,9146244,9146200,1.59,1.69,95.14,"April 06, 23",0.0169
2023-04-05,93.62,95.108,93.48,94.89,94.494293,7478750,7478800,1.27,1.36,94.58,"April 05, 23",0.0136
2023-04-04,93.85,94.02,92.93,94,93.608009,6651475,6651500,0.15,0.15983,93.68,"April 04, 23",0.0015983
2023-04-03,92.38,94,92.09,93.92,93.528343,8410872,8410900,1.54,1.67,93.37,"April 03, 23",0.0167
2023-03-31,90.56,93,90.41,92.92,92.532509,10476333,10476300,2.36,2.61,92.24,"March 31, 23",0.0261
2023-03-30,90.85,91.18,89.71,90.51,90.132568,5640690,5640700,-0.34,-0.37424,90.37,"March 30, 23",-0.0037424
2023-03-29,90.13,90.66,89.81,90.62,90.242104,5233647,5233600,0.49,0.54366,90.39,"March 29, 23",0.0054366
2023-03-28,90.22,90.88,89.48,89.85,89.475311,6378927,6378900,-0.37,-0.41011,90.02,"March 28, 23",-0.0041011
2023-03-27,88.62,90.5,88.545,90.14,89.764107,8170050,8170100,1.52,1.72,89.8,"March 27, 23",0.0172
2023-03-24,87.98,88.48,87.51,88.01,87.64299,5852248,5852100,0.03,0.03409866,87.95,"March 24, 23",0.0003409866
2023-03-23,88.65,89.64,87.64,87.78,87.413948,10747139,10747100,-0.87,-0.98139,88.61,"March 23, 23",-0.0098139
2023-03-22,87.54,89.16,87.44,87.9,87.533447,7233663,7233700,0.36,0.41124,88.29,"March 22, 23",0.0041124
2023-03-21,87.49,87.8482,86.66,87.58,87.214783,6683731,6683700,0.09,0.10287,87.36,"March 21, 23",0.0010287
2023-03-20,85.28,87.51,85.25,86.96,86.597366,9177289,9177300,1.68,1.97,86.91,"March 20, 23",0.0197
2023-03-17,85,85.98,84.61,85.26,84.904457,13066028,13065800,0.26,0.30588,85.23,"March 17, 23",0.0030588
2023-03-16,82.92,85.11,82.08,84.82,84.466293,10149163,10148100,1.9,2.29,83.9,"March 16, 23",0.0229
2023-03-15,83.08,83.37,82.12,82.98,82.633965,11463010,11463000,-0.1,-0.12037,82.59,"March 15, 23",-0.0012037
2023-03-14,85.93,85.93,83.43,84.56,84.207375,8732248,8732200,-1.37,-1.59,84.57,"March 14, 23",-0.0159
2023-03-13,83.32,85.53,82.04,84.93,84.575829,10299942,10299800,1.61,1.93,84.71,"March 13, 23",0.0193
