date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,45.28,45.43,44.725,45.11,45.11,25162488,25162488,-0.17,-0.375,45.08833,"January 20, 23",-0.00375
2023-01-19,44.72,45.27,44.64,44.96,44.96,26616050,26616050,0.24,0.537,44.95667,"January 19, 23",0.00537
2023-01-18,45.545,45.85,44.97,45,45,33835878,33835878,-0.545,-1.197,45.27333,"January 18, 23",-0.01197
2023-01-17,46.54,46.74,45.71,46.08,46.08,29393842,29393842,-0.46,-0.988,46.17667,"January 17, 23",-0.00988
2023-01-13,47.5,48.16,47.49,47.85,47.85,18738817,18738817,0.35,0.737,47.83333,"January 13, 23",0.00737
2023-01-12,47.27,47.72,46.58,47.71,47.71,23345326,23345326,0.44,0.931,47.33667,"January 12, 23",0.00931
2023-01-11,47.7,47.74,46.86,47.45,47.45,23024166,23024166,-0.25,-0.524,47.35,"January 11, 23",-0.00524
2023-01-10,48.35,48.47,47.38,47.62,47.62,29212864,29212864,-0.73,-1.51,47.82333,"January 10, 23",-0.0151
2023-01-09,50.05,50.26,48.31,48.39,48.39,30813366,30813366,-1.66,-3.317,48.98667,"January 09, 23",-0.03317
2023-01-06,49.98,51.6,49.56,50.92,50.92,29636629,29636629,0.94,1.881,50.69333,"January 06, 23",0.01881
2023-01-05,49.73,49.99,48.92,49.66,49.66,20057449,20057449,-0.07,-0.141,49.52333,"January 05, 23",-0.00141
2023-01-04,50.29,50.63,49.522,50.13,50.13,21810102,21810102,-0.16,-0.318,50.094,"January 04, 23",-0.00318
2023-01-03,51.01,51.325,50.82,51.26,51.26,15037748,15037748,0.25,0.49,51.135,"January 03, 23",0.0049
2022-12-30,51.29,51.4,50.745,51.24,51.24,11396310,11396310,-0.05,-0.097,51.12833,"December 30, 22",-0.00097
2022-12-29,51.02,51.665,50.99,51.33,51.33,8972164,8972164,0.31,0.608,51.32833,"December 29, 22",0.00608
2022-12-28,51.05,51.39,50.75,50.8,50.8,10054191,10054191,-0.25,-0.49,50.98,"December 28, 22",-0.0049
2022-12-27,51.86,51.93,51.05,51.13,51.13,12034058,12034058,-0.73,-1.408,51.37,"December 27, 22",-0.01408
2022-12-23,51.555,51.95,51.24,51.83,51.83,10666646,10666646,0.275,0.533,51.67333,"December 23, 22",0.00533
2022-12-22,51.41,51.7,50.95,51.64,51.64,14825056,14825056,0.23,0.447,51.43,"December 22, 22",0.00447
2022-12-21,51.605,52.16,51.2,51.66,51.66,12925398,12925398,0.055,0.107,51.67333,"December 21, 22",0.00107
2022-12-20,51.21,51.51,50.84,51.32,51.32,12434520,12434520,0.11,0.215,51.22333,"December 20, 22",0.00215
2022-12-19,51.52,51.81,50.695,51.36,51.36,16064050,16064050,-0.16,-0.311,51.28833,"December 19, 22",-0.00311
2022-12-16,53.01,53.14,51.4,51.4,51.4,65694124,65694124,-1.61,-3.037,51.98,"December 16, 22",-0.03037
2022-12-15,54.07,54.43,53.395,53.61,53.61,21631785,21631785,-0.46,-0.851,53.81167,"December 15, 22",-0.00851
2022-12-14,53.14,54.93,52.9,54.48,54.48,36261261,36261261,1.34,2.522,54.10333,"December 14, 22",0.02522
2022-12-13,53.1,54.04,52.88,53.07,53.07,29462168,29462168,-0.03,-0.056,53.33,"December 13, 22",-0.00056
2022-12-12,52.12,52.59,51.75,52.16,52.16,15493444,15493444,0.04,0.077,52.16667,"December 12, 22",0.00077
2022-12-09,51.75,52.84,51.63,51.72,51.72,19934871,19934871,-0.03,-0.058,52.06333,"December 09, 22",-0.00058
2022-12-08,50.18,51.865,50.02,51.78,51.78,26117817,26117817,1.6,3.189,51.22167,"December 08, 22",0.03189
2022-12-07,49.75,51.15,49.75,50.24,50.24,15931337,15931337,0.49,0.985,50.38,"December 07, 22",0.00985
