date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,155.85,155.98,153.58,153.71,153.710007,4450391,4108531,-2.14,-1.37,154.04,"May 09, 23",-0.0137
2023-05-08,155.35,155.73,154.87,155.3,155.300003,4950679,4950700,-0.05,-0.03218539,155.33,"May 08, 23",-0.0003218539
2023-05-05,155.4,156.31,154.69,156.03,156.029999,3989157,3988200,0.63,0.40541,155.88,"May 05, 23",0.0040541
2023-05-04,156.1,156.6,155.09,155.51,155.509995,4892639,4892600,-0.59,-0.37796,155.67,"May 04, 23",-0.0037796
2023-05-03,156.64,157.57,155.43,156.23,156.229996,5775009,5775000,-0.41,-0.26175,156.6,"May 03, 23",-0.0026175
2023-05-02,156.59,156.93,155.67,156.43,156.429993,5262908,5262900,-0.16,-0.10218,156.32,"May 02, 23",-0.0010218
2023-05-01,156.03,157.395,155.8,156.57,156.570007,3844761,3844600,0.54,0.34609,156.74,"May 01, 23",0.0034609
2023-04-28,156.275,157.37,155.76,156.38,156.380005,5754704,5754000,0.105,0.06718925,156.42,"April 28, 23",0.0006718925
2023-04-27,155.3,156.61,155.01,156.47,156.470001,4805563,4805600,1.17,0.75338,156.03,"April 27, 23",0.0075338
2023-04-26,155.3,156,154.34,154.58,154.580002,4843927,4843700,-0.72,-0.46362,154.9,"April 26, 23",-0.0046362
2023-04-25,156.51,157.94,155.79,156.39,156.389999,8341759,8341800,-0.12,-0.07667242,156.64,"April 25, 23",-0.0007667242
2023-04-24,155.22,157.25,155.22,156.35,156.350006,8109763,8109800,1.13,0.728,156.34,"April 24, 23",0.00728
2023-04-21,154.94,158.11,154.5,156.07,156.070007,14876934,14876900,1.13,0.72931,156.39,"April 21, 23",0.0072931
2023-04-20,150.37,151.36,150.365,150.85,150.850006,5362511,5370900,0.48,0.31921,150.81,"April 20, 23",0.0031921
2023-04-19,151.17,151.9,150.71,151.24,150.299011,3837607,3837600,0.07,0.04630548,151.2,"April 19, 23",0.0004630548
2023-04-18,150.98,151.59,150.105,151.21,150.269196,4158392,4158400,0.23,0.15234,151.02,"April 18, 23",0.0015234
2023-04-17,151.17,151.47,150.34,151.05,150.110184,4296401,4296400,-0.12,-0.07938083,150.97,"April 17, 23",-0.0007938083
2023-04-14,151.35,151.5899,150.51,151,150.060501,4478782,4478800,-0.35,-0.23125,150.97,"April 14, 23",-0.0023125
2023-04-13,150.9,151.87,149.82,151.77,150.825714,5489710,5489500,0.87,0.57654,151.12,"April 13, 23",0.0057654
2023-04-12,150.31,152.41,149.93,151.07,150.130066,6138080,6137900,0.76,0.50562,151.12,"April 12, 23",0.0050562
2023-04-11,151.255,151.44,150.52,150.66,149.72261,6311997,6311800,-0.595,-0.39338,150.91,"April 11, 23",-0.0039338
2023-04-10,151.65,151.67,149.51,150.96,150.020752,4891875,4891800,-0.69,-0.455,150.5,"April 10, 23",-0.00455
2023-04-06,151.865,152.96,151.4168,152.22,151.272903,5399741,5399700,0.355,0.23376,152.08,"April 06, 23",0.0023376
2023-04-05,151.33,152.35,151.15,151.26,150.318878,6094801,6094800,-0.07,-0.04625653,151.62,"April 05, 23",-0.0004625653
2023-04-04,150.08,151.71,150.08,150.23,149.295288,6714506,6714300,0.15,0.0999467,150.62,"April 04, 23",0.000999467
2023-04-03,148.425,150.07,147.09,149.51,148.579758,5721680,5721700,1.085,0.73101,149.35,"April 03, 23",0.0073101
2023-03-31,147.74,148.69,147.575,148.69,147.764862,7685942,7685900,0.95,0.64302,148.37,"March 31, 23",0.0064302
2023-03-30,146.92,147.54,146.3,147.45,146.532578,4117824,4117700,0.53,0.36074,147.09,"March 30, 23",0.0036074
2023-03-29,147.08,147.2901,146.26,146.81,145.896561,4987741,4987700,-0.27,-0.18357,146.77,"March 29, 23",-0.0018357
2023-03-28,146.55,146.815,145.8,146.36,145.449371,4213913,4213800,-0.19,-0.12965,146.35,"March 28, 23",-0.0012965
2023-03-27,146.89,147.4196,145.87,145.95,145.041916,5917156,5917200,-0.94,-0.63993,146.33,"March 27, 23",-0.0063993
2023-03-24,144.3,146.76,144.3,146.72,145.807129,6145622,6144800,2.42,1.68,145.99,"March 24, 23",0.0168
2023-03-23,144.24,145.12,143.19,143.79,142.895355,5788459,5788400,-0.45,-0.31198,144.04,"March 23, 23",-0.0031198
2023-03-22,144.04,145.75,143.83,143.99,143.094116,5729129,5729100,-0.05,-0.03471258,144.68,"March 22, 23",-0.0003471258
2023-03-21,144.91,145.23,142.84,144.08,143.183548,7753184,7753200,-0.83,-0.57277,143.89,"March 21, 23",-0.0057277
2023-03-20,143.5,145.4,143.23,145.13,144.22702,8379233,8379200,1.63,1.14,144.65,"March 20, 23",0.0114
2023-03-17,142.5,143.39,141.53,142.93,142.040695,15896461,16018800,0.43,0.30175,142.75,"March 17, 23",0.0030175
2023-03-16,141.94,143.124,141.61,142.89,142.000946,7063643,7063400,0.95,0.6693,142.62,"March 16, 23",0.006693
2023-03-15,138.81,142.15,138.81,141.83,140.947556,8823491,8823500,3.02,2.18,141.08,"March 15, 23",0.0218
2023-03-14,138.29,140.11,137.4,139.85,138.979874,9219678,9219700,1.56,1.13,139.21,"March 14, 23",0.0113
2023-03-13,137.045,141.32,137.045,138.14,137.280502,8337075,8337100,1.095,0.79901,139.16,"March 13, 23",0.0079901
2023-03-10,136.95,137.99,136.35,137.19,136.336426,5928003,5928000,0.24,0.17525,137.06,"March 10, 23",0.0017525
2023-03-09,138.15,138.56,136.1,136.57,135.720291,4467211,4467200,-1.58,-1.14,137.28,"March 09, 23",-0.0114
2023-03-08,137.2,137.69,136.595,137.58,136.723999,5518821,5518800,0.38,0.27697,137.29,"March 08, 23",0.0027697
2023-03-07,140.43,140.62,137.34,137.56,136.704117,5594203,5606800,-2.87,-2.04,138.23,"March 07, 23",-0.0204
2023-03-06,140.73,141.135,139.9425,140.35,139.476761,4943248,4943100,-0.38,-0.27002,140.38,"March 06, 23",-0.0027002
2023-03-03,141.185,141.24,139.965,140.95,140.073029,5259353,5259400,-0.235,-0.16645,140.63,"March 03, 23",-0.0016645
2023-03-02,138,140.43,137.78,139.93,139.059357,5923213,5924600,1.93,1.4,139.51,"March 02, 23",0.014
2023-03-01,138.05,138.33,136.51,137.66,136.803497,7101801,7101800,-0.39,-0.28251,137.34,"March 01, 23",-0.0028251
2023-02-28,138.45,138.59,137.28,137.56,136.704117,6709913,6709900,-0.89,-0.64283,137.77,"February 28, 23",-0.0064283
2023-02-27,139.61,140.465,138.53,139.14,138.274292,5821127,5820900,-0.47,-0.33665,139.27,"February 27, 23",-0.0033665
2023-02-24,138.93,139.43,138.08,139.26,138.393539,5260669,5260700,0.33,0.23753,138.98,"February 24, 23",0.0023753
2023-02-23,140.23,141.14,139.1,140.05,139.178635,5835448,5835400,-0.18,-0.12836,140.02,"February 23, 23",-0.0012836
2023-02-22,139.98,141.58,139.88,140.5,139.625824,6126346,6126300,0.52,0.37148,140.61,"February 22, 23",0.0037148
2023-02-21,138.87,140.89,138.87,139.91,139.039505,6899545,6899500,1.04,0.7489,140.03,"February 21, 23",0.007489
