date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-30,135.4,136.09,134.55,135.4,135.4,2241593,2241454,0,0,135.34667,"January 30, 23",0
2023-01-27,134.94,135.64,134.08,135.07,135.07,1895454,1895301,0.13,0.096,134.93,"January 27, 23",0.00096
2023-01-26,135.87,136.34,134.335,134.91,134.91,2724456,2724398,-0.96,-0.707,135.195,"January 26, 23",-0.00707
2023-01-25,128.5,135.5,128.5,135.47,135.47,3024533,3024407,6.97,5.424,133.15667,"January 25, 23",0.05424
2023-01-24,127.55,129.525,126.62,129.19,129.19,1981685,1981645,1.64,1.286,128.445,"January 24, 23",0.01286
2023-01-23,127.57,128.09,126.72,127.12,127.12,2624635,2624500,-0.45,-0.353,127.31,"January 23, 23",-0.00353
2023-01-20,126.54,128.3,125.815,127.63,127.63,2647092,2647009,1.09,0.861,127.24833,"January 20, 23",0.00861
2023-01-19,127.99,128.2,125.31,125.92,125.92,2305926,2305800,-2.07,-1.617,126.47667,"January 19, 23",-0.01617
2023-01-18,129.91,130.77,128.02,128.23,128.23,1813199,1813188,-1.68,-1.293,129.00667,"January 18, 23",-0.01293
2023-01-17,134,134.33,130.55,130.69,130.69,2290844,2290800,-3.31,-2.47,131.85667,"January 17, 23",-0.0247
2023-01-13,132.8,134.18,132.18,133.65,133.65,1344017,1343901,0.85,0.64,133.33667,"January 13, 23",0.0064
2023-01-12,132.0099945,134.1399994,131.2100067,132.9400024,132.9400024,1795600,1795600,0.93001,0.704,132.76334,"January 12, 23",0.00704
2023-01-11,133,133.3999939,131.3899994,132.25,132.25,2125700,2125700,-0.75,-0.564,132.34666,"January 11, 23",-0.00564
2023-01-10,131.7799988,133.0899963,131.6000061,133.0200043,133.0200043,1500200,1500200,1.24001,0.941,132.57,"January 10, 23",0.00941
2023-01-09,134.9900055,135.4499969,131.9700012,132.0099945,132.0099945,2752300,2752300,-2.98001,-2.208,133.14333,"January 09, 23",-0.02208
