date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,69.53,69.68,65.85,65.905,65.904999,68363841,67865408,-3.625,-5.21,67.12,"May 09, 23",-0.0521
2023-05-08,75.71,76.38,74.915,75.52,75.519997,22864045,22864000,-0.19,-0.25096,74.85,"May 08, 23",-0.0025096
2023-05-05,72.96,75.08,72.94,74.97,74.970001,11954241,11941800,2.01,2.75,74.52,"May 05, 23",0.0275
2023-05-04,71.77,73.05,71.755,71.81,71.809998,10230510,10230500,0.04,0.05573359,72.17,"May 04, 23",0.0005573359
2023-05-03,72.41,72.99,71.35,71.43,71.43,11861195,11865700,-0.98,-1.35,72.09,"May 03, 23",-0.0135
2023-05-02,74.82,75.06,71.93,72.28,72.279999,12766951,12767000,-2.54,-3.39,72.62,"May 02, 23",-0.0339
2023-05-01,76.03,76.5,74.97,75.11,75.110001,6857876,6857900,-0.92,-1.21,75.58,"May 01, 23",-0.0121
2023-04-28,74.24,76.05,73.92,76,76,10716573,10718900,1.76,2.37,75.64,"April 28, 23",0.0237
2023-04-27,73,74.37,72.96,74.27,74.269997,11420109,11420100,1.27,1.74,73.88,"April 27, 23",0.0174
2023-04-26,71.21,72.765,71.03,72.06,72.059998,9068775,9068800,0.85,1.19,72.15,"April 26, 23",0.0119
2023-04-25,73.9,74.29,71.76,71.78,71.779999,10255784,10255800,-2.12,-2.87,72.43,"April 25, 23",-0.0287
2023-04-24,74.41,74.8725,73.38,74.29,74.290001,7460807,7458400,-0.12,-0.16127,74.07,"April 24, 23",-0.0016127
2023-04-21,73.4,74.24,72.92,74.18,74.18,8591139,8590500,0.78,1.06,73.76,"April 21, 23",0.0106
2023-04-20,74.4,74.97,73.47,73.58,73.580002,8833243,8847600,-0.82,-1.1,74.05,"April 20, 23",-0.011
2023-04-19,75.3,75.94,74.1,75.32,75.32,8888295,8888300,0.02,0.02656042,74.95,"April 19, 23",0.0002656042
2023-04-18,77.71,77.94,76.2101,76.42,76.419998,7558905,7558900,-1.29,-1.66,76.69,"April 18, 23",-0.0166
2023-04-17,76.835,77.95,76.55,77.33,77.330002,9690635,9717600,0.495,0.64424,77.18,"April 17, 23",0.0064424
2023-04-14,75.2,76.735,75.15,76.53,76.529999,8902653,8898000,1.33,1.77,76.15,"April 14, 23",0.0177
2023-04-13,73.71,75.56,73.56,75.52,75.519997,8724140,8724100,1.81,2.46,75.28,"April 13, 23",0.0246
2023-04-12,73.94,75.7,73.35,73.5,73.5,10422324,10422300,-0.44,-0.59508,74.44,"April 12, 23",-0.0059508
2023-04-11,76.03,76.44,73.21,73.58,73.580002,14190881,14190900,-2.45,-3.22,74.12,"April 11, 23",-0.0322
2023-04-10,74.46,74.855,73.46,74.52,74.519997,7591754,7591800,0.06,0.08058018,74.35,"April 10, 23",0.0008058018
2023-04-06,73.27,75,72.28,74.96,74.959999,10524544,10524500,1.69,2.31,74.25,"April 06, 23",0.0231
2023-04-05,75.11,75.11,73.115,73.61,73.610001,10812732,10812700,-1.5,-2,73.69,"April 05, 23",-0.02
2023-04-04,75.46,75.69,74.73,75.26,75.260002,8949082,8949100,-0.2,-0.26504,75.18,"April 04, 23",-0.0026504
2023-04-03,75.625,75.92,74.705,75.29,75.290001,8911724,8911700,-0.335,-0.44298,75.21,"April 03, 23",-0.0044298
2023-03-31,74.51,76.03,74.12,75.94,75.940002,8378585,8372600,1.43,1.92,75.34,"March 31, 23",0.0192
2023-03-30,74.93,75.18,73.9001,74.39,74.389999,8429763,8429800,-0.54,-0.72067,74.42,"March 30, 23",-0.0072067
2023-03-29,73.21,74.3,73,74.18,74.18,8746697,8746700,0.97,1.32,73.92,"March 29, 23",0.0132
2023-03-28,73.1,73.59,71.86,72.7,72.699997,9252414,9252400,-0.4,-0.5472,72.58,"March 28, 23",-0.005472
2023-03-27,74.815,75.17,73.18,73.3,73.300003,11908872,11908900,-1.515,-2.02,73.74,"March 27, 23",-0.0202
2023-03-24,71.92,73.9,71.53,73.88,73.879997,9181929,9176200,1.96,2.73,73.08,"March 24, 23",0.0273
2023-03-23,72.95,74.51,71.71,72.56,72.559998,18567643,18567600,-0.39,-0.53461,72.91,"March 23, 23",-0.0053461
2023-03-22,76.86,77.115,74.24,74.34,74.339996,11624454,11641300,-2.52,-3.28,75.57,"March 22, 23",-0.0328
2023-03-21,74.14,76.84,74.07,76.72,76.720001,12327575,12327600,2.58,3.48,75.82,"March 21, 23",0.0348
2023-03-20,73,74.14,72.02,73.21,73.209999,16888461,16888500,0.21,0.28767,73.01,"March 20, 23",0.0028767
2023-03-17,73.95,75.065,72.4783,72.99,72.989998,27210436,27203200,-0.96,-1.3,73.17,"March 17, 23",-0.013
2023-03-16,73.435,74.505,72.52,74.35,74.349998,11652235,11641700,0.915,1.25,74,"March 16, 23",0.0125
2023-03-15,72.11,73.94,71.77,73.91,73.910004,10548734,10548700,1.8,2.5,72.96,"March 15, 23",0.025
2023-03-14,74.075,74.67,72.675,73.24,73.239998,12376519,12491500,-0.835,-1.13,73.47,"March 14, 23",-0.0113
2023-03-13,72.622,73.97,71.0856,72.61,72.610001,14049002,14049000,-0.012,-0.01652392,72.93,"March 13, 23",-0.0001652392
2023-03-10,75.94,75.94,73.1,73.43,73.43,13123835,13118800,-2.51,-3.31,74.08,"March 10, 23",-0.0331
2023-03-09,76.96,79.2651,75.725,75.93,75.93,17398175,17398200,-1.03,-1.34,77.5,"March 09, 23",-0.0134
