date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-26,134.405,134.85,131.17,133.96,133.96,6892205,6892205.46334111,-0.445,-0.331,133.32667,"January 26, 23",-0.00331
2023-01-25,128.45,131.535,127.7,131.17,131.17,6868160,6867735,2.72,2.118,130.135,"January 25, 23",0.02118
2023-01-24,130.55,132.97,130.15,130.7,130.7,7952559,7952417,0.15,0.115,131.27333,"January 24, 23",0.00115
2023-01-23,126.54,132.06,125.82,131.03,131.03,13419545,13419475,4.49,3.548,129.63667,"January 23, 23",0.03548
2023-01-20,118.42,122.96,117.34,122.9,122.9,8880531,8880300,4.48,3.783,121.06667,"January 20, 23",0.03783
2023-01-19,121.06,121.1,117.42,117.58,117.58,8716583,8716170,-3.48,-2.875,118.7,"January 19, 23",-0.02875
2023-01-18,121.62,123.99,121.01,122.04,122.04,10961393,10960424,0.42,0.345,122.34667,"January 18, 23",0.00345
2023-01-17,119.735,121.32,119.02,120.28,120.28,6179541,6179477,0.545,0.455,120.20667,"January 17, 23",0.00455
2023-01-13,119.82,121.42,119.72,120.24,120.24,8038732,8038400,0.42,0.351,120.46,"January 13, 23",0.00351
2023-01-12,119.24,122.38,117.65,121.59,121.59,9525469,9525400,2.35,1.971,120.54,"January 12, 23",0.01971
2023-01-11,117.44,118.5,115.17,118.39,118.39,7372453,7372000,0.95,0.809,117.35333,"January 11, 23",0.00809
2023-01-10,114.02,116.97,113.7211,116.91,116.91,6384939,6384775,2.89,2.535,115.86703,"January 10, 23",0.02535
2023-01-09,116.73,118.85,113.54,114.61,114.61,10292598,10291797,-2.12,-1.816,115.66667,"January 09, 23",-0.01816
2023-01-06,110.96,115.98,110.05,115.34,115.34,10255541,10255000,4.38,3.947,113.79,"January 06, 23",0.03947
2023-01-05,109.93,110.92,109.13,109.4,109.4,7544463,7543800,-0.53,-0.482,109.81667,"January 05, 23",-0.00482
2023-01-04,109.8,112.23,108.81,111.53,111.53,7611011,7610400,1.73,1.576,110.85667,"January 04, 23",0.01576
2023-01-03,111.35,111.74,107.13,107.2,107.2,8107170,8106700,-4.15,-3.727,108.69,"January 03, 23",-0.03727
2022-12-30,107.97,110.06,107.22,109.94,109.94,5640728,5640700,1.97,1.825,109.07333,"December 30, 22",0.01825
2022-12-29,108.35,110.66,108.11,109.84,109.84,6666994,6666400,1.49,1.375,109.53667,"December 29, 22",0.01375
2022-12-28,108.87,110.27,106.82,106.97,106.97,5391738,5391400,-1.9,-1.745,108.02,"December 28, 22",-0.01745
2022-12-27,109.75,110.685,108.89,109.46,109.46,6158213,6158132,-0.29,-0.264,109.67833,"December 27, 22",-0.00264
2022-12-23,109.7,110.92,108.21,110.84,110.84,5355176,5355100,1.14,1.039,109.99,"December 23, 22",0.01039
2022-12-22,112.57,112.59,107.38,110.68,110.68,12052553,12051400,-1.89,-1.679,110.21667,"December 22, 22",-0.01679
2022-12-21,112.76,114.96,112.69,114.59,114.59,5844066,5843839,1.83,1.623,114.08,"December 21, 22",0.01623
